,Title,Date,Category
0,"산업부, 수교 60주년 맞아 태국서 '한국우수상품전' 개최",2018.10.03,2
1,"락앤락, 올 스테인리스 스틸 적용 '메타 프라이팬' 출시",2018.01.09,2
2,"공정위, '거짓광고'한 락앤락에 시정명령",2015.02.11,2
3,이베이코리아 '빅스마일데이' 오픈…첫날 '아디다스' 할인,2020.05.19,3
4,AK플라자 '겨울 정기 세일' 시작…겨울 패션 소품 30% 할인,2019.11.14,3
5,홍남기 가업상속 공제 완화안에 뿔난 중소·중견기업계,2019.04.15,3
6,"""스토케 유모차를 반값에""…11번가, 4월 십일절 물량 대공개",2019.04.10,3
7,"농심 '매운맛', 중국 광군제 홀렸다…역대 최대치 매출 기록",2018.11.12,3
8,"락앤락, '플레이스엘엘' 매장 오픈…최대 68% 할인 행사",2018.11.08,3
9,"산업부, 수교 60주년 맞아 태국서 '한국우수상품전' 개최",2018.10.03,3
10,"[한국부자 보고서] ""죽기 전에 자식에게 재산 미리 주겠다""",2018.08.06,3
11,"락앤락, 2분기 매출 1029억원…전년비 4.9%↑",2018.08.03,3
12,빨간배추부터 김치통까지…김장 시즌 맞아 유통업계 '분주'(종합),2017.11.13,3
13,"롯데마트, 16일부터 일주일간 '김장 특별 기획전' 진행",2017.11.13,3
14,中 '광군제'로 韓 유통업계 난리라는데…작년 실적 살펴보니,2017.11.05,3
15,"19주년 홈쇼핑 최장수 프로그램, GS샵 '똑소리나는 원더샵' 개편",2017.08.29,3
16,"백화점, 다양한 체험 이벤트로 하반기 매출 반등 이끈다",2017.08.26,3
17,"홈플러스 ""9900원에 온 가족 바캉스 준비 끝""",2017.05.23,3
18,결혼·이사 성수기가 온다…가구·주방용품 수요 최대 5배 '껑충',2017.05.18,3
19,"""상반기 부엌공간 트렌드는 모던클래식"" 한샘, 스타일 제안",2017.01.23,3
20,"CJ제일제당, '우리가족 건강한 단맛습관 캠페인' 실시",2017.01.12,3
21,"롯데슈퍼, 2016년 총결산 슈퍼세일 진행…최대 반값 판매",2016.12.16,3
22,"락 걸렸던 락앤락, 실적 안고 '랄라라'",2016.11.17,3
23,"[포토]이마트 ""수험생 여러분, 따끈한 차로 건강 챙기세요""",2016.11.02,3
24,"대우세계경영연구회, 아시아발전재단과 상호협력 약정 체결",2016.10.05,3
25,"GS샵, 개국 21주년 기념 벤츠 등 경품 이벤트",2016.08.04,3
26,"홈플러스 문화센터, 가을학기 회원 모집",2016.07.19,3
27,폭염·장마철 위생 고민 끝! 항균 주방제품 인기,2016.07.03,3
28,"락앤락, 신규회원 대상 휴가비 지원 등 이벤트 실시",2016.05.19,3
29,"락앤락, 맞춤 전용용기 '스페셜 시리즈 10종' 출시",2016.05.16,3
30,"락앤락, 1분기 영업익 130.6% 증가 ""실적 큰폭 개선""",2016.05.03,3
31,"락앤락, '우리 집 주방 안심 캠페인' 진행",2016.05.02,3
32,"락앤락, 2016 얼루어 그린캠페인 참여",2016.04.21,3
33,"락앤락, 7주년 기념 신제품 '항균 비스프리' 출시",2016.04.18,3
34,"락앤락, 중국 브랜드파워 지수 2개 부문 1위 수성",2016.04.14,3
35,"락앤락, 봄맞이 아산 창고대개방 행사 실시",2016.04.11,3
36,"락앤락, '야구장 쓰리아웃 캠페인' 실시",2016.04.06,3
37,"락앤락, 中 티몰 선정 '2015 최우수 브랜드상 수상",2016.04.04,3
38,"삼광글라스, 환경호르몬 유해성 광고 소송서 최종 승소",2016.03.29,3
39,"락앤락, 틈새 수납제품 '포켓 시리즈 6종' 출시",2016.03.29,3
40,"락앤락, 브랜드파워 13년 연속 1위 선정",2016.03.10,3
41,"BNK경남銀, 다음달 16일 '진주시 남강 걷기대회' 개최",2016.03.03,3
42,"락앤락, 한류스타 이종석과 중국 광고 모델 재계약",2016.02.25,3
43,"락앤락, 봄맞이 온·오프라인 동시 세일",2016.02.22,3
44,"락앤락, 공식 대학생 써포터즈 '그린메이트 7기' 모집",2016.02.17,3
45,"락앤락, '2016 프랑크푸르트 소비재 박람회' 참가",2016.02.15,3
46,롯데마트 신학기 기획전 개최,2016.02.12,3
47,"락앤락, 인천국제공항 신라면세점 입점",2016.02.04,3
48,"락앤락몰, 당일출고 배송 서비스 '씽씽배송' 오픈",2016.02.01,3
49,"[2016 아시아소비자대상] 락앤락, 110여개국 수출로 영역 확장",2016.01.28,3
50,"락앤락, 설맞이 온·오프라인 동시 세일",2016.01.20,3
51,"락앤락, 쿡웨어 '투핸즈 살롱' 현대홈쇼핑 단독 방송",2016.01.14,3
52,"락앤락, '프라이팬 안심 캠페인' 실시",2016.01.12,3
53,"락앤락, 써포터즈 30만 회원 돌파 기념 이벤트 진행",2016.01.05,3
54,"락앤락, 오븐글라스 '모던스팀홀' 8종 출시",2015.12.29,3
55,"락앤락, '베스트 30 제품' 고객감사 할인전",2015.12.22,3
56,"락앤락, '2015 세계일류상품' 선정",2015.12.16,3
57,"락앤락, 써포터즈 13주년 기념 고객 감사 이벤트",2015.12.10,3
58,"락앤락, '이종석 한·중 팬 사인회' 성황리 마쳐",2015.12.07,3
59,"락앤락, 롯데홈쇼핑서 '똔따렐리 옴니모두스 수납장' 런칭",2015.12.03,3
60,"락앤락, 백종원의 '겟잇키친 토크쇼' 영상 공개",2015.12.01,3
61,"락앤락, '텀블러 클린 캠페인' 실시",2015.11.24,3
62,"""이날을 기다렸다"" 주방용품업계, 김장철 특수 '활짝'",2015.11.22,3
63,"이마트發 ‘K-세일데이’ 1탄, '김장·난방용품' 초특가 할인",2015.11.19,3
64,"롯데슈퍼, 500억원 물량 파격 세일",2015.11.17,3
65,"락앤락, 내달 5일 '이종석 한·중 팬 사인회' 개최",2015.11.16,3
66,"락앤락, 中 '독신자의 날'서 40% 이상 매출 '껑충'",2015.11.13,3
67,"주부 10명 중 4명 ""올 김장은 10포기 미만""",2015.11.09,3
68,"삼광글라스, 환경호르몬 유해성 광고 파기환송심 승소",2015.11.09,3
69,"이마트, 개점 22주년 행사 2탄…단 하루 최대 반값 할인",2015.11.05,3
70,"락앤락, 초경량 원터치 텀블러 8종 출시",2015.11.03,3
71,"닥터하우스(Dr. HOWS), 롯데 아울렛 부여점 오픈",2015.10.29,3
72,"락앤락, 수험생 위한 '스텐 보온도시락' 2종 출시",2015.10.26,3
73,"롯데아울렛, 주말 3일 동안 특별 할인전",2015.10.22,3
74,"[포토]홈플러스, 쌀쌀해진 날씨, 저렴한 텀블러로 따뜻하게",2015.10.09,3
75,"롯데슈퍼, 연휴·나들이 먹거리 최대 50% 할인 판매",2015.10.06,3
76,"롯데마트, '코리아 블프' 맞아 100여개 PB 할인",2015.10.06,3
77,아너스가구 이사철 가구대전 연장…10자 붙박이장 최저가 90만원 판매 중,2015.10.01,3
78,이연복·백종원 대박…홈쇼핑 '미다스의 손'으로 떠오른 스타 셰프,2015.09.22,3
79,"홈플러스, 추석맞이 ‘조리용품’ 기획 특가 판매",2015.09.18,3
80,'쿡방'이 먹여살리는 주방용품…중식刀 전년비 450% ↑,2015.09.02,3
81,"아너스가구 이사철 가구대전, 10자 붙박이장 최저가 90만원 대판매 중",2015.09.01,3
82,"'대목 잡아라' 편의점업계, 추석선물세트 판매 돌입(종합)",2015.08.20,3
83,"미니스톱, 1인가구들을 위한 '힐링 추석' 선물세트 준비",2015.08.20,3
84,"AK몰, 3일간 야간 쇼핑족 위한 '심야시장' 오픈",2015.07.27,3
85,“한 여름밤의 할인” 11번가 ‘모바일 야시장’ 오픈,2015.07.13,3
86,"NS홈, '락앤락 레인보우 식기세트' 증정 이벤트",2015.07.01,3
87,"전자랜드, 상반기 결산 ‘살맛나는 세일’ 실시",2015.07.01,3
88,"유통업계, 나만의 특별한 메시지 담는 ‘레터링 서비스’ 인기",2015.05.24,3
89,"'매실 풍작'…옥션, 갓 수확한 매실 최대 53% 할인 판매",2015.05.22,3
90,"홈플러스 문화센터, 아빠 캠핑요리 대회 개최",2015.05.13,3
91,"11번가, 온라인몰 유일 10개 구단 야구용품 판매",2015.03.23,3
92,"공정위, '거짓광고'한 락앤락에 시정명령",2015.02.11,3
93,중견·중기도 '통근 배당' 동참‥회장님도 웃는다,2015.02.11,3
94,"락앤락, 설맞이 세일…최대 40% 온·오프라인 동시 실시",2015.02.05,3
95,"락앤락·삼광글라스, 中 온라인몰 쟁탈전",2015.01.28,3
96,락앤락 제품 구조조정…700여개 품목 줄인다,2015.01.12,3
97,"락앤락, ‘햇쌀밥용기’ 굿디자인 상품 선정",2014.12.15,3
98,"밀폐용기 라이벌, 중국 TV홈쇼핑서 격돌",2014.10.23,3
99,"중기중앙회, 락앤락 대표 등 해외민간대사 위촉",2014.09.15,3
100,추석 보너스 넉넉해졌다는데…중견·중기엔 그림의 떡,2014.09.01,3
101,"락앤락, 폐플라스틱 활용 제주올레 길 벤치 조성",2020.08.31,4
102,"락앤락, 10일 ‘쇼핑라이브’서 특가 할인전",2020.08.09,4
103,"락앤락, 2분기 매출 1181억원…영업이익 전년대비 17%↑",2020.08.03,4
