,Title,Date,Category
0,"감사원 ""서울시, '6년 표류' 상암 롯데몰 세부개발 조속 처리해야""",2019.12.05,2
1,[2017국감]30대기업 유보금 652조…2년새 2배 늘어,2017.10.27,2
2,"조급한 정부, 속타는 대기업…겉도는 일자리 대책",2017.07.19,2
3,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
4,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",2017.07.18,2
5,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
6,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
7,"일자리위원회, 근로자 많은 15개 기업과 간담회",2017.07.14,2
8,'일자리 많은 기업' 순위 매긴다고?,2017.06.30,2
9,"내우외환 롯데, '짠물' 이미지 벗고 통큰 임직원 배려 행보",2017.03.14,2
10,[中 사드 몽니]'롯데 불똥 튈라' 他 유통업체들 전전긍긍,2017.03.13,2
11,"[中 사드 몽니]""사드 사태, 롯데 外 유통사들도 잠재적 피해업체""",2017.03.10,2
12,롯데 ‘사드 속앓이’에 사드배치 지연 가능성(종합),2017.01.16,2
13,롯데 ‘사드 속앓이’… 속도 못내는 사드배치,2017.01.16,2
14,"공정위, '조삼모사' 할인으로 소비자 우롱한 대형마트들 제재",2016.11.08,2
15,"""국민연금, 가습기 살균제 관련 기업에 3조 투자""",2016.10.10,2
16,"롯데, 10대 대기업 중 공정거래법 위반 최다",2016.07.11,2
17,'7개 특위·가습기살균제 국조계획서' 국회 본회의 통과(종합),2016.07.06,2
18,가습기살균제 국조계획서 국회 본회의 통과(상보),2016.07.06,2
19,신영자 서영교…모계율(母系律)사회 등장? 어찌하오리까,2016.07.01,2
20,"서울시의회, 롯데쇼핑 대표에 과태료 부과할까?",2015.11.24,2
21,'朴 미국 방문' 166명 경제사절단 동행,2015.10.11,2
22,여야 개혁 공감했지만…롯데 지배구조 변경法 '쉽지 않다',2015.08.04,2
23,공정위 '소비자중심경영' 14개사에 인증서 수여,2015.06.19,2
24,[진화하는 농촌]기술 대주고 생산물 사주고…1조원 씨뿌리는 기업 重農主義,2015.06.05,2
25,"근로복지공단, 롯데쇼핑과 '사회보험 사각지대 해소'",2015.06.04,2
26,"공정위, 롯데쇼핑 대우百 인수 승인..""수수료는 3년간 인상 말라""",2015.05.31,2
27,오경환 서울시의원 “상암동 롯데쇼핑몰 상생 모범 만들자”,2015.04.14,2
28,"마포구의회 신종갑 의원, 사회복지사 처우개선 조례 발의",2015.04.07,2
29,"현대차 등 주요 대기업 21개사, 올 상반기 신입 5749명 뽑는다",2015.03.25,2
30,"사정기관 7곳 '非理 전면전'…""종료시점 정하지 않고 지속적으로""",2015.03.20,2
31,소녀시대 윤아·송승헌 '모범 납세자' 대통령 표창,2015.03.03,2
32,"최경환 ""세금 꼭 필요한 곳 쓰겠다…연말정산 대책 이달 말 발표""",2015.03.03,2
33,"공정위, '불공정행위 혐의' CJ CGV·롯데쇼핑 처벌 면제요청 거부",2014.12.03,2
34,"'불공정행위' CGV·롯데쇼핑, 공정위 제재 대신 시정방안 내기로",2014.11.24,2
35,"정무위, 김승유 전 하나금융 회장 국감 증인 채택",2014.10.13,2
36,"[2014국감]""이케아-롯데아울렛 종합쇼핑타운 조성""",2014.10.13,2
37,"롯데마트 ""친환경 패키지 선물세트로 환경 지키세요""",2020.08.30,3
38,"이갑 롯데면세점 대표, 제6대 한국면세점협회장 취임",2020.08.02,3
39,롯데家 지분 상속…故신격호의 선택은 신동빈,2020.07.31,3
40,불티나던 '재고 명품' 인기도 시들…면세업계 한숨,2020.07.31,3
41,"신격호 유산 1조원, 자녀 4명이 분할 상속…상속세만 4500억원",2020.07.29,3
42,"매각하거나 리뉴얼…대형마트 3사, 3색 부진탈출",2020.07.21,3
43,"롯데쇼핑, 러시아 법인 청산",2020.07.16,3
44,"신동빈 ""외환위기 때보다 심각한 '70% 경제'…살 길 찾아야""",2020.07.14,3
45,"롯데온, '옷'보다 '가전'이 더 잘 팔렸다",2020.07.09,3
46,"면세 재고 명품 또 한번 쏟아진다…롯데·신라, 추가 판매 재개",2020.07.08,3
47,"대형마트 '즉석조리 매장'의 변신…롯데마트, '밀 시그니처 스토어' 오픈",2020.07.08,3
48,"롯데쇼핑, 로레알 그룹과 손잡고 온·오프라인 화장품 특별전 진행",2020.07.01,3
49,"롯데·신라免, 내일부터 2차 온라인 면세대전…1차보다 풍성",2020.06.30,3
50,"롯데백화점, 온라인 주문 후 3시간 만에 상품 받는 '바로배송' 실시",2020.06.29,3
51,동행세일 첫 주말…면세 재고품·패션 '함박웃음',2020.06.28,3
