,Title,Date,Category
0,"MP그룹, MP한강 주식 325만주 처분",2017.12.26,2
1,"신 3저, 메르스 사태 속 다시 '희망의 빛' 될까",2015.06.21,2
2,수출 회생?…5개월만에 반등 조짐,2015.06.18,2
3,28일 韓銀 금통위…관전포인트 셋,2020.05.25,3
4,"[기업 자금조달]메리츠금융지주, 첫 신종자본증권 1000억 발행",2020.04.28,3
5,'韓美통화스와프' 약발 먹힌 시장…만병통치약은 아냐 (종합),2020.03.20,3
6,美Fed 리더십에 달러가뭄 해소 기대…만병통치약은 아냐,2020.03.20,3
7,"전문가들 ""韓美통화스와프, 만일의 사태 대비…유동성 확보 의미""",2020.03.19,3
8,"김지완 BNK금융 회장, 자사주 매입 카드 꺼내…""주가 부양 올인""",2020.03.04,3
9,라임펀드 책임 공방…사태 장기전 예고,2020.01.14,3
10,"메리츠금융그룹, 내년부터 새로운 CI 사용…'제 2 도약'",2019.12.26,3
11,"내년 中 화장품, 두자릿수 성장세…K뷰티도 수출 호조 기대",2019.12.22,3
12,[사람人]김인규 대표 '필사즉생'의 각오가 만들어낸 '테라' 성공신화,2019.11.06,3
13,"'평탄→상승→하강'…맷집 약해진 환율, 변동성 커졌다(종합)",2019.10.20,3
14,"""연휴, 일본 대신 국내서 호캉스 즐겼다""…신라호텔 3분기 실적도 '방긋'(종합)",2019.09.19,3
15,'여름호캉스·추캉스' 신라호텔로 몰렸다…3분기 매출·영업익 '맑음',2019.09.19,3
16,악화되는 한일관계에 외환·금융시장도 동요,2019.08.24,3
17,김인규 절박함에 화답한 '테라+참이슬=테슬라'…적자 탈출하자(종합),2019.07.10,3
18,필사즉생에 화답한 테슬라 열풍…맥주 적자의 늪 탈출 기회 잡은 김인규,2019.07.10,3
19,"""미국 따라 한국도 기준금리 인하시기 빨라진다""",2019.06.20,3
20,"우리은행, 하반기 환율·금리 전망 세미나 개최",2019.06.18,3
21,"올해 하반기 부동산 시장, 여의도의 전망은",2019.06.10,3
22,[금융에세이]핀테크로 세계의 돈이 몰리고 있다,2019.05.26,3
