,Title,Date,Category
0,"""독립유공자 후손 135명에 장학금 1억8000만원 지원""",2018.12.27,2
1,'2018 한국에너지대상' 개최…박영준 빙그레 대표 동탑산업훈장 수상,2018.11.27,2
2,"빙그레, 라이트 칼로리 저지방 아이스크림 뷰티인사이드 출시",2018.03.12,2
3,[박명훈 칼럼]마음만 받겠습니다?,2016.12.15,2
4,“朴대통령 ‘연예인 보톡스’ 시술 받아…최순실이 정기적으로 의사 대동”,2016.10.31,2
5,"빙그레, 42살 '투게더' 1인 가구 공략용 싱글컵 출시",2016.06.03,2
6,별세한 김신 前총장은… 최초의 유도무기 도입,2016.05.20,2
7,"식품·외식기업, 취업준비생과 채용 상담 실시",2015.09.11,2
8,"바나나맛 우유, 말레이시아 수출길 '활짝'",2015.09.07,2
9,"오뚜기·LG유플 등 7개사에 과태료 부과…""대리점계약서 법 위반""",2020.08.18,3
10,"“포스트 코로나, 건강이 재산”…덤벨경제를 잡아라",2020.08.08,3
11,"CU, 다가올 늦더위 겨냥…아이스크림 반값 할인",2020.07.29,3
12,"빙그레 tft 비바시티 스틱젤리, 대한민국 패키징 대전 장관상 수상",2020.07.27,3
13,"빙그레 '더위사냥', 환경부 캠페인 패키지 제품 출시",2020.07.15,3
14,"""소비자가 왕"" 식품·유통업계, ‘팬슈머’ 힘으로 제품 재출시 잇따라",2020.07.11,3
15,"""꽃게랑을 입는다""…빙그레, 꽃게랑 브랜드 활용한 패션 아이템 출시",2020.06.30,3
16,"빙그레 '비바시티', 다이어트 신제품 '슬림케어 나이트' 출시",2020.06.08,3
17,"빙그레, 밀크씨슬 추출물 첨가한 '간편한 닥터캡슐' 출시",2020.05.08,3
18,"빙그레, 첫 탄산수 ‘산토리니’ 출시",2020.04.14,3
19,"빙그레, 광천김 짭짤함 더한 ‘꽃게랑 김’ 출시",2020.04.10,3
20,해태아이스크림 인수한 빙그레…롯데제과 제치고 빙과업계 실질적 1위 도약,2020.04.01,3
21,"빙그레, 해태아이스크림 1400억원에 인수…""글로벌 사업 확장할 것""",2020.03.31,3
