,Title,Date,Category
0,"文대통령 고향 거제에서 전한 낭보…""세계 최대 컨테이너선 축하""",2020.04.23,2
1,"[주 52시간 패닉] 中企 ""준비 안돼, 시행유예"" 호소",2019.11.14,2
2,"가스公, 글로벌 에너지 기업으로 성장…13개국서 25개 사업 추진",2019.11.05,2
3,"韓, 노르웨이와 조선·로봇분야 미래 기술 공동개발 추진",2019.06.13,2
4,"가스公, 호주 프렐류드 사업 첫 LNG 생산 개시",2019.06.12,2
5,"홍영표 ""양문석 걱정했지만, 일주일새 통영 민심 많이 바뀌어""",2019.03.27,2
6,"양문석 ""文 팔 안으로 굽어...예산 따낼것"" VS 정점식 ""정부 심판해야""",2019.03.26,2
7,靑 비서관 6명 인사…정무 복기왕·국정홍보 여현호·문화 양현미(종합),2019.01.09,2
8,"정부, 조선산업에 2조7000억 규모 추가 투입…‘활력제고 방안’ 확정",2018.11.22,2
9,"이 총리 ""조선산업 등 산업구조 고도화 작업 연내 발표""",2018.10.12,2
10,한전·한수원 도덕적 해이 심각…5년간 뇌물·향응 받은 직원 125명,2018.10.11,2
11,"이재용과 각별한 인연 모디 총리, 문 대통령과 만남 가교역할",2018.07.09,2
12,"가스公, 최초 국산화 화물창 탑재 LNG선 명명식",2018.03.06,2
13,"[단독]가스공사, LNG선 핵심부품 사업 차질…유망 기업 '도산 위기'",2017.10.20,2
14,"'레밍' 발언 김학철 도의원 ""현장에도 안나가본 대통령""…문재인 대통령 맹비난",2017.07.24,2
15,'일자리 많은 기업' 순위 매긴다고?,2017.06.30,2
16,"노회찬 ""심성정 두 자릿수 지지는 이미 확보…목표는 홍준표 꺽기""",2017.05.04,2
17,[포토]크레인 전도 사고 피해자들을 위로하는 문재인 후보,2017.05.03,2
18,"경남 창원·진주 찾은 文…""압도적으로 정권교체 해야 나라가 안정""(종합)",2017.05.03,2
19,"'마산' 찾은 文…""끝날 때까지 끝난 게 아냐. 하늘이 두쪽 나도 투표해야""",2017.05.03,2
20,"文 ""연차 의무적으로 사용…2주간 여름휴가 즐길 수 있게 할 것""",2017.05.03,2
21,"심상정, 거제 삼성중공업 크레인 사고 애도 ""위험한 업무는 하청 비정규직의 몫""",2017.05.02,2
22,[경쟁력강화]구조조정 경쟁력강화 'SSS' 플랜,2017.01.25,2
23,조선 불황에 울산·거제 종사자수 감소,2016.09.22,2
24,"유일호 ""조선업계 핵심인력 보호할 추경 확보""",2016.09.09,2
25,"""조선 빅3 사망사고, 10명 中 8명이 하청 노동자""",2016.09.08,2
26,[하반기 리스크]조선·해운 고비 넘긴 구조조정 '갈 길 멀다',2016.07.16,2
27,[포토]'구조조정 반대',2016.06.29,2
28,"[포토]삼성중공업 노동자, 상경투쟁",2016.06.29,2
29,[포토]고개숙인 삼성중공업,2016.06.29,2
30,"[포토]""구조조정 반대한다""",2016.06.29,2
31,[포토]구호 외치는 삼성중공업 노동자들,2016.06.29,2
32,"[포토]삼성중공업 노동자, 상경투쟁",2016.06.29,2
33,[포토]삼성 사옥앞에서 집회 갖는 중공업 노동자,2016.06.29,2
34,[포토]삼성 노동자의 '눈물',2016.06.29,2
35,"[포토]""노동자 죽이는 구조조정 반대한다""",2016.06.29,2
36,"[포토]삼성중공업 노동자들, 서초사옥 앞 투쟁",2016.06.29,2
37,[포토]구호 외치는 삼성중공업 노동자들,2016.06.29,2
38,"""금융위·국책은행 중심 구조조정 전면중단을""",2016.06.02,2
39,"이종구 ""구조조정, 소유 구분해 진행해야""",2016.05.24,2
40,'특별고용지원업종' 순풍 만난 조선업…대규모 해고 한숨 돌리나,2016.05.24,2
41,"조선업계 현장 찾은 정진석…정치 현안엔 ""…""",2016.05.23,2
42,與野 일제히 '위기의 조선산업'으로,2016.05.23,2
43,[양낙규기자의 Defence]방사청 조선업계 공문발송 논란 '권고 VS 개입',2016.05.20,2
44,쇄신이냐 당권이냐,2016.05.12,2
45,[구조조정 급물살]떨고 있는 해운…긴장하는 조선·철강,2016.04.23,2
46,"김영석 장관, 대통령 특사로 인도 해양박람회 참석",2016.04.11,2
47,"총선넷 “朴대통령, 노골적으로 선거에 개입”…선관위에 신고",2016.04.11,2
48,"해수부, 2020년까지 항만개발에 민자 10조 유치",2016.01.29,2
49,"허베이스피리트 유류오염사고, 소송 92% 종결",2016.01.12,2
50,허베이협동조합 설립…주민이 피해복구 직접 나선다,2016.01.03,2
51,국내 최초 국제가스회의 'APGC' 대구서 개최,2015.11.16,2
52,"한국경제 빨간불…신용등급 강등 기업, 외환위기 이후 최대",2015.11.08,2
53,대학 규제 풀린다…기업과의 연계 강화,2015.11.06,2
54,"""기업활력특별법안은 반쪽…적용대상 확대해야""",2015.10.13,2
55,"윤상직 장관 ""조선해양 플랜트 생산비용 절감 방안 마련""",2015.10.08,2
56,"5대 조선업체, 금융권 부채 50조원 넘었다",2015.09.06,2
57,조선3사·홈쇼핑·삼성서울병원 국감 증언대 선다,2015.09.02,2
58,"문재인 ""선거구 획정 선결과제, 권역별 비례대표제 도입""",2015.08.31,2
59,"문재인 ""대우조선 위기, 경영진과 정부 때문""",2015.08.30,2
60,태안 어장이 돌아왔다..기름유출 피해 극복,2015.08.27,2
61,7월의 기능한국인에 김종련 지씨테크 대표,2015.07.27,2
62,"'산업수도' 울산, 미래형 선박생태계 도시로 육성(종합)",2015.07.15,2
63,"'산업수도' 울산, 미래형 선박생태계 도시로 육성",2015.07.15,2
64,대형 국책사업 입찰담합..한화건설 등에 과징금 99억원,2015.04.21,2
65,소녀시대 윤아·송승헌 '모범 납세자' 대통령 표창,2015.03.03,2
66,"최경환 ""세금 꼭 필요한 곳 쓰겠다…연말정산 대책 이달 말 발표""",2015.03.03,2
67,작년 기업결합 571건..전년比 2.4% 감소,2015.02.26,2
68,동해 폐시추공 드릴십 시험설비로 활용,2014.09.30,2
69,내일부터 무급휴직자 150만원 지급 신청…지원요건 살펴보니,2020.06.14,3
70,23兆 카타르 LNG선 수주 '막전막후',2020.06.02,3
71,공정위 상임위원에 윤수현 기업거래정책국장,2020.05.15,3
72,"조선업계 ""8兆로 부족, 지원항목 다양화해야""(종합)",2020.04.27,3
