,Title,Date,Category
0,"새정치연합·전경련 ""남북경제협력 강화"" 한목소리",2015.09.08,2
1,[단독]연초부터 업소용 식용유 가격ㆍ배달대행료 싹 올랐다…외식비 인상 고공행진,2020.01.09,3
2,이달 식품 상장기업 브랜드평판 1위는 '오리온',2019.12.28,3
3,송년회 쏟아지는 연말…온라인서 불티나게 팔리는 '숙취해소제',2019.12.26,3
4,"홈플러스 ""산타보다 먼저 찾아온 할인""…'크리스마스 대전'",2019.11.21,3
5,"삼양사, ""'큐원 상쾌환'으로 추석 선물 준비하세요""",2019.08.14,3
6,JB금융 최대주주 '삼양사' 영향력 더 커졌다,2019.04.17,3
7,[부고]박순철(삼양사 대표이사)씨 부친상,2018.12.14,3
8,"동원그룹, 테크팩솔루션·동원팜스 대표이사 인사",2018.12.05,3
9,"삼양그룹 정기 임원인사…윤재엽 삼양홀딩스 부사장, 사장 승진",2018.12.04,3
10,조금씩 성장하는 '냉동베이커리' 시장…삼양사 등 앞장(종합),2018.11.08,3
11,"삼양사 큐원 ‘상쾌환’, 올 상반기에 1000만포 넘게 팔렸다",2018.08.27,3
12,"국내 페트 패키징 1위 삼양패키징, 유가증권시장 상장",2017.11.29,3
13,"삼양사, JB금융 최대주주 된다…지분 8.4% 취득",2017.11.23,3
14,"삼양사, 국내 최고 식이섬유 함량 '트루스위트 올리고당' 출시",2017.08.11,3
15,"김윤 삼양그룹 회장의 융합론…""한데 뭉쳐 100년 기업의 초석 다져야""",2017.06.07,3
16,"삼양사, 저칼로리 액상당 '트루스위트 알룰로스' 2종 출시",2017.04.05,3
17,[슈퍼주총]김윤 삼양홀딩스 대표이사 회장·김량 부회장 재선임,2017.03.24,3
18,"삼양사, 박순철 대표이사 신규 선임",2017.03.23,3
19,"삼양사 '큐원 상쾌환', 크리스마스 시즌 스페셜 에디션 출시",2016.12.01,3
20,"삼양사 큐원, 호떡 시즌 맞아 온오프 이벤트 진행",2016.11.29,3
21,[인사]삼양그룹,2016.11.24,3
22,"CJ제일제당 ‘알룰로스’, 비만억제 및 체지방 감소 효과 입증",2016.11.03,3
23,"집에서도 간편하게, 인기 외식메뉴 ‘헬퍼 식음료’ 눈길",2016.10.22,3
24,"삼양사, 태풍피해 울산지역에 복구 성금 1억원 전달",2016.10.20,3
25,[지방의 논란]'버터품귀'의 비밀…고지방 다이어트 열풍,2016.10.18,3
26,"삼양사, '푸딩믹스·쿠키 프리믹스' 신제품 4종 출시",2016.08.25,3
27,"삼양사 큐원, 숙취해소제 상쾌환 패키지 ‘디자인 리뉴얼’",2016.08.23,3
28,"삼양사, 차세대 감미료 ‘알룰로스’ 인허가 승인",2016.07.18,3
29,"삼양사, 슈퍼곡물 담은 부침가루·튀김가루 신제품 2종 출시",2016.07.14,3
30,"삼양사, 어린이날 맞아 '큐원 키즈 쿠킹클래스' 열어",2016.05.05,3
31,황금연휴 더욱 즐겁게 보내는 '에너지-업 식음료' 제안,2016.05.05,3
32,"삼양사, 전자레인지로 만드는 '큐원 홈메이드 케익믹스' 2종 출시",2016.03.31,3
33,"삼양사 큐원, 밸런타인데이 맞아 쿠킹클래스 개최",2016.02.14,3
34,"삼양사, 주가 13% 급락 이유는 합병 신주 상장 때문",2016.01.22,3
35,"삼양사, 지주사 전환 후 5년만의 첫 세무조사",2016.01.21,3
36,[인사]삼양그룹,2015.11.30,3
37,"삼양사, 삼양홀딩스 계열사 삼양제넥스 흡수합병",2015.09.11,3
