,Title,label
4419,"정부, 구글 지도 해외 반출 불허…""구글이 보완책 수용 안해""(상보)",0
4438,"미래부, 2차 유료방송 발전방안 공개토론회 개최",0
4450,"SKT, 전용폰 구입 고객에 T1 롤드컵 우승 기념품 증정",1
4462,'갤S7'사면 페이백 50만원 준다더니…제2의 거성 모바일 사태?,0
4465,케이블TV 가입자도 내년 1월부터 SKT 요금할인받는다,1
4467,"""가성비폰 전성시대"" 중가폰 시장서 선방",1
4514,"美 AT&T, 타임워너 인수…국내 통신·미디어社도 M&A 힘받는다",1
4559,"신경민 의원 ""이통사, 유심(USIM) 독점 판매 못한다""",-1
4562,갤노트7 가입자 50만명 교환 시작…번호이동도 자유,0
4593,"SKT, 2030 대상 '밴드YT 요금제' 출시…""대학내·출퇴근시 데이터 무제한""",1
4657,"SKT, AI 아이디어 모은다…'누구나 주식회사' 설립",1
4671,"갤럭시노트7, 싱가포르서 교환 시작…韓·美서도 잇따라(종합)",0
4752,"추억의 모바일 주소 'WINC', 연말 완전 종료",0
4766,불볕더위에도 50명 넘게 줄서… 갤노트7 출시 뜨거운 열기,0
4770,'이통사의 객단가' ARPU 논쟁,-1
4778,"[포토]SK텔레콤-인텔, IoT 기기에 실시간 통신 기술 심는다",1
4792,"SKT 킬러서비스, 전국민에 푼다",1
4844,"범정부 '지능정보사회추진단' 설립…""AI 사회 밑그림 그린다""",0
4902,"""O2O 배달원 맞나? 문 열기 전 T전화가 알려준다""",1
4916,"""소명 기한 너무 짧다""…SKT·CJ헬로비전, 공정위에 연장 요청",-1
4919,"퇴직공직자 취업 제한 기업에 현직 공무원이 근무…""민간근무휴직제도 아이러니""",0
4940,"공정위의 SKT-CJ헬로비전 M&A 심사보고서, 그 내용은?",0
4941,"공정위, 217일만에 SKT-CJ헬로비전 합병 심사 완료(종합)",1
4944,"SK텔레콤, 국내 최초 IoT 전국망 구축…""ICT 분야의 변곡점""(일문일답)",1
4954,"SK텔레콤, 30만원대 '갤럭시 와이드' 단독 출시",1
4966,"SKT, 동반성장지수 평가서 4년 연속 최우수등급",1
4973,[MWC 상하이 2016]亞 최대 모바일 박람회 개막…KT·SKT 참가 스타트업 지원,1
5008,비콘 가장 많이 설치한 업종은 '편의점',0
5044,iCloud 스미싱 국내 유포…'애플 계정 만료' 미끼로 ID·패스워드 탈취,0
5063,"SKB 옥수수, 실시간 방송 전송시간 3초로 단축",0
5086,[르포]잠잠한 '아이폰SE'…오히려 '갤럭시S7'이 대란,0
5099,"최태원 SK회장, 에너지·화학·신에너지로 ‘중동 공략’",0
5143,이통3사 성장 정체기 '신사업 찾기',0
5177,방통위도 'SKT-CJ헬로비전 M&A' 간담회 연다,0
5179,SKT 이동형 ICT 체험관 ‘티움(T.um) 모바일’ 전북 완주 방문,1
5198,[여소야대 후폭풍]CJ헬로비전 M&A어디로…SKT '긴장' KT·LGU+ '느긋',-1
5201,네이버 앱스토어·원스토어 통합 앱마켓 6월 출시,0
5239,2월 이동전화 '번호이동 줄고 신규가입 늘어',1
5240,"""전화 바꾸면 인터넷 무료""…공짜 마케팅 사라진다(종합)",0
5256,"KT, 올해 악재 찾기 어려워 '실적 호전 전망'",0
5267,"SKT, 롯데백화점과 ICT기반 스마트백화점 구축 추진",1
5313,"올해 주파수 경매, 예상보다 비용 높을수도",-1
5346,"이동통신3사, 내일부터 '갤럭시S7' 체험 공간 운영",0
5365,"CJHV·SKB 합병안 통과, 정부 승인이 관건(종합)",0
5389,"[MWC2016]장동현 SKT 사장, 글로벌 IT업체와 협력 진두지휘",1
5415,"SK텔레콤, 앱 개발검증 서비스 '엠앱체크' 출시",1
5419,"방통위, 이통사 직영점 편법 지원 실태조사 착수",0
5430,"2.1GHz 주파수 경매, 반전포인트…재할당대가",0
5463,"[컨콜]SKT ""SK플래닛, 커머스 1위 위해 과감한 투자할 것""",1
5505,스마트폰 ‘홍미3’ 1시간만에 완판 “다이소에서 대박났소”,1
5547,미리보는 통신사3사 4분기 실적은,0
5558,"SKT, 삼성페이 탑재한 A5·A7 출시",1
5605,보안사업 확 키우는 SK텔레콤,1
5639,[실감현장]이통시장 토론회…학자들은 들러리?,0
5662,"취임 3년차 황창규 KT 회장, 대규모 물갈이 인사 단행",0
5688,"미래부, SKT LTE 주파수 20㎒ 회수해 경매키로",-1
5706,3사3색 'VoLTE'…통화 중 사진보고 음질은 HD급,0
5712,아이폰6s 출시 후에도 아이폰6 콧대 높은 이유는,0
5747,세계 최초 '점자 스마트워치' 내년 한국서 나온다,0
5786,"최태원 회장, 28일 제주도서 2박3일간 합숙…2016년 새판짜기 나서",0
5792,美 최대 이통사도 '와이파이콜링' 도입…한국은 '외면',-1
5816,아이폰6s 출격 D-1…출고가 인하 카드까지 '만지작',,,,0
5844,"韓 스마트로봇, 코스타리카 수학 교사된다",0
5848,"""내 번호 넘겨줄게"" 개인간 폰 명의변경 금지된다",0
5851,'특혜영업·다단계 판매'…LGU+에 먼저 온 겨울,0
5864,애플 아이폰6S·6S플러스 23일 출시 예정…예약 판매는 언제부터?,0
5874,"'반려 동물의 모든 것'…SKT, '펫트윈' 베타 공개",1
