,Title,Date,Category
0,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
1,"신세계인터내셔날, '자주' 사업부문 이석구 신임 대표이사 선임",2020.07.31,3
2,런닝머신에 마사지기까지···'홈족'에 달라진 신세계百,2020.06.28,3
3,"HDC신라면세점, 면세재고 판매 동참(종합)",2020.06.24,3
4,"[단독] HDC신라면세점, 면세재고 판매 동참",2020.06.24,3
5,"신세계, 2차 면세재고 판매…한시간 만에 20% 품절",2020.06.22,3
6,"면세3社, 이번주에만 440억 재고 방출…페라가모·지미추 최대 60%↓",2020.06.22,3
7,'면세 재고품' 프라다·몽클레르 등 30~50%↓…끌로에·토리버치도,2020.06.19,3
8,"면세업계 1,2위 롯데·신라, 내주 '수백억' 면세재고품 푼다",2020.06.19,3
9,'판매율 93%' 스타트 끊은 신세계免…롯데·신라에 바통,2020.06.04,3
10,"에스아이빌리지, 면세재고 '완판' 눈앞…판매율 90% 돌파",2020.06.03,3
11,"면세 재고, SSG닷컴서도 판매…펜디·지방시 최대 47%↓(종합)",2020.06.03,3
12,"'면세 재고 판매' SI빌리지, 1분만에 먹통(종합)",2020.06.03,3
13,오늘부터 면세재고 판매…발렌시아가·생로랑 최대 50%↓,2020.06.03,3
14,"'노마드 컨슈머' 잡기 나선 신세계百, 화장품 직접 만든다",2020.05.21,3
15,[단독]신세계인터의 날개 '비디비치'…中 쿠팡 '티몰 내수관'까지 뚫었다,2020.04.10,3
16,박재범의 BLAZED 신세계인터내셔날 드롭스(drps)와 협업 진행,2020.04.07,3
17,"신세계그룹, 코로나19 극복 위해  9000억원 규모 지원",2020.03.05,3
18,"[2020유통街, 열쇳말은 변화] 불황 파고 넘는 쥐띠 CEO들",2020.01.01,3
19,"내년 中 화장품, 두자릿수 성장세…K뷰티도 수출 호조 기대",2019.12.22,3
20,"신세계인터내셔날 자주, '깊은잠 토퍼 매트리스' 출시",2019.12.19,3
21,"스튜디오 톰보이, 가족·연인룩 '홀리데이 투게더' 컬렉션 출시",2019.12.18,3
22,"신세계TV쇼핑, 엠포리오 아르마니 남성 언더웨어 선보인다",2019.12.18,3
23,"""진짜보다 나은 가짜"" 맨온더분, 인조 스웨이드 아우터 컬렉션 출시",2019.12.17,3
24,"어그, 겨울 멋쟁이 '클래식 레볼루션' 부츠 컬렉션 출시",2019.12.11,3
25,"'K리빙의 힘' 신세계인터 자주, 베트남 호치민에 2호점 오픈",2019.12.10,3
26,"'패션·뷰티 쌍두마차' 신세계인터내셔날, 공식 온라인몰 월매출 100억 돌파",2019.12.06,3
27,"보브, 트랜스포머 아우터 'V플리스 컬렉션' 출시…섬세한 디테일",2019.12.03,3
28,"아워글래스, 2019 홀리데이 '고스트 컬렉션' 출시 기념 행사 성료",2019.12.02,3
29,"뷰티 편집숍 라페르바, 럭셔리 스킨케어 '이브롬 홀리데이 키트' 출시",2019.11.29,3
30,"폰타나 밀라노 1915, 버킷백 스타일 '갤러리 컬렉션' 출시",2019.11.28,3
31,"갭, 홀리데이 컬렉션 출시…따뜻한 후디부터 귀여운 모자·장갑까지",2019.11.27,3
32,"신세계인터내셔날 자주, 앱 다운로드시 풍성한 할인 혜택",2019.11.25,3
33,"남성복 코모도, 신상 아우터 할인판매…코트·점퍼 44% 저렴하게",2019.11.22,3
34,"보브, 패딩 컬렉션 'V에어' 영상 공개…하늘 나는 듯한 느낌",2019.11.18,3
35,광군제서 흥행한 K뷰티…파워셀러 웨이야와 손잡고 '완판' 물결(종합),2019.11.16,3
36,"디자인유나이티드, '홀리데이 한정판' 겨울왕국2·스누피 상품 출시",2019.11.15,3
37,"비디비치, 中광군제 하루새 화장품 15만개 완판에 27억 매출",2019.11.14,3
38,"키즈시장 고급화 물결…브루넬로 쿠치넬리, 아동 컬렉션 최초 론칭",2019.11.13,3
39,"[유통 핫피플]자주, 발열내의戰 참전…스포츠패션 출신 MD 내공 빛날까",2019.11.08,3
40,"신세계인터 '자주', 첫 발열내의 '자주온' 출시",2019.11.06,3
41,"신세계인터, V커머스 채널 진출 본격화…'먼데이박스' 론칭",2019.11.04,3
42,"신세계인터내셔날 ""대한민국 쓱데이 단 하루, 파격 쇼핑 찬스""",2019.10.31,3
43,"아워글래스, 빛나는 연말용 홀리데이 한정판 '고스트 컬렉션' 출시",2019.10.30,3
44,"신세계인터내셔날, 국내 최초 드롭방식 적용한 '드롭스' 론칭",2019.10.25,3
45,"바이레도, '인도의 이국적 감성' 레어 버드 핸드백 컬렉션 출시",2019.10.24,3
46,"센존, 새 디자인 수장에 조 터너…2020FW 첫 컬렉션 공개",2019.10.23,3
47,"신세계인터내셔날 네츄라비세, 압구정 갤러리아에 첫 단독 매장",2019.10.21,3
48,"[포토뉴스]비디비치, 고혹적 무드의 '가을 뉴트럴 메이크업' 시연회",2019.10.18,3
49,"비디비치, 럭셔리 뷰티 아티스트 노하우 담은 '톡식 더 뮤트 컬렉션' 출시",2019.10.17,3
50,'자연스럽되 더 예쁘게' 내츄럴립 인기에…플럼핑 짝꿍도 인기↑,2019.10.16,3
51,"신세계인터내셔날 온라인 편집숍, 10개월새 입점 브랜드 100개 돌파",2019.10.16,3
52,"끌로에, '피겨 여왕' 김연아 에디션 출시…순수한 매력의 화이트 백",2019.10.10,3
53,"디자인유나이티드, 인류 달 착륙 50주년 기념 '스페이스 컬렉션' 출시",2019.10.08,3
54,"프랑스 프리미엄 아동복 쁘띠 바또, 국내 판매가 최대 30% 인하",2019.10.07,3
55,"스튜디오 톰보이, 맨즈라인 팝업 스토어 오픈…연내 16개 매장 오픈",2019.10.02,3
