,Title,Date,Category
0,"[단독]김대호, 과거에도 전·현직 대통령 언급 글에서 ""모진 년놈"" 막말",2020.04.08,2
1,"'막말 꼬리자르기'에 밀려난 김대호…""재심 청구하겠다""",2020.04.08,2
2,"김대호 누구? 학생운동·민주당→보수…""쌍용차 복직 판결 잘못"" 주장도",2020.04.08,2
3,"민주당 ""쌍용차, 해고자 부서 배치 사회적 약속 지켜라""",2020.01.08,2
4,"이인영 ""CES서 한국기업 박수갈채…'데이터3법' 통과해 날개달아줘야""",2020.01.08,2
5,"진중권 ""조국, 도덕성에 문제 있는 건 분명…하지만 검찰개혁 최적격자""",2019.09.29,2
6,4월 車 '생산·수출' 늘고 '내수' 줄고…쌍용車 생산 29.3%↑,2019.05.16,2
7,"[전문]나경원 ""경제 위기 극복 위해 '초당적 원탁회의' 열자""",2019.03.12,2
8,"나경원 ""한국 빠진 북미 종전선언 인정 못해""",2019.02.26,2
9,'통상산업포럼' 제1차 회의 개최…매월 정례화·소통 강화,2019.01.23,2
10,11월 車 내수↓ 수출·생산↑…수소·전기 등 친환경차 약진,2018.12.13,2
11,"文대통령 ""쌍용차 해고자 전원 복직 환영""",2018.09.15,2
12,민주당 “쌍용차 해고자 복직 환영…모든 지원 다할 것”,2018.09.14,2
13,이정미 “쌍용차 해고자 복직 환영…국가손해배상금 ‘17억’도 철회돼야”,2018.09.14,2
14,"정동영 ""10년만에 주신 기회…약자 위한 현장으로 갈 것""",2018.08.05,2
15,쌍용차 해고자 복직 문제 꺼낸 文 대통령…'노사정 대화체' 복구 위한 포석,2018.07.11,2
16,"마힌드라 회장 ""3~4년 이내에 1조3000억원 투자""",2018.07.11,2
17,"문 대통령 ""기업 경영 활동 적극 지원""…한·인도 기업인들과 만나",2018.07.10,2
18,"문 대통령 ""쌍용차 해고자에 관심을""…마힌드라 ""잘 풀어나갈 것""",2018.07.10,2
19,"문 대통령, 오늘 모디 인도 총리와 정상회담",2018.07.10,2
20,"문 대통령, 오늘 인도·싱가포르 국빈 방문…삼성전자 공장 방문",2018.07.08,2
21,"백운규 장관, 新남방지역 인도 방문…경협증진 방안·기업진출 활로 모색",2018.02.28,2
22,‘법관 블랙리스트’ 사실로 확인... 특정 법관 주기적 감시(종합),2018.01.22,2
