,Title,Date,Category
0,,,2.0
1,"공정위, 아모레G 제재…""계열사 코스비전 공장신축자금 부당지원""",2020.04.06,3.0
2,"[특징주]아모레퍼시픽·아모레G, 1Q 실적 부진 소식…동반 약세",2017.04.25,3.0
3,"[클릭 e종목]""아모레G, 1Q 실적 예상치 하회…이니스프리도 성장률 둔화""",2017.04.25,3.0
4,"""中 관광객 감소 2분기 피크…이후 점진적 완화 전망""",2017.04.07,3.0
5,"[中 사드 몽니]""정부도 못하는데 일개 기업이 뭘 할 수 있겠나""",2017.03.07,3.0
6,"[中 사드 몽니]방한 요우커 최대 60%↓…화장품업계, 국내외 사업 '흔들'",2017.03.06,3.0
7,연초부터 몰아치는 공매도 바람,2017.02.10,3.0
8,"4분기부터 방한 요우커 증가속도 완만 …화장품업계, 내년 성장률 변수 '해외사업'",2016.10.06,3.0
9,화장품 '내수산업'서 '수출산업'으로…국내 성장 5% 불과,2015.04.14,3.0
10,"1분기 잘나간 중소펀드들, '트렌드' 보는 눈 달랐다",2015.04.03,3.0
11,"'사드 눈물' 아모레, 서경배 해외 개척 통했다…영업익 30% 증가(종합)",2018.07.26,4.0
12,1분기 주요 화장품사 실적 19% 감소 전망…LG생건·코스맥스는 증가,2018.04.05,4.0
13,"사드로 눈물흘린 아모레퍼시픽, 성과급 '제로'",2018.01.30,4.0
14,"K-뷰티, 작년 4분기 실적도 부진 전망…지표는 개선세",2018.01.14,4.0
15,"아모레G, 클레비엘 파마리서치프로덕트에 매각",2018.01.11,4.0
16,'엎치락뒤치락' 주식부자…서경배·이재용 2위 다툼,2018.01.11,4.0
17,"다음주 상반기 실적 발표하는 화장품업계 ""사드로 사상 최악 전망""",2017.07.21,4.0
18,"성적표 안받으면 안될까…K-뷰티, 올 2분기 최악의 실적 전망",2017.07.06,4.0
19,"""아모레ㆍLG생활건강, 올해 1분기 실적 소폭 신장에 그칠 듯""",2017.04.10,4.0
20,"""中 관광객 감소 2분기 피크…이후 점진적 완화 전망""",2017.04.07,4.0
21,"[中 사드 몽니]""정부도 못하는데 일개 기업이 뭘 할 수 있겠나""",2017.03.07,4.0
22,"[中 사드 몽니]방한 요우커 최대 60%↓…화장품업계, 국내외 사업 '흔들'",2017.03.06,4.0
23,"4분기부터 방한 요우커 증가속도 완만 …화장품업계, 내년 성장률 변수 '해외사업'",2016.10.06,4.0
24,중국서 韓생활용품도 통했다…일본 제치고 첫 1위,2016.04.11,4.0
25,"아모레G, 해외사업 호조…에뛰드·에스쁘아는 '체질개선中'",2015.10.30,4.0
26,"""메르스 여파 없었다""…아모레G, 2분기 '깜짝실적'",2015.08.13,4.0
27,"아모레G, 2분기 영업익 2436억…전년比 41%↑",2015.08.13,4.0
28,화장품 '내수산업'서 '수출산업'으로…국내 성장 5% 불과,2015.04.14,4.0
29,"아모레G·아모레퍼시픽, 정기주총서 주식분할 승인",2015.03.20,4.0
30,"아모레G 계열사 태평양제약, 에스트라로 사명 변경",2015.03.09,4.0
31,"""주주가치 높이겠다"" 아모레퍼시픽·아모레G 액면 분할 결정",2015.03.03,4.0
32,"아모레G, 사상최대 실적…외국인·면세점의 '힘'(종합)",2015.02.03,4.0
33,"황제·귀족株 올 한해 성적보니…""이름값 못하네""",2014.12.15,4.0
34,"서경배 아모레 회장, '세계 200대 부자' 첫 등극",2014.11.07,4.0
35,"아모레퍼시픽그룹, 2분기 영업익 362억원…전년대비 67%↓",2020.07.31,5.0
36,"7월 1일 코스피, 1.63p 내린 2106.70 마감(0.08%↓)",2020.07.01,5.0
37,오래 기다렸습니다. 中 한한령 해제! 화장품 일제히 급등!!,2020.07.01,5.0
38,또 빗나간 '매수' 추천…절반 이상이 뚝,2020.06.22,5.0
39,"아모레퍼시픽그룹, 강남 1600억원 규모 빌딩 처분 결정",2020.02.26,5.0
40,약세장에 대응할 핵심 주도주는?,2020.02.22,5.0
41,"2월 5일 코스피, 7.73p 오른 2165.63 마감(0.36%↑)",2020.02.05,5.0
42,한중일 정상회의에 들썩이는 中 소비재주,2019.12.23,5.0
43,"세계 시총 1위 애플, 무형자산 '제로'?…숨겨진 가치 '1조900억달러'",2019.11.17,5.0
44,[굿모닝 증시]서서히 나타나는 경기 반등 기대감…코스피 더 갈까?,2019.11.13,5.0
45,"카카오 김범수, 올해 주식재산 증가율 1위",2019.11.03,5.0
46,"10월 30일 코스피, 12.42p 내린 2080.27 마감(0.59%↓)",2019.10.30,5.0
47,"10월 11일 코스피, 16.46p 오른 2044.61 마감(0.81%↑)",2019.10.11,5.0
48,아모레G 2000억 유상증자… 승계 포석?,2019.10.11,5.0
49,"아모레퍼시픽그룹, 2000억원 유증..자회사 주식 취득",2019.10.10,5.0
50,"배당의 계절이 왔다, 우선株 담는 기관들",2019.10.10,5.0
51,"화장품株, 바닥 쳤나 ""면세점·중국 수출 회복세""",2019.09.13,5.0
52,[e공시 눈에 띄네]코스피-4일,2019.09.05,5.0
53,"코스피·코스닥, 외인과 기관 매수로 1%이상 상승",2019.08.30,5.0
