,Title,Date,Category
0,,,2.0
1,이누스 필터 샤워헤드 '워터퓨' 출시,2020.04.09,3.0
2,"이누스 ""최대 128만원 상당 할인""…'욕실의 완성' 이벤트",2020.04.03,3.0
3,우리집 욕실에도 봄이 왔어요…리모델링 패키지 '블랑캐슬',2020.03.26,3.0
4,'이누스몰 꿈의 욕실' 이벤트…최대 15% 할인,2020.03.11,3.0
5,"이누스몰, '하루특가' 서비스 론칭…""최대 75% 할인판매""",2020.02.25,3.0
6,"이누스, '욕실리모델링 패키지' 15% 할인 이벤트",2020.01.08,3.0
7,"이누스바스, 욕실리모델링 패키지 2종 출시",2019.12.04,3.0
8,"이누스, 리모델링 세트 최대 30% 할인 이벤트",2019.11.28,3.0
9,"이누스 '화장실 리모델링' 캠페인…""1000만원 상당 개보수 지원""",2019.11.07,3.0
10,'이누스바스' 100호점 돌파…욕실리모델링 프로모션,2019.10.01,3.0
11,"청약·전매 부담 낮은 지방 비조정지역, 다음달 1만7000여 가구 분양",2019.09.28,3.0
12,"이누스바스, 욕실제품 최대 41% 할인 이벤트",2019.09.03,3.0
13,부산은행 W스퀘어점 개점,2019.09.02,3.0
14,"이누스바스, 광복절 기념 '욕실리모델링' 할인행사",2019.08.14,3.0
15,"이누스바스, 욕실리모델링 패키지 10% 할인 이벤트",2019.07.09,3.0
16,건설사가 입주자 모르게 '샘플하우스'로 사용…불공정약관 시정,2019.04.30,3.0
17,이누스몰 '전지적 쇼핑시점' 이벤트…최대 34% 할인,2019.04.11,3.0
18,대구 새 아파트 분양 완판행렬…오피스텔도 잇단 분양,2019.03.10,3.0
19,'이누스바스' 200만원대 욕실시공…GS홈쇼핑 전용 패키지 3종,2019.01.31,3.0
20,"이누스, 직수형 방식 신제품 비데 2종 출시",2018.11.20,3.0
21,"이누스바스 '센트럴브릭' 출시…""도시적 욕실 분위기""",2018.11.15,3.0
22,"이누스, '진공블렌더' 신제품 첫 해외 전시…중국 '캔톤페어' 참가",2018.10.16,3.0
23,"'이누스바스' 스마트욕실 출시 이벤트…""IoT 무료 업그레이드 혜택""",2018.07.25,3.0
24,남양주 다산신도시 하반기 8331가구 분양,2016.06.17,3.0
25,"아이에스동서, 삼홍테크 흡수합병 ""소비재 경쟁력 강화""",2016.04.05,3.0
26,"아이에스동서 ""생활의 트렌드를 타일에 입히다""",2016.03.29,3.0
27,"아이에스동서, 이누스 모델에 배우 임시완 발탁",2016.03.15,3.0
28,"아이에스동서, 삼홍테크 흡수합병",2016.01.27,3.0
29,인천 송도·경기 고양에 '저렴이 아파트' 뜬다,2015.10.06,3.0
30,인천 경제자유구역에 아파트 분양 잇따라,2015.10.04,3.0
31,추석연휴에 견본주택 구경하고 축제도 즐기고,2015.09.26,3.0
32,"중견 건설사 5인방, 하반기 분양 시장도 승승장구",2015.08.08,3.0
33,"BNK금융, 'BNK행복한 공부방 만들기' 실시",2015.08.06,3.0
34,"[골드메이커]조정장세, 가치투자자가 주목하는 종목은?",2015.07.22,3.0
35,소형보다 넓고 중형보단 저렴…'틈새평형' 습격사건,2015.05.27,3.0
36,"아파트 '완판' 시대, 청약당첨 3일만에 100% 계약",2015.04.20,3.0
37,"""금리인하 호재까지""…오늘 문여는 견본주택 어디?",2015.03.13,3.0
38,봄 바람 타고 아파트 분양물량 쏟아진다,2015.02.22,3.0
39,설 지나면 수도권 분양 줄줄이,2015.02.17,3.0
