,Title,Date,Category
0,"文대통령 ""구미산단 연대와 협력, 코로나19 극복 모범사례""",2020.04.01,2
1,"'46억 배임' 유섬나…檢, 5억원대 조세포탈 혐의도 수사",2017.06.20,2
2,"朴대통령 ""일자리 하나라도 더 만드는 기업이 애국기업""(종합)",2016.03.17,2
3,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
4,"朴대통령, 일자리 많이 만든 기업 100곳에 인증패 수여",2016.03.17,2
5,"SL홀딩스, 천안시복지재단에 후원금 전달… “기부문화 긍정적인 효과 전파되길”",2020.07.17,3
6,"킹콩부대찌개, 다양한 창업지원으로 창업 시장 활기 되찾아",2020.06.26,3
7,"SL홀딩스, BGF리테일과 전략적 파트너십 업무협약 체결",2020.05.25,3
8,"소비자원 ""전동휠체어 6개 제품 시험결과, 1개만 배터리 성능 '우수'""",2020.02.19,3
9,연평균 30% 성장…'기회의 땅' 베트남으로 몰리는 韓 프랜차이즈,2020.01.22,3
10,"킹콩부대찌개, 베트남 북부 마스터프랜차이즈 체결…하노이 1호점 오픈 준비",2019.12.18,3
11,"기보, '2019 스타 벤처기업' 11개 선정",2019.06.26,3
12,"킹콩부대찌개, 캠핑세트 메뉴 출시 기념 체험단 이벤트 진행",2018.08.30,3
13,"한엔터와 에스엘알렌트, 포비디지털을 통해 소니베니스 입고",2018.03.28,3
14,文인사에 미소짓는 대기업 협력사,2017.05.22,3
15,"바이오일레븐, ‘브이에스엘3 베이비 드롭’ 출시",2016.12.15,3
16,"바이오일레븐, ‘브이에스엘3’ 앱 출시 기념 이벤트",2016.09.05,3
17,"바이오일레븐, '브이에스엘3' 추석 선물세트 출시",2016.08.29,3
18,"김석진좋은균연구소, ‘아기똥분석 프로그램’ 론칭",2016.08.09,3
19,내 몸에 필요한 기능 인증 받은 '개별인정 건기식' 주목,2016.04.23,3
20,환절기 각종 질병으로부터 몸 보호해줄 건강식품 인기,2016.04.16,3
21,소화기관 전체 도움 주는 '프로바이오틱스 유산균' 제품 인기,2016.03.27,3
22,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,3
23,"바이오일레븐, 브이에스엘 멤버십 프로그램 론칭",2016.03.16,3
24,프로바이오틱스 시장 선점 위한 거센 열풍,2016.02.20,3
25,"바이오일레븐, 전속모델 탤런트 박은혜 발탁",2016.02.12,3
26,"[기업 자금조달]두산建, '공사 매출채권 유동화' 외길",2020.06.22,4
27,"무협, B2B·B2C 온라인 수출플랫폼으로 코로나19 극복한다",2020.03.16,4
28,"무협, '빅 바이어 화상 상담회' 개최",2020.03.11,4
29,"아디다스, 초경량 쿠셔닝 러닝화 ‘SL20’ 출시",2020.03.09,4
30,"한경연, 20년 이상 무분규 기업의 공통점은 '신뢰·소통·상생'",2019.12.18,4
31,"비에스엘, 스마트 보청기 '비욘드솔' 11월 출시",2019.10.17,4
32,"코오롱생명과학, CMO 첫 도전…에스엘바이젠과 임상시료 위탁생산",2019.09.30,4
33,"한국GM, 우수 협력사 초청 상생 협력 결의",2019.07.25,4
34,"기보, '2019 스타 벤처기업' 11개 선정",2019.06.26,4
35,"""상장사 25% 이익 줄었는데 대기업 법인세 42% 늘었다""",2019.04.17,4
36,'에스엘-에스엘라이팅 합병' 3세 오너 지배력 확대 포석,2018.12.19,4
37,中 수요 급감에 현대기아차 동반진출 부품사 '위기',2018.12.01,4
38,"美, 한국산 철강제품 '품목 예외' 첫 승인…""희망적이나 기대는 금물""",2018.09.20,4
39,자동차부품사 2Q 실적 반등…하반기엔 '먹구름',2018.08.19,4
40,한국GM 부도 공포에 떠는 협력사들 눈물의 호소,2018.04.17,4
41,"동국제강, 협력사와 공정거래 협약…'상생경영' 강화",2017.10.26,4
42,"바이오일레븐, '브이에스엘→드시모네'로 새롭게 론칭",2017.08.01,4
43,"현대기아차, '2017 상반기 R&D 테크데이' 개최",2017.06.14,4
44,"바이오일레븐, ‘브이에스엘3 베이비 드롭’ 출시",2016.12.15,4
45,'국내 최대' 전자산업대전 개최…수출 기대,2016.10.26,4
46,"소포장ㆍ균일가 통했네…롯데마켓999, 인기몰이",2016.10.07,4
47,"바이오일레븐, ‘브이에스엘3’ 앱 출시 기념 이벤트",2016.09.05,4
48,"바이오일레븐, '브이에스엘3' 추석 선물세트 출시",2016.08.29,4
49,"김석진좋은균연구소, ‘아기똥분석 프로그램’ 론칭",2016.08.09,4
50,"시스트란, 2018년 韓·美 동시 상장 추진",2016.06.22,4
51,내 몸에 필요한 기능 인증 받은 '개별인정 건기식' 주목,2016.04.23,4
52,환절기 각종 질병으로부터 몸 보호해줄 건강식품 인기,2016.04.16,4
53,소화기관 전체 도움 주는 '프로바이오틱스 유산균' 제품 인기,2016.03.27,4
54,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,4
55,"바이오일레븐, 브이에스엘 멤버십 프로그램 론칭",2016.03.16,4
56,프로바이오틱스 시장 선점 위한 거센 열풍,2016.02.20,4
