,Title,Date,Category
0,커지는 脫원전 반대 목소리…33만명 돌파·21일 청와대에 공식 제출,2019.01.20,2
1,"'특감반 민간사찰 의혹' 압수수색…靑 ""성실히 협조, PC 제출""(종합)",2018.12.26,2
2,"'가지 않을 수 없던 길' 외친 도종환, 블랙리스트 추가 징계하나?",2018.11.11,2
3,품절과 추방 사이…태영호 증언록 둘러싼 '엇갈린 반응',2018.05.18,2
4,"대기업집단 3곳중 2곳, 오너家가 비상장 계열사 주식 20%이상 소유",2018.05.13,2
5,"""애들 방학했는데""…서울에서 '힐링 휴가' 즐기는 4가지 방법",2017.07.23,2
6,"김재수 장관 ""다양한 쌀 가공제품 수출 확대""",2017.04.05,2
7,"전농 ""쌀 값 20년 전 가격으로 대폭락""",2016.09.21,2
8,'사망률 4배' 역주행사고 위험도로 60곳 개선 마무리,2016.07.25,2
9,총수있는 대기업 내부지분율 55.2%,2015.06.30,2
10,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
11,"[4월 1주 수도권] 서초 신반포(한신23차), 통합 재건축 추진으로 매수문의 ↑",2015.04.03,2
12,"[2014국감]환노위, 현대차 사장 등 증인채택 합의",2014.10.16,2
13,"총수일가, 3.6%로 그룹 '주물럭'…""공익법인·해외계열사 우회출자 우려""",2020.08.31,3
14,"삼양식품, 국제 안전보건환경 통합 경영시스템 인증 획득",2020.07.27,3
15,"해수부, 올해 해양산업 수요기반 기술개발사업 대상 선정…기업당 총 10억원 지원",2020.05.18,3
16,"한수원, 33개 중소기업 생산성향상 지원…""올해 18억원 투입""",2020.05.12,3
17,통일교 한학자 총재 자서전 영풍문고 ‘평화의 어머니’ 베스트셀러에 올라,2020.04.08,3
18,공연기획·예술경영을 위한 입문서 ‘예술이 밥먹여 준다면’ 출간,2020.02.17,3
19,미디어SR ‘2019 대한민국 공익법인 백서’ 발간..국내 최일선 기업 공익법인 활동 현황 담겨,2020.01.03,3
20,"이상미디랩, “그거 봤어? ? 밀레니얼을 열광시킨 콘텐츠의 힘” 에세이 출간",2019.12.19,3
21,"총수일가, 4%미만 지분으로 전체 그룹 지배",2019.09.05,3
22,"롯데건설, 송파구 거여동에 '송파 시그니처 롯데캐슬' 분양",2019.08.05,3
23,"코엑스몰, '별마당' 담은 머그컵·에코백 선보인다",2019.06.21,3
24,"김상조 ""일감 몰아주기·불공정 하도급 거래, 더이상 용납 안 돼""",2019.05.23,3
25,"김상조, 23일 한진·카카오 등 15개 그룹 CEO 만난다",2019.05.20,3
26,文정부 부동산 공시가 '핀셋 폭격'…참여정부 '종부세 트라우마' 벗어날까(종합),2019.02.13,3
27,참여정부와 다른 文정부 공시가 '핀셋 폭격'…종부세 트라우마 벗나,2019.02.13,3
28,커지는 脫원전 반대 목소리…33만명 돌파·21일 청와대에 공식 제출,2019.01.20,3
29,우리동네 랜드마크…'위례 맞춤형' 스타필드 시티 첫선(종합),2018.12.13,3
30,"'스타필드 시티' 위례점, 14일 프리오픈",2018.12.13,3
31,"네파, ‘레인트리캠페인’으로 2018 대한민국 광고대상 3개 부문 수상",2018.11.25,3
32,"AIA생명 ""운동하고 보험료 할인 받으세요""",2018.08.23,3
33,[김종화의 Aging스토리]보험사 망하면…내 보험은?,2018.07.26,3
34,"대기업집단 3곳중 2곳, 오너家가 비상장 계열사 주식 20%이상 소유",2018.05.13,3
35,"재벌 순환출자, 거의 다 해소됐다…5년새 9만7658개→41개",2018.04.24,3
36,"영풍, 인터플렉스에 142억 출자",2017.12.01,3
37,추석연휴 D턴족은 어디로 갈까…복합쇼핑몰은 문 연다,2017.09.30,3
38,"어스본, 초등 사회 교과 과정 연계한 『Big book 세계 그림 지도』 출간",2017.09.12,3
39,[르포]스타필드 고양에 쏟아부은 '신세계의 모든 것'…첫 날 부터 인산인해,2017.08.17,3
40,"""애들 방학했는데""…서울에서 '힐링 휴가' 즐기는 4가지 방법",2017.07.23,3
41,"[포토]신세계, 상생 채용박람회 개최",2017.05.31,3
42,2000년 이후 30대 그룹 판도변화 극심,2017.05.31,3
43,"G마켓, 온라인 서점 다 모았다…알라딘 공식 입점",2017.05.26,3
44,"김재수 장관 ""다양한 쌀 가공제품 수출 확대""",2017.04.05,3
45,"30대그룹, 지난해 투자 13조원↓",2017.04.04,3
46,감사위원 분리 선출 시 대기업 3곳 중 1곳 해외 기관투자가 영향권,2017.03.29,3
47,"해커스잡, '건강보험공단 단기완성반' 오픈",2017.03.28,3
48,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
49,'새출발' 유안타저축銀 그룹시너지 올인,2017.02.15,3
50,"정영석 유안타저축銀 대표 ""유안타금융그룹과 시너지 낼 것""",2017.02.15,3
51,"500대 기업, 동일 회계법인 붙박이 감사…평균 6.8년",2017.01.25,3
52,대기업집단 계열사 1128개..한 달 새 1곳 늘어,2016.12.30,3
53,"[2016년 산업계 10대 뉴스]눈물과 몰락, 사과와 해체…大격랑의 한해(종합)",2016.12.24,3
54,재벌 총수일가 '책임경영' 갈수록 후퇴..등기이사 등재비율 '뚝뚝',2016.12.22,3
55,"신협, ‘씨유 빅(CU big)청춘’ 체크카드 출시",2016.11.08,3
56,"전농 ""쌀 값 20년 전 가격으로 대폭락""",2016.09.21,3
57,"미래에셋생명, PCA생명 인수전 참여",2016.09.09,3
58,"미래에셋생명, PCA생명 인수 추진",2016.08.03,3
59,"재벌 총수, 개인지분 줄었지만 계열사 영향력 여전",2016.07.07,3
60,[일본 新 소비시장을 가다]요리책 옆에 식재료 코너…츠타야 서점의 유통혁명,2016.05.25,3
61,"몰스킨, 18개월 다이어리 23종 출시",2016.05.03,3
62,"블루투스 스피커 R50, 헤롯百 입점 기념 특별 할인",2016.03.14,3
63,중국 광대은행 서울지점 4월부터 영업 시작,2016.03.08,3
64,"IFC몰 ""밸런타인 몰링 데이트 어떠세요""",2016.02.11,3
65,"영풍제지, 지난해 적자전환…21억원 영업손실",2016.01.28,3
66,"공정위, OCI·동부 등 6개 그룹 '내부거래' 공시의무 위반 적발",2015.12.22,3
67,"에스티앤북스 '해동한국사', 높은 문제적중률로 주목",2015.09.02,3
68,"""30대그룹 상장사, 실적 줄어도 인건비는 매년 올라""",2015.05.26,3
69,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,3
70,"영풍제지, 지난해 영업이익 8.6억…전년比 75% ↓",2015.01.26,3
71,기업소득 환류세제 稅收 4년간 최대 2.9조…대기업 5곳이 30%부담,2014.12.05,3
72,"해커스토익, 올 여름방학에도 토익 교재 독보적 1위",2014.09.03,3
73,"곧 수능 D-100일…모닝글로리, 스터디 플래너 14종 출시",2020.08.24,4
74,수해 피해 지원 관심도 '이재용 부회장' 최다…'최태원·구광모 순,2020.08.16,4
75,대기업 정규직 증가율 1위는 한화그룹,2020.05.19,4
76,초중고 수업 '줌 음란물 폭격' 우려...정부 집중모니터링,2020.04.03,4
77,"별마당도서관, 대형 서가 담은 한정판 다이어리 출시",2019.11.29,4
78,"""대기업 진입 말라"" 서점업에 첫 장벽…중고차 매매업 등 우려 고조",2019.10.04,4
79,국내 오너 주식 지분 12%가 담보…최태원 SK 회장이 금액 1위,2019.10.02,4
80,"애플 ""한국 직원 500명, 일자리 창출 32만개""",2019.08.19,4
81,"아이마켓코리아, 우수협력사 초청 간담회 개최",2019.07.21,4
82,"日서 '中企복지' 배운 박영선, 한국형 지원시스템 띄운다",2019.05.21,4
83,"""중기벤처도 'K열풍' 올라타야""…일본으로 날아간 박영선",2019.05.19,4
84,"롯데멤버스 ""세븐일레븐과 손잡고 '제3인터넷전문은행' 도전""",2019.03.27,4
85,생계형 적합업종 시행 100일…11개 업종 신청,2019.03.25,4
86,"""'생계형 적합업종' 지정 전 확장않겠다"" 대형서점의 상생",2019.03.09,4
87,대한상의 조세위원회 위원장에 박진선 샘표식품 사장,2019.02.26,4
88,"넷마블문화재단, 장애인권 교육용 그림책 2종 출간",2019.02.15,4
89,커지는 脫원전 반대 목소리…33만명 돌파·21일 청와대에 공식 제출,2019.01.20,4
90,"文대통령 만난 재계 ""분위기 매우 좋았다…기업지원·규제완화 건의""",2019.01.15,4
91,"대한상의, ‘타운홀 미팅’ 참가 기업인 발표…이재용·정의선 포함",2019.01.14,4
92,"""알뜰폰 유심, 이젠 문구점서도""…모닝글로리, 업계 최초 판매",2018.12.02,4
93,그냥 걸어다녀서 할인 받은 통신비가 6억원,2018.11.01,4
94,'카카오페이 QR결제' 소상공인 가맹점 10만곳 돌파,2018.09.19,4
95,카카오페이 매장결제 제휴 확대…서점·영화관에서도 쓴다,2018.08.27,4
96,앱 다운받고 걸으면 6개월간 통신비 7만2000원 할인,2018.08.15,4
97,[재계 뉴웨이브]드라마와는 달라…겸손·소통·털털한 재벌가 3·4세,2018.08.07,4
98,[재계 뉴웨이브] 지배구조·상속·여론…'3大 난제' 뛰어넘기,2018.07.31,4
99,환경오염 걱정 없는 ‘재활용 우산 커버’ 어떠세요?,2018.06.26,4
100,[심나영의 몰(mall)상식 육아] 아이들의 '캐통령' 키즈카페…이름값 너무 비싸 깜놀,2018.06.12,4
