,Title,Date,Category
0,[재산공개] 재정과 경제 다루는 국회의원들의 ‘재테크 포인트’는…,2019.03.28,2
1,[국정교과서 논쟁②]유일한·이병철·정주영…창업 1세대 이름 올라,2016.11.29,2
2,"유한양행, 1975억 규모 군포공장 부지 처분 결정",2019.12.26,3
3,"""일본산 원료, 합작사 OUT""···소비자들 ""소신 지킨 애국 기업 찾아라""",2019.08.15,3
4,"블랙핑크 제니가 헤라 쏩니다…""역조공으로 브랜드 모델과 의리""",2019.08.07,3
5,일본 불매운동에 국산 토종 대체 상품 뜬다,2019.07.29,3
6,광고계도 손세이셔널…손흥민이 먹고 마시는 모든 '열정'을 즐기다(종합),2019.06.10,3
7,"""손세이셔널, 辛세이셔널""…유통가 손흥민 러브콜",2019.06.10,3
8,"G마켓, 유한양행·유한킴벌리와 '브랜드 게릴라마켓'",2019.03.18,3
9,"동작구, 중소기업육성기금 20억 융자 지원",2019.01.15,3
10,고려대 경제학과 신년회 14일 개최,2019.01.11,3
11,"유한양행, 446억원 규모 '에이즈치료제 원료의약품' 공급계약",2018.11.05,3
12,"대한상의, 상공의날 기념식 개최...현대제철·유한양행 금탑산업훈장 수훈",2018.03.21,3
13,제45회 상공의 날 기념식 개최…국가경제발전 기여 182명 포상,2018.03.21,3
14,"눈에 좋은 루테인, 제품마다 8배 가격 차이…""캡슐 1개당 163원에서 1333원까지""",2017.10.11,3
15,'서울도시건축비엔날레' 개막 이틀 앞으로,2017.08.31,3
16,한국야쿠르트·유한양행 등 59개사 '노사문화 우수기업' 선정,2017.07.04,3
17,"2016 보건산업 수출 11조9000억…""화장품이 효자!""",2017.06.29,3
18,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,2017.04.20,3
19,"[포토]농협, 상생 마케팅으로 사과 소비 촉진 나선다",2017.04.03,3
20,"메디큐어, '헤어살롱 No1 브랜드 기업' 위상을 높이다",2017.02.03,3
21,[인사]신한은행,2017.01.24,3
22,"[리셋코리아-200대 기업 설문조사]문재인, 경제대통령 가장 적합",2017.01.02,3
23,[리셋코리아-200대 기업 설문조사]올해 고용·투자 안 줄인다,2017.01.02,3
24,"""불안하다 불안해"" 화장품·제약주 던지는 외인",2016.11.03,3
25,"약사단체가 제약사들에 ""한약국과는 거래하지 마""..공정위 제재",2016.10.30,3
26,[中의 신성장굴기]돈풀고 기업사냥나선 中 vs 규제에 돈줄죄는 韓,2016.10.06,3
27,유한양행·동아제약 50년 역사 '사보' 유지,2016.09.09,3
28,에너지의날…전기 5분만 꺼도 화력발전소 1개 줄인다,2016.08.23,3
29,"한국무역협회, 창립 70주년 기념행사 개최",2016.07.17,3
30,"유한킴벌리, 13년 연속 '가장 존경받는 기업' 선정",2016.02.25,3
31,"세뱃돈, 여기에 묻어株…증권사들 '강추, 이 종목'",2016.02.05,3
32,[인사]신한금융지주·신한은행,2016.01.28,3
33,"국민연금, 지난해 제약·바이오주 집중 투자",2016.01.22,3
34,자율준수프로그램 인력 충원…제약사들 공정거래 강화,2016.01.15,3
35,[특징주]의약품업종 선방…유한양행 7.47% 상승,2016.01.15,3
36,"'中 쇼크' 하락장에…펀드매니저, 개별종목보다 '지수'에 베팅",2016.01.13,3
37,'안티에이징' 고민 끝…피부 속부터 촉촉하게!,2016.01.02,3
38,상장 제약사 시가총액 12% 감소…8조1666억원 규모,2015.12.16,3
39,女연봉이 더 오른 제약사 딱 '1곳'뿐,2015.12.01,3
40,[머니몬스터]내겐 칠성사이다가 '株님'이다,2015.07.09,3
