,Title,Date,Category
0,러시아 일대일 상담회서 2386억원 수출효과 거둬,2016.09.03,2
1,"朴대통령 ""노동개혁 흔들림 없이 추진할 것""",2016.01.28,2
2,"일양약품, 굿피플에 파스 2만 개 기부...대구 경북지역에 전달",2020.04.03,3
3,"고령화사회, 男건강 들여다보니…전립선치료제 시장 비대해져",2016.02.21,3
4,한미약품 학습효과…제약·바이오주 고공행진,2016.01.14,3
5,[똑똑하게 여름나기] 홍삼 에너지…아이는 젤리·아빠는 스틱포,2020.06.19,4
6,'렘데시비르' 도입 계기로 코로나 치료제 가속도,2020.05.29,4
7,"정부 ""코로나19 치료제, 이르면 올해 말 출시""(종합)",2020.05.08,4
8,"일양약품 ""코로나19 치료 후보물질 발견""",2020.03.13,4
9,올해 '독감백신 전쟁' 막 올랐다,2019.09.18,4
10,[건강지킴이]유익균 늘리고 유해균 줄이고…장 건강에 탁월,2019.09.05,4
11,"제일약품그룹, '플라스틱 프리 챌린지' 동참",2019.09.02,4
12,[가족건강지킴이]자체 개발한 백혈병 치료제 처방 점점 확대,2019.06.20,4
13,"일양약품, '슈펙트' 파킨슨 치료제 후보물질로 유럽 임상 돌입",2019.03.27,4
14,"일양약품, 방글라데시에 독감백신 수출",2019.03.21,4
15,"일양약품 중국 합자기업 '양주일양', 현지 공장 신축",2019.03.18,4
16,"일양약품 ""올해 '놀텍' 멕시코 수출 실적 전년比 2배 이상 증가""",2019.03.11,4
17,"[제약·바이오 게임체인저⑩] ""소통 가로막는 사무실 칸막이 없애라""",2018.08.20,4
18,제약·바이오기업 내달 7일 채용박람회…50여곳 참여,2018.08.20,4
19,"일양약품 '심경락캡슐', 납 기준치 초과 검출…사용 중지·회수조치",2018.06.25,4
20,"[건강도우미]일양약품, 해양 보호 캠페인 포스터 콘테스트",2018.06.18,4
21,"일양약품 ""슈펙트, 기능적 완치 가능성 확인""",2018.06.14,4
22,"일양약품, 역류성식도염 신약 멕시코서 '혁신 의약품' 선정",2018.05.04,4
23,"대한민국 제약의 출발, 그 정신을 기리다",2018.04.20,4
24,"복지부, 리베이트 적발 11개 제약사 340개 약가 인하",2018.03.26,4
25,"일양약품, 백혈병약 '슈펙트' 中 임상3상 승인",2018.03.20,4
26,"일양약품, 멕시코에 '놀텍' 수출…중남미 시장 본격 공략",2018.03.13,4
27,"매출 덩치 키운 제약사, 실적은 '약골'",2018.03.05,4
28,"일양약품 '프리온질환 치료제 개발', 복지부 연구과제로 선정",2018.01.17,4
29,"일양약품 '슈펙트', 파킨슨병 치료 효과 확인",2017.07.26,4
30,"""판매금액 10% 펀딩기부, 벤치마킹해가면 좋겠어요""",2017.06.30,4
31,"미라클O2O, 물 없이 먹는 숙취해소제 '헛개리얼', '헛개비타' 출시",2017.06.14,4
32,경제허리 '알짜 일터' 집합…대기업 안부럽네,2017.05.25,4
33,"일양약품, 中서 백혈병 치료제 '슈펙트' 임상 3상 신청",2017.01.11,4
34,"일양약품, 대웅제약과 美 ASH서 '슈펙트' 임상3상 결과 발표",2016.12.06,4
35,애니팡 IP 제약사와 손잡다…'비타민팡' 출시,2016.11.21,4
36,'찬바람'에 독감백신 접종 개시…'4가 백신전쟁' 본격화,2016.09.23,4
37,"일양약품 백혈병 치료제 '슈펙트', 치료 효과 재입증",2016.09.20,4
38,"일양약품, 美 존스홉킨스大와 파킨슨 치료제 개발",2016.08.16,4
39,"일양약품, 멀미약 '보나링 츄어블정' 출시",2016.07.18,4
40,"일양약품, 메르스 치료제 개발 미래부 연구과제 선정",2016.07.11,4
41,작년 의약품 수출 22% 증가…토종신약 뒷심 발휘,2016.06.29,4
42,[여름을 부탁해]물 없이 바로 씹어먹는 멀미약,2016.06.24,4
