,Title,Date,Category
0,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
1,"신정·구정, 감사한 분들에게 보내는 선물 미리 준비하세요",2018.12.30,2
2,"공직자윤리위, '검찰 조사' 정찬우 전 거래소 이사장 취업승인",2017.11.30,2
3,'朴 미국 방문' 166명 경제사절단 동행,2015.10.11,2
4,"朴 이탈리아 경제사절단, 현정은 등 41명 참가",2014.10.13,2
5,중남미 7개국 장차관 한국 발전 경험 배우러 한국 온다,2014.09.20,2
6,"롭스, 화정점 ‘건강기능식 특화 매장’으로 새단장",2020.08.28,3
7,"""프로바이오틱스 일부제품 균종 극소량·표시 미흡""",2020.07.22,3
8,"기업과 예술의 만남에 앞장서는 종근당 이장한 회장, 신진미술가 창작활동 후원",2020.07.07,3
9,"종근당 이장한 회장, 국내 미술계 이끌어갈 ‘종근당 예술지상 2020’ 지원 작가 3인 선정",2020.06.11,3
10,"이장한 회장의 종근당, 공연 및 지원사업 등 문화예술 사업 적극 나서 아름다운 나눔 실천",2020.06.02,3
11,‘종근당 예술지상 2020’ 작가 선정…신진 미술가 창작활동 돕는다,2020.04.29,3
12,"G마켓·옥션, 부모님·자녀 선물 모은 ‘가정의 달’ 프로모션 진행",2020.04.20,3
13,"롯데홈쇼핑, '건강플러스' 론칭…첫 방송에 5억 판매",2020.04.13,3
14,"G마켓, ‘종근당건강’ 슈퍼브랜드위크…건강기능식품 특가 판매",2020.03.09,3
15,코스트코 선물세트 “활력 있는 새해 맞이 준비로 종근당건강 활력녹용 추천”,2020.01.10,3
16,"홈플러스, 새해 몸짱 위한 '건강박람회'…건강식품 112종 다모아",2020.01.03,3
17,"종근당건강, 원기회복을 위한 침향환, 전국 코스트코 16개점 입점",2020.01.02,3
18,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,3
19,빅스마일데이 타고 쑥쑥 크는 스마일배송…전년比 120%↑,2019.11.06,3
20,"종근당건강 프로메가, 학술대회서  혈행건강 위해 ‘오메가3 섭취 중요성’ 알려",2019.10.11,3
21,장톡스가 휴가의 시작…‘뱃살 타파!’ 장에 좋은 식음료 인기,2019.06.25,3
