,Title,Date,Category
0,이란서 사상 첫 한국 화장품 전시회 열린다,2016.10.17,2
1,"[기업 자금조달]롯데컬처웍스, 신보 지원으로 600억 유동성 확보",2020.08.14,3
2,"컬러레이코리아, 코스맥스ㆍ한국콜마주식회사 기업에 자사 펄 제품 공급",2020.07.31,3
3,"이완신 롯데홈쇼핑 대표, 현장경영 재개…""포스트코로나 대비""",2020.06.28,3
4,"'노마드 컨슈머' 잡기 나선 신세계百, 화장품 직접 만든다",2020.05.21,3
5,R&D 힘주는 코스맥스그룹…서울대와 뷰티·헬스 연구센터 개설,2019.11.14,3
6,"코스맥스, 뉴스킨과 손잡고 K뷰티 전파…""내년 수출 100억 기대""",2019.11.05,3
7,"이경수 코스맥스그룹 회장 ""새 단장 마친 홈페이지, 고객 소통의 장으로""",2019.10.17,3
8,"코스맥스, 조석 코스맥스엔비티USA 대표 신규선임 ""美사업 안정화""",2019.10.01,3
9,"코스맥스, 인도네시아 신할랄법 앞두고 K뷰티 전도사 역할",2019.09.03,3
10,"""유럽으로 간 K뷰티"" 코스맥스 '러시아의 세포라' PB제품 공급",2019.08.13,3
11,"코스맥스, 2분기 부진…中상하이 부진에 역기저 효과",2019.08.09,3
12,"코스맥스 자회사, 세계 최초 식물성 츄어블 연질 캡슐 개발",2019.07.26,3
13,"코스맥스, 中성장성 업고 투자 유치 ""유동성 확보, 재무구조 개선""",2019.07.25,3
14,"'생산→유통' 원스톱은 옛말, 효율화로 도약 꿈꾸는 K뷰티(종합)",2019.07.16,3
15,화장 고치는 K뷰티…생산공장 대신 브랜딩이 '성공 열쇠',2019.07.16,3
16,"코스맥스 中법인, 시장 변화 빠르다…온·오프라인 조직 이원화 대응",2019.06.24,3
17,"플라스틱 퇴출 전쟁, 화장품도 참전…10년 후 기대",2019.06.16,3
18,"코스맥스, 친환경 수성 네일 에나멜 제품 개발",2019.05.27,3
19,"코스맥스, 1분기 국내외 사업 순풍…매출·영업익 동반 성장",2019.05.13,3
20,파인애플 잎으로 핸드백 만드는 시대…친환경 소비 문화 확산(종합),2019.05.09,3
21,"코스맥스, 이너보틀과 손잡고 친환경 화장품 용기 개발",2019.04.22,3
22,"코스맥스, 메이크업 파운데이션 신기술 개발…해외서 호응",2019.04.12,3
23,"코스맥스, 세계 최초 항노화 마이크로바이옴 화장품 개발",2019.04.08,3
24,홈쇼핑·H&B스토어 등 1위 화장품은 '중소기업 브랜드'…ODM 기술 업고 '훨훨'(종합),2019.03.04,3
25,유통채널 매출 상위권 줄줄이 꿰찬 중소기업 화장품…비결은 ODM 기술력,2019.03.04,3
26,"ODM社 성장세 무섭다…매출 1조 돌파 한국콜마·코스맥스 ""올해도 달린다""(종합)",2019.01.08,3
