,Title,Date,Category
0,"文대통령 ""구미산단 연대와 협력, 코로나19 극복 모범사례""",2020.04.01,2
1,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
2,"무역위, 中·인도 PET 필름 덤핑방지관세 부과 연장 건의",2019.06.20,2
3,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,2
4,삼성ENG·코오롱인더스트리 '대한민국 안전대상' 수상,2016.11.17,2
5,"서울시-코오롱, 소상공인 '컨테이너 쇼핑몰' 조성",2015.10.11,2
6,전국 5만6000개 분임조 '경제효과 2조8000억',2015.08.31,2
7,산학융합지구 한국해양대 전남대 신규 선정,2015.07.20,2
8,"정부, 현대차 포스코 손잡고 탄소산업 육성",2014.11.26,2
9,국가인적자원개발컨소시엄 최우수 공동훈련센터 시상식 22개사 선정돼,2020.06.16,3
10,"정부 ""日, 5월말까지 수출규제 해결방안 답하라…최후통첩 아닌 촉구""(종합)",2020.05.12,3
11,"산업장관 日규제 극복 부품공장 찾아 ""코로나19 민관 합심 극복""",2020.04.01,3
12,"하나카드 ""매월 11일 '하나데이' 즐기세요…최대 12만원 할인""",2020.02.11,3
13,연 7% 성장한 12조 韓골프시장…프리미엄 골프 패션 '인기',2020.01.27,3
14,"[단독]'골프계 에르메스' 지포어, 코오롱FnC 손잡고 韓 공식 출사표",2020.01.19,3
15,"블랭크블랑, 비케이비씨로 재탄생…'서울' 테마 시그니처백도 출시",2019.12.19,3
16,"쿠론, 새 모델에 배우 신민아 ""여성들의 스타일 롤모델""",2019.12.17,3
17,"코오롱FnC 쿠론, 이브닝백 '홀리데이 크리스탈 에디션' 출시",2019.12.06,3
18,"""VIP 모셔라"" 헨리코튼, 최상위 100명 한정 '프리미엄 멤버십' 도입",2019.12.03,3
19,"""Z세대 잡아라"" 패딩, 동물 생각한 '윤리적 패션'으로 진화(종합)",2019.12.01,3
20,"코오롱스포츠, 서울 낙원악기상가에 뉴트로 무드 '솟솟상회' 오픈",2019.11.29,3
21,겨울 제철 돈값 하는 기능성 패딩들…RDS 인증은 디폴트값(종합),2019.11.27,3
22,"[폼나는 겨울산행] 코오롱스포츠, 더 착해진 겨울 베스트셀러 '안타티카'",2019.11.22,3
23,"'블랙프라이데이' 맞은 코오롱몰, 20개 브랜드 최대 75% 할인 판매",2019.11.22,3
24,그린슈머 사로잡는 패션업계…리사이클·친환경 제품 앞장(종합),2019.11.20,3
25,"""싱글맘 자립 지원합니다"" 쿠론, 동방사회복지회와 기부식",2019.11.20,3
26,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,3
27,"잭니클라우스, 프리미엄 다운 '드라카'…기능성 체온 유지 소재 적용",2019.11.14,3
28,"엠퀴리, '한혜연 세럼' 포함된 홀리데이 에디션…2만병 판매 이벤트도",2019.11.12,3
29,"헤드, 와디즈서 선공개한 '세로 다운' 대박…목표액 달성률 1만%↑",2019.11.11,3
30,"커스텀멜로우, 패션·문화 융합의 장 '원데이 아츠 페스티벌' 개최",2019.11.11,3
31,"아카이브앱크, 아티스트들과 릴레이 기부 캠페인 나선다",2019.10.31,3
32,"'론칭 10주년' 커스텀멜로우, 정연두 작가와 팝업스토어 연다",2019.10.28,3
33,"코오롱FnC, 따뜻한 코오롱 아우터 페스티벌 '따코아페' 개최",2019.10.25,3
34,"'아웃도어 회귀' 코오롱스포츠, 청계산에 콘셉트스토어 열고 매거진도 만든다",2019.10.24,3
35,"헨리코튼, 파일럿코트 4가지 버전 출시…온라인 한정판도 공개",2019.10.23,3
36,"왁, 기능성 스윙 제품군 '윈핏' 라인 확대…보온·신축성 우수",2019.10.23,3
37,"슈콤마보니, 송혜교와 컬래버 앵클부츠 판매…사회적 책임 활동",2019.10.21,3
38,유명 TV스타에 목 매던 시절 지났다…뾰족해진 패션 마케팅(종합),2019.10.18,3
39,"""업사이클링의 모든 것""…래코드, 노들섬 '래코드 아뜰리에' 오픈",2019.10.18,3
40,"잭니클라우스, 헤리티지 담은 골프 아우터 '패스파인더' 출시",2019.10.17,3
41,"코오롱FnC, 세계 발달장애인 대회 국가대표 선수들 단복 지원",2019.10.17,3
42,"엘로드, 정상급 선수들과 즐기는 정상급 VIP 고객 골프대회 개최",2019.10.14,3
43,"커스텀멜로우, 10주년 기념 '원데이 아츠 페스티벌'",2019.10.10,3
44,업사이클링 스윗셔츠로 '그린 스웨그'…코오롱FnC 8개 브랜드 뭉쳤다,2019.10.08,3
45,"코오롱FnC, 온라인 골프 기획전…3개 브랜드 참여",2019.10.07,3
46,"코오롱스포츠, BT21 캐릭터 담은 플리스 재킷 출시",2019.10.02,3
47,"블랭크블랑, 카메라 필터 맛집 페이카와 '홍콩' 주제로 컬래버레이션",2019.09.26,3
48,"캠브리지 멤버스, 8090 캠멤 트렌치 코트 가져오면 신상품 40% 할인",2019.09.25,3
49,첫 오프라인 채널로 롭스 택한 '엠퀴리'…피부개선 효과 기술로 승부,2019.09.24,3
50,온라인·모바일 패션시장 60兆 시대…가성비 甲 전용 브랜드 뜬다,2019.09.21,3
51,"커먼그라운드, 글로벌 스트릿 아트 페스티벌 '파우와우 코리아' 열린다",2019.09.20,3
52,에피그램 여성라인 새 모델에 박소담…'평범한 일상 속 아름다움' 공유,2019.09.19,3
53,해외로 뻗는 토종 패션기업들…본고장 유럽으로 발걸음(종합),2019.09.16,3
54,"업사이클링 브랜드 래코드, '지속가능 패션' 본고장 유럽 진출에 박차",2019.09.16,3
55,"코오롱FnC 블랭크블랑, 롯데百 단독 팝업스토어 연다",2019.09.11,3
56,'온라인 전용' 굳히기 나선 헤드…FW 단독 컬렉션·공구 프로모션,2019.09.10,3
57,패션 춘추전국시대…20세기 아이템들이 돌아온 이유,2019.09.08,3
58,'20세기 패션의 전설' 헨리코튼 조명…코오롱FnC 헨리코튼 브랜드북,2019.09.06,3
59,"시리즈, 올 FW 시즌 '서울 느와르' 콘셉트…잊혀져가는 공간 재조명",2019.09.05,3
60,"코오롱FnC 로에베 ""재능있는 현대 공예장인 찾습니다""",2019.09.04,3
61,"코오롱FnC 에피그램, '그린 라이프' 경리단길 올모스트홈 카페 오픈",2019.09.02,3
62,"""트러스트 코오롱스포츠""…100년 지속 성장 브랜드로 회귀(종합)",2019.08.30,3
63,[유통 핫피플] '아웃도어 본질로 회귀' 코오롱스포츠…'노 세일' 정책 도입,2019.08.30,3
64,"골프웨어 왁 캐릭터 와키, '매직 스펠'로 골퍼들 18세기 유럽 초대",2019.08.29,3
65,"코오롱FnC 골프 브랜드 3개, FW시즌 신제품 공개",2019.08.27,3
66,온라인에 힘주는 패션업체들…럭키슈에뜨 7주년 '온라인 랜덤쿠폰' 쏜다,2019.08.26,3
67,"코오롱FnC, 소프트램 소재 '아카이브 앱크' 론칭…커리어우먼 타깃",2019.08.23,3
68,"""현지인처럼 살아보기"" 에피그램, 고창 매력 녹여낸 19FW 프로젝트",2019.08.20,3
69,"슈콤마보니, 뮤즈 송혜교와 인연 지속…'샤인 온 미' FW 캠페인 공개",2019.08.19,3
70,허미정·문도엽 우승 기념…골프웨어 왁 '30만원 이상 구매시 20% 세일',2019.08.14,3
71,"코오롱FnC 왁, 플레이어스 에디션 신규 아이템 출시",2019.08.12,3
72,"코오롱FnC 왁, 반다나 패턴 컬렉션 바캉스룩 제안",2019.07.24,3
73,"코오롱FnC 엘로드·잭니클라우스, '임진한의 터닝포인트' 제작 지원",2019.07.22,3
74,"프랑스서 韓업사이클링 알린 래코드 ""지속가능한 패션 고민""",2019.07.19,3
75,"골프웨어 왁, 후원 선수 2명 男골프 세계 최고 권위 대회 출전",2019.07.17,3
76,"더 마크 제이콥스, 스누피·찰리 브라운 등 등장 ‘피너츠’ 캡슐 컬렉션 출시",2019.07.12,3
77,"코오롱FnC, 사내 프로젝트그룹 결성…자체 브랜드 인큐베이팅 추진",2019.07.02,3
78,남성복 한파에 효율화 속도…주력 브랜드 힘주거나 온라인 진출,2019.07.01,3
79,"코오롱FnC 왁, 유쾌한 캘리포니아 감성 담은 '19SS 컬렉션' 눈길",2019.06.27,3
80,쿠론·시리즈 컬래버레이션…베지터블 소가죽 에디션 출시,2019.06.24,3
81,"코오롱FnC 왁, 골프팬 위한 이벤트…포토존·선수 사인회 눈길",2019.06.21,3
82,"코오롱FnC 래코드, 싱글맘 자립 지원…다양한 사회구성원과 동행",2019.06.21,3
83,"무역위, 中·인도 PET 필름 덤핑방지관세 부과 연장 건의",2019.06.20,3
84,"골프웨어 엘로드, '팀 코리아 에디션' 출시",2019.06.20,3
85,"코오롱 FnC왁, 일본 현지에 라이선스 수출",2019.06.19,3
86,"헤드, CJ홈쇼핑 스타 '정윤기'와 만난다…워터스포츠 패키지 판매",2019.06.13,3
87,"""런던을 핸드백에 담다"" 블랭크블랑, 하와이안샐러드와 협업 컬렉션 출시",2019.06.10,3
88,"""신사들의 살롱 문화 체험"" 캠브리지 멤버스, 강남 플래그십 스토어 리뉴얼",2019.06.04,3
89,"코오롱FnC 왁, 후원선수들 3승 쾌거…'할인·쿠폰지급' 프로모션에 박차",2019.05.31,3
90,"래코드, '환경의 날' 기념 방글라데시 황마 가방 업사이클링 진행",2019.05.30,3
91,"헤드, 환타와 오렌지빛 컬래버레이션…선미 사랑스러운 모습 뽐내",2019.05.28,3
92,"코오롱FnC 에피그램, 경리단길점 한국의 美 담아 재탄생…로컬 연계",2019.05.24,3
93,"코오롱FnC 왁, 김지현 선수 한국여자골프 경기 우승 기념 프로모션",2019.05.23,3
94,"""사랑스럽고 귀여워"" 럭키슈에뜨 여름 모자…예약물량만 1천개",2019.05.21,3
95,"래코드, 보자기 활용한 업사이클링 워크숍 '100인의 리테이블' 진행",2019.05.20,3
96,"'재고와의 전쟁' 패션업계, 업사이클링 대안에는 눈감다(종합)",2019.05.15,3
97,매년 8만톤 폐섬유 쓰레기에도…국내 의류업체 '재활용' 난색,2019.05.15,3
98,"""냉감 소재 정장도 나온다"" 코오롱 쿨픽라인·아이스수트 2종 출시",2019.05.13,3
99,"헤드, 온·오프라인 연계 '헤드림 마켓' 성료…5월 캠페인 연이어 진행",2019.05.10,3
100,"쿠론, 티모시 굿맨 협업 특별 에디션 '도심 속 휴가' 출시",2019.05.09,3
101,"헤드, 오아이오아이와 손잡고 스윔웨어 컬렉션 출시",2019.05.03,3
102,"코오롱FnC 왁, 왁앤롤 골프대회 진행…SNS 라이브로 소통",2019.04.29,3
103,"코오롱FnC 시리즈, 9번째 웜하트 진행…아티스트 '유나얼'과 협업",2019.04.26,3
104,"코오롱FnC 로에베, 캡슐 컬렉션 '폴라 이비자' 국내 첫선",2019.04.23,3
105,"슈콤마보니, '송혜교 신발' 풀문 스니커즈 5차 리오더 진행",2019.04.22,3
106,"커먼그라운드 셀렉트샵, 2배 넓어진 공간…스트릿패션 브랜드 총집합",2019.04.18,3
107,"코오롱인더스트리FnC, 온라인 기획전 'Bravo! 골프 페스티벌' 진행",2019.04.10,3
108,"코오롱FnC, 강원도 산불 피해지역에 긴급 구호물품 지원",2019.04.07,3
109,'수소충전소 SPC' 공식 출범…가스公·현대車 등 13개 회사 공동 설립,2019.03.10,3
110,"코오롱스포츠, 봄?여름 시즌 컬렉션 '게이트 투 네이처' 공개",2019.01.31,3
111,상승대로 올라탄 수소차 관련주…두달새 200% 이상 오르기도,2019.01.18,3
112,코오롱 '커먼그라운드' 2019년 새해맞이 시즌 오프…50% 할인,2019.01.10,3
113,무너진 소득주도성장·고용참사 등 올해 10대 경제뉴스,2018.12.27,3
114,"코오롱FnC ""최대 80% 파격 세일 합니다""",2018.12.20,3
115,[포토]커먼그라운드에 30만여 개 눈꽃 점등,2018.12.18,3
116,"쿠론, 연말 반짝임 더해줄 ‘홀리데이 에디션’ 출시",2018.12.14,3
117,"쿠론X럭키슈에뜨, '슈에뜨 트위드 에디션' 출시",2018.09.02,3
118,"우리銀 생산적금융 A+, 60곳 대기업 예금이 2천 곳 中企 대출로",2018.04.12,3
119,"하나캐피탈, '하나렌터카 뉴-패밀리 이벤트' 진행",2018.02.12,3
120,삼성엔지니어링·태영건설 등 24곳 산재 발생에도 '쉬쉬',2017.12.20,3
121,"코오롱그룹, 경영진 9명 교체…CEO 젊어졌다",2017.11.26,3
122,[인사]코오롱그룹,2017.11.26,3
123,"㈜코오롱, 3Q 영업익 294억원으로 감소…자회사 실적하락 탓",2017.11.14,3
124,"코오롱인더, 3Q 영업익 460억…""中 사업부진 탓 소폭 하락""",2017.11.10,3
125,"섬유패션산업, 첨단산업으로 재도약 다짐",2017.11.10,3
126,"엘로드, VIP 고객 초청 골프 대회 개최",2017.10.27,3
127,"캠브리지 멤버스, 젠틀맨 콘셉트의 팝업스토어 오픈",2017.09.13,3
128,"쿠론, 나만의 핸드백을 만들 수 있는 오프라인 체험 공간 오픈",2017.08.01,3
129,"시리즈, 켈리 박 스튜디오와 협업한 '그래픽 아트웍 티셔츠' 출시",2017.07.27,3
130,"'女 고객을 잡아라' 헤드, 라이프스타일 정보 제공하는 캠페인 전개",2017.06.09,3
131,"럭키슈에뜨, 휴양지에서 돋보이는 리조트 컬렉션 다음달 선봬",2017.05.19,3
132,"슈콤마보니, 佛 봉마르셰·英 셀프리지 백화점에 팝업스토어 오픈",2017.04.13,3
133,"건대 커먼그라운드, 오픈 2주년 맞이 새 단장",2017.04.07,3
134,[아웃도어 봄패션]골프웨어 '왁' 젊은층 집중 공략…SNS로 고객과 직접 소통,2017.03.24,3
135,"""젊은 골퍼 공략"" 왁, SNS 마케팅 주력",2017.03.24,3
136,"슈퍼콤마비, 이번 시즌도 탑모델 강승현과 맞손",2017.03.24,3
137,"잭니클라우스, JNII 한국대표 선발전 개최",2017.03.16,3
138,"에피그램, 경리단길서 두번째 팝업스토어 진행",2017.03.15,3
139,[부고]임성빈(코오롱인더스트리FnC 전무)씨 부친상,2017.03.13,3
140,"코오롱FnC, 화이트데이 경품 이벤트 진행",2017.03.08,3
141,"""그럼에도 불구하고 '中'""…코오롱ㆍ한섬, 중국 공략 본격화",2017.02.23,3
