,Title,Date,Category
0,,,2.0
1,"공기청정기 업계 ""바이러스를 실생활 시험하라니...공정위 과징금 부당""",2018.05.29,3.0
2,"쿠쿠, 지난해 매출 9000억 달성…1조대 눈앞",2019.04.03,4.0
3,"쿠쿠, 렌털 계정 185만 달성…3Q 영업이익률 두 자리",2018.11.15,4.0
4,바이러스 99.99% 제거한다더니…소비자 기만한 공기청정기 광고,2018.05.29,4.0
5,"공기청정기 업계 ""바이러스를 실생활 시험하라니...공정위 과징금 부당""",2018.05.29,4.0
6,"PN풍년, 밥솥 테마 상승세에 7.21% ↑",2020.08.31,5.0
7,"PN풍년, 밥솥 테마 상승세에 8.27% ↑",2020.08.19,5.0
8,"윌링스, 밥솥 테마 상승세에 7.35% ↑",2020.07.13,5.0
9,"PN풍년, 밥솥 테마 상승세에 17.93% ↑",2020.07.13,5.0
10,"PN풍년, 밥솥 테마 상승세에 12.2% ↑",2020.07.09,5.0
11,"8월 29일 코스피, 7.68p 내린 1933.41 마감(0.40%↓)",2019.08.29,5.0
12,"대신지배硏 ""코스닥社 주주권익 개선 위해 전자투표 필요""",2019.03.26,5.0
13,"쿠쿠홀딩스 “지주회사 전환, 기타 금융업으로 업종 변경”",2018.09.05,5.0
14,"[특징주]쿠쿠홀딩스, '어닝서프라이즈' 효과에 4% 상승",2018.08.20,5.0
15,[개장전] 증권사 스몰캡 추천주(8/6),2018.08.06,5.0
16,[e공시 눈에 띄네]코스피-15일,2018.05.16,5.0
17,"쿠쿠홈시스, 쿠쿠홀딩스 외 4인으로 최대주주 변경",2018.05.14,5.0
18,[e공시 눈에 띄네]코스피-28일,2018.03.29,5.0
19,"쿠쿠홀딩스, 주당 4100원 현금배당",2018.03.28,5.0
20,[e공시 눈에 띄네]코스피-21일,2018.03.22,5.0
21,"쿠쿠홀딩스, 2541억 규모 유상증자 결정",2018.03.21,5.0
22,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
23,"코스피, 2500선 회복 후 하락…삼성전자 '약세'",2018.01.11,5.0
24,"[클릭 e종목]쿠쿠전자, 요우커 오는데 3분기도 호실적",2017.11.15,5.0
25,"거래소 ""쿠쿠전자, 분할 재상장 예비심사 통과""",2017.09.13,5.0
26,"코웨이·SK네트웍스 등 렌탈株, 힘 받는 '주가 바닥론'",2017.08.30,5.0
27,"[클릭 e종목]""쿠쿠전자, 밥솥사업 실적 부진""…목표가↓",2017.08.22,5.0
28,"쿠쿠전자, 분할 재상장…주가는 보글보글",2017.07.14,5.0
29,,,6.0
30,,,7.0
31,,,8.0
32,,,9.0
33,,,10.0
34,,,11.0
