,Title,Date,Category
0,"김영춘 ""한국해운연합은 협력생태계 구축 마중물""",2017.08.08,2
1,북극항로 이용 늘어난다,2016.07.15,2
2,위기의 해운업…조기경보 실효성 있을까,2014.10.27,2
3,식량전쟁 가능성…국가적인 곡물조달시스템 구축해야,2020.05.21,3
4,쌍용차·두산·대한항공 등 위기의 기업들…다음주 운명의 한 주,2020.05.19,3
5,"동서발전, 청년선원 일자리 창출 위한 MOU 체결",2018.09.18,3
6,"은성수 수은 행장 ""올해 해운업 8000억 이상 자금 수혈""",2018.04.20,3
7,"""발레發 선박발주 韓 더 많았는데""…수주 中에 역전",2017.12.05,3
8,"김영춘 ""한국해운연합은 협력생태계 구축 마중물""",2017.08.08,3
9,대우조선 관리위원장에 김유식 전 STX팬오션 부회장,2017.05.19,3
10,"캠코, 3863억 규모 선박펀드 조성",2017.05.15,3
11,"캠코, 3900억 규모 선박 20척 인수",2017.05.08,3
12,대우조선 민간 관리委 출범…이성규 유암코 대표 등 합류,2017.05.07,3
13,"[단독]육계업 1위 '하림', 장류·간편식 '신송식품' 인수 추진",2017.04.19,3
14,[대마불사 대우조선]살빼기 錢爭이 시작됐다,2017.03.23,3
15,[대마불사 대우조선]P-플랜 성공사례 있나,2017.03.23,3
16,"[클릭 e종목]""팬오션, 올해 시황 개선에 따른 수혜 기대""",2017.02.03,3
17,"산은·당국, 법원의 한진해운 SOS 요청 왜 거절했나",2016.09.08,3
18,"부산 흥국저축銀, 강남역 진출…영업구역 외 지점설치 예외적용",2016.09.05,3
19,[한진해운 수출대란]美법원에 파산보호 신청…잇단 선박압류 분수령,2016.09.05,3
20,"STX팬오션 재기모델 한진해운, 따르긴 힘들다",2016.08.31,3
21,[이슈추적]항로잃은 한진해운…채권단 구명보트는 없었다,2016.08.31,3
22,"""조양호 회장과 시각차 컸다"" 이동걸 산은 회장 일문일답",2016.08.30,3
23,북극항로 이용 늘어난다,2016.07.15,3
24,"""난세에 영웅이 없다"" 구조조정 사령탑 명확해야",2016.05.29,3
25,"""난세에 영웅이 없다"" 구조조정 사령탑 명확히해야",2016.05.29,3
26,[구조조정을 구조조정하라]국책銀 '독박시스템' 문제...정부 컨트롤타워 맡아야,2016.05.27,3
27,"공정위 ""대기업집단 총 65곳""..카카오·셀트리온 벤처출신 첫 지정",2016.04.03,3
28,하림그룹 편입 된 팬오션 '곡물유통사업' 개시…옥수수 7만t 하역,2016.02.11,3
29,홍기택 산은 회장 “후임에 구조조정 고민 전달하겠다”,2016.02.03,3
30,"공격 경영 하림그룹, 세무조사",2015.09.26,3
31,[2015 국감]홍기택 “노력하지만 기업가치가 올라가지 않아”,2015.09.21,3
32,'광폭행보' 최태원…경제활성화 앞장선다,2015.08.17,3
33,산은·수은 부실여신 5조5000억원,2015.08.11,3
34,"김홍국 하림 회장 ""팬오션, 승자의 저주? 모르는 소리""",2015.07.26,3
35,"팬오션, 김홍국·추성엽 각자 대표이사 체제",2015.07.20,3
36,"국내 M&A시장, 덩치만 커졌다",2015.07.03,3
37,"주형환 차관 ""해운사, 에코쉽 확보 등 경쟁력 높여야""",2015.05.22,3
38,[5월 20일]아시아경제 뉴스브리핑,2015.05.20,3
39,"팬오션, 유상증자 결정",2015.01.19,3
40,"팬오션, 영국 자회사에 110억원 대여",2015.01.19,3
41,[12월 22일]아시아경제 뉴스브리핑,2014.12.22,3
42,[12월 17일]아시아경제 뉴스브리핑,2014.12.17,3
43,"'구조조정 ing' 저축은행 3곳, 운명은?",2014.11.07,3
44,위기의 해운업…조기경보 실효성 있을까,2014.10.27,3
45,상장사 '감자' 주의보…STX는 한해 두번이나,2014.10.09,3
46,"팬오션, 내달 1일 매각 공고",2014.09.30,3
47,식량전쟁 가능성…국가적인 곡물조달시스템 구축해야,2020.05.21,4
48,"팬오션, 美곡물터미널 인수계약…곡물 트레이딩 사업 속도",2020.05.13,4
49,"대우조선, 팬오션에서 초대형원유운반선 1척 수주",2020.03.31,4
50,"현대重, 2666억원 규모 선박 5척 수주",2020.01.21,4
51,[인사]팬오션,2019.12.26,4
52,"문재인 대통령의 지지 한 몸에 받은 하림 ""일자리 2천개 창출하겠다""",2019.08.21,4
53,"팬오션, 2Q 영업익 505억원…전년比 0.8%↑",2019.08.13,4
54,"팬오션, 1Q 영업이익 449억원…21분기 연속 흑자",2019.05.15,4
55,"팬오션, 中에 660억원 규모 벌크선 2척 발주",2019.03.08,4
56,"팬오션, 지난해 매출액 2.6兆…영업익 2039억원",2019.02.26,4
57,"'나홀로' 실적개선 벌크선사, 올해도 순항할까",2019.01.08,4
58,"포스코, 국내 최초 대형벌크선 탈황설비 장착",2018.06.22,4
59,"현대미포조선, 수주가뭄에도 나홀로 쌩쌩",2018.06.11,4
60,[단독] 한진해운 선박 인수해 설립된 에이치라인해운 증시 상장(종합),2018.03.19,4
61,"[단독] '한진해운 인수' 에이치라인해운, 연내 증시 상장",2018.03.19,4
62,"""내년 수주선가 15% 오른다""…기대감 높이는 조선업",2017.12.12,4
63,"""발레發 선박발주 韓 더 많았는데""…수주 中에 역전",2017.12.05,4
64,30대그룹 관료 출신 사외이사 43%…4년새 최고치,2017.08.09,4
65,"팬오션, 4분기 영업익 501억원…전년比 10%↓↓",2017.02.02,4
66,"팬오션, 3분기 영업익 368억원…전년비 39.70% 감소",2016.11.14,4
67,[한진해운 수출대란]美법원에 파산보호 신청…잇단 선박압류 분수령,2016.09.05,4
68,[한진해운 좌초] '한진 백기사' 현대상선 CEO는 누구,2016.09.01,4
69,[이슈추적]항로잃은 한진해운…채권단 구명보트는 없었다,2016.08.31,4
70,"팬오션, 2분기 영업익 412억…19.59% 감소(상보)",2016.08.16,4
71,팬오션 2분기 영업익 412억…19.59% 감소,2016.08.16,4
72,"'여기어때 ' 위드이노, 200억 투자 유치",2016.07.27,4
73,"5분 만에 끝난 대우조선 주총, 대표는 묵묵부답",2016.06.13,4
74,"'정피아 낙하산' 논란 조대환 변호사, 대우조선 사외이사 후보 사임",2016.05.30,4
75,이종철 한국도심공항 사장 연임,2016.03.08,4
76,하림그룹 편입 된 팬오션 '곡물유통사업' 개시…옥수수 7만t 하역,2016.02.11,4
77,팬오션 지난해 영업익 2298억…전년比 7.07% ↑,2016.02.01,4
78,'비수기+운임 하락' 4분기 해운업계 실적 미리보니,2016.01.10,4
79,[인사]팬오션,2015.12.30,4
