,Title,Date,Category
0,[부고] 류영우(전 풍산 부회장)씨 별세,2020.08.13,2
1,"풍산, 중동에 탄약 1000억원 수출",2020.04.16,2
2,유로사토리 방산전시회도 취소,2020.04.01,2
3,[양낙규의 Defence Club]방탄복 뚫는 탄약·소총 개발된다,2020.02.10,2
4,진화하는 포탄… 이제 적진도 실시간 관측 [양낙규의 Defence Club],2020.02.09,2
5,[양낙규의 Defence Club]궁지몰린 방산기업… 탈출구 없이 허덕,2020.01.16,2
6,"국방부, 방위산업 육성 7278억원 투입",2020.01.08,2
7,[스케치北] '북한판 에어 조던' 출시?,2019.11.22,2
8,北정권수립 71주년…'국가제일주의' 앞세워 체제 결속,2019.09.09,2
9,"K-11복합소총 지체상금 30억…法 ""계약업체 책임없다""",2019.08.27,2
10,국기·풍산개 자랑하는 北…'국가상징물'로 정상국가화 행보,2019.08.19,2
11,"文대통령 ""다른 생명체와 공감, 삶의 질 북돋아 줘""…생물도감 '추천'",2019.05.19,2
12,"'부시-盧10주기' 풍산그룹이 다리…풍산, 공화당 인사들과 인연",2019.05.13,2
13,"北 ""풍산개는 서양개보다 작지만 안 물러서고 끝까지 싸운다""",2019.03.17,2
14,"김정숙 여사 ""평양서 오실 손님 생각에…떡국 대신 '온반'""",2019.02.06,2
15,"""통일은 언제 돼요?"" 아이들 질문에…김정숙 여사 ""남북, 더욱 자유롭도록 노력中""",2018.12.23,2
16,"姜외무, 부시 장례식서 폼페이오와 회담",2018.12.04,2
17,"문 대통령, 김정은 선물한 풍산개 '곰이' 새끼들 보며 '아빠 미소'",2018.11.25,2
18,"김정은이 선물한 풍산개 출산…문 대통령 ""남북관계 이와 같기를""",2018.11.12,2
19,[양낙규의 Defence Club]'국내 29개 방산업체' 동남아 시장 개척 나서,2018.11.07,2
20,"문 대통령 ""능라도 연설 때 김정은 어떤 요구도 하지 않아""",2018.10.12,2
21,"김정은이 선물한 '송강','곰이' 퍼스트독 靑 적응기",2018.10.06,2
22,"靑 ""김정은이 선물한 풍산개 암수 한 쌍 인수""",2018.09.30,2
23,북한은 왜 매번 '송이버섯'을 선물할까,2018.09.25,2
24,"[평양회담]만수대창작사 참관한 文 ""예술교류 활발해져야""",2018.09.19,2
25,"[평양회담]김정은-리설주, 문 대통령 내외에 환영만찬",2018.09.18,2
26,"[평양회담]사진으로 보는 정상회담 첫날…""서울에서 평양까지""",2018.09.18,2
27,[양낙규의 Defence Club]남북대화 분위기… 방산수출 지원책 절실,2018.05.07,2
28,"남북정상회담, 그 후…궁금증 자아낸 ‘세 가지’ 순간은?",2018.05.01,2
29,[양낙규의 Defence Club]차세대 자주포 K-9는,2018.04.03,2
30,"문 대통령, UAE 공식오찬…윤부근 삼성 부회장 등 참석",2018.03.25,2
31,방진회 차기 회장에 S&T그룹 최평규 회장 단독추대,2018.03.08,2
32,[트럼프 방한] 삼성부터 풍산까지…재계 거물들 국빈 만찬 참석,2017.11.07,2
33,[동물과 정치]② 정상들의 동물 선물…판다부터 낙타까지,2017.10.13,2
34,"[단독] 방사청, 총포·탄약 납품 지연돼도 벌금 면제",2017.10.13,2
35,[양낙규의 Defence Club]문대통령 방미 함께 간 방산기업 세무조사 왜,2017.08.25,2
36,[살충제 계란 파동]부적합 농장 32곳…총 사육 규모 3.2%(상보),2017.08.17,2
37,[살충제 계란 파동]부적합 농장 32곳…농장 이름 수정,2017.08.17,2
38,"문 대통령 ""나는 친기업"" 이력, 고문 변호사 맡았던 기업 알고보니",2017.06.30,2
39,"“잘 크고 있어요” 김광진의원, 퍼스트 도그 '마루' 근황 공개",2017.05.30,2
40,"'고양이 집사' 문재인, '퍼스트 캣' 찡찡이와 단란한 한 때",2017.05.28,2
41,'퍼스트 도그' 마루 청와대 입성…유기견 토리 입양 절차 진행 중,2017.05.27,2
42,"문재인 대통령, 취임 후 첫 휴가..반려견 마루와 행복한 시간",2017.05.22,2
43,"성경륭 교수 ""문재인 첫인상, 농사 짓는 사람 같았다…지금은 달라져""",2017.05.19,2
