,Title,Date,Category
0,,,2.0
1,"韓, 소·부·장 전초기지 獨과 협력 시동",2020.08.14,3.0
2,"정부, 코로나 뚫고 韓獨 소재부품장비 센터 개소",2020.06.18,3.0
3,[단독]韓-獨 소재·부품 기술협력센터도 '코로나 발목',2020.04.22,3.0
4,"전자진흥회, 회장에 김기남 삼성전자 사장 선임",2018.02.21,3.0
5,"한국단자, 보통주 1주당 400원 현금배당",2016.02.18,3.0
6,"전자진흥회, 회장에 김기남 삼성전자 사장 선임",2018.02.21,4.0
7,[e공시 눈에 띄네]코스피-25일,2020.08.26,5.0
8,"한일현대시멘트, 한국단자공업 지분 3.48% 취득",2020.08.25,5.0
9,"한국단자, 전기차 테마 상승세에 6.58% ↑",2020.08.13,5.0
10,[e공시 눈에 띄네] 코스피-23일,2020.07.24,5.0
11,"서울바이오시스, LED 테마 상승세에 7.4% ↑",2020.06.16,5.0
12,"5월 18일 코스피, 9.83p 오른 1937.11 마감(0.51%↑)",2020.05.18,5.0
13,"케이티인터내쇼날, 한국단자공업 2300주 장내 매수",2020.04.22,5.0
14,"케이티인터내쇼날, 한국단자공업 2170주 장내 매수",2020.03.31,5.0
15,"[FOCUS] ‘코스모’계열 종목 손실, 구제 솔루션 나와",2019.08.26,5.0
16,"8월 16일 코스피, 11.20p 내린 1927.17 마감(0.58%↓)",2019.08.16,5.0
17,"한국단자공업, 주당 450원 현금배당 결정",2019.02.20,5.0
18,"한국단자, 지난해 영업익 458억…전년비 30.8%↓",2019.02.11,5.0
19,"한일네트웍스, 한국단자공업 주식 3% 130억원에 인수",2018.12.05,5.0
20,"'액티비스트' 공격 잠재 후보군, 대안 투자처 부각?",2018.11.20,5.0
21,[e공시 눈에 띄네]코스피-19일,2018.07.20,5.0
22,"한국단자공업, 주당 250원 현금배당",2018.07.19,5.0
23,"'여름 보너스' 중간배당, 작년보다 더 푼다",2018.05.30,5.0
24,"한국단자공업, 보통주 1주당 450원 현금배당 결정",2018.02.22,5.0
25,KRX300 편입 종목 발표…코스피 237개·코스닥 68개,2018.01.30,5.0
26,"케.이.티.인터내쇼날, 한국단자공업株 1890주 장내매수",2017.11.21,5.0
27,"한국단자공업, 이상례씨가 4205주 장내매도",2017.09.26,5.0
28,"文정부 발 맞추기…중간배당 상장사, 20% 늘었다",2017.08.03,5.0
29,"한국단자공업, 보통주 250원 중간배당",2017.07.20,5.0
30,"한국단자공업, Kevin Baek 사외이사 신규 선임",2017.03.17,5.0
31,[e공시 눈에 띄네]코스피-13일,2017.02.14,5.0
32,"한국단자, 주당 450원 현금배당 결정",2017.02.13,5.0
33,"한국단자공업, 주당 250원 현금배당 결정",2016.07.21,5.0
34,"한국단자공업, 다음달 1~10일 주주명부 폐쇄",2016.06.14,5.0
35,길 잃은 통일…헤매는 '통일펀드',2016.02.19,5.0
36,"한국단자, 보통주 1주당 400원 현금배당",2016.02.18,5.0
37,"코스피, 美 금리인상 지연에 1990선 회복…외인·기관 '사자'",2015.10.06,5.0
38,"국민연금, 한국단자공업·S&T모티브 지분 신규취득",2015.08.05,5.0
39,"장 종료 후 ""이 공시 눈에 띄네""(코스피-2일)",2015.07.03,5.0
40,"삼성자산운용, 한국단자공업 지분 5.02% 보유",2015.07.02,5.0
41,"한국단자, 중간배당 위해 다음달 1일부터 주주명부 폐쇄",2015.06.12,5.0
42,"""'버려진 오아시스' 자동차·부품株 주목해야""",2015.05.05,5.0
43,"한국단자, 실적·배당 컨센서스 상회…목표가↑",2015.02.23,5.0
44,"한국단자공업, 지난해 영업익 682억원…전년比 30%↑",2015.02.17,5.0
45,"한국단자, 주당 300원 현금배당",2015.02.11,5.0
46,"개성공단 10년, 입주 상장사 고성장세",2015.01.19,5.0
47,,,6.0
48,,,7.0
49,‘인천 청년 일자리 한마당’ 29일 삼산체육관서 개최,2015.04.24,8.0
50,,,9.0
51,,,10.0
52,,,11.0
