,Title,Date,Category
0,,,2.0
1,"한국쉘석유, 작년 4분기 매출액 10.23% 감소",2016.02.12,3.0
2,"쉘코리아, 韓 총괄대표에 폴 다아시 선임",2015.10.13,3.0
3,"한국쉘, 소형 화물 트럭용 합성엔진오일 출시",2018.10.10,4.0
4,"한국쉘석유, 부산 운산초교에 교통사고 예방 위한 '옐로카펫' 설치",2018.07.17,4.0
5,[부고] 강진원(한국쉘석유주식회사 대표)씨 부친상,2018.05.30,4.0
6,"한국쉘, 엔진오일 교환 고객에게 고급 티셔츠 증정",2018.05.23,4.0
7,"현대차, '2017 현대 아반떼컵 마스터즈 레이스' 개막전 개최",2017.04.16,4.0
8,"쉘코리아, 韓 총괄대표에 폴 다아시 선임",2015.10.13,4.0
9,"한국쉘석유, 부산 내 3개 대학에 장학금 6000만원 전달",2015.08.13,4.0
10,"쉘, BMW 순정 엔진오일 공급사로 선정",2015.02.05,4.0
11,"'실적난' 정유업계, '효자' 된 윤활유 시장서 각축전",2014.10.03,4.0
12,"한국쉘, 차세대 엔진오일 출시 ""자동차 윤활유시장 본격 공략""",2014.09.26,4.0
13,[e공시 눈에 띄네]코스피-20일,2020.02.21,5.0
14,[e공시 눈에 띄네]코스피-21일,2019.02.22,5.0
15,"한국쉘석유, 박병완 사외이사 중도퇴임",2018.07.02,5.0
16,"한국쉘석유, 지난해 4Q 영업익 81억…전년比 10% ↓",2018.02.08,5.0
17,다음주 코스피 2420~2480 전망…27일 ‘경제정책방향’ 발표에 주목,2017.12.23,5.0
18,[재테크 비밀노트]단기 고수익 추구 투자자 위한 포트폴리오,2017.12.11,5.0
19,건물주 위에 배당주…4년간 수익률 600%,2017.03.10,5.0
20,"김민국 VIP투자자문 대표 ""배당주에 투자해야""",2017.02.27,5.0
21,"한국쉘석유, 주당 1만7000원 현금배당 결정",2017.02.24,5.0
22,사상최대 배당 전망…주주들'방끗',2017.02.23,5.0
23,사상최대 배당 전망…주주들'방끗',2017.02.23,5.0
24,[굿모닝증시]옥석가리기 필요한 코스피,2016.10.21,5.0
25,[굿모닝 증시]찬바람 불면 배당주?,2016.10.18,5.0
26,"한국쉘석유, 중간배당 위해 주주명부 폐쇄",2016.05.27,5.0
27,올여름 보너스로 중간배당주 쏠쏠,2016.05.24,5.0
28,"쏠쏠한 주식배당, 국고채 첫 추월",2016.04.18,5.0
29,"장 종료 후 ""이 공시 눈에 띄네""(코스피-26일)",2016.02.29,5.0
30,"한국쉘석유, 주당 1만8000원 현금배당 실시",2016.02.26,5.0
31,"한국쉘석유, 작년 4분기 매출액 10.23% 감소",2016.02.12,5.0
32,"한국쉘석유, 오는 12일 지난해 실적 발표",2016.02.04,5.0
33,"장 종료 후 ""이 공시 눈에 띄네""(코스피-29일)",2015.07.30,5.0
34,"한국쉘석유, 주당 2000원 현금배당 실시",2015.07.29,5.0
35,"중간배당, 수익률 높은 종목은?",2015.06.23,5.0
36,"한국쉘석유, 중간배당 위한 주주명부 폐쇄 결정",2015.06.08,5.0
37,[굿모닝증시]중간배당으로 쏠리는 눈,2015.05.20,5.0
38,유가하락으로 매출원가 줄어들 종목은?,2015.03.26,5.0
39,"한국쉘석유, 지난해 4분기 영업익 83억…전년比 17%↓",2015.02.13,5.0
40,GS건설 후원 'KBCSD 언론상' 시상식 개최,2019.03.19,6.0
41,,,7.0
42,[부고] 강진원(한국쉘석유주식회사 대표)씨 부친상,2018.05.30,8.0
43,,,9.0
44,,,10.0
45,"KBO, 한국쉘석유와 마케팅 협약 체결",2017.03.29,11.0
46,"KBO, 한국쉘석유주식회사와 '공동 마케팅' 체결",2016.03.21,11.0
