,Title,Date,Category
0,"민주당 ""한국콜마, 국민 앞에 무릎 꿇고 사죄해야""",2019.08.10,2
1,"기업인들 청와대 초청한 문 대통령 ""고용 창출에 앞장서 달라""",2019.01.15,2
2,"국세청, 박성철 신원그룹 회장 등 조세포탈범 30명 명단 공개",2018.12.12,2
3,"감사원 ""SH공사, 내곡동 자족기능시설용지 매각 부적정""",2018.06.07,2
4,오뚜기·쿠팡·넷마블 등 고용창출 100대 우수기업,2016.03.17,2
5,서울소재 기업·단체 '메르스 극복' 돕기 나서,2015.06.30,2
6,"최경환 ""기업가정신 필요…정부 지원에만 의지 않아야""",2015.01.21,2
7,K건기식 세계 평정 나선 '콜마'…최초 中 생산기지 본격 가동·수출 1억달러 목표,2020.08.19,3
8,"컬러레이코리아, 코스맥스ㆍ한국콜마주식회사 기업에 자사 펄 제품 공급",2020.07.31,3
9,쌍용차·두산·대한항공 등 위기의 기업들…다음주 운명의 한 주,2020.05.19,3
10,한국콜마 2세 경영 본격화,2019.12.14,3
11,"한국콜마, 2세 경영 강화…윤상현 대표 '사장→부회장' 승진",2019.12.10,3
12,"콜마비앤에이치, '위 손상 보호 및 개선 검증' 연구 결과 세계 무대서 인정",2019.11.21,3
13,"콜마스크, 제이준 인천공장 흡수합병…관리 조직 일원화·효율성↑",2019.11.04,3
14,"한국콜마, 신입사원 공채 스타트…주요 계열사 3곳도 동시 진행",2019.10.22,3
15,"팜스킨, 美안전 인증 획득하고 글로벌 진출 가속화",2019.10.16,3
16,"한국콜마, 세계화장품학회서 '천연 항노화 수생식물' 발표",2019.10.04,3
17,"""샐러드인가?"" 팜스킨, 재미있는 마스크팩으로 세계 3대 디자인상 '본상'",2019.10.02,3
18,[부음] 이호경(한국콜마 사장)씨 모친상,2019.09.23,3
19,"몸 낮춘 한국콜마, 일본인 이사 3명 사임",2019.09.05,3
20,늘어가는 日불매운동 리스트…오해살까 기업들 '좌불안석'(종합),2019.08.20,3
21,"DHC 혐한 논란에 깜짝 놀란 AHC…""日 관련 없다"" 선긋기 나선 기업들",2019.08.20,3
22,"윤동한 회장, 한국콜마홀딩스 대표이사직 사임…""현상에 책임지겠다""(종합)",2019.08.11,3
23,"'막말 동영상 논란' 한국콜마 ""물의 일으킨 점 사과드린다""",2019.08.09,3
24,한국콜마 '文대통령 비난·여혐' 파문에…협력사 '불매리스트' 불똥,2019.08.09,3
25,거침없는 M&A 승부사 윤동한 회장…글로벌 뷰티·헬스그룹 도약(종합),2019.07.31,3
26,"한국콜마 자회사, 제이준코스메틱 마스크팩 공장 인수…""5년 내 1위 도약""",2019.07.30,3
