,Title,Date,Category
0,주요 수출대상국 지각변동…일본 ↓ 베트남 ↑,2015.11.06,2
1,"[포토]윤상직 장관 ""고기능 섬유 수출 지원하겠다""",2015.09.02,2
2,"신보, 코로나19 피해기업에 이달 1조2천억원 자금 공급",2020.06.26,3
3,이태원發 감염에 유통가 '반등' 물거품되나,2020.05.12,3
4,"한세그룹 2세 경영 확립…한세엠케이, 김지원 전무 대표이사 선임",2019.12.18,3
5,"한세실업, 미얀마 추가 생산 법인 건설 착공식 진행",2019.12.17,3
6,실적 부진에 고전하는 한세엠케이…中과 멀어진 NBA 어쩌나(종합),2019.10.11,3
7,中 민심 앞 '촛불'같은 패션기업…NBA發 파문에 '초긴장',2019.10.11,3
8,"KOTRA, 2017 외국인 유학생 채용박람회 개최",2017.09.13,3
9,"한세드림, 새 대표이사에 임동환 패션 총괄 전무 선임",2017.03.23,3
10,[포스트차이나를 찾아라③]소비빅뱅 임박한 젊은 시장 '아세안',2017.03.09,3
11,"에프알제이진 ""올해 매장 안정화에 힘쓸 것…전국 매장 115개 목표""",2017.01.31,3
12,[벼랑끝에 선 패션業]의류 OEM업체 마진의 핵심은 인건비,2016.08.03,3
13,[벼랑끝에 선 패션業]'부익부빈익빈' 심화…M&A·구조조정까지,2016.08.03,3
14,"유진證 ""제이에스코퍼레이션, 안정적 성장 기대되는 글로벌 핸드백 ODM""",2016.01.21,3
15,"한세실업, 아이티 본격 진출…소나피 공단과 MOU 체결",2015.10.06,3
16,"한세실업, 네팔 지진 구호기금 10만 달러 유니세프에 전달",2015.05.28,3
17,"한세실업, FRJ Jeans 보유한 '에프알제이' 인수",2015.05.07,3
18,"1분기 잘나간 중소펀드들, '트렌드' 보는 눈 달랐다",2015.04.03,3
19,내수 불황에 수입 브랜드 공격…국내 의류업체들의 비명,2015.03.18,3
20,"한세실업, 지난해 영업익 929억..전년比 55%↑",2015.02.09,3
21,"한세실업, 4Q 영업익 236억..전년比 83%↑",2015.02.09,3
22,"만도, '스마트 레이더 기술' 스타트업 비트센싱에 전략적 투자",2020.06.08,4
23,국내 200대 상장사 여성임원 100명 중 3명뿐,2020.03.08,4
24,실적개선으로 '날개옷' 입은 패션주,2019.02.18,4
25,"한세엠케이 'NBA 마스크 모자', 스타트업 제품 표절 의혹",2018.11.15,4
26,'눈물의 패션업계'…OEM 적자에 줄어드는 신규 브랜드,2018.05.22,4
27,바닥 뚫고 지하로 가는 '의류 OEM 업체',2018.05.21,4
28,"섬산련, 섬유 글로벌 생산현장 책임자 양성과정 5기 입학식 개최",2017.12.21,4
29,"KOTRA, 2017 외국인 유학생 채용박람회 개최",2017.09.13,4
30,"한세실업, 2017년 신입사원 공개채용…홈페이지 접수",2017.05.18,4
31,"한세드림, 새 대표이사에 임동환 패션 총괄 전무 선임",2017.03.23,4
32,[포스트차이나를 찾아라③]소비빅뱅 임박한 젊은 시장 '아세안',2017.03.09,4
33,"에프알제이진 ""올해 매장 안정화에 힘쓸 것…전국 매장 115개 목표""",2017.01.31,4
34,"'트럼프, TPP 탈퇴 선언'…국내 의류섬유업체 '초비상'",2016.11.23,4
35,"한세실업, 19일 엠케이트렌드 지분 40% 인수",2016.09.12,4
36,[벼랑끝에 선 패션業]의류 OEM업체 마진의 핵심은 인건비,2016.08.03,4
37,[벼랑끝에 선 패션業]'부익부빈익빈' 심화…M&A·구조조정까지,2016.08.03,4
38,SPA 시장 따라 아웃소싱 업체도 '쑥쑥',2015.12.16,4
39,"[TPP타결]한국, 차부품 외 電車·중화학 유불리 없어…베트남 대미 수출기지 부상(종합)",2015.10.06,4
40,"TPP타결 희비갈린 산업계, 車부품 '흐림' 삼성·현대차 '영향無'  한세실업 '맑음'",2015.10.06,4
41,"한세실업, 아이티 본격 진출…소나피 공단과 MOU 체결",2015.10.06,4
42,"한세드림, 창사이래 최초로 월매출 100억 돌파",2015.10.05,4
43,"국민연금, 한세실업 지분율 13.49%…1.04% 증가",2015.07.03,4
44,"한세실업, 네팔 지진 구호기금 10만 달러 유니세프에 전달",2015.05.28,4
45,"한세실업, FRJ Jeans 보유한 '에프알제이' 인수",2015.05.07,4
46,내수 불황에 수입 브랜드 공격…국내 의류업체들의 비명,2015.03.18,4
47,"한세실업, 베트남 법인에 생산현장 책임자 파견",2015.03.11,4
48,"한세실업, 서울시 유공납세자 표창 수상",2015.03.06,4
49,"한세실업, 승진자 대상 '리더십' 워크샵 개최",2015.03.03,4
50,"한세실업, 예술의전당 '문화햇살콘서트' 후원 협약",2015.01.28,4
51,대기업 안 부러운 두 수출기업 세아상역ㆍ한세실업,2015.01.17,4
52,"한세실업, 니카라과 노동부 장관 감사패 수상",2015.01.14,4
53,"""FTA 네트워크, 해외진출 지지망으로 활용해야""",2015.01.07,4
