,Title,Date,Category
0,"기업인들 청와대 초청한 문 대통령 ""고용 창출에 앞장서 달라""",2019.01.15,2
1,"문 대통령 ""기업건의 반드시 답변""…오늘 기업인 초청 '타운홀미팅'",2019.01.15,2
2,"문 대통령, 오늘 5대그룹 총수와 ‘타운홀 미팅’…계급장 떼고 자유토론",2019.01.15,2
3,"문 대통령, 5대그룹 총수와 '타운홀 미팅'…15일 청와대에서 기업인과 대화(종합)",2019.01.14,2
4,"문 대통령, 5대그룹 총수와 '타운홀 미팅'…15일 청와대에서 기업인과 대화",2019.01.14,2
5,"문 대통령, 슬로바키아 대통령과 정상회담…손경식·윤부근 등 참석",2018.04.10,2
6,LG화학 오창1공장 녹색기업 대상 수상,2015.08.26,2
7,상승대로 올라탄 수소차 관련주…두달새 200% 이상 오르기도,2019.01.18,3
8,"[특징주]한온시스템, 숨은 전기차 수혜주… 장 초반 4%↑",2017.08.02,3
9,"[클릭 e종목]""한온시스템, 친환경차 수요 증가 때 최대 수혜주…투자의견 '매수' 상향""",2017.08.02,3
10,"현대모비스, 글로벌 車부품업체 매출 4위",2016.09.14,3
11,수소차 확대 위한 컨트롤타워 생겼다…2020년까지 1만대 보급,2016.08.24,3
12,"한온시스템, 하도급대금 제대로 지급 않다 적발",2016.06.21,3
13,[부고] 서영경(한국은행 부총재보)씨 부친상,2016.05.23,3
14,"""한온시스템, 수익성 개선+주주친화정책 주목…목표가↑""",2016.02.17,3
15,"공정위원장 ""하도급대금 문제, 조사 전 시정하면 제재 안하겠다""",2015.10.08,3
16,"與 미래차 현장간담회…車업계 ""내년부터 글로벌 진검승부, 적극적인 지원 필요""",2020.08.12,4
17,"한온시스템, GM '2019년 올해의 협력사' 선정",2020.07.02,4
18,"[기업 자금조달]한온시스템, 1000억 대출…불어나는 차입금",2020.05.06,4
19,코로나19 충격에 1차 車부품사 실적도 '먹구름',2020.05.01,4
20,"韓자동차, 매출 대비 임금 日의 두 배…해외 가격경쟁력 잃어(종합)",2019.07.04,4
21,"한온시스템, 中충칭공장 준공식…""중국 핵심 생산거점 확보""",2019.05.23,4
22,"수소차株 언제까지 오르나…""장기투자 해야""",2019.01.19,4
23,상승대로 올라탄 수소차 관련주…두달새 200% 이상 오르기도,2019.01.18,4
24,"文대통령 만난 재계 ""분위기 매우 좋았다…기업지원·규제완화 건의""",2019.01.15,4
25,"대한상의, ‘타운홀 미팅’ 참가 기업인 발표…이재용·정의선 포함",2019.01.14,4
26,"한온시스템, 3인 각자대표 체제로 전환…""글로벌 사업 확대""",2018.12.17,4
27,中 수요 급감에 현대기아차 동반진출 부품사 '위기',2018.12.01,4
