,Title,Date,Category
0,[양낙규의 Defense Club]UAE 원전정비 ‘반쪽 계약’ 대신 ‘방산수출’,2020.02.19,2
1,"정재훈 한수원 사장 ""안전한 원전 운영으로 원자력과 신재생에너지 공존 필요""",2019.11.06,2
2,"[단독/2019 국감]""공기업 적자내놓고…"" 기관장은 수천만원 '성과급 잔치'",2019.10.07,2
3,"서울교통公, 정규직 전환자 15%가 '친인척'…감사원 ""사장 해임"" 통보",2019.09.30,2
4,"산업부 산하 공공기관 직원수 5년간 33.5%↑…한전, 7624명 증가",2019.09.23,2
5,"한국KDN-한전KPS, 송전철탑 표준안전대 개발나서",2019.09.03,2
6,"한수원, '원자력 유관기관 소통·상생 간담회' 개최",2019.03.21,2
7,"윤한홍 의원 ""발전정비회사 직원 공기업 전환, 실업자 양산할 수 있어""",2019.03.12,2
8,"원자력 유관기관, 에너지 취약계층 연탄지원 성금 2억원 전달",2019.01.31,2
9,"[경제전망]文정부 '혁신성장' 속도…""경제활성화 방안 나온다""",2019.01.13,2
10,"성윤모 장관의 무서운 어깨…12일 UAE행, 원전 수주 의지 강력 표명",2019.01.09,2
11,"산업부 ""UAE원전 헐값 계약 요구는 사실무근""…성윤모 장관 12일 UAE행",2019.01.08,2
12,"산업부, UAE 바라카 원전사업의 성공적 마무리에 총력",2018.12.05,2
13,"감사원, 靑 업무추진비·서울교통공사 감사 착수 결정(종합)",2018.10.30,2
14,"감사원, 靑 업무추진비·서울교통공사 감사 착수(상보)",2018.10.30,2
15,"5개 발전사, 3년간 약 9만명 발전소 출입기록 없어…'부정수급' 의혹",2018.10.16,2
16,한전KPS '전사적 불법행위'…시간외 보상 부정수급 천억원에 달해,2018.10.11,2
17,전력공기업 8개사 대규모 채용…1591명 사상 최대,2018.10.05,2
18,공직자 재산공개…임지원 금융통화위원 72억원,2018.08.31,2
19,"[2017국감]""이명박·박근혜 관변단체 지원해 친원전 여론 확산""",2017.10.12,2
