,Title,Date,Category
0,"한수원, 폴란드 신규원전 수주활동 본격 추진",2019.12.06,2
1,美 인증받은 한국형 원전…한국기술 설계력 '원더풀',2019.09.24,2
2,"한전기술, 감사원 '자체감사활동 향상기구' 선정",2019.06.19,2
3,"한전기술, 원전 기기공급업체 기기검증 역량강화 지원",2019.04.25,2
4,"한전기술, 신한울 원전 3·4호기 종합설계용역 수주",2016.03.21,2
5,원전비리 막는 첫 운영계획 수립,2016.02.29,2
6,"한전기술, 美 ENR 선정 '원전 설계부문 해외매출 세계 1위'",2015.12.23,2
7,"한전기술, 아프리카에서 태권도 활성화 지원",2015.12.02,2
8,"엔지니어링의 날, 문헌일·박구원 은탑산업훈장 수상",2015.10.19,2
9,한전기술 노사 임금피크제 도입 합의,2015.09.24,2
10,"[2015 국감]한전기술, UAE 원전 부품 부적합 판정 받아",2015.09.09,2
11,"한전기술, 김천혁신도시로 이전 완료",2015.08.20,2
12,"한전기술, 해병대 1사단과 1사1병영 자매결연 맺어",2015.08.06,2
13,"""고리 1호기 전력영향 미흡·국민 신뢰 회복위해 영구정지""(상보)",2015.06.12,2
14,"""고효율 당진9호 석탄화력발전소 세계 주목받아""",2015.05.27,2
15,'중동 원전 3탄' 막올라…정부 이집트 원전 협의 재개,2015.03.23,2
16,"한전, UAE원전 최고경영진협의회 개최",2015.01.16,2
17,"한전, 빛가람에너지밸리에 기업유치·R&D 집중",2015.01.13,2
18,[공공기관중간평가]기관별 결과보니…코레일·부산대병원·한전기술 최하위,2014.10.30,2
19,"한전기술, 원전비리 책임사직 임원 재계약 해지",2014.10.22,2
20,"[2014국감]한전기술, 원전 비리로 면직한 임원 재임명",2014.10.20,2
21,"원전해체연구소 법인 설립…""내년 하반기 착공""",2020.08.28,3
22,"한국전력기술, UAE에 원전 배관관리 프로그램 수출",2020.04.23,3
23,한수원 '원자력 일자리 창출 아이디어 공모전'…총상금 480만원,2020.02.10,3
24,"한수원, 폴란드 신규원전 수주활동 본격 추진",2019.12.06,3
25,美 인증받은 한국형 원전…한국기술 설계력 '원더풀',2019.09.24,3
26,중소 원전기업의 독자 수출 역량 키운다…2023년까지 R&D에 연 1415억 지원,2019.09.19,3
27,'경북김천 청렴플러스 문화제' 개막…반부패·청렴 주제 다채로운 행사,2019.07.16,3
28,"한전기술, 감사원 '자체감사활동 향상기구' 선정",2019.06.19,3
29,"한전기술, 원전 기기공급업체 기기검증 역량강화 지원",2019.04.25,3
30,"한전기술, 노사공동 인권경영 선포식…인권침해 예방 다짐",2018.11.02,3
31,"김종갑 한전 사장 ""탈원전, 원전 수출에 문제 안돼""",2018.10.16,3
32,"한·UAE, 文 대통령 방문 기간 3조7000억원 계약",2018.03.27,3
33,"한전기술, KT와 '최첨단 ICT 기반 에너지 융·복합 사업' 협약",2018.03.22,3
34,"한전기술, 12월12일 '애플데이' 행사 개최",2017.12.12,3
35,"한전기술, '경북김천 공공기관 합동 동반성장 포럼' 개최",2017.11.21,3
36,"한전기술, 印尼 PLNE사와 해외 발전사업 협력 체결",2017.11.02,3
