,Title,Date,Category
0,'2019 제품안전의 날' 기념식 개최…동탑산업훈장 등 54점 포상,2019.11.19,2
1,"홍종학 '자질' 다시 도마 위…野 ""사퇴하라""",2018.10.26,2
2,2018년 코리아세일페스타 2주 앞으로…'할인과 혜택' 동시에,2018.09.14,2
3,[봄시즌 가구인테리어 특집]현대리바트로 꾸미는 '2018나만의 안식처',2018.03.14,2
4,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
5,'삼성동 시대' 연 현대백화점…코로나19 속 조용한 출발,2020.04.18,3
6,"현대백화점, 중소 식음료 매장 700여 곳 수수료 낮춘다",2020.03.18,3
7,"현대백화점그룹, 모든 상장 계열사에 전자투표제 도입",2020.02.25,3
8,"현대리바트, D찬넬 적용 중저가형 주방가구 출시",2020.02.14,3
9,"현대리바트, 작년 영업익 236억…전년比 50.9% ↓",2020.02.11,3
10,"[2020유통街, 열쇳말은 변화] 불황 파고 넘는 쥐띠 CEO들",2020.01.01,3
11,"현대百그룹, 총 64명 임원인사 단행…젊은 인재 대거 발탁",2019.11.29,3
12,'젊은 피' 수혈이 관건…유통가 인사가 젊어진다(종합),2019.11.25,3
13,이마트 이어 현대백화점도 세대교체…롯데 인사에 쏠린 유통가의 눈(종합),2019.11.25,3
14,"김형종 신임 현대百 사장은 누구…""'고급화 전략'으로 한섬 성공신화""",2019.11.25,3
15,현대百 새 대표이사에 김형종 한섬 사장 선임…60년대생 '전면배치' 인사 단행,2019.11.25,3
16,'2019 제품안전의 날' 기념식 개최…동탑산업훈장 등 54점 포상,2019.11.19,3
17,"현대百그룹, '코리아 현대 페스타'…스타일러·프라엘 등 경품 풍성",2019.10.30,3
18,현대百그룹 계열사 지배구조헌장 공표…주주친화 행보에 앞장선다(종합),2019.08.14,3
19,"정지선 회장, 경영 투명성 제고에 속도…계열사 지배구조헌장 공표",2019.08.14,3
20,"현대百, '예비 부부' 멤버십 출시…""100만원 구매시 10만원 할인""",2019.02.24,3
21,"[포토]현대百 ""추운 겨울에 진짜 초콜릿을 녹인 '핫초코'""",2018.12.12,3
22,"현대백화점그룹, 한화L&C 인수 완료…“현대L&C로 새출발”",2018.12.03,3
23,"""2020년 매출 1조원 넘기겠다""…현대百면세점 내일 오픈",2018.10.31,3
24,"홍종학 '자질' 다시 도마 위…野 ""사퇴하라""",2018.10.26,3
25,"현대리바트, '네오스 송파 직영점' 오픈…""사무용 가구사업 강화""",2018.10.08,3
26,"현대백화점그룹, 종합 건자재 기업 한화L&C 3680억에 인수",2018.10.05,3
27,"현대리바트, '코리아 세일 페스타'서 최대 반값 할인",2018.09.27,3
28,[심쿵유발 혼수]공간활용ㆍ친환경 모두 잡은 현대리바트 '모듈플러스',2018.09.14,3
29,2018년 코리아세일페스타 2주 앞으로…'할인과 혜택' 동시에,2018.09.14,3
30,"현대리바트, 현대百 압구정본점에 윌리엄스 소노마 오픈",2018.09.10,3
31,"집닥, 현대리바트와 컬래버레이션…온라인 제품 할인 이벤트",2018.09.06,3
32,"현대리바트, 웨스트엘름 무역센터점 '웨딩 페스티벌'…9月말까지",2018.08.26,3
33,"현대리바트, 신성장 동력으로 B2C 키운다(종합)",2018.08.22,3
34,"""건설시장 판도예측 어려워""…현대리바트, B2C로 무게중심 급속 이동",2018.08.19,3
35,"현대리바트, B2C 호조로 '날개'…2Q 영업익 전년동기比 41%↑",2018.08.09,3
36,"현대리바트, 웨스트엘름 여름침구  '조 바이오스 텐셀 엄버 코너' 출시",2018.07.19,3
37,홈 인테리어 업계로 모이는 스타들…뜨거워지는 이미지 경쟁,2018.03.11,3
38,"현대리바트, 온라인 '반짝딜'…""미즌하임 매트리스 등 파격 할인""",2018.03.09,3
39,"현대리바트, '윌리엄스 소노마' 공식 온라인스토어 아시아 첫 오픈",2018.03.08,3
40,'찻잔 속 태풍' vs '태풍 앞 풀잎'…최저임금 바라보는 엇갈린 시선,2018.01.09,3
41,"현대백화점그룹, 11일간 '쇼핑 페스티벌' 개최…최대 70% 할인",2017.11.21,3
42,"현대홈쇼핑, 'H포인트' 론칭 기념 특별 프로모션",2017.08.13,3
43,"현대백화점그룹, 12개 계열사 멤버십 통합…'H포인트' 선봬",2017.08.09,3
44,"현대百그룹, 창립 46주년 기념 5개 온라인몰 통합 할인전",2017.06.08,3
45,30대 그룹 관료 출신 사외이사 비중 절반 가까이 달해,2017.03.22,3
46,정지선의 '패션왕국' 편집숍에 꽂히다…영패션 '언더라이즈' 준비,2017.02.23,3
47,"현대百, 겨울 마감 특별 세일전 진행",2017.01.19,3
48,"현대백화점그룹, 협력사에 물품대금 4100억 조기 지급",2017.01.12,3
49,"현대H몰, '심쿵 가구 특별전' 진행",2017.01.12,3
50,[인사]현대백화점그룹,2016.12.09,3
51,폭염·장마철 위생 고민 끝! 항균 주방제품 인기,2016.07.03,3
52,"현대리바트, 온라인몰 개편 ""온라인 유통망 강화""",2016.05.18,3
53,"현대리바트, 생활가전시장 진출 ""소형 가전 개발""",2016.04.05,3
54,"현대리바트, 'New&Best' 신혼가구 기획전 진행",2016.03.25,3
55,"현대리바트, 다목적 서재 '버킨' 20% 할인",2016.03.18,3
56,"현대리바트, 한국해비타트에 1억 규모 주방가구 후원",2016.03.14,3
57,[내가 찾던 혼수] 그레이 색상으로 주변 분위기와 어울려,2016.03.11,3
58,"현대리바트, '리바트홈 봄맞이 정기세일' 진행",2016.03.03,3
59,"현대리바트, 신학기 자녀방 책상 패키지 행사 진행",2016.02.23,3
