,Title,Date,Category
0,'2019 한국산업대전' 개막…49명 유공자 포상,2019.10.22,2
1,'2018 로보월드' 개막…전세계 18개국 154개사 참여,2018.10.11,2
2,"김상조 ""공정거래법 개정안, 동일인 지정·형벌 조항 개선할것""(종합)",2018.05.10,2
3,'2019 한국산업대전' 개막…49명 유공자 포상,2019.10.22,3
4,"'대우조선 민영화' 시작…산은, ""현대重과 우선 협상""(종합)",2019.01.31,3
5,'2018 로보월드' 개막…전세계 18개국 154개사 참여,2018.10.11,3
6,"경총, 회장단 회의 시작...송영중 부회장 소명듣고 거취 결정",2018.06.15,3
7,"김상조 ""공정거래법 개정안, 동일인 지정·형벌 조항 개선할것""(종합)",2018.05.10,3
8,"정부 출범 1년 맞아 10대 그룹 만난 김상조…""일감 몰아주기 선제적 개선해야""",2018.05.10,3
9,"권오갑 현대重 부회장, 지주대표로…정기선 부사장 승진(종합)",2017.11.14,3
10,"권오갑 현대重 부회장, 지주대표로…정기선 부사장 승진",2017.11.14,3
11,[인사]현대중공업그룹,2017.11.14,3
12,"현대중공업지주 ""두산인프라코어 인수 검토 안해""",2020.08.07,4
13,"현대중공업지주, 코로나 딛고 흑자전환…한국조선 ""하반기 LNG 수주 집중""(종합)",2020.07.30,4
14,"현대중공업지주, 2분기 영업익 1043억…코로나 딛고 흑자전환",2020.07.30,4
15,"KT, 中企 5G팩토리 구축 본격화...생산성↑",2020.06.30,4
16,구현모·정기선 로봇 동맹..KT·현대重 '혁신' 맞손(종합),2020.06.16,4
17,"KT, 현대로보틱스에 500억 지분투자...제조업 혁신 가속화",2020.06.16,4
18,"현대重그룹-KT, 지능형 로봇 개발 맞손",2020.06.16,4
19,"권오갑 회장, 현대重 현장 찾아 '안전 최우선' 재천명",2020.06.08,4
20,"LG전자, KT-LG유플러스와 손잡고 AI 국가경쟁력 강화",2020.06.03,4
21,"권오갑 현대오일뱅크 회장, 정기보수 현장서 '안전경영' 강조",2020.05.27,4
22,"손경식 경총 회장 ""2분기 경기 악화 본격화…유동성지원 '필요한 만큼' 이뤄져야""",2020.05.13,4
23,"현대重지주, 제3기 정기주총 개최",2020.03.25,4
24,"중화학 주총 키워드 ""컨트롤타워·구조조정 강화""",2020.03.20,4
25,"현대重그룹, 산·학·연과 손잡고 AI 산업 힘 모은다",2020.02.20,4
26,"KT,  산·학·연 힘 합쳐 ‘AI 1등 국가’ 만든다",2020.02.20,4
27,"구현모 내정자의 첫 작품, 산·학·연 'AI 원 팀'",2020.02.20,4
28,"현대重지주, 자사주 48.8만주 취득 후 소각…1300억원 규모",2020.02.06,4
29,현대오일뱅크 작년 영업익 5220억원…전년비 21%↓,2020.02.06,4
30,"현대重그룹, KT와 '5G 기반 스마트조선소' 구축협력 강화",2019.12.16,4
