,Title,Date,Category
0,"하나금투·IBK투자, 불완전 판매 점검 '최하점'…박용진 ""금융당국 조치해야""",2020.07.28,2
1,"선관위 ""훼손된 사전투표용지 관리 실수 인정, 책임 통감 송구""",2020.07.22,2
2,국내외 안보라인 백선엽장군 애도의 메시지(종합),2020.07.14,2
3,박한기 의장·에이브럼스 사령관 백 장군 빈소 찾아,2020.07.13,2
4,"靑 ""한국판 뉴딜은 국력결집 프로젝트""…현대차 정의선, 네이버 한성숙 '라이브 연결' (종합)",2020.07.13,2
5,"靑 ""그린뉴딜 대표기업 현대차 정의선 부회장 라이브 연결""",2020.07.13,2
6,"文대통령, 14일 '한국판 뉴딜' 국민보고…정의선, '그린 뉴딜' 발표자로",2020.07.13,2
7,민·군 수소경제 육성 박차…'수소 활용 업무협약' 체결,2020.06.16,2
8,"홍남기 부총리, 5대그룹 CEO 만나 '고용유지·투자확대' 요청",2020.05.15,2
9,"정 총리 ""포스트 코로나 시대의 핵심과제는 규제혁신""",2020.05.12,2
10,현대차그룹 GBC 착공… 군사작전에 영향 없나,2020.05.08,2
11,육군에 배치될 중형전술차량은,2020.04.18,2
12,"정 총리 ""中 현지 부품공장 부분적 가동 시작""",2020.02.10,2
13,이동섭 “마스크·손소독제 품귀현상…빠른 대책 마련돼야”,2020.02.06,2
14,"IF, '디지털세' 휴대폰·의류·차동차 기업도 부과 합의",2020.01.31,2
15,"靑 ""차세대 배터리 공동 개발 압박? 명백한 허위""",2020.01.23,2
16,"이인영 ""CES서 한국기업 박수갈채…'데이터3법' 통과해 날개달아줘야""",2020.01.08,2
17,"文대통령, 추미애 장관 임명…검찰개혁 속도전 (종합)",2020.01.02,2
18,"文대통령 ""스타트업, 韓-아세안 미래 부흥시킬 것…함께 세계경제 선도""",2019.11.26,2
19,'자율車 표준화 포럼 총회·국제 콘퍼런스' 개최…안전성 기술표준 공조 논의,2019.11.26,2
20,"조코위 대통령, 감천마을 찾아 ""부산의 마추픽추""",2019.11.25,2
21,"이 총리, 경찰 수소전기버스 시승…경찰 기동대원 격려",2019.10.31,2
22,"'미래의 활력' 재생에너지 전환, 韓 획 긋다",2019.10.23,2
23,유승민 “패스트트랙 ‘날치기’…선거법 합의에 의해 고쳐야”,2019.10.16,2
24,"문 대통령 ""2030년 미래차 1등 국가가 목표…세계 시장 점유율 10% 달성""(종합)",2019.10.15,2
25,"문 대통령, 미래차산업 비전·3대 추진 전략 발표",2019.10.15,2
26,"한수원, 국내 최초 '전기車 폐배터리 재활용 ESS사업' 착수",2019.09.27,2
27,"현대차·BMW 등 글로벌10개社, 자율차 국제표준화 논의",2019.09.26,2
28,"민주당, 전경련 방문…文정부 들어 처음",2019.09.25,2
29,"與, 전경련 찾아 기업인과 현안 간담회…文정부 들어 처음",2019.09.25,2
30,"韓日관계 악화에 車도 타격 받을라…""현대차, 일본산 부품 수입 늘려""",2019.09.18,2
31,규제샌드박스 1호 '국회 수소충전소' 준공…수소택시 10대 서울 시범사업 개시,2019.09.10,2
32,"이 총리 ""현대차 임단협 무분규 타결…성숙한 결단 감사""",2019.09.03,2
33,"靑, 대통령 전용차 포함 수소차 5대 도입…文대통령 오늘 첫 승차",2019.08.27,2
34,"4대기업, 민주당에 ""52시간 완화해달라""...양정철 ""즉답 드리기 어려워""",2019.08.13,2
35,"文대통령 ""日 무역보복 조치, '최악 상황'까지 대비…불확실성 여전""(종합)",2019.08.08,2
36,"文대통령 ""日 무역보복 조치, 이율배반적…'승자 없는 게임'""",2019.08.08,2
37,"文대통령, 8일 국민경제자문회의 전체회의 개최…日경제보복 대응 논의",2019.08.06,2
38,"'상황반장' 김상조, 비상대응 체제 가동…""5대 그룹과 日 수출 규제 대책 논의""",2019.08.05,2
39,"'상황 반장' 김상조, 비상대응 체제 가동…4대그룹 부회장들과 회동 추진",2019.08.04,2
40,"양정철, 삼성경제연구소 방문 ""1등 제품 수출기업이 슈퍼 애국자""",2019.07.29,2
41,"민주연구원, 삼성·현대차 등 4대 기업 연구기관 간담회",2019.07.22,2
42,"민주연구원, 삼성·현대차·SK·LG 싱크탱크와 정책 협력 추진",2019.07.21,2
43,"하태경 “현대차, 추가 생산 요구도 직장 내 괴롭힘?…민주노총 악용하지 말라”",2019.07.18,2
44,"한미, '자율車' 산업협력대화…日 수출규제 협조 요청",2019.07.11,2
45,"'日수출규제' 맞닥뜨린 재계, 文대통령 만나 ""긴 호흡으로""…장기전 우려",2019.07.10,2
46,"문 대통령 ""日 수출 규제 장기화 가능성...모든 가능성 대비""",2019.07.10,2
