,Title,Date,Category
0,"코이카-LH, 개발도상국 스마트시티·인프라 분야 협업 MOU",2020.08.29,2
1,"21대 초선, 다주택자 31명…강남3구에 '내 집' 20명",2020.08.28,2
2,"심상정 ""거리두기 3단계 격상하고 2차 재난수당 지급하라""",2020.08.24,2
3,박원순 與 대응에…安 “말과 행동 달라” 진중권 “운동권 평등은 출세 위한 상징자본”,2020.08.23,2
4,"이인영 ""한미워킹그룹, 남북관계 발전 방향으로 기능 재조정해야""",2020.08.18,2
5,"[전문]文대통령 ""개인의 삶·존엄 위한 나라""…제75주년 광복절 경축사",2020.08.15,2
6,"통일부 ""남북 물물교환, 한미워킹그룹 협의 사안 아니다""",2020.08.11,2
7,"文대통령 ""집값 상승세 진정되는 양상""…노영민 등 사표 언급無(상보)",2020.08.10,2
8,"개보위, 비상임위원 7명 위촉…위원 구성 마무리",2020.08.05,2
9,"""성범죄 방조한다"" 계속되는 권력형 성범죄, 정부는 '뒷짐'…비판 여론 확산",2020.08.04,2
10,'4억원'에 갇힌 한일관계,2020.08.04,2
11,"소병훈 주도, 국회 기본소득 연구포럼 30일 출범…31명 여야의원 참여",2020.07.29,2
12,"유은혜 ""박지원 학력 위조 의혹 직권 조사 실효성 없어""",2020.07.28,2
13,영업정지 대체과징금 도입 확대 등 사업자 부담경감 추진,2020.07.28,2
14,"[아시아초대석] ""코로나 약물 심사기간 5.7일로 줄여…시간과의 싸움중""",2020.07.27,2
15,"정부, 조세정책 중장기전략 '5년 단위 수립' 변경 추진",2020.07.27,2
16,"김진애 ""종부세 강화하되 1주택자엔 납부 유예""",2020.07.27,2
17,"정총리 “김현미, 부동산 정상화 최선 다해…뒷받침 해줄 것”",2020.07.23,2
18,"이소영·이해식 ""폭염특보시 박물관·미술관 무료개방해야""",2020.07.21,2
19,"과방위, 한상혁 방통위원장 후보자 청문보고서 채택",2020.07.21,2
20,인사청문회 정국 시작…통합당 ‘박원순 사건’ 총공세,2020.07.20,2
21,"[전문] 김태년 교섭단체 대표연설…“대전환의 시대, 위기를 기회로 바꿉시다”",2020.07.20,2
22,"통합당 ""대통령 개원연설, 사과 없었다…야당·국민 눈높이 못 미쳐""",2020.07.16,2
23,김두관 “피해자 원하면 경찰수사…성인지 교육은 대책 아냐”,2020.07.16,2
24,"""'신한류'로 전 세계 한류 열기 이어 나간다""",2020.07.16,2
25,與 여성의원들 ‘박원순 의혹’ 사과…진상조사·당내 성비위 점검 촉구,2020.07.14,2
26,10대 후반기 서울시의회 원 구성,2020.07.14,2
27,"기존 임대사업자에 세감면 폐지…""위헌 소지 높아""",2020.07.14,2
28,"ADB 연차총회, 2023년으로 연기 예정…9월 인천총회 화상회의 대체",2020.07.13,2
29,"통합당, 소상공인 살리기 특위 ‘첫발’…“최저임금 차등 적용 등 추진”",2020.07.13,2
30,"與野, 직장 내 괴롭힘 방지법 보완…가해자 처벌 등 추진",2020.07.10,2
31,"강경화 장관 예방한 비건 美부장관, 공식 일정 시작…강 장관 ""매우 중요한 때 오셨다""",2020.07.08,2
32,비건 美부장관 공식 일정 시작…8일 오전 강경화 장관 예방,2020.07.08,2
