,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,30850,31500,30100,30400,757228,5.4,15.6,0.8
1,2014-01-03,30400,30400,29250,29650,508786,5.4,15.6,0.8
2,2014-01-06,29550,29650,28800,29100,610361,5.4,15.6,0.8
3,2014-01-07,29200,30300,29200,30000,606992,5.4,15.6,0.8
4,2014-01-08,30500,31400,30350,31200,921633,5.4,15.6,0.8
5,2014-01-09,31400,33450,30700,33100,1389162,5.4,15.6,0.8
6,2014-01-10,33100,34450,32950,33500,1192486,5.4,15.6,0.8
7,2014-01-13,33700,36100,33200,35700,1131279,5.4,15.6,0.8
8,2014-01-14,35400,36600,35000,35500,930421,5.4,15.6,0.8
9,2014-01-15,35900,36800,35750,36150,722357,5.4,15.6,0.8
10,2014-01-16,36100,36500,35750,36000,564424,5.4,15.6,0.8
11,2014-01-17,35700,36700,34500,34750,885096,5.4,15.6,0.8
12,2014-01-20,34700,35600,34100,35500,598874,5.4,15.6,0.8
13,2014-01-21,35800,37250,35500,37100,962631,5.4,15.6,0.8
14,2014-01-22,37100,37100,35350,36650,669787,5.4,15.6,0.8
15,2014-01-23,36250,37350,36050,36300,512637,5.4,15.6,0.8
16,2014-01-24,35250,35350,33100,33300,2603522,5.4,15.6,0.8
17,2014-01-27,32350,33050,31850,32250,979333,5.4,15.6,0.8
18,2014-01-28,32100,33000,31500,32150,719044,5.4,15.6,0.8
19,2014-01-29,32400,33750,32400,33650,955507,5.4,15.6,0.8
20,2014-02-03,33200,34050,32400,32400,801264,5.4,15.6,0.8
21,2014-02-04,31500,32050,30900,32000,767285,5.4,15.6,0.8
22,2014-02-05,32250,33650,32000,33200,897772,5.4,15.6,0.8
23,2014-02-06,33250,35150,33250,34550,1103809,5.4,15.6,0.8
24,2014-02-07,31500,31850,29400,29400,5447019,5.4,15.6,0.8
25,2014-02-10,29000,29900,27850,29700,3823393,5.4,15.6,0.8
26,2014-02-11,30150,30750,29300,29450,1635169,5.4,15.6,0.8
27,2014-02-12,29750,30400,28800,30350,1273459,5.4,15.6,0.8
28,2014-02-13,30500,30700,30050,30100,610573,5.4,15.6,0.8
29,2014-02-14,30300,30700,30150,30250,547448,5.4,15.6,0.8
30,2014-02-17,30600,34500,30550,33700,2831234,5.4,15.6,0.8
31,2014-02-18,34200,34650,31300,33000,2306333,5.4,15.6,0.8
32,2014-02-19,32800,35300,32600,34700,2575487,5.4,15.6,0.8
33,2014-02-20,35200,37350,35050,36050,2468111,5.4,15.6,0.8
34,2014-02-21,36600,37500,35700,36800,1266901,5.4,15.6,0.8
35,2014-02-24,36400,37750,36250,37250,997477,5.4,15.6,0.8
36,2014-02-25,37650,37650,35850,36850,1321813,5.4,15.6,0.8
37,2014-02-26,36850,37500,36400,37050,593798,5.4,15.6,0.8
38,2014-02-27,37050,37900,36550,37600,845199,5.4,15.6,0.8
39,2014-02-28,37000,37150,35950,36050,1202856,5.4,15.6,0.8
40,2014-03-03,36050,37100,35350,36900,708347,5.4,15.6,0.8
41,2014-03-04,36700,37250,36550,36850,533706,5.4,15.6,0.8
42,2014-03-05,37300,38900,37000,38700,1172640,5.4,15.6,0.8
43,2014-03-06,38850,39300,38300,38850,760312,5.4,15.6,0.8
44,2014-03-07,39100,39950,38450,38750,772629,5.4,15.6,0.8
45,2014-03-10,38650,38650,37050,37100,825268,5.4,15.6,0.8
46,2014-03-11,37750,37900,36500,37400,641279,5.4,15.6,0.8
47,2014-03-12,36750,36950,34550,35600,1665652,5.4,15.6,0.8
48,2014-03-13,35850,37150,35650,36750,970685,5.4,15.6,0.8
49,2014-03-14,36000,36700,35700,36400,431640,5.4,15.6,0.8
50,2014-03-17,36200,36900,35550,36200,474181,5.4,15.6,0.8
51,2014-03-18,36850,37300,35350,35500,787254,5.4,15.6,0.8
52,2014-03-19,35750,36400,35250,35950,502946,5.4,15.6,0.8
53,2014-03-20,35900,36500,35350,35350,295569,5.4,15.6,0.8
54,2014-03-21,35400,35700,34550,35050,493718,5.4,15.6,0.8
55,2014-03-24,35050,35600,34600,34750,383056,5.4,15.6,0.8
56,2014-03-25,34750,36200,34450,36200,596432,5.4,15.6,0.8
57,2014-03-26,36200,36500,35450,35750,385016,5.4,15.6,0.8
58,2014-03-27,35600,36050,34700,35750,366723,5.4,15.6,0.8
59,2014-03-28,34950,36150,34950,35800,371593,5.4,15.6,0.8
60,2014-03-31,35950,36300,35550,36300,342368,5.4,15.6,0.8
61,2014-04-01,36250,36400,35600,36300,280859,5.4,15.6,0.8
62,2014-04-02,36250,36950,36000,36600,372043,5.4,15.6,0.8
63,2014-04-03,36800,37500,36600,37000,559028,5.4,15.6,0.8
64,2014-04-04,37200,37250,36450,36750,398754,5.4,15.6,0.8
65,2014-04-07,36550,36650,35450,35950,484102,5.4,15.6,0.8
66,2014-04-08,35400,36150,35400,36050,323375,5.4,15.6,0.8
67,2014-04-09,36200,36400,35750,36000,298839,5.4,15.6,0.8
68,2014-04-10,36400,37400,36150,37250,719163,5.4,15.6,0.8
69,2014-04-11,36850,37950,36700,37900,562824,5.4,15.6,0.8
70,2014-04-14,37600,38250,37450,38000,304692,5.4,15.6,0.8
71,2014-04-15,38200,38750,37250,37250,329308,5.4,15.6,0.8
72,2014-04-16,37300,37600,36650,37350,266892,5.4,15.6,0.8
73,2014-04-17,37600,38250,37500,38000,570466,5.4,15.6,0.8
74,2014-04-18,38500,39150,37900,38050,597613,5.4,15.6,0.8
75,2014-04-21,38050,38100,36950,37200,673981,5.4,15.6,0.8
76,2014-04-22,36550,37850,35950,37850,1516118,5.4,15.6,0.8
77,2014-04-23,35850,36150,35050,35150,1102787,5.4,15.6,0.8
78,2014-04-24,35250,36000,34800,35100,452312,5.4,15.6,0.8
79,2014-04-25,34850,35600,34100,34400,441282,5.4,15.6,0.8
80,2014-04-28,34100,35000,34100,35000,234055,5.4,15.6,0.8
81,2014-04-29,35100,36300,35050,35300,404154,5.4,15.6,0.8
82,2014-04-30,35700,36400,35700,36300,462785,5.4,15.6,0.8
83,2014-05-02,36500,36800,36350,36500,286408,5.4,15.6,0.8
84,2014-05-07,36800,36900,35900,35950,300557,5.4,15.6,0.8
85,2014-05-08,35950,36150,35000,35450,298328,5.4,15.6,0.8
86,2014-05-09,35400,36100,35400,35650,247320,5.4,15.6,0.8
87,2014-05-12,35450,35650,34700,34800,327494,5.4,15.6,0.8
88,2014-05-13,35200,36200,35000,35900,533271,5.4,15.6,0.8
89,2014-05-14,35950,36600,35850,36350,345114,5.4,15.6,0.8
90,2014-05-15,36350,38350,35900,37550,956331,5.4,15.6,0.8
91,2014-05-16,37500,38500,37300,38400,1029960,5.4,15.6,0.8
92,2014-05-19,38100,38650,37700,38400,605201,5.4,15.6,0.8
93,2014-05-20,38300,38850,37600,37850,609302,5.4,15.6,0.8
94,2014-05-21,38000,38050,36750,36850,549409,5.4,15.6,0.8
95,2014-05-22,37150,37500,36600,37150,395700,5.4,15.6,0.8
96,2014-05-23,37300,37500,36250,36950,422557,5.4,15.6,0.8
97,2014-05-26,36750,36950,35800,35950,477780,5.4,15.6,0.8
98,2014-05-27,35850,36300,35150,35800,521806,5.4,15.6,0.8
99,2014-05-28,35800,36400,35500,36400,496469,5.4,15.6,0.8
100,2014-05-29,36400,36400,35200,35550,512381,5.4,15.6,0.8
101,2014-05-30,35600,35600,33000,33150,1687931,5.4,15.6,0.8
102,2014-06-02,32950,33800,32650,32900,625230,5.4,15.6,0.8
103,2014-06-03,33150,33200,32500,32800,547310,5.4,15.6,0.8
104,2014-06-05,32750,33100,30500,31200,1165561,5.4,15.6,0.8
105,2014-06-09,31200,32650,31200,31850,775770,5.4,15.6,0.8
106,2014-06-10,32050,32600,31850,32450,502411,5.4,15.6,0.8
107,2014-06-11,32600,32900,31650,31900,690649,5.4,15.6,0.8
108,2014-06-12,31800,32300,30800,32300,1786135,5.4,15.6,0.8
109,2014-06-13,31900,32650,31500,32400,724762,5.4,15.6,0.8
110,2014-06-16,32350,33550,32000,33350,563763,5.4,15.6,0.8
111,2014-06-17,33550,33550,32850,33100,371087,5.4,15.6,0.8
112,2014-06-18,32950,33150,32500,32750,290093,5.4,15.6,0.8
113,2014-06-19,32800,33000,32050,32150,433609,5.4,15.6,0.8
