,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,42600,43150,41450,42100,1123603,5.3,10.5,0.54
1,2014-01-03,41750,41850,40250,40700,1032878,5.3,10.5,0.54
2,2014-01-06,40650,40900,39950,40250,817289,5.3,10.5,0.54
3,2014-01-07,40050,40650,39850,40300,621960,5.3,10.5,0.54
4,2014-01-08,40450,41400,40200,40750,752629,5.3,10.5,0.54
5,2014-01-09,40900,41250,40400,40600,848412,5.3,10.5,0.54
6,2014-01-10,40450,40650,39500,39600,806108,5.3,10.5,0.54
7,2014-01-13,39800,40100,39650,39850,527477,5.3,10.5,0.54
8,2014-01-14,39700,39950,39000,39300,731067,5.3,10.5,0.54
9,2014-01-15,39500,40050,39400,40000,704364,5.3,10.5,0.54
10,2014-01-16,40050,40250,39400,39500,722335,5.3,10.5,0.54
11,2014-01-17,39750,39750,39000,39100,590308,5.3,10.5,0.54
12,2014-01-20,38800,39050,38400,39050,785306,5.3,10.5,0.54
13,2014-01-21,39050,39400,38800,39250,1062137,5.3,10.5,0.54
14,2014-01-22,39250,39550,38200,38700,1604220,5.3,10.5,0.54
15,2014-01-23,38450,38800,37750,37800,1971872,5.3,10.5,0.54
16,2014-01-24,37600,38250,37250,37800,2496616,5.3,10.5,0.54
17,2014-01-27,37200,37300,36400,36850,2547082,5.3,10.5,0.54
18,2014-01-28,36900,36900,35900,35900,2823625,5.3,10.5,0.54
19,2014-01-29,36050,37350,36050,37200,2578858,5.3,10.5,0.54
20,2014-02-03,36200,36850,35750,36150,1884828,5.3,10.5,0.54
21,2014-02-04,35550,36050,35350,36050,1405339,5.3,10.5,0.54
22,2014-02-05,36450,36650,36100,36300,1150997,5.3,10.5,0.54
23,2014-02-06,36350,36850,36350,36850,780233,5.3,10.5,0.54
24,2014-02-07,37000,37100,36600,37100,919777,5.3,10.5,0.54
25,2014-02-10,37100,37150,36000,36300,1244572,5.3,10.5,0.54
26,2014-02-11,36100,36450,35800,36250,1015417,5.3,10.5,0.54
27,2014-02-12,36450,37300,36350,36850,1122339,5.3,10.5,0.54
28,2014-02-13,36800,37100,36200,36300,724893,5.3,10.5,0.54
29,2014-02-14,36250,36900,36250,36450,902107,5.3,10.5,0.54
30,2014-02-17,36950,38550,36700,38450,2660233,5.3,10.5,0.54
31,2014-02-18,38300,38800,37700,38700,1227189,5.3,10.5,0.54
32,2014-02-19,38350,38800,38000,38250,777652,5.3,10.5,0.54
33,2014-02-20,37800,38050,37300,37300,1227120,5.3,10.5,0.54
34,2014-02-21,37550,38650,37550,38600,1244563,5.3,10.5,0.54
35,2014-02-24,38700,39200,38350,38900,1132399,5.3,10.5,0.54
36,2014-02-25,39200,39650,39050,39200,1204992,5.3,10.5,0.54
37,2014-02-26,38700,39900,38700,39900,1449927,5.3,10.5,0.54
38,2014-02-27,39450,39850,38850,39500,922639,5.3,10.5,0.54
39,2014-02-28,39100,40600,39000,39900,1777610,5.3,10.5,0.54
40,2014-03-03,39350,39650,38950,39250,1024499,5.3,10.5,0.54
41,2014-03-04,39200,39550,39000,39300,420709,5.3,10.5,0.54
42,2014-03-05,39850,39850,39400,39550,702944,5.3,10.5,0.54
43,2014-03-06,39650,40350,39300,40350,1295085,5.3,10.5,0.54
44,2014-03-07,40100,40400,39050,39150,1072687,5.3,10.5,0.54
45,2014-03-10,38850,38950,37850,38000,1271043,5.3,10.5,0.54
46,2014-03-11,38300,38550,37750,38250,967931,5.3,10.5,0.54
47,2014-03-12,38000,38000,36800,36850,1946141,5.3,10.5,0.54
48,2014-03-13,37250,37450,36900,37000,1503274,5.3,10.5,0.54
49,2014-03-14,36600,37200,36400,36800,902750,5.3,10.5,0.54
50,2014-03-17,36650,37100,36500,36800,988369,5.3,10.5,0.54
51,2014-03-18,37200,37250,36600,36700,1203098,5.3,10.5,0.54
52,2014-03-19,37000,37300,36850,36850,751904,5.3,10.5,0.54
53,2014-03-20,36750,36750,35850,36000,1239723,5.3,10.5,0.54
54,2014-03-21,36200,36450,35900,36150,1385701,5.3,10.5,0.54
55,2014-03-24,36150,36550,35850,36250,1400057,5.3,10.5,0.54
