,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,68400,68700,66500,67000,625810,3.4,24.7,1
1,2014-01-03,66500,66800,65500,66100,695158,3.4,24.7,1
2,2014-01-06,66000,66200,65000,65400,527497,3.4,24.7,1
3,2014-01-07,65000,66500,65000,66200,424284,3.4,24.7,1
4,2014-01-08,66400,66700,65600,65600,423811,3.4,24.7,1
5,2014-01-09,65500,66700,65500,65900,494817,3.4,24.7,1
6,2014-01-10,66200,66500,65300,65500,431856,3.4,24.7,1
7,2014-01-13,65600,66400,65600,65900,256533,3.4,24.7,1
8,2014-01-14,65700,66900,65600,66900,554178,3.4,24.7,1
9,2014-01-15,67200,69000,66800,68700,1541887,3.4,24.7,1
10,2014-01-16,68800,69200,68400,69100,727929,3.4,24.7,1
11,2014-01-17,68900,69000,67800,68400,467622,3.4,24.7,1
12,2014-01-20,68400,69000,67800,68900,356932,3.4,24.7,1
13,2014-01-21,69000,70000,68800,69600,885420,3.4,24.7,1
14,2014-01-22,69500,69800,69200,69600,405598,3.4,24.7,1
15,2014-01-23,70100,70700,69600,69600,810324,3.4,24.7,1
16,2014-01-24,69300,70000,68300,69800,576969,3.4,24.7,1
17,2014-01-27,68500,69300,68100,68900,784531,3.4,24.7,1
18,2014-01-28,68800,69000,66000,66200,1600612,3.4,24.7,1
19,2014-01-29,66500,67000,65500,66100,1326412,3.4,24.7,1
20,2014-02-03,65000,65000,63400,63800,1905515,3.4,24.7,1
21,2014-02-04,62600,62800,61700,62500,1321378,3.4,24.7,1
22,2014-02-05,63000,63100,62200,62600,745837,3.4,24.7,1
23,2014-02-06,62500,63400,62100,62800,713902,3.4,24.7,1
24,2014-02-07,62400,62800,61000,61200,1337053,3.4,24.7,1
25,2014-02-10,61700,61900,61300,61600,389449,3.4,24.7,1
26,2014-02-11,61600,61700,60700,60800,767998,3.4,24.7,1
27,2014-02-12,61300,62200,61200,61800,708767,3.4,24.7,1
28,2014-02-13,62100,62700,61500,61500,577548,3.4,24.7,1
29,2014-02-14,62000,62900,61800,62500,435640,3.4,24.7,1
30,2014-02-17,63000,63100,62500,62700,276545,3.4,24.7,1
31,2014-02-18,62600,62700,61500,62200,589778,3.4,24.7,1
32,2014-02-19,62000,62200,61200,61700,497599,3.4,24.7,1
33,2014-02-20,61200,61500,60700,60700,641193,3.4,24.7,1
34,2014-02-21,60700,61400,60700,61100,509500,3.4,24.7,1
35,2014-02-24,61300,61700,61100,61400,463188,3.4,24.7,1
36,2014-02-25,61800,61900,61400,61500,341529,3.4,24.7,1
37,2014-02-26,61600,61900,60800,61100,697040,3.4,24.7,1
38,2014-02-27,61300,61300,60700,60900,589845,3.4,24.7,1
39,2014-02-28,60900,61500,60800,60900,614449,3.4,24.7,1
40,2014-03-03,61000,61500,60600,61200,507588,3.4,24.7,1
41,2014-03-04,61000,61800,60700,60800,579080,3.4,24.7,1
