,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,300500,303000,290500,292000,180305,7.2,14.3,1.2
1,2014-01-03,290000,292000,282500,286000,224960,7.2,14.3,1.2
2,2014-01-06,285500,287500,282500,284500,120776,7.2,14.3,1.2
3,2014-01-07,280000,284000,276500,277500,429091,7.2,14.3,1.2
4,2014-01-08,280000,280000,272000,275000,355834,7.2,14.3,1.2
5,2014-01-09,273500,274500,268000,268500,318316,7.2,14.3,1.2
6,2014-01-10,266500,273500,264500,267000,358740,7.2,14.3,1.2
7,2014-01-13,267500,270000,267000,270000,130012,7.2,14.3,1.2
8,2014-01-14,265500,269500,265000,267500,179676,7.2,14.3,1.2
9,2014-01-15,270500,271000,267500,269000,154660,7.2,14.3,1.2
10,2014-01-16,269500,271500,268000,270500,127326,7.2,14.3,1.2
11,2014-01-17,270500,273500,268000,270000,169756,7.2,14.3,1.2
12,2014-01-20,269000,271500,265000,269000,98787,7.2,14.3,1.2
13,2014-01-21,269000,275500,269000,273000,161557,7.2,14.3,1.2
14,2014-01-22,273000,276000,270000,276000,150834,7.2,14.3,1.2
15,2014-01-23,276000,277000,271500,272000,167963,7.2,14.3,1.2
16,2014-01-24,271000,271000,267000,268500,245940,7.2,14.3,1.2
17,2014-01-27,261000,262000,259000,262000,274790,7.2,14.3,1.2
18,2014-01-28,260000,264000,256000,260000,254571,7.2,14.3,1.2
19,2014-01-29,262000,263000,259000,260000,170631,7.2,14.3,1.2
20,2014-02-03,256000,259500,253000,254000,268619,7.2,14.3,1.2
21,2014-02-04,249000,250500,246000,249500,341480,7.2,14.3,1.2
22,2014-02-05,250000,254500,248500,250000,236721,7.2,14.3,1.2
23,2014-02-06,250500,253500,246500,248500,304377,7.2,14.3,1.2
24,2014-02-07,252000,253000,248500,249500,149940,7.2,14.3,1.2
25,2014-02-10,250500,254500,250500,252500,146625,7.2,14.3,1.2
26,2014-02-11,252000,257500,251000,254000,175995,7.2,14.3,1.2
27,2014-02-12,256000,259000,254000,257000,178416,7.2,14.3,1.2
28,2014-02-13,256000,257500,253000,254500,103141,7.2,14.3,1.2
29,2014-02-14,255000,259000,254000,256000,112896,7.2,14.3,1.2
30,2014-02-17,259000,259500,256500,256500,112365,7.2,14.3,1.2
31,2014-02-18,258000,258000,251500,254000,162536,7.2,14.3,1.2
32,2014-02-19,252000,254500,251500,253000,107308,7.2,14.3,1.2
33,2014-02-20,251500,252500,248000,249500,243701,7.2,14.3,1.2
34,2014-02-21,249000,251500,249000,251000,109327,7.2,14.3,1.2
35,2014-02-24,250000,251500,248000,249000,117235,7.2,14.3,1.2
36,2014-02-25,251500,257500,251000,257000,315925,7.2,14.3,1.2
37,2014-02-26,257000,261000,257000,259000,249860,7.2,14.3,1.2
38,2014-02-27,258500,260000,256000,257500,144203,7.2,14.3,1.2
39,2014-02-28,257500,258500,253500,254500,194922,7.2,14.3,1.2
40,2014-03-03,253500,254000,250000,252500,173453,7.2,14.3,1.2
41,2014-03-04,250500,251500,248500,250000,172347,7.2,14.3,1.2
42,2014-03-05,252500,254000,249000,249500,182008,7.2,14.3,1.2
43,2014-03-06,250500,252500,249500,251500,145928,7.2,14.3,1.2
44,2014-03-07,253000,254000,250000,251000,136373,7.2,14.3,1.2
45,2014-03-10,252500,253500,245000,246000,297159,7.2,14.3,1.2
46,2014-03-11,245000,245500,241500,244000,273928,7.2,14.3,1.2
47,2014-03-12,242500,245500,240000,241000,248579,7.2,14.3,1.2
48,2014-03-13,241500,242500,239000,241000,248077,7.2,14.3,1.2
49,2014-03-14,236500,240500,235500,239500,175918,7.2,14.3,1.2
50,2014-03-17,238500,242500,238000,241500,98037,7.2,14.3,1.2
51,2014-03-18,243500,246000,242500,244500,196104,7.2,14.3,1.2
52,2014-03-19,245000,246000,242500,243500,118483,7.2,14.3,1.2
53,2014-03-20,242000,242500,236500,238500,255637,7.2,14.3,1.2
54,2014-03-21,237500,241500,237000,239500,191786,7.2,14.3,1.2
55,2014-03-24,244000,249500,242000,248000,386819,7.2,14.3,1.2
56,2014-03-25,248500,256500,246500,254000,440930,7.2,14.3,1.2
57,2014-03-26,257000,258500,253000,254000,231536,7.2,14.3,1.2
58,2014-03-27,254000,255000,250000,253500,182131,7.2,14.3,1.2
59,2014-03-28,252500,253500,250000,252000,155685,7.2,14.3,1.2
60,2014-03-31,256000,257000,253500,254000,265413,7.2,14.3,1.2
61,2014-04-01,254000,263500,254000,263500,579438,7.2,14.3,1.2
62,2014-04-02,267000,268000,264500,264500,315965,7.2,14.3,1.2
63,2014-04-03,265000,268500,262000,262000,145261,7.2,14.3,1.2
64,2014-04-04,264000,265000,262000,262500,184432,7.2,14.3,1.2
65,2014-04-07,260000,270500,260000,269500,357244,7.2,14.3,1.2
66,2014-04-08,270000,274000,268000,272000,318481,7.2,14.3,1.2
