,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,37100,37350,35550,35550,4503101,27,8.2,1.9
1,2014-01-03,35700,36450,35600,36300,3866819,27,8.2,1.9
2,2014-01-06,36400,37700,36350,37650,5489696,27,8.2,1.9
3,2014-01-07,37350,37950,37200,37800,3365854,27,8.2,1.9
4,2014-01-08,38550,39100,38150,39000,6541929,27,8.2,1.9
5,2014-01-09,39150,39250,38500,38850,4456686,27,8.2,1.9
6,2014-01-10,38450,38700,37700,38500,4661839,27,8.2,1.9
7,2014-01-13,38350,39000,38150,38150,2173830,27,8.2,1.9
8,2014-01-14,37750,38400,37350,38400,2373406,27,8.2,1.9
9,2014-01-15,38700,38750,36450,36650,11312073,27,8.2,1.9
10,2014-01-16,36900,37000,36050,36550,5058860,27,8.2,1.9
11,2014-01-17,36600,36850,36000,36000,3390054,27,8.2,1.9
12,2014-01-20,36050,36850,36050,36850,3038514,27,8.2,1.9
13,2014-01-21,36950,37100,36400,36400,2458095,27,8.2,1.9
14,2014-01-22,36100,36350,35000,36300,8866139,27,8.2,1.9
15,2014-01-23,36300,36650,35400,35400,5413166,27,8.2,1.9
16,2014-01-24,35350,36150,35350,35900,4696232,27,8.2,1.9
17,2014-01-27,35100,35550,35000,35250,3810292,27,8.2,1.9
18,2014-01-28,35550,36800,35250,36800,5134501,27,8.2,1.9
19,2014-01-29,37100,37900,37000,37850,5768140,27,8.2,1.9
20,2014-02-03,37500,38200,37450,37950,3258954,27,8.2,1.9
21,2014-02-04,37350,37400,36500,36500,5123321,27,8.2,1.9
22,2014-02-05,36900,37000,36000,36650,3722340,27,8.2,1.9
23,2014-02-06,37050,38600,37000,38600,6520048,27,8.2,1.9
24,2014-02-07,39300,39500,38900,39300,6263133,27,8.2,1.9
25,2014-02-10,39400,39950,39000,39000,2749618,27,8.2,1.9
26,2014-02-11,39200,39600,38950,39000,1922133,27,8.2,1.9
27,2014-02-12,39600,39850,39200,39850,3365602,27,8.2,1.9
28,2014-02-13,39850,40200,39700,39900,3408592,27,8.2,1.9
29,2014-02-14,39950,40100,39000,39050,3144548,27,8.2,1.9
30,2014-02-17,39450,39700,38400,38700,3462266,27,8.2,1.9
31,2014-02-18,38800,39000,38550,38800,1740161,27,8.2,1.9
32,2014-02-19,38650,39400,38500,39150,2779561,27,8.2,1.9
33,2014-02-20,39400,39650,38700,38800,2634888,27,8.2,1.9
34,2014-02-21,39250,39700,39050,39300,3222452,27,8.2,1.9
35,2014-02-24,39100,39350,38700,38850,1853563,27,8.2,1.9
36,2014-02-25,39000,39100,37850,38650,5377950,27,8.2,1.9
37,2014-02-26,38500,39700,38450,39250,3372770,27,8.2,1.9
38,2014-02-27,39650,39650,39100,39500,2537038,27,8.2,1.9
39,2014-02-28,39700,39700,38550,38750,3571285,27,8.2,1.9
40,2014-03-03,38300,38950,38200,38950,2334413,27,8.2,1.9
41,2014-03-04,38600,39050,38550,38950,1659174,27,8.2,1.9
42,2014-03-05,39600,39600,39200,39450,2287413,27,8.2,1.9
43,2014-03-06,39450,39450,38900,39100,1894702,27,8.2,1.9
44,2014-03-07,39300,39350,38300,38550,3360351,27,8.2,1.9
45,2014-03-10,38350,38650,37650,37700,3290391,27,8.2,1.9
46,2014-03-11,37700,38200,37650,37750,2570762,27,8.2,1.9
47,2014-03-12,37550,38050,37350,37400,3136809,27,8.2,1.9
48,2014-03-13,37800,38600,37700,38050,2831772,27,8.2,1.9
49,2014-03-14,37550,38300,37000,37950,4047773,27,8.2,1.9
50,2014-03-17,37400,37450,36600,36700,4053729,27,8.2,1.9
51,2014-03-18,37200,37400,36350,36350,4067115,27,8.2,1.9
52,2014-03-19,36850,37150,36550,37000,3174111,27,8.2,1.9
53,2014-03-20,36900,37400,36700,36950,1966739,27,8.2,1.9
54,2014-03-21,37400,38750,37400,38700,4027721,27,8.2,1.9
55,2014-03-24,38750,38800,38000,38150,2911594,27,8.2,1.9
56,2014-03-25,38250,38300,37500,37600,2484259,27,8.2,1.9
57,2014-03-26,38100,38400,37650,38400,2520441,27,8.2,1.9
58,2014-03-27,38050,38400,37550,37700,2539853,27,8.2,1.9
59,2014-03-28,37850,37900,37000,37050,3497637,27,8.2,1.9
60,2014-03-31,37000,37100,35550,36000,8110589,27,8.2,1.9
61,2014-04-01,36650,37100,36600,37000,4963237,27,8.2,1.9
62,2014-04-02,37450,37700,36800,37050,3128863,27,8.2,1.9
63,2014-04-03,37300,37350,36500,36550,2239712,27,8.2,1.9
64,2014-04-04,36750,37250,36600,37250,3042845,27,8.2,1.9
65,2014-04-07,36800,37000,36500,37000,2614349,27,8.2,1.9
66,2014-04-08,36650,37200,36650,36750,2287296,27,8.2,1.9
67,2014-04-09,36900,37700,36850,37650,2781992,27,8.2,1.9
68,2014-04-10,37600,37850,37400,37700,1940111,27,8.2,1.9
69,2014-04-11,37450,37600,36850,37050,2678811,27,8.2,1.9
70,2014-04-14,37100,37250,36900,36900,1769488,27,8.2,1.9
71,2014-04-15,37450,37950,37150,37400,2511655,27,8.2,1.9
72,2014-04-16,37750,37900,37550,37650,2279437,27,8.2,1.9
73,2014-04-17,38050,38300,37850,38050,2518569,27,8.2,1.9
74,2014-04-18,39400,39550,38900,39200,6226765,27,8.2,1.9
75,2014-04-21,39300,39500,39000,39400,2012021,27,8.2,1.9
76,2014-04-22,39900,40050,39750,39800,4429639,27,8.2,1.9
77,2014-04-23,40200,40850,40050,40750,6302966,27,8.2,1.9
78,2014-04-24,40850,40900,40150,40900,4202633,27,8.2,1.9
79,2014-04-25,41100,41350,40650,40750,6413507,27,8.2,1.9
80,2014-04-28,40450,40800,39900,40500,2962593,27,8.2,1.9
81,2014-04-29,40250,40500,39600,39700,2864162,27,8.2,1.9
82,2014-04-30,39700,40300,39650,40150,2280636,27,8.2,1.9
83,2014-05-02,41200,41350,40550,40650,3374051,27,8.2,1.9
84,2014-05-07,41000,41350,40900,41100,2617891,27,8.2,1.9
85,2014-05-08,41450,41450,40550,40650,2228813,27,8.2,1.9
86,2014-05-09,40950,41200,40250,41150,2286422,27,8.2,1.9
87,2014-05-12,40900,41600,40900,41400,2028310,27,8.2,1.9
88,2014-05-13,41850,42000,41700,41700,2671855,27,8.2,1.9
89,2014-05-14,42200,42200,41750,42100,2857522,27,8.2,1.9
90,2014-05-15,41850,42100,41600,42000,2002289,27,8.2,1.9
91,2014-05-16,42000,42300,41800,42250,1793135,27,8.2,1.9
92,2014-05-19,42000,42150,40750,40900,3868734,27,8.2,1.9
93,2014-05-20,41100,42000,41100,42000,3173904,27,8.2,1.9
94,2014-05-21,41950,42250,41650,41900,2044792,27,8.2,1.9
95,2014-05-22,42400,42750,42150,42400,2314558,27,8.2,1.9
96,2014-05-23,42300,42500,41950,42350,2091017,27,8.2,1.9
97,2014-05-26,42600,42750,42350,42400,1337761,27,8.2,1.9
98,2014-05-27,42600,42650,42050,42200,1206673,27,8.2,1.9
99,2014-05-28,42750,42750,42400,42600,2267797,27,8.2,1.9
100,2014-05-29,42700,42900,42450,42600,2788250,27,8.2,1.9
101,2014-05-30,42600,44150,42600,44150,5719933,27,8.2,1.9
102,2014-06-02,44200,45200,44150,44700,2594762,27,8.2,1.9
103,2014-06-03,44250,45050,44000,44650,2452555,27,8.2,1.9
104,2014-06-05,45300,46450,44850,46450,3867206,27,8.2,1.9
105,2014-06-09,47000,47450,46000,46100,4008341,27,8.2,1.9
106,2014-06-10,46600,47350,46500,47350,2173265,27,8.2,1.9
107,2014-06-11,47550,47950,46750,47000,2699834,27,8.2,1.9
108,2014-06-12,48000,48450,46850,47400,3533745,27,8.2,1.9
109,2014-06-13,47000,47200,46400,47050,2038552,27,8.2,1.9
110,2014-06-16,46600,48550,46400,48350,2328428,27,8.2,1.9
111,2014-06-17,49000,49850,48850,49350,3064765,27,8.2,1.9
112,2014-06-18,49400,49700,48850,49000,8540327,27,8.2,1.9
113,2014-06-19,49850,50700,49700,50700,3832975,27,8.2,1.9
114,2014-06-20,50900,50900,49100,49400,7739475,27,8.2,1.9
115,2014-06-23,49250,49700,48250,48900,3331587,27,8.2,1.9
116,2014-06-24,49000,50300,48950,50300,3486605,27,8.2,1.9
117,2014-06-25,50200,50900,49600,49800,2370023,27,8.2,1.9
118,2014-06-26,50300,50600,48050,48750,4329921,27,8.2,1.9
119,2014-06-27,48350,48500,47500,47500,4132822,27,8.2,1.9
120,2014-06-30,47900,48750,47850,48550,3033278,27,8.2,1.9
121,2014-07-01,49450,49450,48400,48450,2661236,27,8.2,1.9
122,2014-07-02,49150,50500,49000,50400,4295212,27,8.2,1.9
123,2014-07-03,50700,51000,50200,50900,2679502,27,8.2,1.9
124,2014-07-04,51000,51000,49550,50400,2256886,27,8.2,1.9
125,2014-07-07,50400,51700,49900,51600,2222399,27,8.2,1.9
126,2014-07-08,51300,52000,51100,51900,2207233,27,8.2,1.9
127,2014-07-09,51500,51500,49600,49750,4902932,27,8.2,1.9
128,2014-07-10,49750,50300,49300,49300,2652157,27,8.2,1.9
129,2014-07-11,48950,49250,48350,48950,2438265,27,8.2,1.9
130,2014-07-14,49250,50200,49100,49350,2127881,27,8.2,1.9
131,2014-07-15,50300,50400,49550,49750,1757915,27,8.2,1.9
132,2014-07-16,50000,51000,49900,51000,2314317,27,8.2,1.9
133,2014-07-17,51600,52400,51300,51500,3615315,27,8.2,1.9
134,2014-07-18,50200,51100,49900,50800,2334689,27,8.2,1.9
135,2014-07-21,51300,51700,50300,50500,1627408,27,8.2,1.9
136,2014-07-22,50100,51000,49650,51000,2319621,27,8.2,1.9
137,2014-07-23,50900,51000,49400,49450,2861486,27,8.2,1.9
138,2014-07-24,49650,49700,47450,47550,7777210,27,8.2,1.9
139,2014-07-25,47800,48300,47200,47500,4385822,27,8.2,1.9
140,2014-07-28,47450,47950,46400,46550,5195081,27,8.2,1.9
141,2014-07-29,45200,45700,44400,44400,8507170,27,8.2,1.9
142,2014-07-30,45000,46750,45000,46750,6237617,27,8.2,1.9
143,2014-07-31,46050,46500,45100,45450,5587330,27,8.2,1.9
144,2014-08-01,44100,46400,44000,46300,5318497,27,8.2,1.9
145,2014-08-04,46400,47900,46350,47850,3226358,27,8.2,1.9
146,2014-08-05,48250,48300,46500,47300,3424229,27,8.2,1.9
147,2014-08-06,46750,46800,45050,45400,14682581,27,8.2,1.9
148,2014-08-07,45700,46100,44650,45200,3846213,27,8.2,1.9
149,2014-08-08,44500,45000,43500,44200,6182189,27,8.2,1.9
150,2014-08-11,44900,45550,44500,45000,3098675,27,8.2,1.9
151,2014-08-12,45000,45150,43050,43250,5457423,27,8.2,1.9
152,2014-08-13,43600,44450,43500,43900,3848799,27,8.2,1.9
153,2014-08-14,44500,44800,43200,43550,3825576,27,8.2,1.9
154,2014-08-18,44400,44400,43650,43850,2842982,27,8.2,1.9
155,2014-08-19,44250,44550,43800,43800,3046890,27,8.2,1.9
156,2014-08-20,44150,45350,44100,45350,3912499,27,8.2,1.9
157,2014-08-21,45800,46350,45400,45850,4749347,27,8.2,1.9
158,2014-08-22,46700,46750,45350,45950,2874325,27,8.2,1.9
159,2014-08-25,45850,47300,45700,47150,3083363,27,8.2,1.9
160,2014-08-26,47150,47300,46550,46700,2110839,27,8.2,1.9
161,2014-08-27,46700,47000,45150,45350,3858033,27,8.2,1.9
162,2014-08-28,45600,45650,44400,45600,3705945,27,8.2,1.9
163,2014-08-29,45100,45700,45000,45400,2167684,27,8.2,1.9
164,2014-09-01,45700,45800,44500,44500,1892686,27,8.2,1.9
165,2014-09-02,44700,44950,43850,44050,2171185,27,8.2,1.9
166,2014-09-03,43450,43750,41700,41800,8149751,27,8.2,1.9
167,2014-09-04,42450,42850,41950,42050,3744556,27,8.2,1.9
168,2014-09-05,42600,43300,42500,43200,3074526,27,8.2,1.9
169,2014-09-11,45700,45700,43850,43850,5791277,27,8.2,1.9
170,2014-09-12,44200,44550,44050,44500,1445681,27,8.2,1.9
171,2014-09-15,44300,44400,42800,42800,2371058,27,8.2,1.9
172,2014-09-16,42300,43600,42300,43500,2247094,27,8.2,1.9
173,2014-09-17,43850,44450,43650,44100,2721126,27,8.2,1.9
174,2014-09-18,43800,44100,42800,42900,1766197,27,8.2,1.9
175,2014-09-19,43400,44200,43200,44000,2586406,27,8.2,1.9
176,2014-09-22,43550,43700,42850,43250,1476639,27,8.2,1.9
177,2014-09-23,42900,43550,42500,42500,2203104,27,8.2,1.9
178,2014-09-24,42550,44400,42500,44200,3922847,27,8.2,1.9
179,2014-09-25,44400,45450,44350,44600,3632706,27,8.2,1.9
180,2014-09-26,44500,45800,44300,45600,3154902,27,8.2,1.9
181,2014-09-29,46500,47450,46350,47150,4912552,27,8.2,1.9
182,2014-09-30,46900,47300,46250,46750,3038001,27,8.2,1.9
183,2014-10-01,46750,47200,46000,46400,2482308,27,8.2,1.9
184,2014-10-02,46000,47300,45700,47100,2952839,27,8.2,1.9
185,2014-10-06,47850,47850,43250,44700,7288648,27,8.2,1.9
186,2014-10-07,44500,45350,42950,44700,5680210,27,8.2,1.9
187,2014-10-08,44500,44850,43600,44150,2053318,27,8.2,1.9
188,2014-10-10,42050,42950,41850,42200,4630979,27,8.2,1.9
189,2014-10-13,40350,42150,40300,41700,4361715,27,8.2,1.9
190,2014-10-14,41750,43450,41550,43300,2953492,27,8.2,1.9
191,2014-10-15,43200,44000,43000,43400,2372222,27,8.2,1.9
192,2014-10-16,43500,45200,43450,45100,3553225,27,8.2,1.9
193,2014-10-17,45000,45750,43650,44100,2900418,27,8.2,1.9
194,2014-10-20,44100,45050,43550,44900,1788929,27,8.2,1.9
195,2014-10-21,45050,46000,44650,45250,2147556,27,8.2,1.9
196,2014-10-22,46250,46700,45900,46300,2420313,27,8.2,1.9
197,2014-10-23,46300,46800,45500,45500,1829919,27,8.2,1.9
198,2014-10-24,46450,46500,45050,45300,2214244,27,8.2,1.9
199,2014-10-27,45800,45900,44400,44600,1722449,27,8.2,1.9
200,2014-10-28,45150,46100,45000,46000,2907131,27,8.2,1.9
201,2014-10-29,46350,47000,45800,47000,2638547,27,8.2,1.9
202,2014-10-30,47300,47450,46400,47200,2924313,27,8.2,1.9
203,2014-10-31,47550,47550,46900,47450,2577692,27,8.2,1.9
204,2014-11-03,48000,48250,47600,48050,2388430,27,8.2,1.9
205,2014-11-04,48300,48300,47000,47450,1888587,27,8.2,1.9
206,2014-11-05,47850,47950,46900,47200,1617220,27,8.2,1.9
207,2014-11-06,47750,48200,47550,47950,1555748,27,8.2,1.9
208,2014-11-07,47950,47950,47000,47400,1624430,27,8.2,1.9
209,2014-11-10,47500,48100,47450,47550,1583801,27,8.2,1.9
210,2014-11-11,48000,48000,47200,47600,1558513,27,8.2,1.9
211,2014-11-12,47900,48300,47300,48100,1960104,27,8.2,1.9
212,2014-11-13,48350,48350,47600,48100,1421799,27,8.2,1.9
213,2014-11-14,48500,49200,47900,49200,2592089,27,8.2,1.9
214,2014-11-17,49200,49350,45700,45900,5493082,27,8.2,1.9
215,2014-11-18,46500,47150,46000,46400,2798997,27,8.2,1.9
