,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,74100,74200,71700,72500,301161,5.6,5.1,1.1
1,2014-01-03,72000,72400,70400,71100,390242,5.6,5.1,1.1
2,2014-01-06,70500,70800,69600,70000,359174,5.6,5.1,1.1
3,2014-01-07,69200,69800,69100,69700,255252,5.6,5.1,1.1
4,2014-01-08,69800,69900,66700,68000,838126,5.6,5.1,1.1
5,2014-01-09,67700,68600,67700,67700,247632,5.6,5.1,1.1
6,2014-01-10,69500,73300,69500,70300,1396447,5.6,5.1,1.1
7,2014-01-13,71100,71300,70100,70600,213664,5.6,5.1,1.1
8,2014-01-14,70300,70800,68800,69800,394272,5.6,5.1,1.1
9,2014-01-15,69800,70400,68900,69700,198810,5.6,5.1,1.1
10,2014-01-16,69700,70600,69000,69800,246973,5.6,5.1,1.1
11,2014-01-17,69800,70900,69600,69800,214868,5.6,5.1,1.1
12,2014-01-20,70000,70200,69000,70000,138172,5.6,5.1,1.1
13,2014-01-21,70000,70200,69200,69900,110387,5.6,5.1,1.1
14,2014-01-22,70000,70700,69800,70100,123171,5.6,5.1,1.1
15,2014-01-23,70300,70900,70300,70400,199557,5.6,5.1,1.1
16,2014-01-24,70900,70900,69300,69900,219228,5.6,5.1,1.1
17,2014-01-27,69000,69000,67000,68600,355919,5.6,5.1,1.1
18,2014-01-28,68500,69200,67900,68500,181174,5.6,5.1,1.1
19,2014-01-29,68400,68800,68200,68600,147654,5.6,5.1,1.1
20,2014-02-03,68000,68400,67600,68100,125326,5.6,5.1,1.1
21,2014-02-04,67400,67800,65900,66700,385438,5.6,5.1,1.1
22,2014-02-05,67000,67200,66400,66500,191455,5.6,5.1,1.1
23,2014-02-06,66400,67200,66100,66300,209253,5.6,5.1,1.1
24,2014-02-07,67000,67800,66100,66500,200720,5.6,5.1,1.1
25,2014-02-10,67200,68300,66800,67600,239518,5.6,5.1,1.1
26,2014-02-11,66700,68200,66700,67600,144447,5.6,5.1,1.1
27,2014-02-12,67600,68000,66600,67000,265297,5.6,5.1,1.1
28,2014-02-13,67100,67400,66400,66600,135890,5.6,5.1,1.1
29,2014-02-14,67000,67300,66500,67100,86182,5.6,5.1,1.1
30,2014-02-17,67700,67700,66300,66900,186705,5.6,5.1,1.1
31,2014-02-18,66700,67200,66100,66700,186680,5.6,5.1,1.1
32,2014-02-19,66500,66700,66100,66500,109617,5.6,5.1,1.1
33,2014-02-20,66200,66400,65300,65900,298048,5.6,5.1,1.1
34,2014-02-21,66100,67100,66000,66800,176089,5.6,5.1,1.1
35,2014-02-24,67000,67000,65900,66300,181555,5.6,5.1,1.1
36,2014-02-25,66600,66900,65600,66200,233304,5.6,5.1,1.1
37,2014-02-26,66000,66300,65400,66200,232157,5.6,5.1,1.1
38,2014-02-27,65700,66200,65000,65400,308346,5.6,5.1,1.1
39,2014-02-28,65400,65800,64900,65400,253803,5.6,5.1,1.1
40,2014-03-03,64900,65300,64200,64800,209311,5.6,5.1,1.1
41,2014-03-04,64800,65200,64000,64500,265344,5.6,5.1,1.1
42,2014-03-05,64900,65400,64300,64600,211102,5.6,5.1,1.1
43,2014-03-06,64600,65000,64100,64400,184991,5.6,5.1,1.1
44,2014-03-07,64500,64800,63800,64100,167065,5.6,5.1,1.1
45,2014-03-10,63900,64300,63700,64200,176533,5.6,5.1,1.1
46,2014-03-11,64100,65500,63800,65100,324003,5.6,5.1,1.1
47,2014-03-12,64800,65000,64100,64400,200696,5.6,5.1,1.1
48,2014-03-13,64200,65200,63600,64600,334888,5.6,5.1,1.1
49,2014-03-14,64600,64600,63000,63500,376985,5.6,5.1,1.1
50,2014-03-17,63400,63900,63100,63800,130147,5.6,5.1,1.1
51,2014-03-18,63800,64000,63000,63500,254667,5.6,5.1,1.1
52,2014-03-19,63600,63900,62600,62700,249785,5.6,5.1,1.1
53,2014-03-20,62700,62800,60800,61500,403532,5.6,5.1,1.1
54,2014-03-21,61200,61700,60400,60800,504816,5.6,5.1,1.1
55,2014-03-24,60800,61800,60800,61000,262009,5.6,5.1,1.1
56,2014-03-25,61200,61700,60900,61400,245814,5.6,5.1,1.1
57,2014-03-26,61500,62100,60800,61000,311674,5.6,5.1,1.1
58,2014-03-27,60900,61300,60400,61000,229564,5.6,5.1,1.1
59,2014-03-28,61400,61600,61100,61200,154951,5.6,5.1,1.1
60,2014-03-31,61600,62500,61400,61600,300868,5.6,5.1,1.1
61,2014-04-01,61700,62100,61100,61600,173312,5.6,5.1,1.1
62,2014-04-02,61600,61900,61400,61600,114543,5.6,5.1,1.1
63,2014-04-03,61500,62000,60600,61000,243745,5.6,5.1,1.1
64,2014-04-04,60900,61300,60600,60700,238952,5.6,5.1,1.1
65,2014-04-07,59900,61700,59700,61500,312954,5.6,5.1,1.1
66,2014-04-08,61600,62700,61400,62200,336139,5.6,5.1,1.1
67,2014-04-09,62500,63700,62200,63000,399040,5.6,5.1,1.1
68,2014-04-10,63700,64000,62300,62800,280521,5.6,5.1,1.1
69,2014-04-11,62400,63500,62100,63100,221458,5.6,5.1,1.1
70,2014-04-14,63100,63500,62500,63100,156334,5.6,5.1,1.1
71,2014-04-15,62900,63400,62000,62400,210953,5.6,5.1,1.1
72,2014-04-16,62100,62400,61700,62200,151453,5.6,5.1,1.1
73,2014-04-17,62400,62700,61800,62300,103956,5.6,5.1,1.1
74,2014-04-18,62400,63300,62100,62700,207136,5.6,5.1,1.1
75,2014-04-21,62800,63200,62100,62500,115463,5.6,5.1,1.1
76,2014-04-22,62200,62500,62000,62100,137988,5.6,5.1,1.1
77,2014-04-23,62100,62100,60700,61300,387570,5.6,5.1,1.1
78,2014-04-24,60900,61200,60200,60900,303737,5.6,5.1,1.1
79,2014-04-25,60500,60500,60100,60200,323521,5.6,5.1,1.1
80,2014-04-28,60100,60600,60000,60300,90269,5.6,5.1,1.1
81,2014-04-29,60100,60500,60100,60400,125331,5.6,5.1,1.1
