,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,232000,232500,228000,228000,125260,12.88,12.01,1.3
1,2014-01-03,226500,228000,225000,226500,123479,12.88,12.01,1.3
2,2014-01-06,223500,228000,223500,228000,92521,12.88,12.01,1.3
3,2014-01-07,229000,229500,224000,229000,210585,12.88,12.01,1.3
4,2014-01-08,231500,231500,224500,228500,211513,12.88,12.01,1.3
5,2014-01-09,226500,229000,223500,225000,225708,12.88,12.01,1.3
6,2014-01-10,223500,225500,220000,222000,178172,12.88,12.01,1.3
7,2014-01-13,224500,226500,219000,226000,142866,12.88,12.01,1.3
8,2014-01-14,226000,228500,225000,227500,122598,12.88,12.01,1.3
9,2014-01-15,226500,231000,226000,228500,117584,12.88,12.01,1.3
10,2014-01-16,228000,228000,226000,226500,136370,12.88,12.01,1.3
11,2014-01-17,225000,227000,221000,223500,221933,12.88,12.01,1.3
12,2014-01-20,222000,223000,217500,218500,161995,12.88,12.01,1.3
13,2014-01-21,219500,222500,218000,221000,157241,12.88,12.01,1.3
14,2014-01-22,220500,221000,217500,219000,148465,12.88,12.01,1.3
15,2014-01-23,219500,219500,213000,215500,293642,12.88,12.01,1.3
16,2014-01-24,213000,215500,212500,212500,151940,12.88,12.01,1.3
17,2014-01-27,211500,212000,205000,205500,307320,12.88,12.01,1.3
18,2014-01-28,207500,215000,206500,213000,188735,12.88,12.01,1.3
19,2014-01-29,212500,216500,210000,216500,210964,12.88,12.01,1.3
20,2014-02-03,212500,215500,212500,214500,170913,12.88,12.01,1.3
21,2014-02-04,210500,211000,205000,207500,287466,12.88,12.01,1.3
22,2014-02-05,207000,209000,204500,204500,197497,12.88,12.01,1.3
23,2014-02-06,206500,208500,205000,205500,130265,12.88,12.01,1.3
24,2014-02-07,207500,208000,203500,206000,159668,12.88,12.01,1.3
25,2014-02-10,207500,207500,205500,206500,103694,12.88,12.01,1.3
26,2014-02-11,204500,207500,204000,206500,114576,12.88,12.01,1.3
27,2014-02-12,206500,208000,204500,206000,135337,12.88,12.01,1.3
28,2014-02-13,204500,205000,200000,200000,366509,12.88,12.01,1.3
29,2014-02-14,199500,201000,194000,198000,306414,12.88,12.01,1.3
30,2014-02-17,199000,199000,192000,196500,392260,12.88,12.01,1.3
