,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,56200,56300,52300,52700,3333908,16.6,6.3,1
1,2014-01-03,53200,53400,52000,52700,1793537,16.6,6.3,1
2,2014-01-06,52900,53300,51300,52500,2504523,16.6,6.3,1
3,2014-01-07,52200,54200,52200,54000,2081098,16.6,6.3,1
4,2014-01-08,54100,54300,53300,53900,1353618,16.6,6.3,1
5,2014-01-09,53400,54100,52400,52400,1687262,16.6,6.3,1
6,2014-01-10,52100,52900,51500,51600,1445664,16.6,6.3,1
7,2014-01-13,51600,53300,51500,52500,1271734,16.6,6.3,1
8,2014-01-14,52500,53900,52100,52100,1543502,16.6,6.3,1
9,2014-01-15,52100,52800,51500,51800,1536443,16.6,6.3,1
10,2014-01-16,52000,52300,51300,51500,1312313,16.6,6.3,1
11,2014-01-17,51500,51800,50300,50300,2319906,16.6,6.3,1
12,2014-01-20,50400,51100,50100,50600,1511651,16.6,6.3,1
13,2014-01-21,51100,52100,50800,51400,2142320,16.6,6.3,1
14,2014-01-22,51100,53600,51000,53100,3054323,16.6,6.3,1
15,2014-01-23,53300,53900,52800,53300,1507814,16.6,6.3,1
16,2014-01-24,53100,53300,51200,52700,2081766,16.6,6.3,1
17,2014-01-27,51200,54000,51200,53500,2614226,16.6,6.3,1
18,2014-01-28,53500,55100,53400,54200,1862029,16.6,6.3,1
19,2014-01-29,54900,55400,53600,54000,1959321,16.6,6.3,1
20,2014-02-03,53000,54300,53000,53600,1297739,16.6,6.3,1
21,2014-02-04,53100,54800,53000,54000,2251914,16.6,6.3,1
22,2014-02-05,54600,54700,53900,53900,941610,16.6,6.3,1
23,2014-02-06,54100,54200,53400,53700,844843,16.6,6.3,1
24,2014-02-07,54200,54300,52700,54000,874313,16.6,6.3,1
25,2014-02-10,53700,54200,53100,53900,825073,16.6,6.3,1
26,2014-02-11,53600,53900,53100,53200,768548,16.6,6.3,1
27,2014-02-12,53600,53700,52100,52300,1242089,16.6,6.3,1
28,2014-02-13,52300,53100,52100,52100,667746,16.6,6.3,1
29,2014-02-14,52700,53500,52600,53300,738476,16.6,6.3,1
30,2014-02-17,53600,54000,52800,53200,598499,16.6,6.3,1
31,2014-02-18,53000,53400,52500,52800,607895,16.6,6.3,1
