,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
0,2014-01-02,12200,12300,12000,12100,1151480,6.9,8.3,0.56
1,2014-01-03,12050,12100,11850,11900,1191536,6.9,8.3,0.56
2,2014-01-06,11900,12000,11850,11900,1084005,6.9,8.3,0.56
3,2014-01-07,11850,12050,11850,12000,1009105,6.9,8.3,0.56
4,2014-01-08,11950,12150,11950,12050,1037334,6.9,8.3,0.56
5,2014-01-09,12050,12200,12000,12100,1152829,6.9,8.3,0.56
6,2014-01-10,12050,12200,11900,11950,1632755,6.9,8.3,0.56
7,2014-01-13,11950,12300,11950,12200,1082390,6.9,8.3,0.56
8,2014-01-14,12100,12250,11950,12000,905485,6.9,8.3,0.56
9,2014-01-15,12050,12450,12000,12350,1875224,6.9,8.3,0.56
10,2014-01-16,12500,12750,12400,12700,2380615,6.9,8.3,0.56
11,2014-01-17,12600,12650,12400,12500,884029,6.9,8.3,0.56
12,2014-01-20,12400,12500,12300,12450,567392,6.9,8.3,0.56
13,2014-01-21,12500,12700,12400,12600,766280,6.9,8.3,0.56
14,2014-01-22,12700,12700,12100,12300,2638032,6.9,8.3,0.56
15,2014-01-23,12350,12450,12200,12250,869256,6.9,8.3,0.56
16,2014-01-24,12200,12450,12150,12350,1110939,6.9,8.3,0.56
17,2014-01-27,12100,12300,12100,12200,921073,6.9,8.3,0.56
18,2014-01-28,12250,12350,12100,12300,704378,6.9,8.3,0.56
19,2014-01-29,12350,12700,12350,12500,1038336,6.9,8.3,0.56
20,2014-02-03,12400,12550,12300,12350,443283,6.9,8.3,0.56
21,2014-02-04,12200,12300,12150,12150,1294662,6.9,8.3,0.56
22,2014-02-05,12250,12550,12100,12150,1004949,6.9,8.3,0.56
23,2014-02-06,12200,12400,12200,12200,439664,6.9,8.3,0.56
24,2014-02-07,12300,12300,12050,12100,620377,6.9,8.3,0.56
25,2014-02-10,12200,12450,12150,12200,1186430,6.9,8.3,0.56
26,2014-02-11,12250,12550,12200,12500,847455,6.9,8.3,0.56
27,2014-02-12,12500,12700,12450,12600,861366,6.9,8.3,0.56
28,2014-02-13,12600,12700,12400,12650,1418400,6.9,8.3,0.56
29,2014-02-14,12700,12800,12550,12650,784171,6.9,8.3,0.56
30,2014-02-17,12700,12950,12650,12850,1279248,6.9,8.3,0.56
31,2014-02-18,12900,13100,12800,13100,1113055,6.9,8.3,0.56
32,2014-02-19,13100,13400,12950,13400,1434115,6.9,8.3,0.56
33,2014-02-20,13250,13300,12950,13050,802385,6.9,8.3,0.56
34,2014-02-21,13050,13250,13000,13200,559908,6.9,8.3,0.56
35,2014-02-24,13200,13200,13000,13050,715495,6.9,8.3,0.56
36,2014-02-25,13100,13450,13100,13300,910471,6.9,8.3,0.56
37,2014-02-26,13150,13500,13150,13500,1025301,6.9,8.3,0.56
38,2014-02-27,13400,13500,13300,13450,1399034,6.9,8.3,0.56
39,2014-02-28,13550,13750,13500,13600,4786463,6.9,8.3,0.56
40,2014-03-03,13500,13550,12950,12950,2092353,6.9,8.3,0.56
41,2014-03-04,12950,13150,12900,13150,697840,6.9,8.3,0.56
42,2014-03-05,13300,13300,13000,13100,665123,6.9,8.3,0.56
43,2014-03-06,13100,13150,12900,13050,965574,6.9,8.3,0.56
44,2014-03-07,13000,13200,12750,12900,1180391,6.9,8.3,0.56
45,2014-03-10,12900,12950,12600,12650,660032,6.9,8.3,0.56
46,2014-03-11,12700,13050,12700,13000,701464,6.9,8.3,0.56
47,2014-03-12,12950,13000,12600,12750,940506,6.9,8.3,0.56
48,2014-03-13,12800,13050,12700,13050,637196,6.9,8.3,0.56
49,2014-03-14,12850,12900,12750,12800,701919,6.9,8.3,0.56
50,2014-03-17,12750,12850,12700,12800,561119,6.9,8.3,0.56
51,2014-03-18,12900,12950,12750,12750,725748,6.9,8.3,0.56
52,2014-03-19,12900,13500,12850,13500,1314763,6.9,8.3,0.56
53,2014-03-20,13350,13400,12950,12950,863501,6.9,8.3,0.56
54,2014-03-21,13050,13200,12900,12900,577876,6.9,8.3,0.56
55,2014-03-24,13000,13550,13000,13300,1294542,6.9,8.3,0.56
56,2014-03-25,13350,13800,13200,13350,1989864,6.9,8.3,0.56
57,2014-03-26,13450,13700,13400,13650,996793,6.9,8.3,0.56
58,2014-03-27,13550,13600,13300,13350,963911,6.9,8.3,0.56
59,2014-03-28,13450,13750,13350,13600,594004,6.9,8.3,0.56
60,2014-03-31,13600,13750,13450,13500,752835,6.9,8.3,0.56
61,2014-04-01,13250,13350,12950,13000,4308607,6.9,8.3,0.56
62,2014-04-02,13100,13200,12900,13000,1610842,6.9,8.3,0.56
63,2014-04-03,13150,13450,13100,13200,2274540,6.9,8.3,0.56
64,2014-04-04,13150,13300,13100,13200,753083,6.9,8.3,0.56
65,2014-04-07,13150,13200,12700,12800,2509781,6.9,8.3,0.56
66,2014-04-08,12800,12850,12650,12650,1620645,6.9,8.3,0.56
67,2014-04-09,12700,12800,12650,12700,2037219,6.9,8.3,0.56
68,2014-04-10,12750,12750,12550,12650,2509930,6.9,8.3,0.56
69,2014-04-11,12600,12600,12300,12350,2967645,6.9,8.3,0.56
70,2014-04-14,12450,12700,12400,12650,3705202,6.9,8.3,0.56
71,2014-04-15,12750,12850,12600,12650,1490418,6.9,8.3,0.56
72,2014-04-16,12700,12750,12550,12600,1017225,6.9,8.3,0.56
73,2014-04-17,12700,12800,12600,12700,1414112,6.9,8.3,0.56
74,2014-04-18,12750,12950,12700,12850,1620873,6.9,8.3,0.56
75,2014-04-21,12900,12950,12750,12850,936890,6.9,8.3,0.56
76,2014-04-22,12850,13000,12700,12800,1174678,6.9,8.3,0.56
77,2014-04-23,12900,12950,12700,12800,1808483,6.9,8.3,0.56
78,2014-04-24,12800,12850,12700,12800,1951458,6.9,8.3,0.56
79,2014-04-25,12800,12800,12550,12550,1048365,6.9,8.3,0.56
80,2014-04-28,12550,12600,12350,12400,1119843,6.9,8.3,0.56
81,2014-04-29,12450,12700,12400,12600,3322908,6.9,8.3,0.56
82,2014-04-30,12650,12700,12550,12700,1651747,6.9,8.3,0.56
83,2014-05-02,12700,12750,12600,12700,1153159,6.9,8.3,0.56
84,2014-05-07,12850,12850,12600,12700,1489906,6.9,8.3,0.56
85,2014-05-08,12750,12900,12650,12850,1580689,6.9,8.3,0.56
86,2014-05-09,12950,13450,12900,13450,2203093,6.9,8.3,0.56
87,2014-05-12,13450,13500,13200,13450,1116568,6.9,8.3,0.56
88,2014-05-13,13450,13600,13250,13600,1400609,6.9,8.3,0.56
89,2014-05-14,13600,13700,13500,13700,1332344,6.9,8.3,0.56
90,2014-05-15,13600,13800,13400,13500,1400758,6.9,8.3,0.56
91,2014-05-16,13500,13500,13300,13450,990950,6.9,8.3,0.56
92,2014-05-19,13450,13800,13450,13650,1539087,6.9,8.3,0.56
93,2014-05-20,13650,13750,13450,13550,883661,6.9,8.3,0.56
94,2014-05-21,13400,13600,13200,13300,1147413,6.9,8.3,0.56
95,2014-05-22,13400,13750,13350,13750,1398613,6.9,8.3,0.56
96,2014-05-23,13750,13900,13600,13800,1267597,6.9,8.3,0.56
97,2014-05-26,13800,14000,13750,13800,1403034,6.9,8.3,0.56
98,2014-05-27,13900,13950,13650,13950,1138740,6.9,8.3,0.56
99,2014-05-28,13950,14300,13850,13900,1945443,6.9,8.3,0.56
100,2014-05-29,14000,14150,13850,14000,879003,6.9,8.3,0.56
101,2014-05-30,14000,14050,13650,14000,1360380,6.9,8.3,0.56
102,2014-06-02,13900,13950,13500,13600,948016,6.9,8.3,0.56
103,2014-06-03,13500,13500,13100,13450,1703607,6.9,8.3,0.56
104,2014-06-05,13500,13800,13450,13750,956836,6.9,8.3,0.56
105,2014-06-09,13750,13950,13550,13700,871942,6.9,8.3,0.56
106,2014-06-10,13800,13800,13400,13550,957980,6.9,8.3,0.56
107,2014-06-11,13550,13900,13500,13800,1018604,6.9,8.3,0.56
108,2014-06-12,13700,13750,13600,13750,592391,6.9,8.3,0.56
109,2014-06-13,13700,13900,13650,13750,776351,6.9,8.3,0.56
110,2014-06-16,13800,13950,13700,13700,729315,6.9,8.3,0.56
111,2014-06-17,13850,13950,13700,13850,902378,6.9,8.3,0.56
112,2014-06-18,13950,14150,13450,13600,1067245,6.9,8.3,0.56
113,2014-06-19,13700,13800,13250,13400,1410713,6.9,8.3,0.56
114,2014-06-20,13400,13400,13150,13150,1043810,6.9,8.3,0.56
115,2014-06-23,13250,13300,13100,13250,1044043,6.9,8.3,0.56
116,2014-06-24,13250,13800,13200,13500,1397956,6.9,8.3,0.56
117,2014-06-25,13500,13600,13100,13200,1384013,6.9,8.3,0.56
118,2014-06-26,13250,13300,13050,13250,1215599,6.9,8.3,0.56
119,2014-06-27,13200,13350,13150,13200,590308,6.9,8.3,0.56
120,2014-06-30,13200,13500,13100,13500,804732,6.9,8.3,0.56
121,2014-07-01,13500,13500,13250,13450,606060,6.9,8.3,0.56
122,2014-07-02,13450,13550,13300,13500,660360,6.9,8.3,0.56
123,2014-07-03,13550,13600,13300,13300,817497,6.9,8.3,0.56
124,2014-07-04,13450,13550,13400,13500,726091,6.9,8.3,0.56
125,2014-07-07,13450,13500,13150,13150,1092880,6.9,8.3,0.56
126,2014-07-08,13200,13350,13150,13200,831866,6.9,8.3,0.56
127,2014-07-09,13150,13200,13050,13050,788028,6.9,8.3,0.56
128,2014-07-10,13100,13150,12900,12950,853784,6.9,8.3,0.56
129,2014-07-11,12900,13000,12800,12950,667995,6.9,8.3,0.56
130,2014-07-14,13000,13400,13000,13400,863948,6.9,8.3,0.56
131,2014-07-15,13450,13550,13350,13500,896514,6.9,8.3,0.56
132,2014-07-16,13450,13700,13300,13350,1104388,6.9,8.3,0.56
133,2014-07-17,13450,13700,13400,13650,1208021,6.9,8.3,0.56
134,2014-07-18,13100,13350,13050,13150,32235031,6.9,8.3,0.56
135,2014-07-21,13250,13300,13150,13200,3135002,6.9,8.3,0.56
136,2014-07-22,13250,13400,13150,13150,2648535,6.9,8.3,0.56
137,2014-07-23,13250,13350,13200,13300,2618035,6.9,8.3,0.56
138,2014-07-24,13350,13550,13250,13450,2504311,6.9,8.3,0.56
139,2014-07-25,13450,13650,13350,13600,2033606,6.9,8.3,0.56
140,2014-07-28,13600,14450,13600,14450,5390068,6.9,8.3,0.56
141,2014-07-29,14650,15100,14500,14900,5235808,6.9,8.3,0.56
142,2014-07-30,15250,16900,15100,15700,6925446,6.9,8.3,0.56
143,2014-07-31,16000,16600,15200,15400,5403325,6.9,8.3,0.56
144,2014-08-01,15200,16250,15200,16050,3219075,6.9,8.3,0.56
145,2014-08-04,16300,16400,15800,16350,2249688,6.9,8.3,0.56
146,2014-08-05,16350,16400,15800,15950,1889501,6.9,8.3,0.56
147,2014-08-06,15900,16400,15800,16050,2295234,6.9,8.3,0.56
148,2014-08-07,16150,16250,15850,16250,1375284,6.9,8.3,0.56
149,2014-08-08,16250,16300,15500,15850,2216578,6.9,8.3,0.56
150,2014-08-11,16150,16600,15950,16400,2321745,6.9,8.3,0.56
151,2014-08-12,16450,16800,16450,16800,1816261,6.9,8.3,0.56
152,2014-08-13,16850,16900,16500,16900,1784568,6.9,8.3,0.56
153,2014-08-14,16800,17250,16600,17250,1747816,6.9,8.3,0.56
154,2014-08-18,17200,17250,16500,16700,1923423,6.9,8.3,0.56
155,2014-08-19,16850,16950,16650,16850,1157556,6.9,8.3,0.56
156,2014-08-20,16900,17000,16400,16800,1179325,6.9,8.3,0.56
157,2014-08-21,16750,16800,16400,16400,969001,6.9,8.3,0.56
158,2014-08-22,16500,16650,16300,16650,866026,6.9,8.3,0.56
159,2014-08-25,16450,16800,16400,16600,859211,6.9,8.3,0.56
160,2014-08-26,16700,17200,16600,16850,1797463,6.9,8.3,0.56
161,2014-08-27,17050,17750,16950,17700,1955698,6.9,8.3,0.56
162,2014-08-28,17700,17900,17400,17700,1218570,6.9,8.3,0.56
