,Date,Open,High,Low,Close,Volume,ROE ,PBR ,PER 
0,2014-01-02,35400,36150,34750,34900,1170022,7.3,1.3,18.5
1,2014-01-03,34750,34850,33600,34600,804903,7.3,1.3,18.5
2,2014-01-06,34800,35500,34650,35350,882971,7.3,1.3,18.5
3,2014-01-07,35350,36850,35050,36800,1523023,7.3,1.3,18.5
4,2014-01-08,36800,37200,36250,36800,1014941,7.3,1.3,18.5
5,2014-01-09,36800,37350,36500,36500,719537,7.3,1.3,18.5
6,2014-01-10,36750,36750,35100,35400,1113086,7.3,1.3,18.5
7,2014-01-13,35500,35750,34550,35350,702637,7.3,1.3,18.5
8,2014-01-14,35050,35850,35000,35400,519915,7.3,1.3,18.5
9,2014-01-15,35800,36900,35350,36800,1144826,7.3,1.3,18.5
10,2014-01-16,36600,37000,36350,36800,1889010,7.3,1.3,18.5
11,2014-01-17,37100,37500,36650,37000,1563693,7.3,1.3,18.5
12,2014-01-20,36700,36750,35800,36400,965333,7.3,1.3,18.5
13,2014-01-21,36500,37750,36300,37200,1376809,7.3,1.3,18.5
14,2014-01-22,36950,37300,36600,36700,640242,7.3,1.3,18.5
15,2014-01-23,36950,37050,36100,36100,598754,7.3,1.3,18.5
16,2014-01-24,36450,36450,35100,35950,1135318,7.3,1.3,18.5
17,2014-01-27,34750,35000,34200,34450,1480773,7.3,1.3,18.5
18,2014-01-28,34200,34400,33150,34050,1768702,7.3,1.3,18.5
19,2014-01-29,34050,34850,34000,34500,853144,7.3,1.3,18.5
20,2014-02-03,33550,33900,32700,32800,1673438,7.3,1.3,18.5
21,2014-02-04,32800,32850,31800,32300,1478219,7.3,1.3,18.5
22,2014-02-05,32750,33150,32450,32500,752604,7.3,1.3,18.5
23,2014-02-06,32600,33500,32600,33050,599031,7.3,1.3,18.5
24,2014-02-07,33550,33750,32500,32550,1000381,7.3,1.3,18.5
25,2014-02-10,32850,34100,32650,34000,996122,7.3,1.3,18.5
26,2014-02-11,34000,34550,33550,34000,760859,7.3,1.3,18.5
27,2014-02-12,34550,34550,33700,33900,623976,7.3,1.3,18.5
28,2014-02-13,33950,34200,33200,33250,516762,7.3,1.3,18.5
29,2014-02-14,33350,33750,32800,32950,1577822,7.3,1.3,18.5
30,2014-02-17,33500,34450,33450,34300,1278221,7.3,1.3,18.5
31,2014-02-18,34300,34400,33750,34250,758761,7.3,1.3,18.5
