,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,38750,39350,38450,38550,399548,10.1,3.4,37.4
1,2014-01-03,39900,41300,39800,40900,1283322,10.1,3.4,37.4
2,2014-01-06,41150,41150,40250,40500,346786,10.1,3.4,37.4
3,2014-01-07,40500,43600,40450,43300,1377761,10.1,3.4,37.4
4,2014-01-08,43700,49300,43300,47400,3617740,10.1,3.4,37.4
5,2014-01-09,47250,47750,45100,46000,2044918,10.1,3.4,37.4
6,2014-01-10,46600,47300,45050,46000,1450711,10.1,3.4,37.4
7,2014-01-13,45550,46750,45550,46450,591073,10.1,3.4,37.4
8,2014-01-14,46100,46300,45150,45150,756940,10.1,3.4,37.4
9,2014-01-15,45850,48200,45850,46150,2151388,10.1,3.4,37.4
10,2014-01-16,46750,47550,45500,45500,1346123,10.1,3.4,37.4
11,2014-01-17,45800,46800,44800,45650,1028468,10.1,3.4,37.4
12,2014-01-20,45300,45850,44850,45100,464942,10.1,3.4,37.4
13,2014-01-21,45250,45650,44850,45150,399323,10.1,3.4,37.4
14,2014-01-22,45200,45300,44450,44800,448362,10.1,3.4,37.4
15,2014-01-23,44500,45750,44100,45300,534401,10.1,3.4,37.4
16,2014-01-24,46100,46750,45000,45000,1023015,10.1,3.4,37.4
17,2014-01-27,44200,44450,42700,42700,808163,10.1,3.4,37.4
18,2014-01-28,42900,44200,42100,43600,549313,10.1,3.4,37.4
19,2014-01-29,44450,45500,44200,44750,612862,10.1,3.4,37.4
20,2014-02-03,44100,44600,43500,43800,426267,10.1,3.4,37.4
21,2014-02-04,42800,43500,42800,43150,340539,10.1,3.4,37.4
22,2014-02-05,42900,43350,40300,40500,1093822,10.1,3.4,37.4
23,2014-02-06,40300,41750,40250,41700,550549,10.1,3.4,37.4
24,2014-02-07,42200,42350,41600,41850,292067,10.1,3.4,37.4
25,2014-02-10,42200,43100,41850,42900,347918,10.1,3.4,37.4
26,2014-02-11,42750,42900,42050,42300,347465,10.1,3.4,37.4
27,2014-02-12,42800,42850,42300,42600,236741,10.1,3.4,37.4
28,2014-02-13,42600,43350,42600,43000,301399,10.1,3.4,37.4
29,2014-02-14,43350,43350,42800,42900,203063,10.1,3.4,37.4
30,2014-02-17,42750,43050,42300,42650,249237,10.1,3.4,37.4
31,2014-02-18,43100,45500,43050,44700,1249382,10.1,3.4,37.4
32,2014-02-19,45200,48900,44600,47850,3029490,10.1,3.4,37.4
33,2014-02-20,48150,48300,46150,46500,1220562,10.1,3.4,37.4
34,2014-02-21,46900,47800,46300,47050,685423,10.1,3.4,37.4
35,2014-02-24,47400,48550,47050,47150,763224,10.1,3.4,37.4
36,2014-02-25,47550,47800,46650,47400,432730,10.1,3.4,37.4
37,2014-02-26,47200,47900,46150,47150,646804,10.1,3.4,37.4
38,2014-02-27,47050,48250,47050,47300,589714,10.1,3.4,37.4
39,2014-02-28,47450,48000,47250,47950,558339,10.1,3.4,37.4
40,2014-03-03,48250,49650,48050,49550,1359682,10.1,3.4,37.4
41,2014-03-04,49400,49600,46050,46250,1061410,10.1,3.4,37.4
42,2014-03-05,47150,47300,45500,46250,1496164,10.1,3.4,37.4
43,2014-03-06,46250,46600,44950,45550,839211,10.1,3.4,37.4
44,2014-03-07,46200,46400,45750,46150,457670,10.1,3.4,37.4
45,2014-03-10,46000,46850,45250,46250,528073,10.1,3.4,37.4
46,2014-03-11,46250,47100,46250,47000,477952,10.1,3.4,37.4
47,2014-03-12,45200,45650,42300,43100,2851882,10.1,3.4,37.4
48,2014-03-13,43300,43850,41250,43200,1790990,10.1,3.4,37.4
49,2014-03-14,42600,42900,42000,42000,624776,10.1,3.4,37.4
50,2014-03-17,41600,42300,41250,41600,432192,10.1,3.4,37.4
51,2014-03-18,42000,42450,41950,42000,316762,10.1,3.4,37.4
52,2014-03-19,42250,42350,41600,41600,320425,10.1,3.4,37.4
53,2014-03-20,41400,41750,40300,40900,600318,10.1,3.4,37.4
54,2014-03-21,40850,41700,40850,41550,318393,10.1,3.4,37.4
55,2014-03-24,42100,42100,41350,41350,277185,10.1,3.4,37.4
56,2014-03-25,41500,41650,41000,41300,281022,10.1,3.4,37.4
57,2014-03-26,41300,47350,41300,46000,3239674,10.1,3.4,37.4
58,2014-03-27,46000,46300,43750,44550,1472886,10.1,3.4,37.4
59,2014-03-28,44400,45250,43750,43900,635627,10.1,3.4,37.4
60,2014-03-31,43900,44350,43350,44000,417479,10.1,3.4,37.4
61,2014-04-01,44000,45100,43850,44400,743622,10.1,3.4,37.4
62,2014-04-02,44950,46500,44800,45950,1186184,10.1,3.4,37.4
63,2014-04-03,46000,52800,46000,48850,5972697,10.1,3.4,37.4
64,2014-04-04,50100,50900,48400,49000,2030413,10.1,3.4,37.4
65,2014-04-07,48400,52400,48250,51000,2446327,10.1,3.4,37.4
66,2014-04-08,50500,51600,49500,49500,1052917,10.1,3.4,37.4
67,2014-04-09,50200,50800,49250,49600,741050,10.1,3.4,37.4
68,2014-04-10,50600,51200,49500,49650,834905,10.1,3.4,37.4
69,2014-04-11,49300,50300,48700,50000,755858,10.1,3.4,37.4
70,2014-04-14,50600,52100,50600,51500,1395248,10.1,3.4,37.4
71,2014-04-15,51800,52100,50700,50700,629886,10.1,3.4,37.4
72,2014-04-16,50600,50700,49200,49750,714390,10.1,3.4,37.4
73,2014-04-17,49600,50200,49400,49550,355141,10.1,3.4,37.4
74,2014-04-18,49800,51700,49600,51400,1276016,10.1,3.4,37.4
75,2014-04-21,51300,51700,49950,50000,684528,10.1,3.4,37.4
76,2014-04-22,49500,49800,47900,48500,1345925,10.1,3.4,37.4
77,2014-04-23,48500,49400,47600,47600,774481,10.1,3.4,37.4
78,2014-04-24,47900,48600,47100,48050,632038,10.1,3.4,37.4
79,2014-04-25,49200,50300,48000,48000,1162282,10.1,3.4,37.4
80,2014-04-28,47600,48350,47400,47600,381657,10.1,3.4,37.4
81,2014-04-29,48100,48350,47550,47800,378836,10.1,3.4,37.4
82,2014-04-30,47700,49100,47450,48100,545959,10.1,3.4,37.4
83,2014-05-02,48000,48300,46900,47200,457840,10.1,3.4,37.4
84,2014-05-07,47400,47600,46500,46500,368521,10.1,3.4,37.4
85,2014-05-08,46400,46850,45600,46050,367399,10.1,3.4,37.4
86,2014-05-09,46150,47400,46150,46750,274632,10.1,3.4,37.4
87,2014-05-12,47000,48200,47000,48050,471840,10.1,3.4,37.4
88,2014-05-13,48250,48900,47950,47950,419092,10.1,3.4,37.4
89,2014-05-14,47900,48750,47350,48750,430307,10.1,3.4,37.4
90,2014-05-15,49750,51500,49050,51000,1612603,10.1,3.4,37.4
91,2014-05-16,51900,52200,50100,50600,1482752,10.1,3.4,37.4
92,2014-05-19,50600,50600,49200,49500,797335,10.1,3.4,37.4
93,2014-05-20,49650,50300,48850,48850,578827,10.1,3.4,37.4
94,2014-05-21,48750,49600,48600,49350,424350,10.1,3.4,37.4
95,2014-05-22,49550,49750,48450,48500,385496,10.1,3.4,37.4
96,2014-05-23,48500,50000,48350,49000,534215,10.1,3.4,37.4
97,2014-05-26,49350,50800,48650,48700,982128,10.1,3.4,37.4
98,2014-05-27,48700,48700,47650,47750,1236463,10.1,3.4,37.4
99,2014-05-28,48400,48400,47400,47650,416624,10.1,3.4,37.4
100,2014-05-29,47750,48050,47350,47700,305402,10.1,3.4,37.4
101,2014-05-30,47600,48850,46850,48650,620846,10.1,3.4,37.4
102,2014-06-02,48050,49500,47000,47050,1136123,10.1,3.4,37.4
103,2014-06-03,46800,47200,45900,46350,500379,10.1,3.4,37.4
104,2014-06-05,46300,46750,45500,45700,351615,10.1,3.4,37.4
105,2014-06-09,45800,46400,45600,45650,276223,10.1,3.4,37.4
106,2014-06-10,45500,47500,45500,47500,365437,10.1,3.4,37.4
107,2014-06-11,47200,47350,46500,46600,304301,10.1,3.4,37.4
108,2014-06-12,46750,47600,46150,47450,326702,10.1,3.4,37.4
109,2014-06-13,47150,47900,46950,47600,360472,10.1,3.4,37.4
110,2014-06-16,47650,47750,47150,47150,218166,10.1,3.4,37.4
111,2014-06-17,47150,47600,46800,47350,248563,10.1,3.4,37.4
112,2014-06-18,47400,47800,47150,47200,257422,10.1,3.4,37.4
113,2014-06-19,47050,47500,46050,46150,386673,10.1,3.4,37.4
114,2014-06-20,46100,46350,44850,44850,574801,10.1,3.4,37.4
115,2014-06-23,44800,45100,43650,44000,467234,10.1,3.4,37.4
116,2014-06-24,44000,45250,43200,45000,531720,10.1,3.4,37.4
117,2014-06-25,45050,45850,44500,44850,416119,10.1,3.4,37.4
118,2014-06-26,44800,45400,44800,44950,176738,10.1,3.4,37.4
119,2014-06-27,45050,46000,45050,45500,244853,10.1,3.4,37.4
120,2014-06-30,46150,47300,45600,46550,529387,10.1,3.4,37.4
121,2014-07-01,46550,47000,46150,46750,317687,10.1,3.4,37.4
122,2014-07-02,47150,47400,46450,47000,479568,10.1,3.4,37.4
123,2014-07-03,44000,45400,43300,45100,1800844,10.1,3.4,37.4
124,2014-07-04,45250,46550,44500,46550,1094342,10.1,3.4,37.4
125,2014-07-07,46650,46800,45800,45900,384026,10.1,3.4,37.4
126,2014-07-08,45550,45750,45100,45100,388087,10.1,3.4,37.4
127,2014-07-09,45550,46150,44650,44850,362144,10.1,3.4,37.4
128,2014-07-10,44700,45150,44550,44850,321353,10.1,3.4,37.4
129,2014-07-11,44700,44800,43600,43600,563853,10.1,3.4,37.4
130,2014-07-14,43500,44300,43350,43600,347642,10.1,3.4,37.4
131,2014-07-15,43850,43900,43400,43400,316063,10.1,3.4,37.4
132,2014-07-16,43150,44300,43150,43700,369963,10.1,3.4,37.4
133,2014-07-17,44000,44050,43000,43100,348391,10.1,3.4,37.4
134,2014-07-18,42650,43200,42200,42350,492702,10.1,3.4,37.4
135,2014-07-21,42300,42950,40850,42400,1221414,10.1,3.4,37.4
136,2014-07-22,42150,42800,42000,42100,286554,10.1,3.4,37.4
137,2014-07-23,42300,44700,42300,42900,1003794,10.1,3.4,37.4
138,2014-07-24,43000,43450,42500,42500,283805,10.1,3.4,37.4
139,2014-07-25,42600,42750,42100,42150,302433,10.1,3.4,37.4
140,2014-07-28,42150,42250,41400,41400,467089,10.1,3.4,37.4
141,2014-07-29,41400,41950,40950,41400,476533,10.1,3.4,37.4
142,2014-07-30,41300,41600,40950,41150,371015,10.1,3.4,37.4
143,2014-07-31,41150,41450,39700,39850,817507,10.1,3.4,37.4
144,2014-08-01,39050,40600,38900,40000,443465,10.1,3.4,37.4
145,2014-08-04,39700,41550,39650,40500,736491,10.1,3.4,37.4
146,2014-08-05,40550,46000,40400,43950,3124466,10.1,3.4,37.4
147,2014-08-06,43900,44100,41500,41500,1312190,10.1,3.4,37.4
148,2014-08-07,41650,42550,40300,40400,912420,10.1,3.4,37.4
149,2014-08-08,40000,40900,39600,39700,858743,10.1,3.4,37.4
150,2014-08-11,39750,42700,39750,40650,1212068,10.1,3.4,37.4
151,2014-08-12,41100,41250,39950,40000,524772,10.1,3.4,37.4
152,2014-08-13,39900,40950,39900,40950,497791,10.1,3.4,37.4
153,2014-08-14,41100,41550,40800,41450,419110,10.1,3.4,37.4
154,2014-08-18,41850,42650,40800,41800,855076,10.1,3.4,37.4
155,2014-08-19,42150,42300,41150,41150,450195,10.1,3.4,37.4
156,2014-08-20,41150,41350,40350,40500,396989,10.1,3.4,37.4
157,2014-08-21,40600,40950,40150,40150,340470,10.1,3.4,37.4
158,2014-08-22,40150,40450,39950,40200,332082,10.1,3.4,37.4
159,2014-08-25,40100,41150,40100,40350,302411,10.1,3.4,37.4
160,2014-08-26,40750,40950,40400,40900,295136,10.1,3.4,37.4
161,2014-08-27,41150,42250,41050,41750,666415,10.1,3.4,37.4
162,2014-08-28,41850,41900,41350,41450,320597,10.1,3.4,37.4
163,2014-08-29,41550,41750,41250,41650,361744,10.1,3.4,37.4
164,2014-09-01,41900,41950,41100,41100,283407,10.1,3.4,37.4
165,2014-09-02,41150,41600,40850,41050,208899,10.1,3.4,37.4
166,2014-09-03,41350,41400,40900,40950,259002,10.1,3.4,37.4
167,2014-09-04,40800,43100,40600,42750,1063580,10.1,3.4,37.4
168,2014-09-05,43450,43600,42250,42750,697407,10.1,3.4,37.4
169,2014-09-11,42750,43600,42600,43350,478160,10.1,3.4,37.4
170,2014-09-12,43750,45750,43700,45400,1675084,10.1,3.4,37.4
171,2014-09-15,45550,45650,44200,44200,608967,10.1,3.4,37.4
172,2014-09-16,44450,45350,44050,44050,441470,10.1,3.4,37.4
173,2014-09-17,44300,45150,43500,44850,510020,10.1,3.4,37.4
174,2014-09-18,45250,45550,44300,44600,318970,10.1,3.4,37.4
175,2014-09-19,44600,45050,44400,44550,306332,10.1,3.4,37.4
176,2014-09-22,44200,44200,42950,43050,608574,10.1,3.4,37.4
177,2014-09-23,43100,45550,42950,45550,1141115,10.1,3.4,37.4
178,2014-09-24,45750,47200,45300,46850,1356268,10.1,3.4,37.4
179,2014-09-25,47100,47600,46200,46550,704052,10.1,3.4,37.4
180,2014-09-26,47000,47450,46250,46700,547606,10.1,3.4,37.4
181,2014-09-29,46800,47750,46150,46400,709943,10.1,3.4,37.4
182,2014-09-30,47100,48950,47000,48950,1046237,10.1,3.4,37.4
183,2014-10-01,49100,49350,47800,48000,843016,10.1,3.4,37.4
184,2014-10-02,47700,48500,47200,47850,426133,10.1,3.4,37.4
185,2014-10-06,48450,48950,47400,48550,539167,10.1,3.4,37.4
186,2014-10-07,48150,48500,43500,43700,2206588,10.1,3.4,37.4
187,2014-10-08,43550,44450,42800,42800,779741,10.1,3.4,37.4
188,2014-10-10,42900,43900,41950,42300,707980,10.1,3.4,37.4
189,2014-10-13,41800,42700,40650,41300,634803,10.1,3.4,37.4
190,2014-10-14,41500,43350,41450,43000,496105,10.1,3.4,37.4
191,2014-10-15,43300,43350,41850,42050,347038,10.1,3.4,37.4
192,2014-10-16,41600,42400,40900,41850,388831,10.1,3.4,37.4
193,2014-10-17,42100,42200,40950,41400,396116,10.1,3.4,37.4
194,2014-10-20,41900,42600,41500,42600,333424,10.1,3.4,37.4
195,2014-10-21,42600,42900,41550,41550,300673,10.1,3.4,37.4
196,2014-10-22,42100,42250,41350,41750,368942,10.1,3.4,37.4
197,2014-10-23,41750,42050,41600,41600,271634,10.1,3.4,37.4
198,2014-10-24,42000,42000,41000,41100,309114,10.1,3.4,37.4
199,2014-10-27,41300,41500,40700,40900,324482,10.1,3.4,37.4
200,2014-10-28,40750,41150,40700,41150,266060,10.1,3.4,37.4
201,2014-10-29,41100,41950,41050,41650,375777,10.1,3.4,37.4
202,2014-10-30,41800,41850,41050,41400,232152,10.1,3.4,37.4
203,2014-10-31,41500,41950,41350,41950,265321,10.1,3.4,37.4
204,2014-11-03,41900,42150,41200,41650,268475,10.1,3.4,37.4
205,2014-11-04,41750,43950,41750,42050,702407,10.1,3.4,37.4
206,2014-11-05,42300,43650,42250,43500,626269,10.1,3.4,37.4
207,2014-11-06,43300,43550,42500,42600,336765,10.1,3.4,37.4
208,2014-11-07,43000,43500,42800,43100,244906,10.1,3.4,37.4
209,2014-11-10,43500,43500,42750,43000,289413,10.1,3.4,37.4
210,2014-11-11,43600,44250,43100,43150,462332,10.1,3.4,37.4
211,2014-11-12,43550,43750,42150,42750,603745,10.1,3.4,37.4
212,2014-11-13,42750,43200,42500,42500,261343,10.1,3.4,37.4
213,2014-11-14,42400,43050,41600,41600,384894,10.1,3.4,37.4
214,2014-11-17,41600,41900,40250,40250,646126,10.1,3.4,37.4
215,2014-11-18,40000,40900,39800,39950,781061,10.1,3.4,37.4
216,2014-11-19,40100,41350,39900,40800,689058,10.1,3.4,37.4
217,2014-11-20,40950,41050,40000,40200,356476,10.1,3.4,37.4
218,2014-11-21,40300,40550,40050,40500,303917,10.1,3.4,37.4
219,2014-11-24,40550,40700,39900,40250,441317,10.1,3.4,37.4
