,Date,Open,High,Low,Close,Volume,ROE,PBR ,PER 
0,2014-01-02,1002000,1014000,995000,1007000,11498,14,5.7,35.1
1,2014-01-03,1000000,1007000,974000,974000,11267,14,5.7,35.1
2,2014-01-06,970000,989000,957000,980000,7582,14,5.7,35.1
3,2014-01-07,971000,990000,971000,972000,5314,14,5.7,35.1
4,2014-01-08,976000,989000,972000,985000,8725,14,5.7,35.1
5,2014-01-09,980000,991000,977000,982000,11413,14,5.7,35.1
6,2014-01-10,983000,991000,973000,982000,19797,14,5.7,35.1
7,2014-01-13,990000,990000,977000,982000,12567,14,5.7,35.1
8,2014-01-14,977000,985000,965000,979000,19280,14,5.7,35.1
9,2014-01-15,971000,980000,971000,977000,14842,14,5.7,35.1
10,2014-01-16,978000,989000,977000,980000,17273,14,5.7,35.1
11,2014-01-17,980000,987000,978000,984000,15663,14,5.7,35.1
12,2014-01-20,989000,1020000,985000,1019000,18920,14,5.7,35.1
13,2014-01-21,1019000,1054000,1019000,1040000,18645,14,5.7,35.1
14,2014-01-22,1040000,1050000,1035000,1039000,9282,14,5.7,35.1
15,2014-01-23,1042000,1042000,1018000,1037000,6730,14,5.7,35.1
16,2014-01-24,1023000,1046000,1022000,1030000,11295,14,5.7,35.1
17,2014-01-27,1030000,1035000,983000,1024000,13301,14,5.7,35.1
18,2014-01-28,1038000,1038000,996000,1022000,11511,14,5.7,35.1
19,2014-01-29,1015000,1033000,1001000,1012000,10721,14,5.7,35.1
20,2014-02-03,1012000,1018000,998000,1013000,10824,14,5.7,35.1
21,2014-02-04,1008000,1027000,995000,1024000,15034,14,5.7,35.1
22,2014-02-05,1017000,1019000,997000,1002000,12897,14,5.7,35.1
23,2014-02-06,996000,1062000,992000,1060000,26299,14,5.7,35.1
24,2014-02-07,1062000,1160000,1059000,1133000,61645,14,5.7,35.1
25,2014-02-10,1144000,1159000,1130000,1146000,21489,14,5.7,35.1
26,2014-02-11,1146000,1151000,1130000,1146000,23871,14,5.7,35.1
27,2014-02-12,1144000,1145000,1125000,1141000,11929,14,5.7,35.1
28,2014-02-13,1142000,1145000,1107000,1107000,7656,14,5.7,35.1
29,2014-02-14,1110000,1141000,1110000,1130000,15823,14,5.7,35.1
30,2014-02-17,1142000,1147000,1121000,1134000,13407,14,5.7,35.1
31,2014-02-18,1134000,1136000,1111000,1130000,10250,14,5.7,35.1
32,2014-02-19,1120000,1127000,1102000,1110000,7135,14,5.7,35.1
33,2014-02-20,1111000,1148000,1111000,1146000,12147,14,5.7,35.1
34,2014-02-21,1136000,1155000,1135000,1140000,9154,14,5.7,35.1
35,2014-02-24,1134000,1151000,1122000,1131000,9378,14,5.7,35.1
36,2014-02-25,1135000,1141000,1113000,1126000,7746,14,5.7,35.1
37,2014-02-26,1127000,1148000,1116000,1117000,13223,14,5.7,35.1
38,2014-02-27,1118000,1147000,1113000,1136000,11197,14,5.7,35.1
39,2014-02-28,1136000,1185000,1136000,1174000,15665,14,5.7,35.1
40,2014-03-03,1156000,1188000,1156000,1182000,13214,14,5.7,35.1
41,2014-03-04,1182000,1190000,1167000,1178000,13790,14,5.7,35.1
42,2014-03-05,1180000,1190000,1155000,1160000,13455,14,5.7,35.1
43,2014-03-06,1160000,1200000,1155000,1184000,13085,14,5.7,35.1
44,2014-03-07,1190000,1247000,1182000,1246000,11271,14,5.7,35.1
45,2014-03-10,1230000,1234000,1211000,1222000,14126,14,5.7,35.1
46,2014-03-11,1214000,1232000,1199000,1222000,11271,14,5.7,35.1
47,2014-03-12,1203000,1213000,1183000,1190000,12424,14,5.7,35.1
