,Date,Open,High,Low,Close,Volume,ROE,PBR,PER 
0,2014-01-02,268000,273000,266500,270000,92523,4.3,0.9,19.5
1,2014-01-03,269000,272500,256500,258000,79640,4.3,0.9,19.5
2,2014-01-06,260500,262000,255000,258500,76791,4.3,0.9,19.5
3,2014-01-07,258000,268500,257000,268500,91734,4.3,0.9,19.5
4,2014-01-08,265500,272000,262000,267500,102796,4.3,0.9,19.5
5,2014-01-09,270000,272000,266500,269000,95466,4.3,0.9,19.5
6,2014-01-10,268000,271000,256000,256000,70178,4.3,0.9,19.5
7,2014-01-13,257000,261000,256000,258500,54818,4.3,0.9,19.5
8,2014-01-14,256500,262500,256000,261000,40130,4.3,0.9,19.5
9,2014-01-15,260500,263500,257500,261500,37052,4.3,0.9,19.5
10,2014-01-16,260000,266000,260000,265000,35977,4.3,0.9,19.5
11,2014-01-17,263500,267000,253000,253000,61293,4.3,0.9,19.5
12,2014-01-20,253500,257500,252000,252500,46724,4.3,0.9,19.5
13,2014-01-21,252500,256500,247000,252500,50562,4.3,0.9,19.5
14,2014-01-22,253500,256500,251000,253000,48305,4.3,0.9,19.5
15,2014-01-23,252500,253000,242000,245500,115790,4.3,0.9,19.5
16,2014-01-24,242500,250000,242000,244000,51761,4.3,0.9,19.5
17,2014-01-27,241500,250000,236500,247000,55653,4.3,0.9,19.5
18,2014-01-28,254000,259000,250000,259000,73144,4.3,0.9,19.5
19,2014-01-29,263000,263000,257500,260000,95079,4.3,0.9,19.5
20,2014-02-03,254500,260500,251000,258500,61404,4.3,0.9,19.5
21,2014-02-04,257500,261500,252000,253000,85726,4.3,0.9,19.5
22,2014-02-05,260000,261500,259500,261500,61325,4.3,0.9,19.5
23,2014-02-06,265000,272000,262000,264000,108564,4.3,0.9,19.5
24,2014-02-07,267000,268500,260500,262500,104960,4.3,0.9,19.5
25,2014-02-10,264500,270000,261500,265500,39017,4.3,0.9,19.5
26,2014-02-11,263000,267000,259500,262500,54737,4.3,0.9,19.5
27,2014-02-12,260500,264500,260000,264500,75245,4.3,0.9,19.5
28,2014-02-13,262500,264000,256000,258500,48454,4.3,0.9,19.5
29,2014-02-14,257500,262000,257000,260000,39910,4.3,0.9,19.5
30,2014-02-17,263000,263000,258000,260000,13590,4.3,0.9,19.5
31,2014-02-18,258500,260000,255500,257500,28954,4.3,0.9,19.5
32,2014-02-19,256000,259000,255500,258000,30553,4.3,0.9,19.5
33,2014-02-20,257000,259000,253000,254500,38894,4.3,0.9,19.5
34,2014-02-21,255000,258500,253500,254500,36633,4.3,0.9,19.5
35,2014-02-24,254000,257000,251000,252000,36016,4.3,0.9,19.5
36,2014-02-25,253000,255000,249500,250000,82361,4.3,0.9,19.5
37,2014-02-26,253000,262000,248500,260000,175281,4.3,0.9,19.5
38,2014-02-27,260000,265000,259000,264500,55401,4.3,0.9,19.5
39,2014-02-28,261500,262000,253500,254000,83274,4.3,0.9,19.5
40,2014-03-03,253000,258500,251000,254500,43547,4.3,0.9,19.5
41,2014-03-04,253000,258000,252500,257500,41314,4.3,0.9,19.5
42,2014-03-05,257500,258500,249500,251000,91209,4.3,0.9,19.5
43,2014-03-06,253000,254000,251000,253000,69686,4.3,0.9,19.5
44,2014-03-07,253500,254000,242500,245000,129525,4.3,0.9,19.5
45,2014-03-10,246500,250000,243000,250000,81196,4.3,0.9,19.5
46,2014-03-11,251000,254500,249500,254500,50146,4.3,0.9,19.5
47,2014-03-12,251500,254000,246500,247500,37233,4.3,0.9,19.5
48,2014-03-13,246000,247500,243000,243000,66872,4.3,0.9,19.5
49,2014-03-14,244000,245500,240000,242500,74659,4.3,0.9,19.5
50,2014-03-17,243500,254000,242500,248500,51154,4.3,0.9,19.5
51,2014-03-18,249000,252000,248000,250000,27978,4.3,0.9,19.5
52,2014-03-19,250500,250500,234000,234000,210953,4.3,0.9,19.5
53,2014-03-20,233500,237000,231500,235000,35029,4.3,0.9,19.5
54,2014-03-21,237000,239500,236000,238000,53737,4.3,0.9,19.5
55,2014-03-24,238500,240000,237000,239500,26436,4.3,0.9,19.5
56,2014-03-25,239000,242500,235500,242500,51169,4.3,0.9,19.5
57,2014-03-26,244000,247000,242500,245500,52056,4.3,0.9,19.5
58,2014-03-27,247000,253000,244000,249000,51714,4.3,0.9,19.5
59,2014-03-28,249000,252000,242500,250500,58741,4.3,0.9,19.5
60,2014-03-31,247500,250000,241500,244000,49330,4.3,0.9,19.5
61,2014-04-01,240500,246000,240000,240000,86481,4.3,0.9,19.5
62,2014-04-02,241000,249500,240000,248500,94845,4.3,0.9,19.5
63,2014-04-03,256000,256000,240000,240000,65799,4.3,0.9,19.5
64,2014-04-04,242500,245500,240500,243500,71861,4.3,0.9,19.5
65,2014-04-07,243500,246000,241500,246000,28552,4.3,0.9,19.5
66,2014-04-08,244000,247000,243000,244500,29101,4.3,0.9,19.5
67,2014-04-09,244500,251500,244500,251000,42405,4.3,0.9,19.5
68,2014-04-10,249500,251000,246500,248000,66903,4.3,0.9,19.5
69,2014-04-11,244500,247500,242500,244000,44145,4.3,0.9,19.5
70,2014-04-14,243000,249500,242000,248000,31447,4.3,0.9,19.5
