,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,34800,34950,34050,34550,1218232,5.8,10.6,0.6
1,2014-01-03,34550,35000,34100,34250,1855008,5.8,10.6,0.6
2,2014-01-06,34250,35450,34250,35250,1643420,5.8,10.6,0.6
3,2014-01-07,35400,35850,34950,35600,1829014,5.8,10.6,0.6
4,2014-01-08,35700,35800,35250,35400,1077984,5.8,10.6,0.6
5,2014-01-09,35800,36500,35550,36100,2111793,5.8,10.6,0.6
6,2014-01-10,36150,36400,35800,36400,1737741,5.8,10.6,0.6
7,2014-01-13,36300,36400,35050,35300,1425051,5.8,10.6,0.6
8,2014-01-14,35350,35450,34650,35250,1415719,5.8,10.6,0.6
9,2014-01-15,35300,36050,34900,35100,1195718,5.8,10.6,0.6
10,2014-01-16,35100,35550,34950,35450,875581,5.8,10.6,0.6
11,2014-01-17,35550,35750,34750,34750,1061316,5.8,10.6,0.6
12,2014-01-20,34600,34800,34050,34800,1172631,5.8,10.6,0.6
13,2014-01-21,34550,34700,33800,33950,2321989,5.8,10.6,0.6
14,2014-01-22,33900,34950,33900,34800,1481663,5.8,10.6,0.6
15,2014-01-23,35050,35100,34300,34300,768218,5.8,10.6,0.6
16,2014-01-24,34250,34400,33750,33950,1056878,5.8,10.6,0.6
17,2014-01-27,33500,34450,33250,33400,2282712,5.8,10.6,0.6
18,2014-01-28,33600,34400,33600,34000,1194962,5.8,10.6,0.6
19,2014-01-29,34350,35400,34000,35300,1884564,5.8,10.6,0.6
20,2014-02-03,35100,35700,34800,35550,1795170,5.8,10.6,0.6
21,2014-02-04,35100,35500,34900,34900,1696404,5.8,10.6,0.6
22,2014-02-05,35300,35300,34800,35000,746855,5.8,10.6,0.6
23,2014-02-06,34750,35800,34700,35350,1325257,5.8,10.6,0.6
24,2014-02-07,35500,36850,35400,36850,2328890,5.8,10.6,0.6
25,2014-02-10,37000,37050,36250,36550,930753,5.8,10.6,0.6
26,2014-02-11,36650,37100,36300,36500,1160796,5.8,10.6,0.6
27,2014-02-12,36550,36700,36050,36200,1111871,5.8,10.6,0.6
28,2014-02-13,36500,37000,36000,36000,960254,5.8,10.6,0.6
29,2014-02-14,36050,37200,36050,36850,1126382,5.8,10.6,0.6
30,2014-02-17,37300,37300,36600,36900,904204,5.8,10.6,0.6
31,2014-02-18,36800,37450,36350,37450,1370855,5.8,10.6,0.6
32,2014-02-19,37350,37950,37050,37450,1393391,5.8,10.6,0.6
33,2014-02-20,37200,37700,37050,37200,871652,5.8,10.6,0.6
34,2014-02-21,37450,37600,36600,37200,1088130,5.8,10.6,0.6
35,2014-02-24,37250,37350,36250,36700,788139,5.8,10.6,0.6
36,2014-02-25,36800,37400,36700,37000,1111287,5.8,10.6,0.6
37,2014-02-26,36800,37400,36550,37400,1134467,5.8,10.6,0.6
38,2014-02-27,37200,37750,36950,37600,1048265,5.8,10.6,0.6
39,2014-02-28,37450,37550,36600,37000,1465622,5.8,10.6,0.6
40,2014-03-03,36600,37550,36600,37550,956811,5.8,10.6,0.6
41,2014-03-04,37300,37800,37150,37650,635793,5.8,10.6,0.6
42,2014-03-05,37800,37850,37300,37550,906061,5.8,10.6,0.6
43,2014-03-06,37500,38300,37150,37500,1141403,5.8,10.6,0.6
44,2014-03-07,37500,38050,37300,37350,606724,5.8,10.6,0.6
45,2014-03-10,37250,37300,36450,36500,900825,5.8,10.6,0.6
46,2014-03-11,36650,36900,36100,36400,822132,5.8,10.6,0.6
47,2014-03-12,36300,36700,36250,36350,660127,5.8,10.6,0.6
48,2014-03-13,36650,36700,36200,36250,1017329,5.8,10.6,0.6
49,2014-03-14,36500,37400,36100,36750,1449967,5.8,10.6,0.6
50,2014-03-17,36900,36900,36550,36800,733829,5.8,10.6,0.6
51,2014-03-18,37150,37800,36800,37550,1482058,5.8,10.6,0.6
52,2014-03-19,37750,38200,37600,37800,1283984,5.8,10.6,0.6
53,2014-03-20,38050,38400,37600,37700,1414469,5.8,10.6,0.6
54,2014-03-21,37900,38000,37450,37500,952283,5.8,10.6,0.6
55,2014-03-24,37700,38000,36950,37300,864133,5.8,10.6,0.6
56,2014-03-25,37150,37700,36750,37700,1140966,5.8,10.6,0.6
57,2014-03-26,37800,38050,37300,37650,931183,5.8,10.6,0.6
58,2014-03-27,37600,37900,37200,37250,1026371,5.8,10.6,0.6
59,2014-03-28,37500,37500,36650,36900,922085,5.8,10.6,0.6
60,2014-03-31,36900,37300,36250,36450,1293325,5.8,10.6,0.6
61,2014-04-01,36500,37150,36500,37150,1008421,5.8,10.6,0.6
62,2014-04-02,37250,37650,37200,37650,849450,5.8,10.6,0.6
63,2014-04-03,37850,38200,37650,37850,1536422,5.8,10.6,0.6
64,2014-04-04,37950,38000,37050,37100,1686342,5.8,10.6,0.6
65,2014-04-07,37100,37900,37000,37500,893553,5.8,10.6,0.6
66,2014-04-08,37450,37800,37150,37350,765719,5.8,10.6,0.6
67,2014-04-09,37500,38900,37450,38850,2216442,5.8,10.6,0.6
68,2014-04-10,38950,39250,38300,38700,1036055,5.8,10.6,0.6
69,2014-04-11,38650,39800,38500,39700,2271501,5.8,10.6,0.6
70,2014-04-14,39450,39700,39050,39250,791555,5.8,10.6,0.6
71,2014-04-15,39250,39800,38800,39500,1390118,5.8,10.6,0.6
72,2014-04-16,39300,39500,38800,39150,1186102,5.8,10.6,0.6
73,2014-04-17,39100,39350,38850,39150,1218818,5.8,10.6,0.6
74,2014-04-18,39400,39600,38900,39000,794188,5.8,10.6,0.6
75,2014-04-21,39150,39250,38900,39000,385946,5.8,10.6,0.6
76,2014-04-22,39350,40000,38950,39950,1041555,5.8,10.6,0.6
77,2014-04-23,39950,40000,39700,39900,545899,5.8,10.6,0.6
78,2014-04-24,39950,40500,39800,40500,1218433,5.8,10.6,0.6
79,2014-04-25,40200,40300,38900,38900,1420926,5.8,10.6,0.6
80,2014-04-28,38850,39850,38850,39050,977481,5.8,10.6,0.6
81,2014-04-29,39100,39600,39050,39550,529920,5.8,10.6,0.6
82,2014-04-30,39550,39800,39150,39500,716422,5.8,10.6,0.6
83,2014-05-02,40400,40450,39650,40350,1066222,5.8,10.6,0.6
84,2014-05-07,40700,40900,39950,40750,1630549,5.8,10.6,0.6
85,2014-05-08,41200,41600,40550,41500,2050568,5.8,10.6,0.6
86,2014-05-09,41850,41850,41250,41350,1689020,5.8,10.6,0.6
87,2014-05-12,41400,42100,40950,41000,1878216,5.8,10.6,0.6
88,2014-05-13,41300,41350,40500,40800,2287449,5.8,10.6,0.6
89,2014-05-14,41100,41900,40950,41900,945227,5.8,10.6,0.6
90,2014-05-15,41800,42000,41150,41500,999613,5.8,10.6,0.6
