,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,296500,297000,277500,279000,244998,15.8,1,6.7
1,2014-01-03,280500,282000,274000,276000,229897,15.8,1,6.7
2,2014-01-06,276000,282000,273000,279500,129770,15.8,1,6.7
3,2014-01-07,278000,284000,277500,277500,149264,15.8,1,6.7
4,2014-01-08,278500,279000,274000,276000,160529,15.8,1,6.7
5,2014-01-09,276000,280000,270000,270000,252877,15.8,1,6.7
6,2014-01-10,274000,278000,272000,273500,144806,15.8,1,6.7
7,2014-01-13,275000,283000,275000,279500,177715,15.8,1,6.7
8,2014-01-14,280500,285500,277000,280000,202304,15.8,1,6.7
9,2014-01-15,284500,285000,279500,280000,101282,15.8,1,6.7
10,2014-01-16,279500,283500,279000,281500,129061,15.8,1,6.7
11,2014-01-17,284500,287500,282500,283500,213956,15.8,1,6.7
12,2014-01-20,281500,289000,280500,287000,145866,15.8,1,6.7
13,2014-01-21,289500,295000,286000,292500,214166,15.8,1,6.7
14,2014-01-22,292500,295000,289000,292000,142503,15.8,1,6.7
15,2014-01-23,293500,294500,288500,292000,162415,15.8,1,6.7
16,2014-01-24,292000,292500,285000,292500,151633,15.8,1,6.7
17,2014-01-27,285000,305000,284500,294000,348829,15.8,1,6.7
18,2014-01-28,297500,309000,295000,304500,506403,15.8,1,6.7
19,2014-01-29,304000,313000,302500,310000,295050,15.8,1,6.7
20,2014-02-03,302000,304000,298000,301000,339987,15.8,1,6.7
21,2014-02-04,295500,301500,295500,295500,295488,15.8,1,6.7
22,2014-02-05,300000,309000,299000,307500,222159,15.8,1,6.7
23,2014-02-06,310000,311000,303000,306000,214826,15.8,1,6.7
24,2014-02-07,303000,310000,303000,309500,170925,15.8,1,6.7
25,2014-02-10,304500,314500,303500,313000,139557,15.8,1,6.7
26,2014-02-11,312000,319000,310000,312000,150238,15.8,1,6.7
27,2014-02-12,310000,315000,306000,310000,216539,15.8,1,6.7
28,2014-02-13,310000,315500,309500,313500,109420,15.8,1,6.7
29,2014-02-14,314000,318000,311000,317500,98281,15.8,1,6.7
30,2014-02-17,316000,317000,305500,306500,245086,15.8,1,6.7
31,2014-02-18,308000,308500,302000,306000,168053,15.8,1,6.7
32,2014-02-19,303000,305000,299500,305000,181363,15.8,1,6.7
33,2014-02-20,301000,308000,301000,307500,158953,15.8,1,6.7
34,2014-02-21,309000,312500,308500,312500,121383,15.8,1,6.7
35,2014-02-24,310000,312000,308000,311500,74417,15.8,1,6.7
36,2014-02-25,314000,314000,309500,313000,120182,15.8,1,6.7
37,2014-02-26,310500,313000,301500,311500,161805,15.8,1,6.7
38,2014-02-27,308500,311500,306500,308000,175227,15.8,1,6.7
39,2014-02-28,309500,313500,308500,313500,166105,15.8,1,6.7
40,2014-03-03,309500,313000,307000,312000,128067,15.8,1,6.7
41,2014-03-04,305000,308000,302500,303000,203119,15.8,1,6.7
42,2014-03-05,306500,307000,301000,302000,176813,15.8,1,6.7
43,2014-03-06,303500,305500,301500,304000,113246,15.8,1,6.7
44,2014-03-07,305000,305000,301500,303500,96695,15.8,1,6.7
45,2014-03-10,302000,304000,299000,301000,98645,15.8,1,6.7
46,2014-03-11,301500,304000,298000,303500,102047,15.8,1,6.7
47,2014-03-12,303500,305000,298000,299500,129551,15.8,1,6.7
