,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,162000,162500,160500,160500,42342,8.6,0.9,10.7
1,2014-01-03,159500,160500,154000,156500,55492,8.6,0.9,10.7
2,2014-01-06,156500,158500,154500,156500,33702,8.6,0.9,10.7
3,2014-01-07,156500,158500,156500,157000,31152,8.6,0.9,10.7
4,2014-01-08,157000,158000,154500,155500,43023,8.6,0.9,10.7
5,2014-01-09,155500,157000,154000,154000,47209,8.6,0.9,10.7
6,2014-01-10,155000,156000,152500,154500,34759,8.6,0.9,10.7
7,2014-01-13,154000,155500,152000,153000,66108,8.6,0.9,10.7
8,2014-01-14,152000,153500,149000,150500,71243,8.6,0.9,10.7
9,2014-01-15,150500,152500,148000,149500,78348,8.6,0.9,10.7
10,2014-01-16,150000,152000,149500,150000,41126,8.6,0.9,10.7
11,2014-01-17,149500,151500,149500,150000,27135,8.6,0.9,10.7
12,2014-01-20,150000,151000,146500,148500,55293,8.6,0.9,10.7
13,2014-01-21,148000,149000,146000,147000,61286,8.6,0.9,10.7
14,2014-01-22,148000,150500,147000,148000,75048,8.6,0.9,10.7
15,2014-01-23,148500,148500,145000,145500,106049,8.6,0.9,10.7
16,2014-01-24,144500,145500,141000,143500,100796,8.6,0.9,10.7
17,2014-01-27,141000,142500,138500,142000,90114,8.6,0.9,10.7
18,2014-01-28,143000,145000,140500,143500,60398,8.6,0.9,10.7
19,2014-01-29,143500,145500,142000,144000,45148,8.6,0.9,10.7
20,2014-02-03,144500,145000,142500,143500,30335,8.6,0.9,10.7
21,2014-02-04,141500,142000,138500,141500,70222,8.6,0.9,10.7
22,2014-02-05,142500,143500,140500,143000,35069,8.6,0.9,10.7
23,2014-02-06,142000,143000,140000,141000,43786,8.6,0.9,10.7
24,2014-02-07,140500,141000,135500,137500,103138,8.6,0.9,10.7
25,2014-02-10,137000,139000,136000,137000,70610,8.6,0.9,10.7
26,2014-02-11,137500,140000,137000,138500,59415,8.6,0.9,10.7
27,2014-02-12,138000,140000,137000,139500,49242,8.6,0.9,10.7
28,2014-02-13,140000,140000,137000,138000,44967,8.6,0.9,10.7
29,2014-02-14,137500,140000,137500,138500,58068,8.6,0.9,10.7
30,2014-02-17,140000,143000,139000,142000,120615,8.6,0.9,10.7
31,2014-02-18,141500,144500,140500,143500,89458,8.6,0.9,10.7
32,2014-02-19,142500,146500,142000,146500,184570,8.6,0.9,10.7
33,2014-02-20,145000,146000,143500,145000,63108,8.6,0.9,10.7
34,2014-02-21,144500,146500,144500,146000,36962,8.6,0.9,10.7
35,2014-02-24,145000,147000,144000,146000,34153,8.6,0.9,10.7
36,2014-02-25,146500,146500,143000,145500,41497,8.6,0.9,10.7
37,2014-02-26,144000,145500,143500,143500,54289,8.6,0.9,10.7
38,2014-02-27,143000,145000,142500,144000,62900,8.6,0.9,10.7
39,2014-02-28,143500,144500,140500,141500,85590,8.6,0.9,10.7
40,2014-03-03,143000,145000,141500,144000,72016,8.6,0.9,10.7
41,2014-03-04,144500,145500,141000,141500,67458,8.6,0.9,10.7
42,2014-03-05,143000,144500,142000,143500,32629,8.6,0.9,10.7
43,2014-03-06,144000,144500,142000,143500,122550,8.6,0.9,10.7
44,2014-03-07,143000,144000,141000,142000,26829,8.6,0.9,10.7
45,2014-03-10,142000,143000,138500,140000,52957,8.6,0.9,10.7
46,2014-03-11,140000,142500,139500,142000,30393,8.6,0.9,10.7
47,2014-03-12,141000,142500,139500,141000,36287,8.6,0.9,10.7
48,2014-03-13,141000,142500,139500,141500,56821,8.6,0.9,10.7
49,2014-03-14,141500,142500,138500,140000,55247,8.6,0.9,10.7
50,2014-03-17,139500,141000,138500,139500,42630,8.6,0.9,10.7
51,2014-03-18,140500,142000,138000,140500,90372,8.6,0.9,10.7
52,2014-03-19,140000,140500,137000,137000,98212,8.6,0.9,10.7
53,2014-03-20,137000,137000,131500,133000,101898,8.6,0.9,10.7
54,2014-03-21,134000,135000,133500,133500,105068,8.6,0.9,10.7
55,2014-03-24,134000,134500,133000,134000,58976,8.6,0.9,10.7
56,2014-03-25,134500,139000,134000,138000,72957,8.6,0.9,10.7
57,2014-03-26,139500,141000,138000,140000,71332,8.6,0.9,10.7
58,2014-03-27,140500,144500,139500,144000,119204,8.6,0.9,10.7
59,2014-03-28,143500,144000,141500,142500,56238,8.6,0.9,10.7
60,2014-03-31,141500,144000,141000,142000,74100,8.6,0.9,10.7
61,2014-04-01,142000,146500,140500,144500,104476,8.6,0.9,10.7
62,2014-04-02,144500,147500,143500,147500,95423,8.6,0.9,10.7
63,2014-04-03,146000,148500,144500,145500,78326,8.6,0.9,10.7
64,2014-04-04,145500,145500,142000,144000,85250,8.6,0.9,10.7
65,2014-04-07,142500,144000,140000,143500,80918,8.6,0.9,10.7
66,2014-04-08,142000,146500,141500,145500,82598,8.6,0.9,10.7
67,2014-04-09,146000,147000,142500,147000,128308,8.6,0.9,10.7
68,2014-04-10,148500,151000,147500,150500,114179,8.6,0.9,10.7
69,2014-04-11,149000,150000,146500,148000,51612,8.6,0.9,10.7
70,2014-04-14,146500,147500,146000,147000,35546,8.6,0.9,10.7
71,2014-04-15,146000,147000,143000,145000,51143,8.6,0.9,10.7
72,2014-04-16,146000,146500,143500,144500,37151,8.6,0.9,10.7
73,2014-04-17,144500,147000,144500,146500,31817,8.6,0.9,10.7
74,2014-04-18,146000,148000,144500,146000,42736,8.6,0.9,10.7
75,2014-04-21,146000,146500,143000,144000,36403,8.6,0.9,10.7
76,2014-04-22,144000,144000,139000,140000,103195,8.6,0.9,10.7
77,2014-04-23,140500,141500,137500,139000,84394,8.6,0.9,10.7
78,2014-04-24,138000,138500,134000,135500,164480,8.6,0.9,10.7
79,2014-04-25,136000,136000,131500,133000,171992,8.6,0.9,10.7
80,2014-04-28,133000,135000,133000,133000,56239,8.6,0.9,10.7
81,2014-04-29,134000,134500,132000,133000,90039,8.6,0.9,10.7
82,2014-04-30,134000,134500,133000,133000,52404,8.6,0.9,10.7
83,2014-05-02,133000,133000,127000,130000,143366,8.6,0.9,10.7
84,2014-05-07,129500,130000,127000,128500,146330,8.6,0.9,10.7
85,2014-05-08,129000,129500,127000,128500,69436,8.6,0.9,10.7
86,2014-05-09,128000,132000,128000,131000,83876,8.6,0.9,10.7
87,2014-05-12,132000,132000,128000,130500,77966,8.6,0.9,10.7
88,2014-05-13,130500,133500,129500,133000,78266,8.6,0.9,10.7
89,2014-05-14,132000,134000,130500,134000,76411,8.6,0.9,10.7
90,2014-05-15,134000,134000,132500,133000,42188,8.6,0.9,10.7
91,2014-05-16,133000,134000,131500,133000,54238,8.6,0.9,10.7
92,2014-05-19,133000,133000,129000,130500,124084,8.6,0.9,10.7
93,2014-05-20,130500,131500,129000,131000,30884,8.6,0.9,10.7
94,2014-05-21,129500,132500,129000,131500,32948,8.6,0.9,10.7
95,2014-05-22,132000,133000,131000,132000,41760,8.6,0.9,10.7
96,2014-05-23,132500,134000,131500,131500,59645,8.6,0.9,10.7
97,2014-05-26,131500,133000,131000,132000,24722,8.6,0.9,10.7
98,2014-05-27,133000,136000,131500,134500,133042,8.6,0.9,10.7
99,2014-05-28,133500,136000,133500,134500,72278,8.6,0.9,10.7
100,2014-05-29,135000,135000,131500,132500,84590,8.6,0.9,10.7
101,2014-05-30,131500,133500,131500,132000,62929,8.6,0.9,10.7
102,2014-06-02,132000,132500,130500,131500,58880,8.6,0.9,10.7
103,2014-06-03,131000,131500,126500,128000,157199,8.6,0.9,10.7
104,2014-06-05,126500,128500,123500,124500,129794,8.6,0.9,10.7
105,2014-06-09,125500,131000,125500,130000,95682,8.6,0.9,10.7
106,2014-06-10,130500,134500,130500,134000,122457,8.6,0.9,10.7
107,2014-06-11,134000,136000,132500,135500,76827,8.6,0.9,10.7
108,2014-06-12,134000,135500,132500,135000,61063,8.6,0.9,10.7
109,2014-06-13,133500,134500,132500,134000,24112,8.6,0.9,10.7
110,2014-06-16,133000,136000,132500,134000,44657,8.6,0.9,10.7
111,2014-06-17,135500,135500,129500,131500,84460,8.6,0.9,10.7
112,2014-06-18,131000,132500,130500,132000,40381,8.6,0.9,10.7
113,2014-06-19,133000,135000,133000,134000,68653,8.6,0.9,10.7
114,2014-06-20,134000,134500,131500,131500,169158,8.6,0.9,10.7
115,2014-06-23,130500,133000,130000,132500,68379,8.6,0.9,10.7
116,2014-06-24,131500,136000,131500,135000,50186,8.6,0.9,10.7
117,2014-06-25,134500,136500,133000,135500,23425,8.6,0.9,10.7
118,2014-06-26,135500,140000,135000,137500,65904,8.6,0.9,10.7
119,2014-06-27,138000,140500,136500,139000,49211,8.6,0.9,10.7
120,2014-06-30,137500,139500,137500,139000,39447,8.6,0.9,10.7
121,2014-07-01,138500,140500,138500,139500,83080,8.6,0.9,10.7
122,2014-07-02,140500,140500,135500,136500,99881,8.6,0.9,10.7
123,2014-07-03,136500,138500,135000,137500,102397,8.6,0.9,10.7
124,2014-07-04,138500,140000,137000,137500,53851,8.6,0.9,10.7
125,2014-07-07,138500,138500,134500,137500,51042,8.6,0.9,10.7
126,2014-07-08,136000,139000,135500,137500,65850,8.6,0.9,10.7
127,2014-07-09,137000,137500,134500,137500,52244,8.6,0.9,10.7
128,2014-07-10,137500,137500,134000,135500,63047,8.6,0.9,10.7
129,2014-07-11,134000,135000,133000,134000,52402,8.6,0.9,10.7
130,2014-07-14,134000,134000,131500,132500,75383,8.6,0.9,10.7
131,2014-07-15,132500,139000,132500,137500,111242,8.6,0.9,10.7
132,2014-07-16,137000,139500,136500,138500,84657,8.6,0.9,10.7
133,2014-07-17,138000,139500,134000,136000,109782,8.6,0.9,10.7
134,2014-07-18,135500,137000,134000,135500,42920,8.6,0.9,10.7
135,2014-07-21,135000,135500,132500,133500,64201,8.6,0.9,10.7
136,2014-07-22,132000,135500,132000,134500,42678,8.6,0.9,10.7
137,2014-07-23,133500,135500,133000,134500,59425,8.6,0.9,10.7
138,2014-07-24,134000,136000,133500,134500,46839,8.6,0.9,10.7
