,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,236500,238000,224500,224500,720748,17.8,1.2,6.9
1,2014-01-03,226500,228000,222500,224000,572466,17.8,1.2,6.9
2,2014-01-06,224000,231000,222500,228500,669198,17.8,1.2,6.9
3,2014-01-07,232000,232000,228500,229000,464556,17.8,1.2,6.9
4,2014-01-08,230000,231500,228500,229500,242741,17.8,1.2,6.9
5,2014-01-09,228500,231500,224500,224500,353670,17.8,1.2,6.9
6,2014-01-10,224000,224500,219000,221000,427325,17.8,1.2,6.9
7,2014-01-13,221500,231000,221500,228000,406080,17.8,1.2,6.9
8,2014-01-14,231500,238000,231000,232000,723928,17.8,1.2,6.9
9,2014-01-15,235000,236000,230000,231000,358668,17.8,1.2,6.9
10,2014-01-16,231000,235000,230500,233000,277244,17.8,1.2,6.9
11,2014-01-17,232000,233000,228500,228500,333046,17.8,1.2,6.9
12,2014-01-20,230000,232000,227000,231000,219229,17.8,1.2,6.9
13,2014-01-21,231500,237000,229500,236000,425513,17.8,1.2,6.9
14,2014-01-22,234500,238000,233500,236500,301292,17.8,1.2,6.9
15,2014-01-23,235500,236500,231500,232000,380995,17.8,1.2,6.9
16,2014-01-24,230000,230500,221500,228000,1188198,17.8,1.2,6.9
17,2014-01-27,223500,229000,222000,223500,581266,17.8,1.2,6.9
18,2014-01-28,222500,232000,222000,230500,664778,17.8,1.2,6.9
19,2014-01-29,235000,236000,232500,234500,733231,17.8,1.2,6.9
20,2014-02-03,234000,235000,230000,231500,569289,17.8,1.2,6.9
21,2014-02-04,227500,232500,226000,226000,692218,17.8,1.2,6.9
22,2014-02-05,228500,233500,228000,228500,610300,17.8,1.2,6.9
23,2014-02-06,229000,230000,226000,226500,531303,17.8,1.2,6.9
24,2014-02-07,230000,232500,228000,230500,439616,17.8,1.2,6.9
25,2014-02-10,230000,234500,229500,233500,384554,17.8,1.2,6.9
26,2014-02-11,232000,234500,230500,231000,345374,17.8,1.2,6.9
27,2014-02-12,230500,231500,226500,227500,540947,17.8,1.2,6.9
28,2014-02-13,229000,231000,227000,227000,294179,17.8,1.2,6.9
29,2014-02-14,228500,233000,228000,232500,386819,17.8,1.2,6.9
30,2014-02-17,234500,235500,231500,233000,306825,17.8,1.2,6.9
31,2014-02-18,232000,234500,229000,229500,295621,17.8,1.2,6.9
32,2014-02-19,227500,228500,224000,225500,727791,17.8,1.2,6.9
33,2014-02-20,224000,225000,220500,222000,606004,17.8,1.2,6.9
34,2014-02-21,223000,228500,223000,228000,560650,17.8,1.2,6.9
35,2014-02-24,228000,229000,226000,227500,368600,17.8,1.2,6.9
36,2014-02-25,228500,234000,228000,233000,504242,17.8,1.2,6.9
37,2014-02-26,235000,239000,233500,236500,725633,17.8,1.2,6.9
38,2014-02-27,238000,243500,236000,243500,603048,17.8,1.2,6.9
39,2014-02-28,243500,246000,241000,245000,525904,17.8,1.2,6.9
40,2014-03-03,242500,246000,240500,246000,397189,17.8,1.2,6.9
41,2014-03-04,245000,245500,241500,242000,283267,17.8,1.2,6.9
42,2014-03-05,246000,246000,242500,244500,303418,17.8,1.2,6.9
43,2014-03-06,246500,246500,241000,243500,292360,17.8,1.2,6.9
44,2014-03-07,244000,244000,237500,238500,374495,17.8,1.2,6.9
45,2014-03-10,236500,238000,235000,237000,403993,17.8,1.2,6.9
46,2014-03-11,238500,239000,235000,236500,381899,17.8,1.2,6.9
47,2014-03-12,238500,239000,234000,235500,496623,17.8,1.2,6.9
48,2014-03-13,234500,235500,228500,229000,722434,17.8,1.2,6.9
49,2014-03-14,225000,229500,225000,229000,484550,17.8,1.2,6.9
50,2014-03-17,229000,234000,229000,234000,334656,17.8,1.2,6.9
51,2014-03-18,235000,235500,231500,235000,299901,17.8,1.2,6.9
52,2014-03-19,236000,236000,231000,231000,278237,17.8,1.2,6.9
53,2014-03-20,231000,231000,227000,229500,301673,17.8,1.2,6.9
54,2014-03-21,231500,236000,230500,234500,363353,17.8,1.2,6.9
55,2014-03-24,235500,236500,232500,235500,266484,17.8,1.2,6.9
56,2014-03-25,235500,237500,232000,232500,307508,17.8,1.2,6.9
57,2014-03-26,235500,243500,234500,243000,746044,17.8,1.2,6.9
58,2014-03-27,243000,246500,241500,246000,504730,17.8,1.2,6.9
59,2014-03-28,244000,249000,243500,248000,498126,17.8,1.2,6.9
60,2014-03-31,254000,254000,248000,251000,527443,17.8,1.2,6.9
61,2014-04-01,249000,252000,246500,251500,474347,17.8,1.2,6.9
62,2014-04-02,253500,253500,248500,250000,404580,17.8,1.2,6.9
63,2014-04-03,251500,252000,244500,245500,485309,17.8,1.2,6.9
64,2014-04-04,247000,250500,246000,247500,528636,17.8,1.2,6.9
65,2014-04-07,245500,248000,243500,246500,256626,17.8,1.2,6.9
66,2014-04-08,244000,249500,243000,248500,419165,17.8,1.2,6.9
67,2014-04-09,248500,250000,240500,243500,652217,17.8,1.2,6.9
68,2014-04-10,244000,244500,237000,242500,567327,17.8,1.2,6.9
69,2014-04-11,240000,243500,239500,242000,375135,17.8,1.2,6.9
70,2014-04-14,241000,243000,239500,241500,279338,17.8,1.2,6.9
71,2014-04-15,245000,245500,237500,238000,423734,17.8,1.2,6.9
72,2014-04-16,238000,243000,238000,242000,308142,17.8,1.2,6.9
73,2014-04-17,243000,243500,239500,240000,200432,17.8,1.2,6.9
74,2014-04-18,242500,245000,241000,245000,197380,17.8,1.2,6.9
75,2014-04-21,244500,245500,242000,244000,164134,17.8,1.2,6.9
76,2014-04-22,244000,245000,241500,245000,185214,17.8,1.2,6.9
77,2014-04-23,246000,246000,242500,245000,283031,17.8,1.2,6.9
78,2014-04-24,245000,245500,238500,242000,393086,17.8,1.2,6.9
79,2014-04-25,239500,240000,233500,236000,628399,17.8,1.2,6.9
80,2014-04-28,234500,237000,233500,233500,385835,17.8,1.2,6.9
81,2014-04-29,234500,235500,233500,234000,190077,17.8,1.2,6.9
82,2014-04-30,233500,235000,228500,230000,475635,17.8,1.2,6.9
83,2014-05-02,229500,230500,224000,225000,739558,17.8,1.2,6.9
84,2014-05-07,226000,226500,220500,223000,967678,17.8,1.2,6.9
85,2014-05-08,224500,228500,222000,228500,756939,17.8,1.2,6.9
86,2014-05-09,228500,233000,228500,231500,487858,17.8,1.2,6.9
87,2014-05-12,231000,231500,226500,229500,332735,17.8,1.2,6.9
88,2014-05-13,230000,233500,230000,231500,277308,17.8,1.2,6.9
89,2014-05-14,233000,237500,230500,237500,482961,17.8,1.2,6.9
90,2014-05-15,237500,239500,235000,239500,447964,17.8,1.2,6.9
91,2014-05-16,238000,238500,232500,234500,430751,17.8,1.2,6.9
92,2014-05-19,234000,234000,230500,233500,463215,17.8,1.2,6.9
93,2014-05-20,231000,232500,228500,230000,469488,17.8,1.2,6.9
