Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,300500,303000,290500,292000,180305,7.2,14.3,1.2,,,,,,,,,,,,,,,,,,,,,0.0,0.03767123287671233,-0.005136986301369863,0.0,0.0
2014-01-03,290000,292000,282500,286000,224960,7.2,14.3,1.2,,,,,,,,,,,,,,,,,,,,,-0.00684931506849315,0.02097902097902098,-0.012237762237762238,-0.02054794520547945,0.24766368098499764
2014-01-06,285500,287500,282500,284500,120776,7.2,14.3,1.2,,,,,,,,,,,,,,,,,,,,,-0.0017482517482517483,0.01054481546572935,-0.007029876977152899,-0.005244755244755245,-0.463122332859175
2014-01-07,280000,284000,276500,277500,429091,7.2,14.3,1.2,,,,,,,,,,,,,,,,,,,,,-0.015817223198594025,0.023423423423423424,-0.0036036036036036037,-0.02460456942003515,2.552783665628933
2014-01-08,280000,280000,272000,275000,355834,7.2,14.3,1.2,283000.0,262193.2,-0.028268551236749116,0.35714427376453695,,,,,,,,,,,,,,,,,0.009009009009009009,0.01818181818181818,-0.01090909090909091,-0.009009009009009009,-0.17072602315126628
2014-01-09,273500,274500,268000,268500,318316,7.2,14.3,1.2,278300.0,289795.4,-0.03521379805964786,0.09841633097005671,,,,,,,,,,,,,,,,,-0.005454545454545455,0.0223463687150838,-0.00186219739292365,-0.023636363636363636,-0.10543680480223924
2014-01-10,266500,273500,264500,267000,358740,7.2,14.3,1.2,274500.0,316551.4,-0.0273224043715847,0.13327567023870365,,,,,,,,,,,,,,,,,-0.0074487895716946,0.024344569288389514,-0.009363295880149813,-0.00558659217877095,0.12699330225310698
2014-01-13,267500,270000,267000,270000,130012,7.2,14.3,1.2,271600.0,318398.6,-0.005891016200294551,-0.5916690588463642,,,,,,,,,,,,,,,,,0.0018726591760299626,0.0,-0.011111111111111112,0.011235955056179775,-0.6375871104421029
2014-01-14,265500,269500,265000,267500,179676,7.2,14.3,1.2,269600.0,268515.6,-0.007789317507418398,-0.33085452018430206,,,,,,,,,,,,,,,,,-0.016666666666666666,0.007476635514018692,-0.009345794392523364,-0.009259259259259259,0.381995508106944
2014-01-15,270500,271000,267500,269000,154660,7.2,14.3,1.2,268400.0,228280.8,0.0022354694485842027,-0.32250106009791446,275700.0,245237.0,-0.024301777294160318,-0.3693447562969699,,,,,,,,,,,,,0.011214953271028037,0.007434944237918215,-0.0055762081784386614,0.005607476635514018,-0.13922838887775774
2014-01-16,269500,271500,268000,270500,127326,7.2,14.3,1.2,268800.0,190082.8,0.006324404761904762,-0.330155069264552,273550.0,239939.1,-0.011149698409797112,-0.46934034511257233,,,,,,,,,,,,,0.0018587360594795538,0.0036968576709796672,-0.009242144177449169,0.0055762081784386614,-0.1767360662097504
2014-01-17,270500,273500,268000,270000,169756,7.2,14.3,1.2,269400.0,152286.0,0.0022271714922048997,0.11471835887737547,271950.0,234418.7,-0.007170435741864313,-0.27584275486554616,,,,,,,,,,,,,0.0,0.012962962962962963,-0.007407407407407408,-0.0018484288354898336,0.3332390870678416
2014-01-20,269000,271500,265000,269000,98787,7.2,14.3,1.2,269200.0,146041.0,-0.0007429420505200594,-0.32356666963386993,270400.0,232219.8,-0.005177514792899409,-0.574596998188785,,,,,,,,,,,,,-0.003703703703703704,0.00929368029739777,-0.01486988847583643,-0.003703703703703704,-0.4180647517613516
2014-01-21,269000,275500,269000,273000,161557,7.2,14.3,1.2,270300.0,142417.2,0.009988901220865706,0.13439247506621382,269950.0,205466.4,0.011298388590479718,-0.2137059879376871,,,,,,,,,,,,,0.0,0.009157509157509158,-0.014652014652014652,0.01486988847583643,0.6354074928887404
