Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,56200,56300,52300,52700,3333908,16.6,6.3,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0683111954459203,-0.007590132827324478,0.0,0.0
2014-01-03,53200,53400,52000,52700,1793537,16.6,6.3,1.0,,,,,,,,,,,,,,,,,,,,,0.009487666034155597,0.013282732447817837,-0.013282732447817837,0.0,-0.4620316457442737
2014-01-06,52900,53300,51300,52500,2504523,16.6,6.3,1.0,,,,,,,,,,,,,,,,,,,,,0.003795066413662239,0.015238095238095238,-0.022857142857142857,-0.003795066413662239,0.39641557436506747
2014-01-07,52200,54200,52200,54000,2081098,16.6,6.3,1.0,,,,,,,,,,,,,,,,,,,,,-0.005714285714285714,0.003703703703703704,-0.03333333333333333,0.02857142857142857,-0.16906412917749208
2014-01-08,54100,54300,53300,53900,1353618,16.6,6.3,1.0,53160.0,2213336.8,0.013920240782543265,-0.3884265602957489,,,,,,,,,,,,,,,,,0.001851851851851852,0.0074211502782931356,-0.011131725417439703,-0.001851851851851852,-0.3495654697664406
2014-01-09,53400,54100,52400,52400,1687262,16.6,6.3,1.0,53100.0,1884007.6,-0.013182674199623353,-0.10442930272680433,,,,,,,,,,,,,,,,,-0.00927643784786642,0.03244274809160305,0.0,-0.027829313543599257,0.24648312891820293
2014-01-10,52100,52900,51500,51600,1445664,16.6,6.3,1.0,52880.0,1814433.0,-0.024205748865355523,-0.20324200452703406,,,,,,,,,,,,,,,,,-0.0057251908396946565,0.025193798449612403,-0.001937984496124031,-0.015267175572519083,-0.1431893801911025
2014-01-13,51600,53300,51500,52500,1271734,16.6,6.3,1.0,52880.0,1567875.2,-0.0071860816944024205,-0.18888059457793577,,,,,,,,,,,,,,,,,0.0,0.015238095238095238,-0.01904761904761905,0.01744186046511628,-0.12031149700068619
2014-01-14,52500,53900,52100,52100,1543502,16.6,6.3,1.0,52500.0,1460356.0,-0.007619047619047619,0.056935432182289795,,,,,,,,,,,,,,,,,0.0,0.0345489443378119,0.0,-0.007619047619047619,0.21369877663096212
2014-01-15,52100,52800,51500,51800,1536443,16.6,6.3,1.0,52080.0,1496921.0,-0.005376344086021506,0.02640219490540917,52620.0,1855128.9,-0.015583428354237932,-0.1717863917704047,,,,,,,,,,,,,0.0,0.019305019305019305,-0.005791505791505791,-0.005758157389635317,-0.00457336628005665
2014-01-16,52000,52300,51300,51500,1312313,16.6,6.3,1.0,51900.0,1421931.2,-0.007707129094412331,-0.07709107163553339,52500.0,1652969.4,-0.01904761904761905,-0.2060875416084532,,,,,,,,,,,,,0.003861003861003861,0.015533980582524271,-0.003883495145631068,-0.005791505791505791,-0.1458758964699634
