Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,12200,12300,12000,12100,1151480,6.9,8.3,0.56,,,,,,,,,,,,,,,,,,,,,0.0,0.01652892561983471,-0.008264462809917356,0.0,0.0
2014-01-03,12050,12100,11850,11900,1191536,6.9,8.3,0.56,,,,,,,,,,,,,,,,,,,,,-0.004132231404958678,0.01680672268907563,-0.004201680672268907,-0.01652892561983471,0.034786535588981135
2014-01-06,11900,12000,11850,11900,1084005,6.9,8.3,0.56,,,,,,,,,,,,,,,,,,,,,0.0,0.008403361344537815,-0.004201680672268907,0.0,-0.09024569966832727
2014-01-07,11850,12050,11850,12000,1009105,6.9,8.3,0.56,,,,,,,,,,,,,,,,,,,,,-0.004201680672268907,0.004166666666666667,-0.0125,0.008403361344537815,-0.06909562225266488
2014-01-08,11950,12150,11950,12050,1037334,6.9,8.3,0.56,11990.0,1094692.0,0.0050041701417848205,-0.052396473163227646,,,,,,,,,,,,,,,,,-0.004166666666666667,0.008298755186721992,-0.008298755186721992,0.004166666666666667,0.027974294052650617
2014-01-09,12050,12200,12000,12100,1152829,6.9,8.3,0.56,11990.0,1094961.8,0.009174311926605505,0.052848601658980206,,,,,,,,,,,,,,,,,0.0,0.008264462809917356,-0.008264462809917356,0.004149377593360996,0.11133829605507965
2014-01-10,12050,12200,11900,11950,1632755,6.9,8.3,0.56,12000.0,1183205.6,-0.004166666666666667,0.37994191372995517,,,,,,,,,,,,,,,,,-0.004132231404958678,0.02092050209205021,-0.0041841004184100415,-0.012396694214876033,0.41630285150703183
2014-01-13,11950,12300,11950,12200,1082390,6.9,8.3,0.56,12060.0,1182882.6,0.011608623548922056,-0.08495568368323288,,,,,,,,,,,,,,,,,0.0,0.00819672131147541,-0.020491803278688523,0.02092050209205021,-0.33707751622258086
2014-01-14,12100,12250,11950,12000,905485,6.9,8.3,0.56,12060.0,1162158.6,-0.004975124378109453,-0.22085935602937506,,,,,,,,,,,,,,,,,-0.00819672131147541,0.020833333333333332,-0.004166666666666667,-0.01639344262295082,-0.16343924093903306
2014-01-15,12050,12450,12000,12350,1875224,6.9,8.3,0.56,12120.0,1329736.6,0.018976897689768978,0.410222144746561,12055.0,1212214.3,0.024471173786810452,0.5469409987986447,,,,,,,,,,,,,0.004166666666666667,0.008097165991902834,-0.02834008097165992,0.029166666666666667,1.0709608662760841
2014-01-16,12500,12750,12400,12700,2380615,6.9,8.3,0.56,12240.0,1575293.8,0.03758169934640523,0.5112196848613255,12115.0,1335127.8,0.048287247214197276,0.783061516657806,,,,,,,,,,,,,0.012145748987854251,0.003937007874015748,-0.023622047244094488,0.02834008097165992,0.26950966924484754
2014-01-17,12600,12650,12400,12500,884029,6.9,8.3,0.56,12350.0,1425548.6,0.012145748987854251,-0.3798675120581649,12175.0,1304377.1,0.026694045174537988,-0.3222596440860546,,,,,,,,,,,,,-0.007874015748031496,0.012,-0.008,-0.015748031496062992,-0.6286552004419026
2014-01-20,12400,12500,12300,12450,567392,6.9,8.3,0.56,12400.0,1322549.0,0.004032258064516129,-0.5709860277388589,12230.0,1252715.8,0.017988552739165987,-0.5470704528513172,,,,,,,,,,,,,-0.008,0.004016064257028112,-0.012048192771084338,-0.004,-0.3581749015021
