Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,1348000,1355000,1302000,1309000,620500,15.1,1.4,10.0,,,,,,,,,,,,,,,,,,,,,0.0,0.03514132925897632,-0.0053475935828877,0.0,0.0
2014-01-03,1300000,1311000,1287000,1296000,529932,15.1,1.4,10.0,,,,,,,,,,,,,,,,,,,,,-0.006875477463712758,0.011574074074074073,-0.006944444444444444,-0.009931245225362872,-0.1459597099113618
2014-01-06,1303000,1320000,1296000,1307000,394716,15.1,1.4,10.0,,,,,,,,,,,,,,,,,,,,,0.005401234567901234,0.009946442234123947,-0.008416220351951033,0.008487654320987654,-0.2551572654604742
2014-01-07,1300000,1318000,1295000,1304000,395264,15.1,1.4,10.0,,,,,,,,,,,,,,,,,,,,,-0.005355776587605203,0.010736196319018405,-0.006901840490797546,-0.0022953328232593728,0.0013883399710171364
2014-01-08,1300000,1304000,1287000,1291000,409493,15.1,1.4,10.0,1301400.0,469981.0,-0.007991393883510067,-0.12870307523070082,,,,,,,,,,,,,,,,,-0.003067484662576687,0.010069713400464756,-0.003098373353989156,-0.009969325153374233,0.03599872490284974
2014-01-09,1307000,1307000,1275000,1275000,425019,15.1,1.4,10.0,1294600.0,430884.8,-0.015139811524795304,-0.013613383437986182,,,,,,,,,,,,,,,,,0.012393493415956624,0.025098039215686273,0.0,-0.012393493415956624,0.037915178037231406
2014-01-10,1275000,1286000,1272000,1272000,363783,15.1,1.4,10.0,1289800.0,397655.0,-0.01380058923864165,-0.0851793640215765,,,,,,,,,,,,,,,,,0.0,0.0110062893081761,0.0,-0.002352941176470588,-0.1440782647364
2014-01-13,1283000,1297000,1273000,1295000,328987,15.1,1.4,10.0,1287400.0,384509.2,0.005903371135622185,-0.1443975852853456,,,,,,,,,,,,,,,,,0.008647798742138365,0.0015444015444015444,-0.01698841698841699,0.018081761006289308,-0.09565042896452006
2014-01-14,1297000,1330000,1290000,1313000,294333,15.1,1.4,10.0,1289200.0,364323.0,0.018461061123177164,-0.1921097487668909,,,,,,,,,,,,,,,,,0.0015444015444015444,0.012947448591012947,-0.017517136329017517,0.013899613899613899,-0.10533546918267288
2014-01-15,1330000,1331000,1298000,1299000,234949,15.1,1.4,10.0,1290800.0,329414.2,0.006352649519677719,-0.28676723711363994,1296100.0,399697.6,0.0022374816757966204,-0.41218311043148614,,,,,,,,,,,,,0.012947448591012947,0.024634334103156273,-0.0007698229407236335,-0.010662604722010662,-0.20175787288547326
2014-01-16,1300000,1310000,1293000,1301000,195049,15.1,1.4,10.0,1296000.0,283420.2,0.0038580246913580245,-0.31180275788387707,1295300.0,357152.5,0.004400524974909287,-0.4538775453062767,,,,,,,,,,,,,0.0007698229407236335,0.006917755572636433,-0.006149116064565719,0.001539645881447267,-0.16982408948324956
2014-01-17,1301000,1315000,1292000,1292000,255485,15.1,1.4,10.0,1300000.0,261760.6,-0.006153846153846154,-0.02397457829787984,1294900.0,329707.8,-0.002239555178006024,-0.22511690654573532,,,,,,,,,,,,,0.0,0.01780185758513932,0.0,-0.006917755572636433,0.3098503452978482
2014-01-20,1305000,1319000,1296000,1316000,173656,15.1,1.4,10.0,1304200.0,230694.4,0.009047692071768134,-0.2472465738223381,1295800.0,307601.8,0.015588825436024079,-0.43545193818761785,,,,,,,,,,,,,0.010061919504643963,0.0022796352583586625,-0.015197568389057751,0.018575851393188854,-0.32028886235982545
2014-01-21,1315000,1327000,1311000,1324000,151246,15.1,1.4,10.0,1306400.0,202077.0,0.013472137170851195,-0.2515427287618086,1297800.0,283200.0,0.020188010479272614,-0.46593926553672316,,,,,,,,,,,,,-0.0007598784194528875,0.0022658610271903325,-0.009818731117824773,0.0060790273556231,-0.12904823328880086
2014-01-22,1314000,1328000,1312000,1328000,216530,15.1,1.4,10.0,1312200.0,198393.2,0.012040847431793934,0.09141845587449564,1301500.0,263903.7,0.020361121782558587,-0.17951131416497765,,,,,,,,,,,,,-0.0075528700906344415,0.0,-0.012048192771084338,0.0030211480362537764,0.4316411673697156
2014-01-23,1316000,1322000,1299000,1299000,206739,15.1,1.4,10.0,1311800.0,200731.2,-0.009757584997713066,0.02992957746478867,1303900.0,242075.7,-0.0037579568985351636,-0.14597375944797436,,,,,,,,,,,,,-0.009036144578313253,0.01770592763664357,0.0,-0.021837349397590362,-0.045217752736341384
2014-01-24,1300000,1318000,1291000,1307000,280035,15.1,1.4,10.0,1314800.0,205641.2,-0.005932461210830545,0.3617650548625469,1307400.0,233700.9,-0.0003059507419305492,0.19826239436818602,,,,,,,,,,,,,0.0007698229407236335,0.008416220351951033,-0.01224177505738332,0.006158583525789068,0.35453397762396066
2014-01-27,1293000,1304000,1285000,1292000,266926,15.1,1.4,10.0,1310000.0,224295.2,-0.013740458015267175,0.190065592130371,1307100.0,227494.8,-0.01155229133195624,0.17332791782493495,,,,,,,,,,,,,-0.010711553175210406,0.009287925696594427,-0.005417956656346749,-0.011476664116296864,-0.04681200564215188
2014-01-28,1273000,1293000,1273000,1283000,234027,15.1,1.4,10.0,1301800.0,240851.4,-0.01444154247964357,-0.028334483420067287,1304100.0,221464.2,-0.016179740817421975,0.05672609839423251,,,,,,,,,,,,,-0.014705882352941176,0.00779423226812159,-0.00779423226812159,-0.00696594427244582,-0.12325138802514554
2014-01-29,1280000,1288000,1277000,1280000,383637,15.1,1.4,10.0,1292200.0,274272.8,-0.009441262962389722,0.3987424199556063,1302200.0,236333.0,-0.017048072492704652,0.6232900187447373,1299150.0,318015.3,-0.014740407189316091,0.20634761912398558,,,,,,,,,-0.002338269680436477,0.00625,-0.00234375,-0.002338269680436477,0.6392852106808189
2014-02-03,1286000,1288000,1271000,1272000,325184,15.1,1.4,10.0,1286800.0,297961.8,-0.011501398818775257,0.09136137585422029,1299300.0,249346.5,-0.021011313784345415,0.3041450351218084,1297300.0,303249.5,-0.0195020427040777,0.07233152898850616,,,,,,,,,0.0046875,0.012578616352201259,-0.0007861635220125787,-0.00625,-0.15236538707163283
2014-02-04,1263000,1263000,1249000,1249000,320660,15.1,1.4,10.0,1275200.0,306086.8,-0.020545796737766624,0.04761133116488529,1295000.0,255864.0,-0.03552123552123552,0.25324391082762715,1294950.0,292785.9,-0.035483995521062586,0.09520301353309696,,,,,,,,,-0.007075471698113208,0.01120896717373899,0.0,-0.018081761006289308,-0.013912123597716985
2014-02-05,1245000,1255000,1234000,1237000,298533,15.1,1.4,10.0,1264200.0,312408.2,-0.021515582977376997,-0.04441368696468278,1287100.0,268351.7,-0.03892471447439981,0.11246919620781232,1291450.0,287976.75,-0.04216191103023733,0.03665660509051512,,,,,,,,,-0.0032025620496397116,0.014551333872271624,-0.002425222312045271,-0.009607686148919135,-0.06900455310921225
2014-02-06,1245000,1267000,1240000,1259000,303949,15.1,1.4,10.0,1259400.0,326392.6,-0.0003176115610608226,-0.06876258836750582,1280600.0,283622.0,-0.016867093549898484,0.07166933453681308,1289200.0,283411.0,-0.02342538008067018,0.07246719428674257,,,,,,,,,0.0064672594987873885,0.006354249404289118,-0.015091342335186657,0.01778496362166532,0.018142047947798067
2014-02-07,1275000,1279000,1263000,1275000,198872,15.1,1.4,10.0,1258400.0,289439.6,0.013191354100445009,-0.312906734254746,1275300.0,281856.2,-0.0002352387673488591,-0.2944203462616753,1288400.0,272879.95,-0.010400496740142812,-0.2712106550884373,,,,,,,,,0.012708498808578236,0.003137254901960784,-0.009411764705882352,0.012708498808578236,-0.34570602304991954
2014-02-10,1271000,1281000,1262000,1277000,155993,15.1,1.4,10.0,1259400.0,255601.4,0.013974908686676194,-0.3897020908336183,1273100.0,276781.6,0.0030633885790589898,-0.43640400951508335,1288500.0,259428.65,-0.00892510671323244,-0.3987055785858655,,,,,,,,,-0.003137254901960784,0.0031323414252153485,-0.011746280344557557,0.001568627450980392,-0.21561104630113842
2014-02-11,1281000,1315000,1272000,1311000,253680,15.1,1.4,10.0,1271800.0,242205.4,0.03082245636106306,0.047375492041052784,1273500.0,274146.1,0.02944640753828033,-0.0746539892415029,1290450.0,253923.5,0.015924677438102986,-0.000958950235011726,,,,,,,,,0.0031323414252153485,0.0030511060259344014,-0.029748283752860413,0.02662490211433046,0.6262268178700326
2014-02-12,1331000,1331000,1305000,1307000,200548,15.1,1.4,10.0,1285800.0,222608.4,0.016487789702908696,-0.09909958474163597,1275000.0,267508.3,0.025098039215686273,-0.2503111118421372,1291050.0,247501.55,0.012354285271678091,-0.18971012504770168,,,,,,,,,0.015255530129672006,0.018362662586074982,-0.001530221882172915,-0.0030511060259344014,-0.20944497004099652
