Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,296500,297000,277500,279000,244998,15.8,1.0,6.7,,,,,,,,,,,,,,,,,,,,,0.0,0.06451612903225806,-0.005376344086021506,0.0,0.0
2014-01-03,280500,282000,274000,276000,229897,15.8,1.0,6.7,,,,,,,,,,,,,,,,,,,,,0.005376344086021506,0.021739130434782608,-0.007246376811594203,-0.010752688172043012,-0.0616372378550029
2014-01-06,276000,282000,273000,279500,129770,15.8,1.0,6.7,,,,,,,,,,,,,,,,,,,,,0.0,0.008944543828264758,-0.023255813953488372,0.012681159420289856,-0.43552982422563147
2014-01-07,278000,284000,277500,277500,149264,15.8,1.0,6.7,,,,,,,,,,,,,,,,,,,,,-0.005366726296958855,0.023423423423423424,0.0,-0.007155635062611807,0.15021961932650074
2014-01-08,278500,279000,274000,276000,160529,15.8,1.0,6.7,277600.0,182891.6,-0.005763688760806916,-0.12227242803934137,,,,,,,,,,,,,,,,,0.0036036036036036037,0.010869565217391304,-0.007246376811594203,-0.005405405405405406,0.07547030764283418
2014-01-09,276000,280000,270000,270000,252877,15.8,1.0,6.7,275800.0,184467.4,-0.02102973168963017,0.3708492665912785,,,,,,,,,,,,,,,,,0.0,0.037037037037037035,0.0,-0.021739130434782608,0.5752730036317425
2014-01-10,274000,278000,272000,273500,144806,15.8,1.0,6.7,275300.0,167449.2,-0.006538321830730113,-0.13522429489062956,,,,,,,,,,,,,,,,,0.014814814814814815,0.016453382084095063,-0.005484460694698354,0.012962962962962963,-0.42736587352744615
2014-01-13,275000,283000,275000,279500,177715,15.8,1.0,6.7,275300.0,177038.2,0.015256084271703597,0.0038229037574940795,,,,,,,,,,,,,,,,,0.005484460694698354,0.012522361359570662,-0.016100178890876567,0.021937842778793418,0.22726268248553236
2014-01-14,280500,285500,277000,280000,202304,15.8,1.0,6.7,275800.0,187646.2,0.015228426395939087,0.07811402522406523,,,,,,,,,,,,,,,,,0.0035778175313059034,0.019642857142857142,-0.010714285714285714,0.0017889087656529517,0.1383619840756267
2014-01-15,284500,285000,279500,280000,101282,15.8,1.0,6.7,276600.0,175796.8,0.012292118582791034,-0.4238689213910605,277100.0,179344.2,0.010465535907614579,-0.43526470329121325,,,,,,,,,,,,,0.01607142857142857,0.017857142857142856,-0.0017857142857142857,0.0,-0.49935740272065804
2014-01-16,279500,283500,279000,281500,129061,15.8,1.0,6.7,278900.0,151033.6,0.00932233775546791,-0.14548153523454388,277350.0,167750.5,0.014963043086352984,-0.2306371665062101,,,,,,,,,,,,,-0.0017857142857142857,0.007104795737122558,-0.008880994671403197,0.005357142857142857,0.27427380975889104
2014-01-17,284500,287500,282500,283500,213956,15.8,1.0,6.7,280900.0,164863.6,0.009255962976148096,0.29777585834592957,278100.0,166156.4,0.019417475728155338,0.2876783560548977,,,,,,,,,,,,,0.010657193605683837,0.014109347442680775,-0.003527336860670194,0.007104795737122558,0.6577897273382354
2014-01-20,281500,289000,280500,287000,145866,15.8,1.0,6.7,282400.0,158493.8,0.016288951841359773,-0.07967377903741338,278850.0,167766.0,0.02922718307333692,-0.13053896498694612,,,,,,,,,,,,,-0.007054673721340388,0.006968641114982578,-0.02264808362369338,0.012345679012345678,-0.3182430032343099
2014-01-21,289500,295000,286000,292500,214166,15.8,1.0,6.7,284900.0,160866.2,0.026676026676026678,0.33133001214674046,280350.0,174256.2,0.04333868378812199,0.22902944055936023,,,,,,,,,,,,,0.008710801393728223,0.008547008547008548,-0.022222222222222223,0.01916376306620209,0.46823797183716565
2014-01-22,292500,295000,289000,292000,142503,15.8,1.0,6.7,287300.0,169110.4,0.016359206404455272,-0.15733745529547558,281950.0,172453.6,0.03564461784004256,-0.17367338228949702,,,,,,,,,,,,,0.0,0.010273972602739725,-0.010273972602739725,-0.0017094017094017094,-0.33461427117282855
2014-01-23,293500,294500,288500,292000,162415,15.8,1.0,6.7,289400.0,175781.2,0.008984105044920525,-0.07603884829549469,284150.0,163407.4,0.027626253739222242,-0.006073164373216844,,,,,,,,,,,,,0.005136986301369863,0.008561643835616438,-0.011986301369863013,0.0,0.13973039164087775
2014-01-24,292000,292500,285000,292500,151633,15.8,1.0,6.7,291200.0,163316.6,0.004464285714285714,-0.07153957405432151,286050.0,164090.1,0.022548505506030415,-0.0759162191990864,,,,,,,,,,,,,0.0,0.0,-0.02564102564102564,0.0017123287671232876,-0.0663854939506819
2014-01-27,285000,305000,284500,294000,348829,15.8,1.0,6.7,292600.0,203909.2,0.004784688995215311,0.7107075109901857,287500.0,181201.5,0.022608695652173914,0.9250889203455821,,,,,,,,,,,,,-0.02564102564102564,0.03741496598639456,-0.03231292517006803,0.005128205128205128,1.3004820850342604
2014-01-28,297500,309000,295000,304500,506403,15.8,1.0,6.7,295000.0,262356.6,0.03220338983050847,0.9302087311697135,289950.0,211611.4,0.05018106570098293,1.393079956939938,,,,,,,,,,,,,0.011904761904761904,0.014778325123152709,-0.031198686371100164,0.03571428571428571,0.45172276387570987
2014-01-29,304000,313000,302500,310000,295050,15.8,1.0,6.7,298600.0,292866.0,0.038178164768921635,0.007457335436684354,292950.0,230988.2,0.0582010582010582,0.27733797657196335,285025.0,205166.2,0.0876238926409964,0.4381023774871299,,,,,,,,,-0.0016420361247947454,0.00967741935483871,-0.024193548387096774,0.0180623973727422,-0.41736127155644814
2014-02-03,302000,304000,298000,301000,339987,15.8,1.0,6.7,300400.0,328380.4,0.0019973368841544607,0.03534498404898702,294900.0,252080.8,0.020684977958630044,0.34872231443251533,286125.0,209915.65,0.05198776758409786,0.6196362681867693,,,,,,,,,-0.025806451612903226,0.009966777408637873,-0.009966777408637873,-0.02903225806451613,0.15230299949161158
2014-02-04,295500,301500,295500,295500,295488,15.8,1.0,6.7,301000.0,357151.4,-0.018272425249169437,-0.17265339013090814,296100.0,260234.0,-0.002026342451874367,0.13547038434639594,287100.0,213195.2,0.029258098223615466,0.38599743333808634,,,,,,,,,-0.018272425249169437,0.02030456852791878,0.0,-0.018272425249169437,-0.13088441616885352
2014-02-05,300000,309000,299000,307500,222159,15.8,1.0,6.7,303700.0,331817.4,0.012512347711557459,-0.3304781485238568,298150.0,267863.3,0.031360053664262956,-0.17062546455598804,288500.0,217814.65,0.0658578856152513,0.019945168977385158,,,,,,,,,0.015228426395939087,0.004878048780487805,-0.027642276422764227,0.04060913705583756,-0.24816236192332683
2014-02-06,310000,311000,303000,306000,214826,15.8,1.0,6.7,304000.0,273502.0,0.006578947368421052,-0.21453590832973798,299500.0,267929.3,0.021702838063439065,-0.19819892785148915,289925.0,221092.75,0.05544537380356989,-0.028344439155060488,,,,,,,,,0.008130081300813009,0.016339869281045753,-0.00980392156862745,-0.004878048780487805,-0.03300789074491693
2014-02-07,303000,310000,303000,309500,170925,15.8,1.0,6.7,303900.0,248677.0,0.018427114182296808,-0.312662610534951,301250.0,270771.5,0.027385892116182572,-0.36874818804785586,291600.0,221612.55,0.06138545953360768,-0.22872147809318558,,,,,,,,,-0.00980392156862745,0.0016155088852988692,-0.0210016155088853,0.011437908496732025,-0.20435608352806459
2014-02-10,304500,314500,303500,313000,139557,15.8,1.0,6.7,306300.0,208591.0,0.02187397975840679,-0.33095387624585915,303350.0,268485.7,0.03181143893192682,-0.48020695329397434,293750.0,215946.55,0.06553191489361702,-0.35374285905470587,,,,,,,,,-0.01615508885298869,0.004792332268370607,-0.03035143769968051,0.011308562197092083,-0.18351908731899957
2014-02-11,312000,319000,310000,312000,150238,15.8,1.0,6.7,309600.0,179541.0,0.007751937984496124,-0.16321063155490947,305300.0,268346.2,0.021945627251883395,-0.4401336780621451,295675.0,216218.15,0.05521264902342098,-0.3051554645158142,,,,,,,,,-0.003194888178913738,0.022435897435897436,-0.00641025641025641,-0.003194888178913738,0.0765350358634823
2014-02-12,310000,315000,306000,310000,216539,15.8,1.0,6.7,310100.0,178417.0,-0.0003224766204450177,0.21366798006916382,306900.0,255117.2,0.010101010101010102,-0.1512175580478306,297200.0,218159.35,0.04306864064602961,-0.007427369030940025,,,,,,,,,-0.00641025641025641,0.016129032258064516,-0.012903225806451613,-0.00641025641025641,0.44130646041613975
2014-02-13,310000,315500,309500,313500,109420,15.8,1.0,6.7,311600.0,157335.8,0.006097560975609756,-0.30454480162811004,307800.0,215418.9,0.018518518518518517,-0.4920594246837209,298875.0,213515.15,0.04893350062735257,-0.4875305101300774,,,,,,,,,0.0,0.006379585326953748,-0.012759170653907496,0.01129032258064516,-0.49468686933993417
2014-02-14,314000,318000,311000,317500,98281,15.8,1.0,6.7,313200.0,142807.0,0.013729246487867178,-0.31179143879501703,308550.0,195742.0,0.029006643979906013,-0.49790540609577916,300750.0,213365.1,0.05569409808811305,-0.5393764022326051,,,,,,,,,0.001594896331738437,0.0015748031496062992,-0.02047244094488189,0.012759170653907496,-0.10180040212027051
2014-02-17,316000,317000,305500,306500,245086,15.8,1.0,6.7,311900.0,163912.8,-0.017313241423533184,0.4952218496664081,309100.0,186251.9,-0.008411517308314461,0.3158845627883528,302000.0,219166.35,0.014900662251655629,0.11826473361444398,,,,,,,,,-0.004724409448818898,0.03425774877650897,-0.0032626427406199023,-0.03464566929133858,1.4937271700532149
2014-02-18,308000,308500,302000,306000,168053,15.8,1.0,6.7,310700.0,167475.8,-0.015127132281943997,0.0034464680867326005,310150.0,173508.4,-0.013380622279542157,-0.03144170541599135,303125.0,216871.2,0.009484536082474227,-0.2251022726853543,,,,,,,,,0.004893964110929853,0.008169934640522876,-0.013071895424836602,-0.0016313213703099511,-0.3143100789110761
2014-02-19,303000,305000,299500,305000,181363,15.8,1.0,6.7,309700.0,160440.6,-0.01517597675169519,0.13040589476728454,309900.0,169428.8,-0.015811552113585026,0.07043784763865418,304025.0,218646.05,0.0032069731107639173,-0.17051783007285057,,,,,,,,,-0.00980392156862745,0.0,-0.018032786885245903,-0.0032679738562091504,0.07920120438195093
2014-02-20,301000,308000,301000,307500,158953,15.8,1.0,6.7,308500.0,170347.2,-0.0032414910858995136,-0.0668880967811623,310050.0,163841.5,-0.00822447992259313,-0.029836762969089027,304775.0,215885.4,0.008941022065458125,-0.2637158418308973,,,,,,,,,-0.013114754098360656,0.0016260162601626016,-0.02113821138211382,0.00819672131147541,-0.12356434333353551
2014-02-21,309000,312500,308500,312500,121383,15.8,1.0,6.7,307500.0,174967.6,0.016260162601626018,-0.3062544151031391,310350.0,158887.3,0.0069276623167391655,-0.23604340938514273,305800.0,214829.4,0.021909744931327666,-0.4349795698354136,,,,,,,,,0.004878048780487805,0.0,-0.0128,0.016260162601626018,-0.23635917535372092
2014-02-24,310000,312000,308000,311500,74417,15.8,1.0,6.7,308500.0,140833.8,0.009724473257698542,-0.47159701719331576,310200.0,152373.3,0.004190844616376531,-0.5116139113611111,306775.0,210429.5,0.01540216771249287,-0.6463566182498176,,,,,,,,,-0.008,0.0016051364365971107,-0.011235955056179775,-0.0032,-0.38692403384328944
2014-02-25,314000,314000,309500,313000,120182,15.8,1.0,6.7,309900.0,131259.6,0.010003226847370119,-0.08439458904339192,310300.0,149367.7,0.008701256848211408,-0.19539498834085287,307800.0,208856.95,0.016894087069525665,-0.4245726560691421,,,,,,,,,0.008025682182985553,0.003194888178913738,-0.011182108626198083,0.004815409309791332,0.6149804480159103
2014-02-26,310500,313000,301500,311500,161805,15.8,1.0,6.7,311200.0,127348.0,0.0009640102827763496,0.2705735465024971,310450.0,143894.3,0.0033821871476888386,0.12447122644885873,308675.0,199505.75,0.009152020733781486,-0.18897074395098887,,,,,,,,,-0.007987220447284345,0.004815409309791332,-0.03210272873194221,-0.004792332268370607,0.34633306152335624
