,Title,label
0,與 영남주자들 “신종 코로나 추경 검토해야”,0
1,전기차-충전기 제조사와 함께하는 '상호운용성 테스티벌',0
2,"""정부, 저공해차 안 만드는 대기업에 패널티 강화 추진""",1
3,'시스템반도체 팹리스' 후속조치 본격화…현장과 소통행보 시작,1
4,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",0
5,"與 ""한국당의 '박영선 흠집내기' 도 넘어…강력 대응""",0
6,"한국당 산자위 “박영선 남편, 현대·기아차도 막대한 수임료 추정”",0
7,"'텔루라이드' 생산 공장 찾은 韓·美 대사 ""기아차, 현지 경제 살렸다""",0
8,"[포토]김현종 본부장, 美 상원의원과 '車 232조' 면담",0
9,"하태경 “한국GM 노조, 또 파업…명백한 자살행위”",0
10,조선업에 이어 車 부품기업에 3.5조원 자금지원…제조업 활력회복에 '올인',1
11,자금난 겪는 車 부품기업에 3조5000억원 긴급 수혈,0
12,11월 車 내수↓ 수출·생산↑…수소·전기 등 친환경차 약진,0
13,"[백브리핑]집권여당, 협치(協治) 전에 내치(內治)부터",0
14,평화당 지도부 광주 방문…5·18 정신 강조하며 지지호소,-1
15,[e공시 눈에 띄네]코스피-2일,0
16,"문 대통령, 슬로바키아 대통령과 정상회담…손경식·윤부근 등 참석",0
17,"2월 ""수입車 날다"" 전년比 23.9%↑…국산車 생산·내수·수출 모두↓",0
18,"제네시스 G70, 2018 올해의 차로 선정",1
19,"靑 ""임 비서실장, SK 외에 다른 대기업 고위관계자들도 만나 애로 청취""",0
20,"현대차, 사업기간 꼼수 연장…도로부지 18년 무상사용",0
21,'대기업 특혜·관제시위 의혹' 구재태 전 경우회장 구속,-1
22,"중국에서 고전하는 현대차, 인도네시아 교두보로 동남아 시장 공략 나서",1
23,[2017국감]국토위 증인채택 문제 도마위에 올라,-1
24,"다스, 일파만파 퍼지는 와중에 ""다른 곳도 있다""...논란 확산 '결론은?'",-1
25,기업 부담 가중?…20대 국회 立法 찬반 논란(종합),-1
26,[입법·행정·사법부에 갇힌 재계]기업 부담 가중시키는 立法 논란,-1
27,"법원 ""상여금도 통상임금""…충격에 빠진 재계",0
28,"산자위 ""기업 해외이전 우려""…백운규 ""두달내 대책 마련""",-1
29,법원 '기아차 통상임금' 소송 31일 1심 선고,-1
30,"靑 ""기업인 첫 만남 '시나리오·발표자료·시간제한' 없다""",0
31,"文 대통령, 대기업 총수와 '호프 한잔'…""진솔한 대화하겠다""",0
32,"조급한 정부, 속타는 대기업…겉도는 일자리 대책",0
33,10대 기업 일자리 1년새 2317개 사라졌다,0
34,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",0
35,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",0
36,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",0
37,사상 첫 비정규직 주도 '사회적 총파업' 시작…뭉치는 양대노총,0
38,"한국노총 ""文 일자리정책, 적극 참여""",0
39,"한국당 ""정의당, 강성귀족노조당으로 당명 바꾸라""",0
40,제51회 납세자의 날…현대차 국세 1조원 탑 수상,1
41,"野, 호남쟁탈전 '더' 달아 오른다",0
42,[포토]답변하는 정몽구 회장,0
43,[포토]청문회장 들어서는 재벌총수들,0
44,[포토]국회 들어서는 정몽구 회장,0
45,[포토]국회 들어서는 정몽구 회장,0
46,[포토]나란히 앉은 재벌총수들,0
47,[포토]증인선서하는 재벌총수들,0
48,[포토]국회 들어서는 정의선 부회장,0
49,[포토]증인선서하는 재벌총수들,0
50,[포토]국회 들어서는 정의선 부회장,0
51,[포토]청문회장 들어서는 정몽구·구본무,0
52,[포토]청문회장 들어서는 정몽구 회장,0
53,[포토]증인선서하는 재벌총수,0
54,[포토]청문회장에서 열리는 전경련 회장단 회의(?),0
55,필리핀 다바오에 한국 명예영사관 설치,0
56,"朴, 'YS실수'를 되돌아보라…'사조직 농단' 진솔한 사과 안해 끝내 외환위기",-1
57,"[멈춰선 대한민국]총체적 난관 한국號, 무드셀라 증후군?",0
58,"주형환 ""한-칠레 FTA 무역이익 공유로 개선돼야""",1
59,K-9 자주포 ‘세계 방산시장 정조준’,0
60,"문재인 ""'광주 자동차 100만대', 朴정부 노력 안해""",0
61,"이용섭·양양자 후보,“안철수 대표에 1:1 또는 2:2 공개토론 제안”",0
62,새누리당 광주시당-기아차 노조 “자동차 100만대 적극 협조”,0
63,"국민의당, 광주시· 기아차노조 정책간담회 가져",0
64,"천정배,“우리 당인 국민의당을 꼭 찍어 달라”",0
65,"김종인 ""광주에 삼성 미래車 산업 유치하겠다""(종합)",1
66,"김종인 ""광주에 삼성 미래車 산업 유치하겠다""(상보)",1
67,"朴, 北核공조·세일즈외교 마치고 귀국길",0
68,"朴, 기아차·FTA 해결…멕시코 방문 최대성과(종합)",1
69,"朴, 기아차 멕시코공장 난제 해결",0
70,한·멕FTA 실무협의 개최 합의…협상재개 물꼬(종합),1
71,"朴, 멕시코서 FTA협상ㆍ기아차논란 난제 풀까",-1
72,"더민주 광주시당 ""4·13 총선 '광주 발전 10대 공약' 발표""",0
73,1월 완성차 생산·판매·수출 다 줄었다,0
74,개소세 인하 반년만에 다시 꺼내든 정부,0
75,"유일호 부총리 ""글로벌 수출 톱5로 도약""",1
76,"고용부 ""파업참여 기업, 비정규직 격차 심화시킨 원인제공자""",0
77,"11月 자동차 생산 넉달만에 감소…""수출 감소 탓""",0
78,"방러 정의화 의장, 상트페테르부르크 현대자동차 공장 방문",0
79,"환경부, 폭스바겐 '배출가스 조작' 검증조사 착수..국산차로 확대 예정(종합)",1
80,기아車노조 파업투표 가결…쟁의대책委서 최종결정,1
81,"최재천 ""진보·보수 논쟁 공허…공리민복이 중요""",0
82,"朴대통령, 재계 총수들과 창조경제 토론…""반드시 성과창출"" 다짐",0
83,"朴 ""혁신센터, 사회공헌뿐 아니라 성장동력으로 생각해달라""…대기업에 주문",1
84,[포토]한국전기차 충전서비스 제1호 충전소 준공,0
85,"재계거물들 청와대 집합…朴대통령, 창조경제 활성화 당부",0
86,"""전기차 확산하려면 내연기관 중심의 제도 개선해야""",1
87,"[대기질개선포럼]서울시, 전기車 공개추첨…565대 주인품으로",1
88,"산업부, 자동차 업계와 FTA 원산지 규정 논의",0
89,"고용부 장관 ""최저임금 단계적 인상…소득분배 개선""",1
90,상장사 일자리 창출능력 4년만에 6분의1 토막,0
91,5月 자동차 생산·수출 동반 하락…엔저 우려 현실화,1
92,"제12회 자동차의날, 손기창 경창산업 회장 은탑산업훈장 수상",1
93,4月 車 수출 28만2000대…전년비 6%↓,0
94,조영택 “정동영·천정배 행보 명분 없다”,0
95,"기술표준원, 17개 신기술 인증 선정",1
96,전기車 3년내 4만7000대 보급…에너지신산업 1조8000억 투자,0
97,"무역보험公, 스페인 산탄데르銀 20억불 무역보험 유치",1
98,현대기아차에 납품하는 獨·日업체들 담합..과징금 75억원,-1
99,[전문] 문재인 새정치민주연합 대표 교섭단체 대표 연설,0
100,3月 자동차 수출 27만7874대 전년대비 2.6%↓,0
101,현대·기아차 납품업체 담합..공정위 제재,0
102,전기차 충전 전력 되판다…정부 에너지신사업 첫발,0
103,2月 자동차 생산·내수·수출 동반 감소,1
104,제주도에 전기차 유료충전소 6월 첫선,0
105,'세금폭탄' 피하는 현대차 한전부지…호텔은 정관 추가해야,0
106,"[포토]산업부, 자동차 업계와 경쟁력 강화 논의",1
107,주춤하는 車 수출…통상정책 방향 점검,0
108,"공정위, 현대기아차 납품하는 日·獨업체 담합 조사",0
109,"朴대통령 ""광주, 창조경제 잠재력 커…문화·광산업 주목""",1
110,평화엔지니어링 등 23개사 두뇌역량우수 기업 선정,1
111,"공정위, 하도급단가 누락한 한국세큐리트에 시정명령",0
112,"[2014국감]""현대차-중소협력사 이익률 격차 점점 커져""",1
113,"[2014국감]환노위, 현대차 사장 등 증인채택 합의",0
114,광해관리공단 김익환 신임 이사장 취임,0
115,9月 車 내수판매 12.2%↑…'소비심리 회복',1
116,8月 자동차 생산 11개월내 최저…'휴가·파업 탓',0
117,8月 무역수지 34억弗 흑자…31개월 연속(상보),1
118,'K-통상전략' 마련…기업인이동·디지털협정·보호무역대응,0
119,"'직무관련성' 조윤제 韓銀 금통위원, 결국 주식 팔았다(종합)",0
120,"조윤제 금통위원, 결국 코스닥 주식 전량처분 (상보)",0
121,"현대캐피탈, 3억 스위스프랑 규모 그린본드 발행",0
122,장관만 여섯번…기아차 회장까지 역임한 '진념',0
123,"성윤모 ""저신용 車부품기업, 금융지원 외면…사각지대 해결해야""",0
124,"현대캐피탈, 2300억원 규모 원화 지속가능채권 발행…국내 캐피탈사 최초",1
125,"신한금융, 국내 최초 스타트업 액셀러레이트 '신한퓨처스랩' 6-2기 모집",1
126,[産團 강소기업의 힘](下) 스마트공장 구축…전기차 부품으로 불황 뚫어,-1
127,"""현대차그룹 역발상 혁신 통해 코로나19 경제 위기 극복해야""",1
128,"KB손보, 커넥티드카 안전운전 보험료 10% 할인 특약",1
129,코로나로 車 수출 '반토막',-1
130,"현대캐피탈 ""카니발, 1년간 걱정 없이 타세요""",0
131,'배민-요기요' 합병 반대 나선 소비자단체…공정위에 불승인요청 의견서 제출,1
132,"환경부, 현대차-물류회사와 MOU…""전기화물차로 전환, 미세먼지 감축""",1
133,"車업계, 산업장관에 신규 유동성 지원·취득세 감면 요청",0
134,4월 1~20일 수출 27% 급감 '날개없는 추락'(종합),-1
135,"좋은 일자리 하나 아쉬운 때인데…""광주형, 첫 단추 잘 꿰야""",0
136,"삐걱대는 '광주형 일자리'…""상생하랬더니 靑만 앞세우는 勞""",0
