,Title,Date,Category
0,"손혜원 ""엄청난 후원금 들어와…쫄지 않고 결백 밝힐 것""",2019.01.18,2
1,"편의점주들, 민주당 지도부에 ""최저임금 인상 두렵다""",2019.01.18,2
2,[차장 칼럼]‘을(乙)의 전쟁’ 프리뷰,2017.07.25,2
3,출마보다 '킹메이커'에 방점 찍힌 듯…홍석현 중앙일보 회장 전격 사임(종합),2017.03.19,2
4,긴급 재난 구호 물품 BGF리테일 물류센터 통해 공급,2015.01.28,2
5,"당일 알바도 30분만에 채용…CU, '급구' 서비스 제휴",2020.08.31,3
6,코로나19 재확산…CU 배달 서비스 급증,2020.08.30,3
7,"세계로 향하던 편의점, 코로나에 올스톱",2020.08.25,3
8,"금융보안원-BGF리테일, 금융-소비유통 데이터 생태계 조성 위한 MOU 체결",2020.08.20,3
9,"B급 감성이 통했다…CU, '단군신화 상품' 매출↑",2020.08.19,3
10,코로나·장마에 CU 모바일 와인 예약 주문 5배↑,2020.08.18,3
11,"CU, 교육전문업체와 제휴 맺고 스태프 공부 지원한다",2020.08.10,3
12,"편의점에서 준비하는 캠핑 먹거리…CU, 캠핑 간편식 시리즈 출시",2020.08.09,3
13,"BGF리테일, 폭우로 이재민 발생한 경기도 이천에 긴급구호 지원",2020.08.03,3
14,"BGF리테일, 밤사이 침수 피해 입은 대전에 긴급구호물품 지원",2020.07.30,3
15,"CU, 다가올 늦더위 겨냥…아이스크림 반값 할인",2020.07.29,3
16,"""환경은 지출 아닌 투자""…친환경 사업 박차 가하는 BGF리테일",2020.07.24,3
17,"CU, 업계 최초 유튜브 구독자 30만명 돌파",2020.07.23,3
18,"CU, 10번째 지역 특산물 '홍천 곤드레 간편식 시리즈' 출시",2020.07.21,3
19,"CU, 삼성증권·티클과 손잡고 '잔돈 저축 재테크' 실시",2020.07.20,3
20,"BGF리테일, 환경부와 ‘SOS 기후행동 공익활동’ 캠페인 진행",2020.07.15,3
21,"CU, 점포 내 택배기기 활용한 '펫보험' 판매 서비스 돌입",2020.07.07,3
22,"CU, 배달서비스 24시간 운영점 업계 첫 100호점 돌파",2020.07.02,3
23,"BGF리테일, 진천 중앙물류센터에 태양광 발전소 준공",2020.07.01,3
24,"CU, 30주년 기념 고객 감사 이벤트 실시",2020.06.30,3
25,"CU, 랜선 여행족 위한 '기내식 도시락 시리즈' 출시",2020.06.29,3
26,"CU, 방탄소년단 티머니카드 판매…콘셉트는 '맵 오브 더 소울 7'",2020.06.26,3
27,"CU, 대한민국 동행세일 동참…할인·경품 프로모션",2020.06.24,3
28,"술·담배 살 때 신분증 없어도 된다…CU, 모바일 신분 인증 서비스 시행",2020.06.23,3
29,"""버려지는 음식 줄이자""…CU, '그린세이브 서비스' 개시",2020.06.22,3
30,"BGF그룹, ‘러브 커넥트 헌혈 캠페인’ 진행",2020.06.18,3
31,"CU, 다섯 가지 뿌리 담은 '뿌리의힘 도시락' 출시",2020.06.15,3
32,"韓 대표 협업툴 ‘플로우’, 하나벤처스 등으로 부터 20억 투자 유치",2020.06.11,3
33,"BGF리테일-홍천군, 지역 특산물 이용한 상생협력 체결",2020.06.11,3
34,"CU, '곰표 밀맥주' 일주일만에 30만개 판매",2020.06.09,3
35,"확 더워진 날씨…CU ""덴탈마스크, 전월比 250% 구매 늘어""",2020.06.08,3
36,"편의점이 달려간다…CU, 배달 주문 10배 증가",2020.06.02,3
37,"와인부터 꼬냑까지…CU, 주류 예약 서비스 개시",2020.06.01,3
38,"CU, 직납 방식으로 신선육 판매 개시",2020.05.28,3
39,"펫콕족 늘자…편의점, 반려동물 용품 매출 '훨훨'",2020.05.27,3
40,"SL홀딩스, BGF리테일과 전략적 파트너십 업무협약 체결",2020.05.25,3
41,"편의점으로 들어온 란제리…CU, 비비안 여성 속옷 출시",2020.05.20,3
42,"코로나19에 혼밥하는 직장인 증가하자…CU, 도시락 매출 '껑충'",2020.05.19,3
43,"CU, 절반 가격으로 즐기는 택배 'CU끼리'…이용 건수 3배 증가",2020.05.18,3
44,바이러스 물럿거라! 세스코-CU 손잡고 가맹점 생활방역 프로모션 나서,2020.05.12,3
45,"CU, 포스 현금인출 서비스 전국 이용건수 전년比 30배↑",2020.05.11,3
46,"주택가 공략 GS25 웃고, 관광명소 다닌 CU 울었다",2020.05.08,3
47,"편의점 CU, 전국 배송 시대 개막",2020.05.06,3
48,"""위기를 기회로""…식품·유통家, '코로나19' 악재에 오히려 웃었다(종합)",2020.05.04,3
49,쓸 곳 제로 '제로페이' 편의점만 신났네,2020.04.28,3
50,"BGF리테일, ‘씨준생’ 1기 모집…CU 알리미 역할 수행",2020.04.27,3
51,"CU, CJ제일제당과 손잡고 비비고 ‘남도떡갈비 간편식 시리즈’ 출시",2020.04.23,3
52,"삼성카드, BGF리테일과 협업해 만든 '24365 친환경 에코백' 판매",2020.04.22,3
53,"편의점의 진화…CU, 셀프 계산대 늘리고 안면결제 상용화",2020.04.20,3
54,"코로나19 이긴 편의점 디저트…CU, '달고나 시리즈'로 바통",2020.04.19,3
55,"길거리 편의점, 와인 맛집으로…4사 매출 77% 고속성장",2020.04.15,3
56,"자진 노동 상품 인기에…CU, 과일 초코퐁듀키트 출시",2020.04.13,3
57,"10만 구독자 달성…CU, 편의점 최초 '실버버튼' 유튜버 됐다",2020.04.08,3
58,"CU, 마타주와 손잡고 '마타주 셀프 접수' 개시",2020.04.06,3
59,"대구 지역 CU 가맹점주, 도시락 수익금 전액 의료진 돕기에 기부",2020.04.05,3
60,"CU, 그린 스토어 2호점 오픈…전국 직영점엔 친환경 봉투 도입",2020.04.01,3
61,"CU, 24시간 배달 서비스 실시",2020.03.30,3
62,"[유통핫피플]""출연자 오디션에만 1천명 몰려""…CU의 선 없는 도전",2020.03.25,3
63,"BGF리테일, 2020년 신입·수시 채용 확대",2020.03.19,3
64,"CU, '집콕족'을 위한 프리미엄 안주 도시락 출시",2020.03.18,3
65,"BGF리테일, 괴산군과 우리 농산물 소비 촉진 위해 힘 합친다",2020.03.17,3
66,"상생펀드 이용 6배 늘어…CU, 코로나19 극복 위해 60억 지원",2020.03.16,3
67,"CU, 봄 시즌 한정 '루비 초콜릿 라떼' 출시",2020.03.13,3
68,"CU, '말표' 뷰티케어 종합선물세트 출시",2020.03.12,3
69,"""사랑도 배달합니다""…CU, '러브 딜리버리 박스' 출시",2020.03.09,3
70,'착한 프랜차이즈'에 무슨 일이…'코로나19 극복' 동참,2020.03.08,3
71,"야식의 재해석…CU, 퓨전 안주 4종 출시",2020.03.06,3
72,"CU, 건강 유튜버 '김계란'과 에너지빡포션 단독 출시",2020.03.05,3
73,"박영선 ""착한 프랜차이즈 상생매장 6만3000개 넘어""",2020.03.04,3
74,"CU, 감성 '델라페' 출시…국내 청년작가 22명과 협업",2020.03.04,3
75,"CU, 업계 최대 배달 서비스 구축…‘네이버 간편주문’ 입점",2020.03.02,3
76,"""직원 교육부터 시키세요""…CU 키핑쿠폰 도입 한달, 초반 잡음",2020.03.01,3
77,"BGF리테일, 코로나19 관련 CU 가맹점주 긴급 지원책 마련",2020.02.25,3
78,"낮과 밤이 다른 편의점…CU, 하이브리드 편의점 100호점 개점",2020.02.24,3
79,"CU, '백종원 요리비책' 1탄 공개 D-5…유튜브 비법 생생 재현",2020.02.20,3
80,'메르스' 보다 '코로나19'에 소비자 반응 더 민감했다…마스크 매출 68%↑,2020.02.18,3
81,"CU, '쫀득한마카롱' 누적 판매량 300만개 돌파",2020.02.17,3
82,"유통업계, 코로나19 직격탄 맞았지만…방역 지원·성금 기부 등 상생 이어가",2020.02.15,3
83,"CU, DB손보·네이버파이낸셜과 손잡고 '내차보험 만기라면' 출시",2020.02.14,3
84,"BGF리테일, 'N+1'행사 판촉비 납품업체에 떠넘기다 적발…과징금 16.7억원",2020.02.13,3
85,"BGF리테일, 지난해 영업익 1966억…전년比 3.7% ↑",2020.02.11,3
86,"BGF리테일, 3차 귀국 교민에 1천만원 상당 긴급 구호지원",2020.02.11,3
87,"편의점에서 맛보는 과메기…CU, '수고했魚 오늘도' 두번째 상품 출시",2020.02.10,3
88,"CU, KT 멤버십 회원 대상 '5Good모닝' 이벤트 실시",2020.02.07,3
89,"CU, 우한 교민에 마스크 2만개 지원…5천만원 상당",2020.02.04,3
90,"CU, '+1' 증정상품 저장할 수 있는 '키핑쿠폰 서비스' 실시",2020.01.29,3
91,신종 코로나 공포에…설 연휴 편의점 마스크·감기약 '불티',2020.01.28,3
92,'먹방·ASMR 효과' 몰티져스 열풍…편의점 초콜릿 매출 ↑,2020.01.25,3
93,호빵 제친 군고구마…CU 편의점 겨울 간식 왕좌 올라,2020.01.22,3
94,"'호빵' 제친 '군고구마'…CU 편의점, 대표 겨울 간식 자리에 올라",2020.01.22,3
95,"CU, 가맹점 설 자금 640억원 조기 지급",2020.01.21,3
96,"귀경객, 고향 갈 때 '과자' 구매…돌아올 땐 '커피·가스활명수'",2020.01.20,3
97,"CU, 설 맞이 초대형 스팸 도시락 출시",2020.01.19,3
98,과일 섭취는 편의점에서…소용량 컵포장 과일 오피스族 인기,2020.01.17,3
99,'유튜버·셀럽 먹방' 폴란드 훈제 소시지…편의점서 만난다,2020.01.14,3
100,"작년 1억잔 팔린 CU 즉석커피, 겨울도 승승장구",2020.01.13,3
101,"일본맥주 자리, 국산 수제맥주로 채운다…불매운동·종량세 영향",2020.01.08,3
102,"노무부터 법률·세무까지…CU, 전 가맹점 대상 상담 서비스 시행",2020.01.06,3
103,"CU, 배달서비스 운영점 3000점 돌파…상반기 내 5000점까지 확대",2020.01.02,3
104,"CU, 서울 도심에 친환경 편의점 ‘그린 스토어’ 오픈",2019.12.26,3
105,"편의점에서 맛보는 '김장김치'…CU, '종가집 김치&수육 정식' 출시",2019.12.24,3
106,"쫀득한 마카롱, CU 매출 3위 우뚝…1020 여성 사로잡은 맛",2019.12.23,3
107,"'우리 곁의 영웅에게 상을'…BGF-경찰청, 아동안전 시민상 시상식",2019.12.18,3
108,'성장 한계' 부딪힌 편의점 시장서 점포 수 1위 거머쥔 GS25,2019.12.17,3
109,"CU, 아동 실종 예방시스템 '아이CU' 참여 기업 모집",2019.11.26,3
110,"""우리, 오래 갑시다""…CU, '십년지기' 가맹점주와 송년회",2019.11.25,3
111,"'백종원의 힘'…CU, 간편식 시리즈 2억 개 판매",2019.11.21,3
112,"이경규의 마장면, '제2의 꼬꼬면' 될까…하루 5만개 '불티'",2019.11.19,3
113,"CU ""도시락 '100% 페이백' 이벤트 참여하세요""",2019.11.18,3
114,"BGF리테일, 독도 소방헬기 사고 실종자 수색팀에 음식·핫팩 지원",2019.11.17,3
115,"""편의점서 밀키트 쇼핑""…CU, '잇츠온' 밀키트 단독 출시",2019.11.13,3
116,"CU, 김수미 손맛 담은 반찬 시리즈 출시",2019.11.08,3
117,편의점 서울·지방 매출 격차 2배까지…부익부 빈익빈(종합),2019.11.05,3
118,도시락 뿐 아니라 생활용품도 배달…매출 20% 늘었다,2019.11.05,3
119,조직개편 나선 BGF…홍석조 회장 장남·차남 경영전면에,2019.11.01,3
120,"BGF그룹, 2세 경영 본격화…홍정국 신임 대표 선임",2019.10.31,3
121,"""커피인 줄 알았지?""…CU-탐앤탐스, 몰래먹는 떡볶이 출시",2019.10.30,3
122,"벌교 꼬막 풍성하게 담은 비빔밥·김밥, 편의점에서 만난다",2019.10.29,3
123,"CU, 답사단과 함께 하얼빈 안중근 의거 현장 방문",2019.10.28,3
124,액상 전자담배 판매 중단 놓고 '혼란의 혼란' 거듭(종합),2019.10.25,3
125,"'길 잃은 어린이, CU를 보라' BGF, 강원도 춘천서 안전 벽화 봉사",2019.10.13,3
126,"CU, 간편결제 '차이' 손잡고 간편결제 확대",2019.10.08,3
127,"CU, 베트남 진출한다…현지 유통사와 마스터 프랜차이즈 계약",2019.09.24,3
128,日 인터넷은행 보니…'유통 플랫폼'에 답 있다,2019.09.23,3
129,무인화 한 단계 진화한 한국 유통…한국판 '아마존 고'도 등장,2019.09.21,3
130,"CU, 바다 생선 한가득 담은 도시락 출시",2019.09.19,3
131,"""고구마 철이 왔어요""…CU, 고구마 디저트 6종 출시",2019.09.18,3
132,"CU한마음봉사단, 아름다운가게와 ‘나눔바자회’ 개최",2019.09.01,3
133,"""우리 쌀로 지은 도시락 어때요""…CU, 12첩 한정식 도시락 출시",2019.08.27,3
134,"""협력사 자금난 없도록""…유통가, 추석 납품대금 조기지급 줄이어(종합)",2019.08.22,3
135,아시아 최대 유통기업은 알리바바…롯데·신세계 8위·10위,2019.08.01,3
136,"신한카드, 안면 인식 결제 ‘신한 페이스페이’ 운영 시작",2019.08.01,3
137,초콜릿·사탕 누른 젤리…'황금 진열대' 자리도 차지했다,2019.07.26,3
138,"[단독] CU·GS25·세븐일레븐·이마트24 ""日맥주, 8월부터 할인행사 제외""…코젤·필스너우르켈도 포함(종합)",2019.07.25,3
139,"[단독] CU·GS25, 일본산 맥주 '4캔 1만원' 할인 행사서 제외",2019.07.25,3
