,Title,Date,Category
0,"에너지공단, '2019년 ESP 성과공유 워크숍' 개최",2019.11.22,2
1,"[공직자 재산공개] 조국 민정수석, '1800만원 VS 1억원' 아까운 선택(종합)",2018.03.29,2
2,"[공직자 재산공개] 조국 민정수석, '1800만원 VS 1억원' 아까운 선택",2018.03.29,2
3,"CJ제일제당, 임산부 직원 배려하는 조직문화 강화",2018.03.12,2
4,'이건희 동영상' 촬영·협박 CJ 前부장 1심서 징역 4년6개월,2017.08.25,2
5,지난해 식품산업 생산실적 70조4000억…연 평균 5%씩 성장,2016.09.27,2
6,"대학생이 취업하고 싶은 기업? 男 1위 ‘삼성전자’, 女 1위 ‘CJ제일제당’",2016.07.29,2
7,"농협, 협력사와 5억 기부물품 전달",2015.12.23,2
8,식품산업 157조..10년간 71% 성장,2015.08.07,2
9,동물사료 업체들도 가격 짬짜미..과징금 773억원 부과,2015.07.02,2
10,공정위 '소비자중심경영' 14개사에 인증서 수여,2015.06.19,2
11,[진화하는 농촌]기술 대주고 생산물 사주고…1조원 씨뿌리는 기업 重農主義,2015.06.05,2
12,"朴 남미 4개국 방문, 경제사절단 126명 '사상최대'",2015.04.14,2
13,"농협·CJ제일제당, 글로벌 가공식품 개발 손잡아",2015.03.20,2
14,"朴대통령, ""농업을 미래성장산업으로"" 토론회 직접 주재",2014.11.19,2
15,"""고부가 식품산업 육성 2017년 수출 100억弗 달성""",2014.11.19,2
16,2014 한·아세안 특별정상회의 어린이 홍보대사는 '뽀로로',2014.09.29,2
17,"척박한 불모지 '식자재 유통'에 쏟은 20년…CJ, 산업화 선도 '3조의 품격'",2020.08.28,3
18,"""장바구니 담아도 순식간에 품절""…金값 채솟값ㆍ코로나19에 '밀키트' 대란 일어났다",2020.08.26,3
19,길었던 장마에 코로나19까지…휴가철 외식업계 울고 온라인 식품몰 웃고,2020.08.21,3
20,"CJ제일제당, ‘비비고 생선구이’ 라인업 5종으로 확대…수산 HMR 키운다",2020.08.20,3
