,Title,Date,Category
0,日총리 누가 돼도 '과도기 내각' 한계…한일관계 어디로,2020.08.31,2
1,"코이카-LH, 개발도상국 스마트시티·인프라 분야 협업 MOU",2020.08.29,2
2,"표류하는 GSOMIA, 韓 ""언제든 종료"" VS 日 ""안정적 운용 중요""",2020.08.29,2
3,"코이카-관광공사, 관광 분야 개발협력사업 MOU 체결",2020.08.28,2
4,"외교부 ""남·북·미 대화 재점화 위해 美와 포괄적 협의 추진""",2020.08.25,2
5,"민홍철 국방위원장 ""지소미아는 아직 유효…일본에 달렸다""",2020.08.25,2
6,미 폭격기 6대 이례적으로 동시 출격(종합),2020.08.19,2
7,문대통령-여야 대표 회동 거론…코로나 19 확산으로 즉각 성사는 불투명,2020.08.17,2
8,"""오늘부터 범부처 수도권긴급대응반 가동…종교시설·음식점 등 점검""",2020.08.17,2
9,"[속보]정부 ""교회 방역강화 전국적으로 필요해지면 즉시 조치""",2020.08.17,2
10,"정총리 ""광복절 집회에 일부 교인 참여 정황…의료지원 등 협력 요청""(종합)",2020.08.17,2
11,"""국세청장 후보자, 청약가점 위해 위장전입 의혹""",2020.08.17,2
12,美·中·日 양자 난제 돌파 '중책'…외교 1차관에 40대 靑비서관 '최종건' 발탁,2020.08.14,2
13,"홍남기 ""청년 위한 新직업 50개+a 창출…2022년 6.4만개 사회적 일자리""(종합)",2020.08.13,2
14,"코이카, 지역아동센터 6개소 대상 '세계시민교육 시리즈' 교육기부",2020.08.07,2
15,"美 국무부 ""미국 안보에 지소미아 중요""…한일 관계와 분리해야",2020.08.07,2
16,"문승욱 차장 ""에듀테크 발전으로 원격교육 품질 제고·학습격차 해소해야""",2020.08.06,2
17,"미국, '미니트맨-3' 발사 장면 공개… 왜?",2020.08.05,2
18,"코이카, 개발협력사업서 '인권증진' 위한 15대 실천 과제 수립",2020.08.04,2
19,"외교부 ""日 적극적이고 성의 있는 호응 기대, 언제든 지소미아 종료""",2020.08.04,2
20,공공 재건축 50층 허용…수도권 13만2000가구 新 공급(종합),2020.08.04,2
21,'4억원'에 갇힌 한일관계,2020.08.04,2
22,'초읽기' 들어간 日전범기업 자산 현금화…8월 한일관계 곳곳 '암초',2020.08.03,2
23,"코이카, 국민 서포터즈 ‘위코 2기’ 온라인 발대식…120명 화상회의",2020.07.27,2
24,"뉴딜 펀드, 연기금·한전 등도…이광재 ""국민 소득 높일 기회""",2020.07.17,2
25,"코이카, 개발도상국에 '비대면 디지털 러닝' 사업 확대 지원",2020.07.16,2
26,"'독도 영유권' 또 주장 日 방위백서…국방부, 무관 불러 강력 항의",2020.07.14,2
27,"日16년째 '독도 영유권' 주장…정부, 日총괄공사 초치 ""즉각 철회 촉구""(종합)",2020.07.14,2
28,16년째 독도 도발한 '日 방위백서'…'안보·방위 협력' 분야엔 갈등 부각,2020.07.14,2
29,[양낙규의 Defense video]북한이 도입한 러시아 Su-25 전투실력은,2020.07.11,2
30,7월 국회 시작부터 여야 기 싸움 '팽팽'…공수처·국정조사 이견,2020.07.05,2
31,"통합당 ""문재인 대통령 아들, 아파트 팔아 2억원대 시세차익""",2020.07.05,2
32,코로나19 신국제협력 TF 2차 민간자문회의…코로나19 시대 보건·개발협력 논의,2020.07.04,2
33,"강경화 ""日수출규제 조치 가장 큰 문제, 입장차 매우 커""…北 대화복귀 위해 전방위 노력",2020.07.02,2
34,"추미애, 윤석열 거취 언급…""더 지켜보기 어렵다면 결단하겠다""",2020.07.01,2
35,한상혁 인사청문요청안 국회 제출…재산 10억3000만원,2020.07.01,2
36,"추미애, 특임검사 제안에 ""종합적으로 함께 고려하겠다""",2020.07.01,2
37,"이낙연 ""소녀에서 엄마 될 때 남자는 철없어"" 발언에 사과",2020.07.01,2
38,"추미애, 검찰 지휘권 발동 논란에 ""때로는 무력감 느낀다""",2020.07.01,2
39,'쌓이는 현안' 극단 치닫는 한일관계…'역사 왜곡' 세계유산 갈등까지,2020.06.27,2
40,"수교 55주년 맞은 韓日, 최악 치닫는 관계…역사·경제·안보 갈등 격화",2020.06.22,2
41,"코이카, 2019년 공공기관 경영실적 평가 '우수'…A등급 평가",2020.06.19,2
42,"코이카, 2기 코이카 국민 홍보대사 '위코' 모집",2020.06.15,2
43,"'아슬아슬' 한일관계…韓, WTO 제소 재개·전범기업 자산 현금화",2020.06.08,2
44,미복귀 전사자를 위한 태극기 캠페인,2020.06.08,2
45,韓-日 외교 마찰 점입가경…'강경 기조' 韓 VS '요지부동' 日,2020.06.06,2
46,해군 2일 독도방어훈련 실시,2020.06.05,2
47,지소미아 카드 꺼낸 정부…...수세에서 공세로 전환,2020.06.03,2
48,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
49,"강경화 장관, 3일 아세안 회원국 주재 공관장 회의…신남방정책 발전 방향 논의",2020.06.02,2
50,"'코로나19, 글로벌 영향과 대안은?' 코이카-서울대 학술대회 개최…4차 산업혁명 가속화",2020.05.31,2
51,"수출규제 답변 기한·日 묵묵부답…정부, WTO 제소하나",2020.05.31,2
52,[양낙규의 Defense Club] 포스트 국방장관은?,2020.05.30,2
53,"日수출규제 입장표명 시한 '하루 앞'…韓, 중단했던 WTO 제소 재개하나",2020.05.30,2
54,"국회의장 양보한 김진표, 한일의원연맹 회장 사실상 확정",2020.05.28,2
55,"코이카, '코로나·기후변화 공조' 온라인 청년 토크콘서트",2020.05.25,2
56,"고노 日 방위상, 집무실에 걸린 '한반도 지도' 노출…의도성 논란",2020.05.20,2
57,"여야, 정의연 사태 질타…황운하 사표수리 공방도",2020.05.19,2
58,"정총리 ""재난지원금, 마지막 한 사람까지 찾아서 지급 해달라""",2020.05.19,2
59,"청와대 ""국방부 기강해이? 동의할 수 없어""",2020.05.19,2
60,"일본 또 '독도 왜곡'…외교부, 日 총괄공사 초치해 '즉각 철회' 촉구(종합)",2020.05.19,2
61,'코로나19'에 더딘 한일 경제교류 회복…한중 '신속통로'와 대비,2020.05.19,2
62,창원·당진·삼척 등에 '디지털그린 특구' 제안…GS는 '풍력 주주 운동',2020.05.19,2
63,"코이카, 'K방역' 기업 국내외 투자 유치…미국·호주 정부와 함께 '투자 플랫폼' 개설",2020.05.15,2
64,"코이카, 개발협력 교육과정 온라인 공개…ODA교육 강화",2020.04.27,2
65,"정부·여당 '한반도 평화 프로세스' 기반, 미·일·중·러 4강 외교 강화",2020.04.20,2
66,"코이카-한국사회가치연대기금, 코로나19 극복 위한 MOU 체결…사회적기업 지원",2020.04.20,2
67,"국세청, 정유사 유류세 납부 한시 유예 검토…3개월 연장 가능성",2020.04.18,2
68,"'11월 사임설' 해리스 대사, 주한미군 사령관과 '사회적 거리두기' 점심",2020.04.09,2
69,700만 개인사업자 12.4조 세부담 감경…'先결제 착한소비' 직접 나서(종합),2020.04.08,2
70,"'전국민 긴급재난지원금', 당·정·청 엇박자 기류",2020.04.07,2
71,"손학규 ""거대 양당 싸움 끝장내야…기호 3번 찍어달라""",2020.04.04,2
72,"첫 주말 선거운동…민주당 ""코로나 극복하자""",2020.04.04,2
73,[속보]자가격리지에 휴대전화 놓고 외출한 베트남 유학생 3명 적발,2020.04.04,2
74,"김종인 ""韓, 추락 경제로…文정권은 상황 파악할 줄 몰라""",2020.04.04,2
75,"이낙연 ""황교안 미워하는 마음 나오면 반드시 참겠다…모두 손잡아야""",2020.04.04,2
76,"안철수 ""靑 현장과 디테일 몰라…긴급재난지원금, 자영업자 컷오프""",2020.04.04,2
77,"김종인, '비상경제' 이슈로 치고 나가기…정부는 '난감'",2020.03.30,2
78,고용유지지원금 5000억으로 확대…수출입기업에 20조 긴급 금융지원(종합),2020.03.25,2
79,"이낙연 ""재난지원금 지급, 수일내 발표""…자금시장 안정대책도 마련",2020.03.23,2
80,中企·소상공인 50조원+α 금융지원…6개월간 全금융권 만기연장(종합),2020.03.19,2
