,Title,Date,Category
0,"외교부, 중동 진출 기업 대상 '코로나19' 방역대책·지원방안 논의",2020.06.02,2
1,배터리 메카 꿈꾸는 포항에 文대통령 뜬 까닭,2020.01.09,2
2,"김태호 서울시의원, 개포8단지 교통 문제 방치 강남구청·서울시 비판",2019.06.13,2
3,"신남방특위, '韓-미얀마 우정의다리' 착공식 참석…""양국 우호 랜드마크 될 것""",2018.12.24,2
4,"문 대통령, GS건설 참여 싱가포르 지하철 공사 현장 찾아(종합)",2018.11.15,2
5,"문 대통령, GS건설 참여 싱가포르 지하철 공사 현장 찾아",2018.11.15,2
6,"정무위, 증인 2차 확정…'인터넷은행' 쟁점으로",2018.10.02,2
7,"문 대통령, 이집트 대통령과 뉴욕에서 정상회담…""이집트 진출 삼성, LG에 관심을""",2018.09.27,2
8,"민경욱 ""5년간 국토부 산하 발주 건설공사 담합 24건 적발""",2018.08.19,2
9,"북미정상회담 이후 남북경협 가시화…건설업계, 대북사업 준비 '잰걸음'",2018.06.13,2
10,사라진 건설 일자리…경영 악재에 잔뜩 움츠린 대형 건설사들,2018.05.30,2
11,[증권사 주간 추천 종목]SK증권,2018.05.05,2
12,'3조5000억대' LNG탱크 담합 건설사·임직원…전원 '벌금형',2017.11.14,2
13,국감장서 SOC예산 배려 호소한 건설사 CEO,2017.11.01,2
14,[2017국감]국토위 불려 나온 건설사 수장들(종합),2017.10.31,2
15,"[2017국감]건설사 수장들 ""사회공헌기금, 구체적인 업계협의 통해 내겠다""",2017.10.31,2
16,"[2017국감]5대건설사 ""내년 건설경기 더 어렵다""",2017.10.31,2
17,"[2017국감]건설현장서 매달 7명 사망…""안전 관리 부실""",2017.10.23,2
18,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
19,"3조5000억대 LNG탱크 담합 건설사들, 첫 재판서 '공소사실 인정'",2017.09.05,2
20,"[17차 촛불집회]""재벌 총수 구속하라""…1박2일 행진한 노동자들",2017.02.25,2
21,"박광온 ""대기업 총수 일가 미성년 친족 주식 1019억원 보유""",2016.11.14,2
22,'최순실 게이트'…세법개정 논의 개점휴업,2016.11.13,2
23,전두환·조동만·정태수…못 받은 지방세 4조원 언제 받나(종합),2016.10.17,2
24,정무위 국감 '기업인 총출동'…미르·K재단 의혹 제기도 계속,2016.10.11,2
25,"정무위, 권영수 LGU+ 부회장 등 9명 증인 추가채택…'공정위 국감 11일'",2016.10.04,2
26,"朴대통령, 이르면 4월 이란 방문…정부 준비작업 돌입",2016.01.28,2
27,"환경부, 알제리·쿠웨이트 환경시장개척단 파견",2015.10.22,2
28,"가스公, 우즈벡 가스전서 연간 840억 수익 거둔다(종합)",2015.09.16,2
29,가스公 우즈벡 수르길 가스전 내달 상업생산 돌입,2015.09.16,2
30,[2015국감]이석우 다음카카오 대표 등 국토위 증인 출석,2015.09.11,2
31,"[2015 국감]국회 정무위, 신동빈 등 증인 41명 확정…기업인 대거 포함(상보)",2015.09.10,2
32,"[정기국회 전망]국토위, 지역구 민원 창구되나",2015.09.05,2
33,공정위 과징금 부과 두배로 늘어,2015.08.02,2
34,개포 8단지 현대건설 컨소시엄에 매각,2015.07.23,2
35,"""중앙아 경제협력 위해 AIIB와 연계 진출 추진""",2015.06.25,2
36,대형 국책사업 입찰담합..23개 건설사에 과징금 1827억원,2015.05.07,2
37,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
38,"[4월 2주 수도권] 입주한지 오래된 단지, 대형 아파트도 전세물건 부족해",2015.04.10,2
39,"2015년 4월, 전국 45,384가구 일반 분양",2015.03.31,2
40,IDB한국총회 개막 D-1…중남미 격차해소 플랜 구체화,2015.03.25,2
41,중남미 주요인사 부산에 집결…26~29일 IDB 연차총회,2015.03.21,2
42,"기재부 ""IDB총회, 중남미 공략의 場으로 만든다""",2015.03.18,2
43,이달 말 IDB연차총회서 '비즈니스 장' 마련,2015.03.18,2
44,"朴대통령, 쿠웨이트 한국기업 건설현장 방문",2015.03.03,2
45,"공정위, 새만금방수제 공사 입찰담합社 제재",2015.03.02,2
