,Title,Date,Category
0,"코이카-관광공사, 관광 분야 개발협력사업 MOU 체결",2020.08.28,2
1,방위산업은 IMF를 어떻게 극복했나,2020.08.15,2
2,"호주 총리 ""한국 코로나 대응 모범적""…文대통령 ""긴장 안 늦춰""",2020.08.14,2
3,"군, 후방 위성통신망 확대… 끊김 현상 없앴다",2020.08.13,2
4,"'하동, 구례, 천안…' 文대통령 호우피해 현장 찾아 767㎞ 강행군 (종합)",2020.08.12,2
5,'KTX 회의실' 文대통령 집중호우 피해현장 찾아 767㎞ 강행군,2020.08.12,2
6,"'KTX 회의실' 文대통령 ""신속한 특별재난지역 지정…읍·면·동 단위도 검토""",2020.08.12,2
7,靑 신임 수석비서관 두 명 모두…'강원도의 힘' (종합),2020.08.12,2
8,"靑 ""국민소통수석에 정만호, 사회수석에 윤창렬"" (상보)",2020.08.12,2
9,"'포스트 코로나 시대 미래교육' 정세균 총리, 13차 목요대화 개최",2020.07.30,2
10,"북한 ""코로나 의심 탈북민 월북"", 합참 ""일부 인원 특정 확인중""(종합)",2020.07.26,2
11,"[속보] 합참 ""특정 인원 월북 가능성...감시장비 대비태세 확인""",2020.07.26,2
12,"[속보] 군 당국 ""北 월북 보도, 일부 인원 특정 확인 중""",2020.07.26,2
13,"""코로나 의심 탈북민 월북"" 北 김정은, 특급경보 발령·개성 봉쇄(종합)",2020.07.26,2
14,"필리핀, 현대중공업에 받은 함정에 헬기 탑재",2020.07.25,2
15,[양낙규의 Defense Club]‘괴물미사일 현무-4’ 내년부터 양산하나,2020.07.25,2
16,[차장칼럼] 부동산 잡으려고 행정수도 이전이라니,2020.07.22,2
17,"강경화 장관, 코로나19 확산 이후 첫 全 재외공관장 화상회의 개최",2020.07.10,2
18,[양낙규의 Defense Club]미 핵우산 대체할 미사일 곧 나온다,2020.06.30,2
19,'TA-50 블록2' 20대 공군 훈련기로 구매,2020.06.30,2
20,"[인터뷰]이광재 ""나주, 진주 등 전국 혁신도시에 KTX 지선 연결 추진""",2020.06.29,2
21,"정 총리, 제9차 목요대화 개최…4050세대와 소통 자리 마련",2020.06.25,2
22,[종합]'지금 잠이 옵니까' 홍사덕 전 의원 숙환으로 별세,2020.06.18,2
23,한국·호주 등 '믹타 5개국' 화상 고위관리회의…코로나19 대응 협력 강화키로,2020.06.11,2
24,공군사관학교 훈련기 KT-100 불시착(종합),2020.06.08,2
25,공군사관학교 훈련기 KT-100 불시착(2보),2020.06.08,2
26,[속보]공군사관학교 훈련기 'KT-100' 논에 불시착,2020.06.08,2
27,홍범도 장군 유해 하반기 봉환 추진,2020.06.02,2
28,바다를 지배하라-(3)수중무기 '대잠어뢰',2020.05.30,2
29,내달 선보일 러시아 신형 핵잠수함은,2020.05.23,2
30,"정 총리, 4차 목요대화…""과감한 규제혁파·공직자 적극행정 챙길 것""",2020.05.21,2
31,한-호주 외교장관 통화…'코로나19' 대응 협력 의견 교환,2020.05.20,2
32,올해 항공사업 관전포인트 (7)- 공군 대형수송기 추가도입 기종은,2020.05.16,2
33,"정 총리, 제3차 목요대화…""방역보건시스템 한단계 도약시켜야""",2020.05.14,2
34,"정 총리, 2차 목요대화…""디지털 사회로의 전환 필요""",2020.05.07,2
35,"[양낙규의 Defense Club]협상교착 남북, 미사일 개발 경쟁",2020.05.06,2
36,北 '영상'으로도 김정은 공개..걸어서 입장 후 손인사,2020.05.02,2
37,[속보] '멀쩡한' 김정은 영상 신속 공개…걸어서 입장 후 손인사,2020.05.02,2
38,"민주당 ""태영호·지성호 '가짜뉴스'로 국민 혼란 빠뜨려""",2020.05.02,2
39,1Q 액상형 전자담배 판매 급감…시장 퇴출 수순,2020.04.29,2
40,"인터넷전문은행법·산업은행법, 국회 정무위 통과…본회의 문턱 넘을까",2020.04.28,2
41,"정부, 콜롬비아에 입국·검역시스템 운영 경험 전수한다…29일 정부간 화상회의",2020.04.27,2
42,미 최신예 버지니아급 잠수함 나왔다,2020.04.25,2
43,F-35B 탑재한 최초 항공모함 '이즈모',2020.04.25,2
44,"국내 넷플릭스 이용률, 전년比 5%p↑…유료 OTT 강세",2020.04.24,2
45,이낙연 “지역주의 완화로 전 국민께 감동 선사해 달라” TK 찾아 지지 호소,2020.04.13,2
46,검색량은 부동산이 많았지만…선거운동엔 '조국' 더 활용,2020.04.13,2
47,"믹타 5개국, '코로나19 대응' 외교장관 공동성명…연대·공조 의지 표명",2020.04.09,2
48,일 해군력 더 키웠다… 최신예 이지스함 공개,2020.04.04,2
49,"KT, 법무부 출신 컴플라이언스위원장 곧 선임…前검사장, 법무실장行",2020.04.02,2
50,"[부산 총선]김영춘 ""준연방제 개헌·지방동맹…PK 전철망 국토부와 논의""",2020.03.24,2
51,"권성동 ""무소속 출마할 것…여론조사 통해 보수후보 단일화하자""",2020.03.16,2
52,"[아시아초대석] 박양우 장관 ""여행·관광 6250억 지원…올림픽, 정상개최 전제로 준비""",2020.03.16,2
53,"[아시아초대석] ""책임은 내가 진다""…움츠린 조직문화 깨운 한마디",2020.03.16,2
54,유성엽 “인터넷은행법은 ‘KT 특혜법’…재논의 시도 동의 못해”,2020.03.06,2
55,"이인영 ""'먹튀'아냐…매우 유감"" 인터넷은행법, 21대 국회로 넘어갈듯",2020.03.06,2
56,"통합당 ""文정권·금융위도 찬성한 인뱅법, 민주당 內 교조주의자들이 부결""",2020.03.05,2
57,"""민주당, 통합당과 한 편 됐나…비극"" 호소에 '인터넷은행법' 부결",2020.03.05,2
58,"文대통령 ""코로나19, 대구 경제 '직격탄'…추경예산 적극 지원해야""",2020.02.25,2
59,"대구 방문한 文대통령 ""정부 지원의지 전례 없다""",2020.02.25,2
60,"친문에 울고 웃고…남대문 꽃집 활짝, 아산 반찬가게 울상",2020.02.18,2
61,"김성태 불출마 ""딸 상처 치유, 아비로서 책무""",2020.02.15,2
62,"멕시코서 믹타 차관급회의…한국, 내년 2월까지 의장국 수임",2020.02.12,2
63,멕시코서 '믹타' 차관급회의 개최,2020.02.10,2
64,北 첨단무기… 어디서 보고 베꼈나 [양낙규의 Defence Club],2020.02.08,2
65,"한국당 법원발 물갈이 ""1심 유죄 의원들 어려울 것""",2020.01.31,2
66,"한국·호주 등 믹타 회원국, 터키 지진 피해 위로 성명",2020.01.29,2
67,요격 피해라…각국의 엄청난 극초음속 미사일 [양낙규의 Defence Club],2020.01.25,2
68,"文대통령 내외, 설 연휴 앞두고 농산물시장 방문…명절 장보기·직원 격려",2020.01.23,2
69,문석균·김성태 '민심 풍향계'…어찌하오리까,2020.01.22,2
70,"진중권, 이번엔 황교안 대표에 ""김성태 의원 공천 배제"" 촉구",2020.01.18,2
71,일본발 '한반도 해빙' 가능성…올림픽·평화 절실한 日 주목,2020.01.10,2
72,"MIKTA 회원국 외교장관, 호주 산불 피해 위로 공동성명 발표",2020.01.10,2
73,"경자년 양자 외교 키워드…美 '평화 동맹', 中·러 '교류 협력'…日 '원칙 준수'",2020.01.08,2
74,"[전문] 문재인 대통령 신년사 ""확실한 변화로 국민 노고에 보답""",2020.01.07,2
75,"[전문]文대통령 ""새해, '확실한 변화' 만들겠다""…신년회 연설문",2020.01.02,2
76,조국 사태부터 공수처 논란까지…'숫자로 본 2019',2019.12.27,2
77,"구윤철 기재차관 ""공공기관 경영 패러다임, '안전' 중심으로 전환하라""",2019.12.13,2
78,"국세청 ""세금 신고·신청 안내문, 스마트폰으로 받아보세요""",2019.12.10,2
79,"방사청, 우수 국방연구개발 단체·개인 포상…6억원 규모",2019.12.05,2
80,'빨간마후라 17년 만에'…여군 최초 비행대대장 탄생,2019.12.03,2
81,"靑 “사망수사관, 고래고기 사건 때문에 울산갔던 것”",2019.12.02,2
82,칼바람·93세 나이도 한국 배우기 걸림돌 안돼,2019.11.26,2
83,"문 대통령 ""한국車의 인도네시아 시장 안착에 관심과 지원을""…조코위 대통령과 정상회담",2019.11.25,2
84,철도파업 이후 첫 주말…열차 운행률 감소에 불편함 이어져,2019.11.23,2
85,"인터넷전문은행법·금융소비자보호법, 법안소위 통과(상보)",2019.11.21,2
86,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
87,"文의장, 6박 9일 일본·미국·멕시코 일정 마무리…11일 귀국",2019.11.10,2
88,내년 입영할 카투사 1600명 공개선발…10.5대1 경쟁률,2019.11.06,2
89,"문 대통령, 11월 3~5일 태국,13~19멕시코·칠레 방문(종합)",2019.10.28,2
90,'스마트그리드 체험 단지' 추진…광주 8000세대·서울 3000세대 대상,2019.10.20,2
91,"산업부, '에어가전' 新수출동력으로 집중 지원",2019.10.16,2
92,"국표원, GSO 기술규제 상호협력 강화…기술규제 선제 대응 추진",2019.10.15,2
93,관광산업의 미래 '스마트관광'에서 찾는다,2019.10.07,2
94,"정무위, 조국 사모펀드 관련·이수만 포함 국감 증인 의결",2019.10.02,2
95,"문 대통령, 모리슨 호주 총리와 정상회담…신재생에너지로 협력 확대",2019.09.25,2
96,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
97,국산 개발 소재·부품·장비 시험인증 기간 대폭 단축,2019.09.04,2
98,"이정옥 청문회…野 ""불량 후보자"" 자료제출 공방으로 '정회'",2019.08.30,2
99,"변상욱 ""'수꼴' 경솔한 표현, 아프게 반성하고 있다""",2019.08.25,2
100,"'수꼴' 저격 백경훈, ""변상욱, 청년 분노 전혀 이해 못해""",2019.08.25,2
101,"홍준표 ""내가 검사라면, 조국 의혹 1시간 안에 자백받는다""",2019.08.25,2
102,"'안보무능론' 요격한 정경두 국방장관…""北미사일 방어 가능""",2019.07.31,2
103,"홍준표 “文대통령, 쇼할 생각만 하지 말고 ‘김성태 공소’ 취소하라”",2019.07.26,2
104,"'KT 의혹' 김성태, 검·경 출신의원 대동 ""필사즉생 각오로 투쟁""",2019.07.22,2
105,"日언론 ""수출 규제가 韓 의식 바꿨다""…脫일본화 우려↑",2019.07.17,2
106,"""탈원전 정책 중단, 신한울 3·4호기 건설 재개하라""…탈원전 반대 서명 50만명 넘어",2019.07.17,2
107,"한미, '자율車' 산업협력대화…日 수출규제 협조 요청",2019.07.11,2
108,싹 바뀐 靑소통라인…SNS 홍보 최전선으로,2019.07.05,2
109,文대통령 국정 지지율 52.4%…7개월여만에 최고치 [리얼미터],2019.07.04,2
110,문 대통령 국정 지지율 소폭 오른 47.6%…民 41.5% vs 韓 30.6% [리얼미터],2019.07.01,2
111,한미중 '삼각관계' 화웨이에 달려,2019.06.28,2
112,바른미래당 “황교안 ‘無스펙’ 자식 자랑…KT 채용 특혜 의혹 자인하는 꼴”,2019.06.22,2
113,"정지권 서울시의원 ""서울지하철 공공와이파이 설치 어떻게 되나?""",2019.06.18,2
114,[U-20월드컵] 준우승 태극전사 금의환향…19일 청와대 만찬,2019.06.17,2
115,"[與野 3당, 초선의원 대담] 임재훈 바른미래당 의원…패스트트랙 등 이슈의 중심에",2019.06.14,2
116,"[與野 3당, 초선의원 대담]박용진 더불어민주당 의원…유치원3법 '전국구 스타'로",2019.06.14,2
117,"[與野 3당, 초선의원 대담] '행정통' 정태옥, 20대 총선 이변의 주인공",2019.06.14,2
118,"중부발전, 4차 산업혁명 시대 지역사회와 상생발전 워크숍 개최",2019.06.12,2
119,"韓美, 아세안서 '反화웨이' 5G통신 워크숍 개최",2019.05.23,2
120,"한수원, '제2차 협력회사 대상 품질실무교육' 실시",2019.05.10,2
121,"LGU+, 中企와 손잡고 LTE-R 기술 박차",2019.05.08,2
122,"北 최룡해, 푸틴에 '여객기 참사' 위로전문",2019.05.06,2
123,"교도 ""트럼프·아베, 오늘 밤 통화..北발사체 대응 협의""",2019.05.06,2
124,"국정원 ""푸틴, 단계적 비핵화 北 입장에 이해표시""",2019.05.06,2
125,"국정원 ""북, 최근 핵시설 움직임 추가 동향 없어""",2019.05.06,2
126,"국정원 ""北, 비핵화 협상 판 깨려는 의도 아니야""",2019.05.06,2
127,"국정원 ""北 발사체, 표면상 지대지 형태…도발적으로 안 봐""",2019.05.06,2
128,"국정원 ""러시아, 북핵 단계적 폐기 입장 이해""",2019.05.06,2
129,"문 대통령 ""노동이 자랑스러운 나라를 만들고 싶다""",2019.05.01,2
130,"산업부 ""해외 동포기업, 수출초보기업을 위해 적극 나설 것""",2019.04.22,2
131,"""사퇴하라"" 나경원 의원실에서 점거 농성한 청년들",2019.04.12,2
132,"靑, 김현미·유영민 장관 당분간 '유임'…길면 연말까지",2019.04.09,2
133,"문 대통령 ""국가 차원 전략 추진해 세계 최고의 5G 생태계 조성""",2019.04.08,2
134,[르포]“北까지 5분”…국산항공기로 24시간 출격대기 ‘8전비’,2019.04.07,2
135,'직접 만난 것처럼 선명하게'…화상상봉장 개·보수(종합),2019.04.03,2
136,오늘부터 모든 병사 개인 휴대폰 사용…'기대 속 우려도',2019.04.01,2
137,김관영 “김학의·버닝썬·장자연 등 각종 의혹 사건 ‘특검’ 제안”,2019.04.01,2
138,[리얼미터]문 대통령 국정 지지율 47.7%…2주 연속 상승,2019.04.01,2
139,"이해찬, 통영 찾아 ""책임지고 고용위기지역 연장""…집권여당 힘 강조",2019.03.30,2
140,"이정미, 4·3 보궐 총력 ""황교안 서 있을 곳 창원성산 아닌 수사선상""",2019.03.28,2
141,"[리얼미터]文대통령 지지율, 소폭 내린 46.3%…민주당·한국당도 하락세",2019.03.28,2
142,"[4·3 보궐 D-7] 與, 통영·고성 사수 총력전…양문석 지원 박차",2019.03.27,2
143,軍병사 '月3만3000원' 휴대전화 전용 요금제 확정,2019.03.26,2
144,"이철희 ""KT 황창규, 정치권 인사에 20억 원 주며 로비"" 의혹 제기",2019.03.24,2
145,"남북연락사무소, 北철수에도 남측인력은 안전하게 근무 중",2019.03.23,2
146,[요즘사람]듣고 싶은 것만 듣는다?,2019.03.23,2
147,'코리아 5G 데이' 정부만 휘파람,2019.03.22,2
148,힘겹게 열고도 공전하는 국회…중심엔 한국당,2019.03.22,2
149,"KT 화재 피해 소상공인, 최대 120만원 보상지원금 받는다",2019.03.22,2
150,"與 ""한국당, KT 청문회 무산…김성태·황교안 채용비리 차단 저의""",2019.03.21,2
151,"민주당 ""재판·보석 비용 마련, 김경수 자서전 50권 이상 주문해달라""",2019.03.20,2
152,'병특' 폐지 논의 급물살…국위선양 보다 부작용 커,2019.03.19,2
153,"해군 '소양함' 말레이시아 방산전시회 참가…""수출·교류 기여""",2019.03.17,2
154,"'딸·조카 KT 특혜채용' 김성태 ""정치공작"" 의혹 부인",2019.03.15,2
155,12년만의 이산가족 화상상봉 이르면 한 달 내 열린다(종합),2019.03.15,2
156,"[전문] 김관영 “선거제도 개혁, 패스트트랙 절차 진행할 것”",2019.03.13,2
157,"국표원, 전안법 등 제품안전관련 법·제도 직무교육 실시",2019.03.11,2
158,脫원전 정책에 한전-가스公 희비…값싼 '원전' 대신 비싼 'LNG' 사용 탓,2019.03.08,2
159,"'대한독립 만세' 100주년…정부, 광화문광장서 3·1절 기념식 개최",2019.02.28,2
160,"與 세종 예산정책협의회…반쪽 행정수도, 文정부서 완전체 되나",2019.02.22,2
161,"靑, '제1회 국가위기평가회의' 개최…범정부 재난대비 태세 점검",2019.02.21,2
162,'오일머니' 중동 최대 방산전시회 개막…韓 30개 기업 참여,2019.02.17,2
163,"소병훈 의원 비서, 분신 시민 ‘통구이’ 비하",2019.02.15,2
164,안전설비 세액공제율 인상…석유·가스 검사주기 단축,2019.02.14,2
165,"與 ""한국당, KT 청문회 무산…김성태·황교안 채용비리 차단 저의""",2019.03.21,2
166,"민주당 ""재판·보석 비용 마련, 김경수 자서전 50권 이상 주문해달라""",2019.03.20,2
167,'병특' 폐지 논의 급물살…국위선양 보다 부작용 커,2019.03.19,2
168,"해군 '소양함' 말레이시아 방산전시회 참가…""수출·교류 기여""",2019.03.17,2
169,"'딸·조카 KT 특혜채용' 김성태 ""정치공작"" 의혹 부인",2019.03.15,2
170,12년만의 이산가족 화상상봉 이르면 한 달 내 열린다(종합),2019.03.15,2
171,"[전문] 김관영 “선거제도 개혁, 패스트트랙 절차 진행할 것”",2019.03.13,2
172,"국표원, 전안법 등 제품안전관련 법·제도 직무교육 실시",2019.03.11,2
173,脫원전 정책에 한전-가스公 희비…값싼 '원전' 대신 비싼 'LNG' 사용 탓,2019.03.08,2
174,"'대한독립 만세' 100주년…정부, 광화문광장서 3·1절 기념식 개최",2019.02.28,2
175,"與 세종 예산정책협의회…반쪽 행정수도, 文정부서 완전체 되나",2019.02.22,2
176,"靑, '제1회 국가위기평가회의' 개최…범정부 재난대비 태세 점검",2019.02.21,2
177,'오일머니' 중동 최대 방산전시회 개막…韓 30개 기업 참여,2019.02.17,2
178,"소병훈 의원 비서, 분신 시민 ‘통구이’ 비하",2019.02.15,2
179,안전설비 세액공제율 인상…석유·가스 검사주기 단축,2019.02.14,2
180,스페인 수송기-韓훈련기 맞교환 '빅 딜',2019.02.10,2
181,"이 총리 ""평창올림픽, 한반도를 긴장에서 평화로 바꿨다""",2019.02.09,2
182,"트럼프 ""2차 북미정상회담 하노이에서 개최""",2019.02.09,2
183,"美국무부 ""비건·김혁철, 2차 정상회담 전 다시 만난다""(종합)",2019.02.09,2
184,"김정은, 건군절 인민무력성 방문 ""軍 경제발전에 한몫해야""",2019.02.09,2
185,"민주평화, 박지원 저격한 손혜원에 “제헌이래 최악의 국회의원”",2019.02.06,2
186,보수野 ‘김경수 법정구속’ 맹공…최후 탄착점은 文,2019.01.31,2
187,"KT, 아현지사 화재 피해 '전수조사' 실시한다",2019.01.31,2
188,‘안·이·박·김’ 시나리오 재조명…정치 살생부의 저주,2019.01.31,2
189,‘뿔난 예비역 장성들’ 난감한 국방부…“軍 대비태세 이완 없어”,2019.01.31,2
190,황교안 “박근혜 전 대통령 수인번호 503 모른다”,2019.01.30,2
191,"‘50·60 아세안 가라’ 김현철 경제보좌관, 사의 표명…文대통령 “수용”(종합)",2019.01.29,2
192,"탁현민 “靑 ‘사표 수리’ 소식 들어…길고, 뜨겁고, 영광스러웠다”",2019.01.29,2
193,국방부 “美관심 있다면 日초계기 갈등 한·미·일 협의 고려”(종합),2019.01.29,2
194,"곽상도 “대통령 딸, 급히 집 팔고 해외이주…이유·추가경호비용 밝혀야”",2019.01.29,2
195,박지원 “황교안 당대표 출마?…제2의 박근혜”,2019.01.29,2
196,황교안 당대표 출마…“내년 총선서 압도적 제1당 만들겠다”,2019.01.29,2
197,“국무위 소속”·“금수저”·…계속되는 北김혁철 스무고개,2019.01.29,2
198,"[리얼미터]황교안, 차기 대권주자 1위로 올라서…이낙연은 2위",2019.01.29,2
199,"김현철 “신남방에 가라는 발언, 50·60세대 무시 발언 아냐…깊이 사과”(종합)",2019.01.28,2
200,카타르 “LNG선 60척 발주 계획…기술 좋은 한국과 협력관계 기대”,2019.01.28,2
201,"국방부, 軍 공중전화 80% 감축 결정…시기상조 우려도",2019.01.28,2
202,"[백브리핑] ‘한국당 단식’ 스텝 꼬인 이유, 네이밍의 정치학",2019.01.28,2
203,[리얼미터]한국당 지지율 국정농단 사태 후 최고치...전대 컨벤션 효과,2019.01.28,2
204,[현장] ‘릴레이 단식’ 이름 바꾼 한국당 “좌파 20년 집권플랜 저지”,2019.01.27,2
205,"한국당 5시간30분 릴레이 단식, 與野 모두에 입방아",2019.01.27,2
206,"박지원 ""지역구 위해선 영혼도 판다...박물관식 목포역사 만들것""",2019.01.25,2
207,"박지원 ""'떨고있다'고 한 이유, 재밌게 말하려 한 것...입장변화 없다""",2019.01.25,2
208,박지원 “손혜원에 사과 안했다…거의 모든 목포시민들이 우려중”,2019.01.25,2
209,"軍, 일본 초계기 ‘저공 위협비행’ 증거 사진 공개",2019.01.24,2
210,"그랜드캐년 추락사고, 국가가 지원해도 비용 정산해야",2019.01.24,2
211,박지원 “손혜원 질문 그만해달라…떨고있다”,2019.01.24,2
212,"반격 나선 손혜원, ‘폐가 기자회견’ 통했다…“후원금 한도 채워”",2019.01.24,2
213,"김관영 “조해주 임명 강행, ‘헌법 파괴 행위’…철회해야”",2019.01.24,2
214,트럼프 친서 받은 김정은 “2차 북·미정상회담 준비하라” 지시,2019.01.24,2
215,"‘폐가 기자회견’ 연 손혜원, “이익 본것 전혀없다…목포 살릴 것”(종합)",2019.01.23,2
216,국방부 “日초계기 오늘 우리 함정 위협비행…명백한 도발행위”,2019.01.23,2
217,손혜원 “역사도시 재생사례 보여드리겠다...다른 도시들도 해볼것”,2019.01.23,2
218,"손혜원, 청탁 의혹에 “나전칠기 종주국 위상 지키려 했을 뿐”",2019.01.23,2
219,"靑 “‘대통령 배우자 친구’란 이유로 손혜원 감찰, 그 자체가 대단한 월권”",2019.01.23,2
220,"창성장 앞, 저녁 8시 되자 ‘암흑’…주민들 “손혜원은 목포의 은인”",2019.01.23,2
221,"""설 연휴 뭐해∼""…해수부, '어촌마을' 5선 소개",2019.01.23,2
222,"손혜원, 23일 오후 목포 기자간담회…어떤 빅카드 꺼낼까",2019.01.22,2
223,손혜원 의원 “박지원 의원과 공개토론 제안”,2019.01.22,2
224,"[인터뷰] 안성환 광명시의원 ""작은 도서관으로 주민 삶 실질적 개선""",2019.01.22,2
225,"문 대통령 “미세먼지, 혹한처럼 재난 수준 대처…속 시원하게 해결 못해 송구”",2019.01.22,2
226,이제는 총선주자…옷 갈아입은 靑 1기 참모들,2019.01.22,2
227,"당정청, 설 민생안정대책 마련…작년보다 6조원 더 풀기로",2019.01.22,2
228,"이 총리, 손혜원 부동산 투기 의혹 “잘못 확인되면 법대로 대처”",2019.01.22,2
229,日 “레이더 공방 더 협의 안해” vs 韓 “객관적 검증해야”(종합),2019.01.21,2
