,Title,Date,Category
0,"환노위, 국감 증인 채택…삼성·포스코건설은 빠져",2019.09.20,2
1,"이 총리 ""청주공항-제천 철로고속화 예타면제 최종검토""",2019.01.25,2
2,"쿠팡, 즉시할인·쿠폰할인 등 '2018 가정의 달 빅이벤트'",2018.04.30,2
3,"문 대통령 ""신제품 막는 규제 풀겠다""…일자리 창출·상생 당부",2018.04.20,2
4,"[中 방한금지 첫 날-르포]""이 정도일 줄은 몰랐다"" 썰렁한 명동 면세점",2017.03.15,2
5,[中 사드 몽니-르포]韓 관광 금지 후 첫 주말…후폭풍 두려운 명동(종합),2017.03.06,2
6,"[中 사드 몽니-르포]韓 관광 금지 이후 첫 주말…""끝물에 사람 몰린 면세점""(종합)",2017.03.06,2
7,[中 사드 몽니-르포]'여행 금지' 뒤 첫 주말…후폭풍 두려운 면세점들,2017.03.05,2
8,제51회 납세자의 날…현대차 국세 1조원 탑 수상,2017.03.03,2
9,이란서 사상 첫 한국 화장품 전시회 열린다,2016.10.17,2
10,"코리아세일페스타, 한달간 쇼핑 축제 열린다",2016.09.21,2
11,[포토]답변하는 이정애 LG생활건강 부사장,2016.08.30,2
12,[투자활성화]국내법인 벤처투자 세액공제 신설(종합),2016.07.07,2
13,[투자활성화]기업·금융기관 벤처투자시 법인세 공제,2016.07.07,2
14,"규제프리존법, 野 요구 반영해 수정했지만…'산 넘어 산'",2016.06.08,2
15,"농협, 협력사와 5억 기부물품 전달",2015.12.23,2
16,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
17,에이치비테크 등 상생협력 파트너 우수기업 선정,2014.12.18,2
18,LG사이언스파크에 힘 실어준 박근혜 대통령,2014.10.23,2
19,"""유아용 세탁세제 '에티튜드' 용량·'퍼실' 용기 강도 미흡""",2020.08.25,3
20,오픈마켓·라이브 커머스…'유통' 집어삼키는 포털,2020.07.13,3
21,"삼양식품 불닭 캐릭터 ‘호치’, 다양한 굿즈로 만난다",2020.06.24,3
22,"이베이코리아 ""G마켓·옥션 연합세일 '빅스마일데이' 오늘 밤 종료""",2020.05.27,3
23,이베이코리아 '빅스마일데이' 오픈…첫날 '아디다스' 할인,2020.05.19,3
24,[단독]신세계인터의 날개 '비디비치'…中 쿠팡 '티몰 내수관'까지 뚫었다,2020.04.10,3
25,"박서준 옷 입고, 아이유 술 마시고, 김동희 화장품 쓰고…모델 교체 바람",2020.04.04,3
26,"반려동물 용품 온라인 판매 3배 이상 급증…G9, '랜선 펫박람회' 진행",2020.03.30,3
27,"옥션, '수상한 카드' 프로모션 2탄…마트·뷰티 상품 특가 판매",2020.02.26,3
28,"LG생활건강, 1920억에 피지오겔 아시아·북미 사업권 인수",2020.02.20,3
29,"'코로나 쇼크' 中 증시, 8.73% 大폭락(종합)",2020.02.03,3
30,"""타이밍 잘 잡으면 최대 47% 싸게""…인터파크 '설날대란' 프로모션",2020.01.08,3
31,"G9, 오는 20일까지 ‘설 선물 연합 프로모션’ 진행",2020.01.06,3
32,"유통가 5社 5色 위기 탈출법…리더들의 신년 메세지는 ""혁신하라""",2020.01.02,3
33,"GS리테일, 중증질환 소아 환아 쉼터 ‘RMHC하우스’에 1억3000만원 기부",2019.12.24,3
34,"내년 中 화장품, 두자릿수 성장세…K뷰티도 수출 호조 기대",2019.12.22,3
35,치열해진 LG생건 내부 경쟁…세탁세제戰 뛰어든 섬유유연제,2019.12.17,3
36,"LG생활건강 VDL, 신상 립스틱 '엑스퍼트 슬림 립 컬러' 출시",2019.12.09,3
37,K-뷰티 육성한다면서…규제 리스크 노출된 中企 화장품(종합),2019.12.06,3
38,'포장 용기 바꿔라' 자원재활용법에 날벼락…中企 화장품 소외,2019.12.06,3
39,"LG생활건강 VDL, 팬톤과 '올해의 컬러' 클래식 블루 컬렉션 출시",2019.12.06,3
40,"LG생활건강 후, '궁중팩트 스페셜 에디션' 선봬",2019.12.04,3
41,"LG생건 인기제품 한 번에…GS샵, '소담소담 패키지' 판매",2019.12.04,3
42,'외국인 성지' 명동점도 줄폐점…'축소 vs 확대' 달라진 명동 K뷰티 지도,2019.12.03,3
43,"LG생활건강 빌리프, '홀리 졸리 빌리프' 스페셜 에디션 출시",2019.12.03,3
44,올해 잘 풀린 LG생활건강 '후'…임직원도 승승장구,2019.12.01,3
45,일일 뷰티 컨설턴트 된 펭수…fmgt '잉크래스팅 파운데이션' 판매,2019.11.29,3
46,"LG생활건강, 85년생 女임원 승진…""역대 최연소 기록 경신""",2019.11.28,3
47,"[인사] LG생활건강, 임원 승진·선임 인사",2019.11.28,3
48,"LG생활건강 VDIVOV, 10구 아이섀도 팔레트 '아이컬러백' 출시",2019.11.27,3
49,G마켓·옥션 '슈퍼 브랜드 스페셜 위크' 진행,2019.11.22,3
50,"LG생활건강 빌리프, '스트레스 슈터-시카 수딩 토너' 출시",2019.11.20,3
51,광군제서 흥행한 K뷰티…파워셀러 웨이야와 손잡고 '완판' 물결(종합),2019.11.16,3
52,"LG생활건강 fmgt, '골드콜라겐 베이스 라인' 리뉴얼 출시",2019.11.15,3
53,中광군제 '왕훙 마케팅' 세게 판 키우거나…자사 인플루언서 출격(종합),2019.11.13,3
54,"LG생활건강, '숨37도 김진식 홀리데이 에디션' 출시",2019.11.13,3
55,진화하는 中광군제 '왕훙 마케팅'…작심하고 인플루언서 키운 韓기업도,2019.11.13,3
56,'후' 하나로만 721억 올린 中광군제…韓화장품 초대박 행진(종합),2019.11.12,3
57,"LG생활건강 '숨', 로시크숨마 골든 베이스 등 출시…""색조 제품 강화""",2019.11.10,3
58,"비욘드, 데일리라이크와 홀리데이 에디션 '데일리 해피니스' 4종 출시",2019.11.05,3
59,'신유통 혁명' 中광군제 일주일 앞으로…마케팅 고삐 죄는 韓뷰티(종합),2019.11.04,3
60,"""90년대생 피부가 온다"" 닥터벨머, 시카 풀 패키지 세트 출시",2019.11.04,3
61,"LG생활건강 숨37도, 중국 상하이서 '발효, 시간의 예술' 체험전시",2019.11.01,3
62,"LG생활건강, 고보습 바디로션 '온더바디 벨먼 락토모이스처' 출시",2019.10.31,3
63,"LG생활건강 후, 창덕궁서 '왕후, 비밀의 공간' 전시 개최",2019.10.30,3
64,"화장품기업, 컬러렌즈·펫사료까지…다각화로 '불황' 뚫는다(종합)",2019.10.29,3
65,"10초 데우면 풍미가 3배…LG생활건강, 반려견 사료 '풍미모락' 출시",2019.10.29,3
66,"끝나지 않는 '차석용 매직'…LG생활건강, 역대급 3분기 실적",2019.10.24,3
67,"LG생활건강, 샴푸 등 생활용품 점자스티커 공동 보급",2019.10.23,3
68,"닥터밸머, 여드름 고민 해결사 '앰플마스크-스팟진정' 출시",2019.10.23,3
69,"해태htb, 진한 홍차와 흑당의 조화 '골든드랍 흑당 밀크티' 출시",2019.10.22,3
70,"LG생활건강 후, 스킨케어 정수 '천율단 화율 시그니처 쿠션' 선봬",2019.10.21,3
71,"LG생활건강 숨37도, 김진식 아트 컬래버레이션 에디션 출시",2019.10.17,3
72,"LG생활건강, '왕후의 공간' 기품 담은 후 '비첩 연향세트' 출시",2019.10.14,3
73,'신유통 쇼핑 혁명' 中광군제 앞두고 분주한 K뷰티(종합),2019.10.13,3
74,"하루새 35兆 번 광군제 한 달 앞으로…K뷰티, 막바지 꽃단장",2019.10.10,3
75,"롯데면세점, ‘더 히스토리 오브 후’와 함께한 스타라운지 고객초청 행사 성료",2019.10.06,3
76,"LG생활건강 닥터벨머, '어드밴스드 시카 쿠션·BBB' 2종 출시",2019.10.02,3
77,"""피앤지·피죤 등 시중 섬유유연제서 미세플라스틱 검출""",2019.09.25,3
78,"LG생활건강 수려한, '로얄작약 함유' 진생 시그니처 앰플 출시",2019.09.25,3
79,"""애타게 기다렸어요"" 핫한 언니들과 화장품 대기업, 손잡는 이유는(종합)",2019.09.23,3
