,Title,Date,Category
0,"文대통령, UAE-이집트 정상과 통화…코로나19 대응, 순방 연기 설명",2020.03.05,2
1,"장석춘 미래통합당 의원, TK서 3번째로 불출마 선언",2020.02.18,2
2,"코이카-LG전자, 방글라데시 에어컨 정비 기술자 양성…기술교육센터 개소",2020.02.03,2
3,"IF, '디지털세' 휴대폰·의류·차동차 기업도 부과 합의",2020.01.31,2
4,"""임베디드 소프트웨어 최고 인재들의 경연, 치열한 경기 시작""",2019.12.12,2
5,"국표원, '2019년 인공지능 산업 표준화 워크숍' 개최",2019.12.05,2
6,"국표원, 우즈벡 규제당국과 협의회 개최…기술규제 정보 공유",2019.11.27,2
7,"文대통령 ""스타트업, 韓-아세안 미래 부흥시킬 것…함께 세계경제 선도""",2019.11.26,2
8,"에너지공단, '2019년 우수사업장 인증서 수여식' 개최",2019.11.15,2
9,"국표원, IEC 총회에서 '4차 산업혁명 국제표준 선점' 본격 시동",2019.10.24,2
10,"[2019 국감]대기전력 기준위반 1, 2위 해외제품…美 HP 225개·日 야마하 46개",2019.10.15,2
11,"산업부, '제17회 임베디드 소프트웨어 경진대회' 접수 시작",2019.05.02,2
12,"문 대통령 ""2030년까지 시스템반도체 파운드리 세계 1위…종합반도체 강국 도약""",2019.04.30,2
13,"외국인, 보름간 韓 주식 2.4兆 매수…반도체가 절반",2019.04.17,2
14,"문 대통령 ""국가 차원 전략 추진해 세계 최고의 5G 생태계 조성""",2019.04.08,2
15,'코리아 5G 데이' 정부만 휘파람,2019.03.22,2
16,"성윤모 장관 ""광주시에 공기산업 클러스터 조성할 것""",2019.03.18,2
17,[3.8개각]7개 부처 장관 교체…중기부 박영선·행안부 진영·국토부 최정호(종합),2019.03.08,2
18,"靑, 오전 11시 30분 개각 발표…박영선·진영 의원 입각, 우상호는 제외",2019.03.08,2
19,"성윤모 장관, 카자흐스탄 LG전자 조립공장 방문…중앙亞 시장 개척 당부",2019.03.06,2
20,"北대표단, 할롱베이 5성급 크루즈 유람 후 하이퐁 산단 도착",2019.02.27,2
21,"WTO, 세탁기 분쟁 韓 '승'…""美에 매년 953억 보복관세 매긴다""(종합)",2019.02.09,2
22,"文대통령 ""CES서 '혁신 한국' 저력 증명…ICT 세계시장 선도""",2019.01.29,2
23,"외교부, 케냐 테러 폭발·총격사건 교민 피해 없어",2019.01.16,2
24,"'한-칠레 FTA' 개선 협상 돌입…냉장고·세탁기 '열고', 농산물 '막고'",2018.11.28,2
25,'자율주행차 표준화 포럼' 출범…2021년 국제표준 20건 제안,2018.11.09,2
26,"홍종학 '자질' 다시 도마 위…野 ""사퇴하라""",2018.10.26,2
27,한국전자산업대전 개막…729개 기업 4차산업 기술 선봬,2018.10.24,2
28,"에너지공단, IDB와 '에너지효율 정책컨설팅 프로그램' 개최",2018.10.17,2
29,"문 대통령 ""한국 투자 최적기…평화 정착되면 더 좋은 투자처""(종합)",2018.10.16,2
30,"[전문]문 대통령 ""한반도에 평화 정착되면 더 좋은 투자처 될 것""",2018.10.16,2
31,"문 대통령 ""한-프랑스 경제 협력 한 단계 업그레이드 하자""",2018.10.16,2
32,[2018국감] 때마침 해외출장 간 대표들…삼성 등 불출석,2018.10.10,2
33,"문 대통령, 이집트 대통령과 뉴욕에서 정상회담…""이집트 진출 삼성, LG에 관심을""",2018.09.27,2
34,2018년 코리아세일페스타 2주 앞으로…'할인과 혜택' 동시에,2018.09.14,2
35,"정부, EU 철강 세이프가드 중단 촉구…불가피 땐 韓품목 제외 요청",2018.09.13,2
36,"문 대통령 ""기업 경영 활동 적극 지원""…한·인도 기업인들과 만나",2018.07.10,2
37,"문 대통령 ""한·러 FTA 협상 개시 위한 국내 절차 추진 합의""",2018.06.22,2
38,"문 대통령 ""신제품 막는 규제 풀겠다""…일자리 창출·상생 당부",2018.04.20,2
39,"[섬에 갇힌 공무원] 靑, 기업 목소리 전할 참모가 없다",2018.04.20,2
40,"문 대통령 ""추경 편성해 '일자리 만들기' 최선 다할 것""",2018.03.23,2
41,"""편안함+가벼움""…에이스침대·LG '그램' 웨딩·신학기 컬래버레이션",2018.03.13,2
42,"김태년 ""美 세이프가드 발동…강력 대응해야""",2018.01.25,2
43,"""美 세이프가드, 미국에 도움 안 된다""",2018.01.24,2
44,"LG전자, 2018년형 에어컨 출시…집밖까지 학습·하루 전기료 500원",2018.01.18,2
45,"LG전자 건조기 신제품, 전년 대비 판매량 3배",2018.01.16,2
46,"정부, 美 세탁기 세이프가드 공청회서 반대 입장 피력",2018.01.03,2
47,[경제 되살릴 百年路] 상법·공정거래법 개정안…올 기업경영 암울,2018.01.02,2
48,"LG전자, CES 2018에 '씽큐 존'…제품별 전시는 대폭 축소",2018.01.01,2
49,[2018 전자업계 전망] 스마트폰은 '맑음'·가전은 '흐림',2018.01.01,2
50,"LG전자, AI브랜드 '씽큐' TV 광고 시작",2017.12.31,2
51,"LG전자, 3년간 김자인 선수·대한산악연맹 후원",2017.12.28,2
52,"LG전자, CES 2018서 프리미엄 오디오 제품군 공개",2017.12.28,2
53,"미 ITC, SK하이닉스 특허 침해 여부 조사 결정",2017.12.03,2
54,평창동계올림픽때 외국인들도 긴급재난문자 받는다,2017.10.24,2
55,"[2017국감]삼성전자 공정위 618회나 방문…""유착 우려""",2017.10.19,2
56,이번에도 기업인 56명 무더기 증언대…재벌총수 빠졌다,2017.10.10,2
57,"외교부 ""美 태양광 셀 세이프가드 발동, 美 기업 더 손해""",2017.10.04,2
58,"김성태 ""평창올림픽 앞두고 UHD방송 볼 수 있는 가정은 0.1%""",2017.09.23,2
59,"文·푸틴, ""北 6차 핵실험 규탄""…해결 방법은 이견",2017.09.06,2
60,"""LG, 박 대통령 면담 전 의견 전달""…삼성 ""모든 기업 같았다""",2017.07.19,2
61,"조급한 정부, 속타는 대기업…겉도는 일자리 대책",2017.07.19,2
62,10대 기업 일자리 1년새 2317개 사라졌다,2017.07.19,2
63,"삼성 SK ""하반기 채용 늘리겠다""…재계, 일자리 창출 동참(종합)",2017.07.18,2
64,"권오현 삼성전자 부회장 일자리委서 ""하반기 채용 늘리겠다"" (종합)",2017.07.18,2
65,"이용섭 일자리委 부위원장 ""자산총액대신 고용인원으로 기업평가""",2017.07.18,2
66,"일자리위원회, 근로자 많은 15개 기업과 간담회",2017.07.14,2
67,노무현 前 대통령 아들 건호 씨 증인 신청 놓고 신경전…'유영민 청문회'(종합),2017.07.04,2
68,'일자리 많은 기업' 순위 매긴다고?,2017.06.30,2
69,"미방위 野 의원들, 노건호씨 증인 신청…증인 채택은 난항 겪어(종합)",2017.06.29,2
70,정규직화 밀어붙이기…지금 필요한건 '문샷 싱킹',2017.05.25,2
71,"""에어컨 화재 사고 3건 중 2건은 실외기가 원인",2017.05.15,2
72,삼성·LG 등 사물인터넷·스마트홈 융합 동맹 구축,2017.04.26,2
73,"정부, 이란과 경제발전 경험 공유사업 MOU 체결",2017.01.19,2
74,중기청 고객정보화담당관에 한규헌씨,2017.01.08,2
75,국내 최초 양식 연어 500t 출하…수입 대체 기대,2016.11.07,2
76,"코리아세일페스타, 한달간 쇼핑 축제 열린다",2016.09.21,2
77,"안철수, 3박4일 독일行…IFA 2016 가전전시회 방문",2016.08.31,2
78,신임 청년최고위원 유창수 “청년들을 위한 새누리당 만들겠다”,2016.08.10,2
79,몽골 정상방문 경제사절단 110명…몽골 진출 촉진,2016.07.12,2
80,"농진청, 이동식 농업종합병원 봉사활동 실시",2016.06.10,2
81,"김빈, 더민주 청년 비례대표 탈락 “납득 못해… 이의신청하겠다”",2016.03.15,2
82,"고용부 장관 ""'사내 눈치법'으로 육아휴직 등 정착 힘들어""",2016.03.09,2
83,"""'2평 큐브'에 갇힌 청년들에게 희망 주고 싶어""",2016.03.07,2
84,與 중진 의원 밀어낸 장석춘 후보는? '노동 전문가',2016.03.04,2
85,자동차융합 얼라이언스 발전전략 포럼 개최,2016.02.17,2
86,"재계, 내년까지 에너지신산업에 총 8.2조원 투자",2016.02.15,2
87,"공재광 평택시장, 사드 평택 배치 반대",2016.02.13,2
88,이란 합작투자 늘린다…패키지 진출도 지원,2016.02.12,2
89,"[2016정시가이드]중앙대, 1학년 학과탐색·2학년 전공선택",2015.12.16,2
90,전자업계 민관합동 수출상황 점검,2015.12.10,2
91,"""민관 합동으로 무역기술장벽 대응 노력해야""",2015.12.09,2
92,현대차 LG전자 등 자동차 융합 얼라이언스 발족,2015.12.08,2
93,"중앙부처 김 과장, 휴직하고 삼성으로 출근하는 까닭",2015.11.18,2
94,산학 아이디어 한자리에…공학교육 페스티벌 개최,2015.11.18,2
95,"""명품 소비재 육성해 수출 확대 추진해야""",2015.11.16,2
96,LG전자-협력사 보안역량 동반성장 협약 체결,2015.10.28,2
97,양재·우면 '도심형 R&D 혁신지구' 전략 육성한다,2015.10.27,2
98,"전자산업대전, 김종호 삼성전자 사장 금탑산업훈장",2015.10.14,2
99,뿌리기업-수요기업 기술협력 성과로 이어져,2015.09.22,2
100,보호무역 추세 확대…분쟁사례 법률쟁점 대비해야,2015.09.22,2
101,"4년간 해외서 담합 적발된 국내기업, 과징금만 1조 넘어",2015.09.09,2
102,인천 등 전국 11개 지역서 일자리 행사 열려,2015.09.09,2
103,"서울시, 코리아세븐 등과 '산골마을' 에너지복지 지원",2015.09.02,2
104,"외교부, 주대구 모로코 명예총영사 김옥열씨에 인가장",2015.07.13,2
105,소재부품 상반기 수출 1343억弗 '사상 최대',2015.07.08,2
106,공정위 '소비자중심경영' 14개사에 인증서 수여,2015.06.19,2
107,손톱 가시 뽑았더니…네일·미용업이 '일'내지 않았는가,2015.06.11,2
108,삼성·LG 등 협력사 350곳에 스마트공장 구축,2015.06.11,2
109,상장사 일자리 창출능력 4년만에 6분의1 토막,2015.06.09,2
110,한·인도 기업인 모여 경제협력 손잡아,2015.05.19,2
111,"정부, 삼성·LG와 사물인터넷 상생협력생태계 구축",2015.05.18,2
112,"베트남 수출, 日 제치고 톱3…역대 최고",2015.05.15,2
113,"대기업, 2·3차 협력사와도 성과 공유한다",2015.04.24,2
114,통일연구원 제5기 통일정책 최고위과정 23일부터 진행,2015.04.22,2
115,"산업부, 연내 자율주행차 주행가능한 실증지구 선정키로",2015.03.31,2
116,"현대차 등 주요 대기업 21개사, 올 상반기 신입 5749명 뽑는다",2015.03.25,2
117,"공정위, 檢 고발요청권 발동에 애써 태연",2015.03.17,2
118,"공정위 ""檢 고발요청권 발동? 올 것이 왔다""",2015.03.16,2
119,LG전자-재영솔루텍 3차원사출성형 기술개발 손잡아,2015.03.03,2
120,"에관공·LG전자·LG화학, 사회적기업가 육성",2015.02.26,2
121,"윤상직 장관 ""기업투자 어려움 직접 해소할 것""(종합)",2015.02.11,2
122,"윤상직 장관 ""기업투자 어려움 장관이 직접 해소하겠다""",2015.02.11,2
123,"[포토]윤상직 ""34조원 투자프로젝트 차질없이 추진 노력하겠다""",2015.02.11,2
124,1월 기능한국인에 안혁 대원정밀 대표,2015.01.26,2
125,MB표 '지식재산사업' 5년째 헛바퀴,2014.12.24,2
126,"윤병세""중동 기회되도록 외교정책 자산 총동원해야""",2014.12.20,2
127,에이치비테크 등 상생협력 파트너 우수기업 선정,2014.12.18,2
128,"포스코 등 53개 대기업, 승진 등에 '新직업자격' 활용 추진",2014.11.19,2
129,"대기업 동반성장사업, 누구나 활용할 수 있도록 개방",2014.11.17,2
130,삼성전자 초미세 20나노 D램 기술대상 대통령상 수상,2014.11.13,2
131,LG전자·휴렛팩커드 노트북 전원코드 68만개 리콜,2014.10.24,2
132,LG사이언스파크에 힘 실어준 박근혜 대통령,2014.10.23,2
133,"[2014국감]김기식 ""LGU+, LG전자 스마트폰 밀어주기 의혹""",2014.10.20,2
134,"朴 이탈리아 경제사절단, 현정은 등 41명 참가",2014.10.13,2
135,"삼성 등 16개 기업, 하반기 28조 신규 투자",2014.10.06,2
136,"13만여개 직업훈련 과정, 산업계 중심으로 다 바뀐다",2014.09.25,2
137,"동원그룹-KT, 식생활·물류플랫폼 ‘AI 혁신’ 주도…MOU 체결",2020.08.27,3
138,"롯데하이마트 온라인쇼핑몰, ‘LG전자 그랜드 페스타’ 기획전 실시",2020.08.24,3
139,"예비부부 잡아라…롯데백화점, '롯데 웨딩 위크' 진행",2020.08.13,3
