,Title,Date,Category
0,"""임베디드 소프트웨어 최고 인재들의 경연, 치열한 경기 시작""",2019.12.12,2
1,4차 산업혁명 시대 국제표준 선점 위한 민관 협업체제 가동,2019.07.22,2
2,"산업부, '제17회 임베디드 소프트웨어 경진대회' 접수 시작",2019.05.02,2
3,"한수원, 신안 비금도 300㎿ 태양광발전사업 추진",2019.03.23,2
4,'2018 IEC 부산총회' 폐회…'표준강국 대한민국' 재조명,2018.10.28,2
5,[포토]IEC 부산총회 전시관 개관식,2018.10.22,2
6,"에너지공단, IDB와 '에너지효율 정책컨설팅 프로그램' 개최",2018.10.17,2
7,"[평양회담] 재계 총수들 ""긴장·묵묵부답""...이재용 부회장 막판까지 임원회의(종합)",2018.09.18,2
8,남동발전-LS산전 해외 에너지사업 추진 손잡아,2016.08.09,2
9,"국민의당 장병완 당선인 ""민생 바로 세워달라는 준엄한 명령""",2016.04.13,2
10,"LG산전, 국내 1호 건물에너지관리시스템 설치",2016.03.30,2
11,광주 동남갑 ‘3선 깃발’ 누가 꽂을까?,2016.03.15,2
12,장병완 “지방이전 공공기관·기업 지역인재 채용 확대” 추진,2016.03.14,2
13,장병완 “남구 도시첨단산단 국가 R&D특구 지정 추진”,2016.03.13,2
14,"장병완 ""남구에 복합문화멀티플렉스 건립 추진”",2016.03.02,2
15,광주·전남 에너지밸리 조성사업 탄력,2016.02.14,2
16,"옛 장항제련소 인근 중금속오염 농경지, 토양정화 완료",2016.02.02,2
17,장병완 “남구 대촌지역 ‘그린벨트 해제’ 통과시켰다”,2015.12.22,2
18,"'취임6개월' 황교안, '경제'로 보폭 넓힌다",2015.12.21,2
19,"황교안 ""스마트공장 5년내 1만개로 늘리겠다""",2015.12.07,2
20,"남부발전, 제주에 상업용 풍력연계 ESS 구축",2015.11.11,2
21,국내 최대 에너지분야 전시회 '에너지플러스' 개막,2015.10.20,2
22,"빛가람 전력기술 엑스포, 6억弗 수출상담 결실",2015.10.15,2
23,"한전, 광주서 빛가람 전력기술 엑스포 개최",2015.10.12,2
24,"한전, 中企 기술개발 위한 에너비밸리센터 건립",2015.09.17,2
25,국제표준화기구 서울 총회 14~18일 열려,2015.09.13,2
26,"한전, LS산전 등 25개 기업과 에너지밸리 투자키로(상보)",2015.09.08,2
27,"한전, LS산전 등 25개사와 에너지밸리 투자협약 체결",2015.09.08,2
28,장병완 의원 “LS그룹의 ‘통큰 광주투자’ 이끌어 내”,2015.09.02,2
29,韓美 스마트제조업 육성 손잡기로,2015.06.16,2
30,삼성·LG 등 협력사 350곳에 스마트공장 구축,2015.06.11,2
31,"비긴스제주, 제주서 전기차 배터리 임대사업 착수",2015.05.26,2
32,우수 전력기술 한자리에 '전력기술 R&D성과 한마당',2015.05.08,2
33,"고용부, 장애인고용 외면하는 대기업 계열사 55곳 발표",2015.04.29,2
34,'제조업의 미래' 스마트공장 국제컨퍼런스 개최,2015.03.18,2
35,"朴 중동 4개국 방문, 경제사절단 116명 '최대 규모'",2015.02.26,2
36,"LS산전, 특허·디자인 290건 무상양도",2015.01.27,2
37,"한국품질재단, 스마트팩토리&인공지능 분야 훈련생 모집",2020.04.06,3
38,"""늘리고 보자""…ESS 화재, 민관의 총체적 부실",2020.01.15,3
39,"문전일 로봇산업진흥원장, 한국공학한림원 회원 선임",2020.01.07,3
40,"""임베디드 소프트웨어 최고 인재들의 경연, 치열한 경기 시작""",2019.12.12,3
41,"제이니스 엠오피스, 주 52시간 근무제 보완하는 탄력근로제 운영 가능",2019.12.09,3
42,한-독 표준협력대화 출범…스마트제조· 미래차 등 국제표준화 협력키로,2019.11.28,3
43,4차 산업혁명 시대 국제표준 선점 위한 민관 협업체제 가동,2019.07.22,3
44,"산업부, '제17회 임베디드 소프트웨어 경진대회' 접수 시작",2019.05.02,3
45,"정부 ""ESS 화재원인 결과 6월초 발표…가동중단 피해 보상할 것""(종합)",2019.05.02,3
46,"정부 ""ESS 화재원인 결과 6월초 발표""",2019.05.02,3
47,"한수원, 신안 비금도 300㎿ 태양광발전사업 추진",2019.03.23,3
48,"구자은 LS엠트론 부회장, 회장으로 승진...3년후 그룹 총수맡을듯(종합)",2018.11.27,3
49,"구자은 LS엠트론 부회장, LS그룹 회장으로 승진...""디지털 혁신 주력""",2018.11.27,3
50,"구자열 회장 ""LS가 북방경협 핵심역할할것...방북계획은 아직 없어""",2018.11.19,3
51,"LS산전, 안양지역 홀몸노인에 겨울나기 방한의류 100벌 기증",2018.11.13,3
52,"구자열 LS 회장, 중국 국제수입박람회 참관...中사업기회 모색",2018.11.08,3
53,"김동연 ""스마트공장 성공사례 나오도록 노력…대중소기업 상생해야""",2018.10.31,3
54,'2018 IEC 부산총회' 폐회…'표준강국 대한민국' 재조명,2018.10.28,3
55,[포토]IEC 부산총회 전시관 개관식,2018.10.22,3
56,"에너지공단, IDB와 '에너지효율 정책컨설팅 프로그램' 개최",2018.10.17,3
57,"[평양회담] 재계 총수들 ""긴장·묵묵부답""...이재용 부회장 막판까지 임원회의(종합)",2018.09.18,3
58,"LS산전, 추석 앞두고 협력사 납품대금 400억원 조기지급",2018.09.12,3
59,"LS산전, 2분기 영업익 전년비 49.3% 증가한 653억원...""최대 실적""",2018.07.26,3
60,"구자열 LS그룹 회장 ""4차산업 선점해야...스마트 R&D 집중하자""",2018.06.07,3
61,"구자균 회장 ""차기 LG 총수 구광모 상무, 말 수 적고 자상한편""",2018.05.30,3
62,"LS산전, 5월 한달간 500억원 규모의 ESS 사업 수주",2018.05.23,3
63,"LS산전, 1분기 영업이익 554억원...전년동기 대비 55% 증가",2018.04.26,3
