,Title,Date,Category
0,[양낙규의 Defense video] 중기계획에 담긴 '3대 전략무기',2020.08.16,2
1,[양낙규의 Defence video]F-15K 전투기 장착할 AESA레이더는,2020.08.15,2
2,[양낙규의 Defense video]핵공격 가능한 B-52 폭격기는 몇대?,2020.08.08,2
3,[양낙규의 Defense video]전방 지뢰 없앨 전차는,2020.08.08,2
4,[종합]한국군 첫 전용 통신위성 발사…수신 성공,2020.07.21,2
5,[3보]한국군 첫 전용 통신위성 발사 성공,2020.07.21,2
6,[2보]한국군 첫 전용 통신위성 발사 성공,2020.07.21,2
7,[1보]한국군 첫 전용 통신위성 발사 성공,2020.07.21,2
8,[양낙규의 Defense video] 그라울러 국내개발 가능할까,2020.07.18,2
9,[양낙규의 Defense video]북 침투할 항공모함 위 슈퍼호넷,2020.07.18,2
10,"靑 ""한국판 뉴딜은 국력결집 프로젝트""…현대차 정의선, 네이버 한성숙 '라이브 연결' (종합)",2020.07.13,2
11,[양낙규의 Defense video]북한이 도입한 러시아 Su-25 전투실력은,2020.07.11,2
12,[양낙규의 Defense video]북 침투시킬 대형기동헬기는,2020.07.11,2
13,[양낙규의 Defense video]미육군이 선정할 최신예 기동헬기,2020.06.27,2
14,[양낙규의 Defense video]우리 해군 정조준한 日 해상초계기,2020.06.27,2
15,[양낙규의 Defense video]한국 해군 잠수함의 30년 역사는,2020.06.01,2
16,[양낙규의 Defense video]2017년 북 기습타격 보여준 하이마스,2020.05.30,2
17,[양낙규의 Defense video]사드 성능개량 진행되나,2020.05.30,2
18,[양낙규의 Defense Club]대만이 수입한 미 전차 M1A2,2020.05.23,2
19,[양낙규의 Defense Club]죽음의 백조라 불리는 전략 폭격기 B1-B,2020.05.23,2
20,[양낙규의 Defense video]실전 곳곳에 투입되는 공중급유기,2020.05.16,2
21,[양낙규의 Defense video]차세대 특수작전용 기관단총은,2020.05.16,2
22,[양낙규의 Defense video]미해병대의 공격헬기 애칭은 '독사',2020.05.09,2
23,“충성” 그대들이 있어 공항은 안전합니다,2020.03.23,2
24,[양낙규의 Defence video]현대로템이 선보인 국내 첫 자주도하장비,2020.01.27,2
25,뉴스 어디서 보나…네이버 41.6% vs 다음 22.8%,2020.01.17,2
26,[양낙규의 Defence Club video]겨울 바다에 뛰어든 해군 SSU대원들,2020.01.16,2
27,"추미애, 아들 휴가 미복귀 의혹에 ""면제받을 수 있는 데도 군대 갔다""",2019.12.30,2
28,"'새벽 2시16분, 100차례 질문' 조국 기자간담회 마무리 (종합3)",2019.09.03,2
29,"'의혹 반박' 조국, 딸 얘기엔 눈시울…도덕성 해명, 정책소신 피력 (종합)",2019.09.02,2
30,"""'이제 정두언은 끝' 사람들이 등 돌렸다"" 정두언, 극심한 우울증 왜 왔나",2019.07.17,2
31,이명박 전 대통령 “정두언 만나려고 했는데 참으로 안타깝다”,2019.07.17,2
32,"""진보·보수 모두에 쓴소리…정두언, 당신이 그리울 겁니다""",2019.07.17,2
